"doi","id","subject","title","authors","year","publisher","resulttype","language","journal","url","paper_abstract","project_id","accessright","x","y","area_uri","cluster_labels","area","citation_count","cited_by_tweeters_count","readers.mendeley","readers","file_hash"
"","dedup_wf_001::7cd0b67e5d452343439b96996db08d6b","[INFO.INFO-ES] Computer Science [cs]/Embedded Systems","A Seamless Model-Transformation between System and Software Development Tools","Macher, Georg","2016-01-27","HAL CCSD","publication","","","https://hal.archives-ouvertes.fr/hal-01292296/document","International audience; The development of dependable embedded automotive systems faces many challenges arising from increasing complexity, coexistence of critical and non-critical applications, and the emergence of new architectural paradigms on the one hand, to short time-to-market intervals on the other hand. This situation requires tools to improve efficiency and consistence of development models along the entire development lifecycle. The existing solutions to date are still all too frequently insufficient when transforming system models with higher levels of abstraction to more concrete engineering models (such as software engineering models). Future automotive systems require appropriate structuring and abstraction in terms of modulariza-tion, separation of concerns, and supporting interactions between system, and component development. However, refinement of system designs into hardware and software implementations is still a tedious task. The aim of this work is to enhance an automotive model-driven system engineering framework with software-architecture design capabilities and a model-transformation framework to enable a seamless description of safety-critical systems, from requirements at the system level down to software component implementation in a bidirectional manner.","621429","Open Access","0.0024","0.4059","3","Core architectures, [info.info-es] computer science [cs]/embedded systems, Mixed criticality","Core architectures, [info.info-es] computer science [cs]/embedded systems, Mixed criticality",NA,NA,NA,"",""
"","dedup_wf_001::a31150d571761bd0d151e9c8aa37bb30","basic software configuration","RTE Generation and BSW Configuration Tool-Extension for Embedded Automotive Systems","Macher, Georg","2016-01-27","HAL CCSD","publication","","","https://hal.archives-ouvertes.fr/hal-01291885/document","International audience; Automotive embedded systems have become very complex, are strongly integrated and the safety-criticality and real-time constraints of these systems are raising new challenges. Distributed system development, short time-to-market intervals, and automotive safety standards (such as ISO 26262 [8]) require efficient and consistent product development along the entire development lifecycle. The challenge, however, is to ensure consistency of the concept constraints and configurations along the entire product life cycle. So far, existing solutions are still frequently insufficient when transforming system models with a higher level of abstraction to more concrete engineering models (such as software engineering models). The aim of this work is to present a model-driven system-engineering framework addon, which enables the configurations of basic software components and the generation of a runtime environment layer (RTE; interface between application and basic software) for embedded automotive system, consistent with preexisting constraints and system descriptions. With this aim in mind a tool bridge to seamlessly transfer artifacts from system development level to software development level is described. This enables the seamless description of automotive software and software module configurations, from system level requirements to software implementation and therefore ensures both consistency and correctness for the configuration.","621429","Open Access","-0.0662","0.5031","3","Core architectures, [info.info-es] computer science [cs]/embedded systems, Mixed criticality","Core architectures, [info.info-es] computer science [cs]/embedded systems, Mixed criticality",NA,NA,NA,"",""
"","dedup_wf_001::d334d892e017975199392975f504643a","au- tomotive","Towards certification of software-intensive mixed-critical systems in automotive industry","Reichenpfader, Peter","2016-09-01","HAL CCSD","publication","","","https://hal.archives-ouvertes.fr/hal-01375451/document","International audience; Next-generation cars will provide a multitude of advanced driver assistance systems (ADAS) functionality up to full autonomous driving support. These functions require high computational power and continuous software-maintenance (e.g. over-the-air update). Hence powerful general-purpose multi-core hardware and dynamic software-platforms/OS are being introduced to automotive systems. Furthermore these systems need to be certified according to safety standards. In this paper we highlight several challenges associated with the certification process. We thereby mainly focus on multi-core hardware architecture and RTOS aspects. One main question is whether Linux (with the PREEMPT RT patch) can be utilized and certified accordingly.","621429","Open Access","0.1957","0.5493","3","Core architectures, [info.info-es] computer science [cs]/embedded systems, Mixed criticality","Core architectures, [info.info-es] computer science [cs]/embedded systems, Mixed criticality",NA,NA,NA,"",""
"","dedup_wf_001::e1cf43cb66c5ba65868efe31afa3cb70","[INFO] Computer Science [cs]","Work-in-Progress and Demo Proceedings - 2016 IEEE Real-Time and Embedded Technology and Applications Symposium (RTAS)","Nélis, Vincent","2016-04-12","HAL CCSD","publication","","","https://hal.inria.fr/hal-01305183/document","International audience; This document is a collection of the Work-in-Progress and Demo papers presented at the 2016 IEEE Real-Time and Embedded Technology and Applications Symposium (RTAS).","333053","Open Access","0.7028","0.1007","2","Automotive applications","Automotive applications",NA,NA,NA,"",""
"","od______2595::122bca9e73b99719e4aeb8088e2e7a32","cache;pages;partitions","Mixed-Criticality Systems with Partial Lockdown and Cache Reclamation Upon Mode Change","Bletsas, Konstantinos","2017-01-01","","publication","","","","29th Euromicro Conference on Real-Time Systems (ECRTS 2017), WiP. Dubrovnik, Croatia.
			In mixed-criticality multicore systems, the appropriate degree of isolation between applications of different criticalities is a primary objective. However, efficient utilization of the platform’s processing capacity and other resources is still desirable and important. In recent work, we, therefore, proposed an approach that reclaims cache resources assigned to low-criticality tasks when these are dispensed with, in the event of a system mode change. The reclaimed cache resources are reassigned from the lower-criticality tasks to the remaining higher-criticality tasks to improve performance. The per-task cache partitions can either be configured to hold frequently accessed (“hot”) pages, locked in place, or they can be used dynamically, with cache lines moved in and out. The first option simplifies WCET analysis while the second option simplifies the act of cache reconfiguration at runtime. Meanwhile, the performance implications of the two options are not immediately obvious. Therefore, in this work-in-progress, we explore an arrangement that combines both approaches, in order to achieve the best tradeoff between efficient analysis, low reconfiguration overheads and good schedulability Simple per task cache partitions (without page locking) are to be used for the portion of the cache that is subject to reclamation. At mode switch, the high-criticality tasks keep the pages they had locked in the cache and get additional partitions, out of reclaimed cache, to bring other pages in and out as needed.
			info:eu-repo/semantics/publishedVersion","621429","Open Access","0.1629","-0.5055","9","Mixed criticality scheduling, Semi partitioned, Upper bound","Mixed criticality scheduling, Semi partitioned, Upper bound",NA,NA,NA,"",""
"","od______2595::228c88522861ebe14d60124a993edac5","platforms avionics;mcp;frequencies","Towards Certifiable Multicore-based Platforms for Avionics","Awan, Muhammad Ali","2015-01-01","","publication","","","","Work in Progress Session, 21st IEEE Real-Time and Embedded Techonology and Applications Symposium (RTAS 2015). 13 to 16, Apr, 2015, pp 27-28. Seattle, U.S.A..
			The demand for extra functionality in modern applications
			is a never ending trend. The hardware vendors are actively improving
			the design of processors to accommodate these complex
			applications. The increase in clock speed to enhance the
			performance of the processor has hit its limits. This is driven
			by the fact that the performance per watt became costly at high
			frequencies. Hence, Moore’s law is no longer sustained with
			increasing frequencies but with additional cores [1]. Therefore,
			in the last decade, the semiconductor industry has experienced
			a paradigm shift from single processor design to multicore
			processors (MCP). Cores in MCP share many resources like
			caches, main memory, I/O devices and interconnects. This
			sharing, which does not exist in single core processors, makes
			the temporal behavior of MCPs rather complex and highly
			unpredictable as these platforms are designed to improve the
			average-case performance. Consequently, their use in safetycritical
			applications such as avionics domain is extremely
			challenging. The certification authorities are very skeptical in
			the use of MCP platforms in avionics applications","333053","Open Access","0.6768","-0.0389","2","Automotive applications","Automotive applications",NA,NA,NA,"",""
"","od______2595::86f67e885f5914fd07107f9f9df1749b","Schedulability","Mixed-criticality scheduling with memory regulation","Awan, Ali","2016-01-01","Euromicro Technical Committee on Real-Time Systems","publication","","","","Work in Progress Session, 28th Euromicro Conference on Real-Time Systems (ECRTS 2016). 5 to 8, Jul, 2016. Toulouse, France.
			The state-of-the-art models and schedulability analysis for mixed-criticality multicore systems overlook low-level aspects of the system. To improve their credibility, we therefore incorprate, in this work, the effects of delays from memory contention on a shared bus. Specifically, to that end, we adopt the predictable memory reservation mechanism proposed by the Single Core Equivalence framework. Additionally, we explore how the reclamation, for higher-criticality tasks, of cache resources allocated to lower-criticality tasks, whenever there is a criticality (mode) change in the system, can improve schedulability.
			info:eu-repo/semantics/publishedVersion","137225","Open Access","0.1159","-0.1709","9","Mixed criticality scheduling, Semi partitioned, Upper bound","Mixed criticality scheduling, Semi partitioned, Upper bound",NA,NA,NA,"",""
"","od______2595::3887a92cff9ba34aa26cd4f44c31b349","extra functional","Formal Contracts for Runtime Verification Support in the Ada Programming Language","Matos Pedro, André","2015-01-01","","publication","","","","Poster presented in The 28th GI/ITG International Conference on Architecture of Computing Systems (ARCS 2015). 24 to 26, Mar, 2015. Porto, Portugal.
			Static Verification is not sufficient to cope with many of the challenges of modern and future generation real-time embedded systems:
			• state-explosion problem of model-checking;
			• limited automation in deductive reasoning, even with
			recent advances in SAT and SMT solvers.
			• Most of the data important to certify a real-time embedded
			system is related to extra-functional properties:
			• Duration of tasks;
			• Energy consumption;
			• Temperature management;
			• Other cyber-physical properties.
			• Unfortunately, most of the extra functional data is only available and verifiable during execution time.","621429","Open Access","-0.2753","0.153","4","Monitoring architecture, Run time monitoring, Runtime verification","Monitoring architecture, Run time monitoring, Runtime verification",NA,NA,NA,"",""
"","od______2595::8343f6b7104989abae20b540c0c80456","revert;dfa;monitors","REVERT: A Monitor Generation Tool for Real-Time Systems","Kochanthara, Sangeeth","2016-01-01","","publication","","","","IEEE Real-Time Systems Symposium (RTSS 2016). 29, Nov to 2, Dec, 2016, RTSS@Work. Porto, Portugal.
			We present REVERT (which stands for RuntimE VErification for Real-Time systems), a new tool to generate monitors for real-time systems. REVERT takes specifications written in a new Domain Specific Language (DSL) and automatically generates monitors under the form of complete timed deterministic finite automata (DFA). The generated timed DFA can later be used to generate code that can eventually be integrated within the monitored system.
			info:eu-repo/semantics/publishedVersion","137225","Open Access","-0.334","0.3007","4","Monitoring architecture, Run time monitoring, Runtime verification","Monitoring architecture, Run time monitoring, Runtime verification",NA,NA,NA,"",""
"","od______2595::ad8c0a687029d88c1833f5064c3582b7","Work-Stealing","Semi-Partitioned Scheduling of Fork-Join Tasks using Work-Stealing","Maia, Cláudio","2015-01-01","","publication","","","","13th IEEE/IFIP International Conference on Embedded and Ubiquitous Computing (EUC 2015). 21 to 23, Oct, 2015, Session W1-A: Multiprocessing and Multicore Architectures. Porto, Portugal.
			This paper explores the behavior of parallel fork-join tasks on multicore platforms by resorting to a semipartitioned
			scheduling model. This model offers a promising framework to embedded systems which are subject
			to stringent timing constraints as it provides these systems with very interesting properties. The proposed
			approach consists of two stages—an offline stage and an online stage. During the offline stage, a multi-frame task
			model is adopted to perform the fork-join task-to-core mapping so as to improve the schedulability and the
			performance of the system, and during the online stage, work-stealing is exploited among cores to improve the
			system responsiveness as well as to balance the execution workload. The objective of this work is twofold: (1) to
			provide an alternative technique that takes advantage of the semi-partitioned scheduling properties by offering
			the possibility to accommodate fork-join tasks that cannot be scheduled in any pure partitioned environment, and
			(2) to reduce the migration overhead which has shown to be a traditional major source of non-determinism in
			global approaches. The simulation results show an improvement of the proposed approach over the state-of-theart
			of up to 15% of the average response-time per task set.","137225","Open Access","-0.0375","-0.2279","9","Mixed criticality scheduling, Semi partitioned, Upper bound","Mixed criticality scheduling, Semi partitioned, Upper bound",NA,NA,NA,"",""
