"doi","id","subject","title","authors","year","publisher","resulttype","language","journal","url","paper_abstract","project_id","accessright","x","y","area_uri","cluster_labels","area","cited_by_tweeters_count","readers.mendeley","citation_count","readers","file_hash"
"","dedup_wf_001::ec2a4d95422be1861d2f108095b83245","childhood osteosarcoma;controversies childhood","Controversies in childhood osteosarcoma","Von Kalle, T.","2013-01-01","EDIZIONI MINERVA MEDICA","publication","","","","","261474","Closed Access","-0.2326","-0.7412","5","Cancer lessons, Childhood cancers, Childhood osteosarcoma","Cancer lessons, Childhood cancers, Childhood osteosarcoma",NA,NA,NA,"",""
"10.1002/ijc.30050","od_______908::cc8815583a1c9510b5bb7df9706b3293","Tumor Markers and Signatures","The genetic tumor background is an important determinant for heterogeneous MYCN?amplified neuroblastoma","Bogen, Dominik","2016-03-01","John Wiley and Sons Inc.","publication","","International Journal of Cancer","","Amplification of MYCN is the signature genetic aberration of 20?25% of neuroblastoma and a stratifying marker associated with aggressive tumor behavior. The detection of heterogeneous MYCN amplification (hetMNA) poses a diagnostic dilemma due to the uncertainty of its relevance to tumor behavior. Here, we aimed to shed light on the genomic background which permits hetMNA in neuroblastoma and tied the occurrence to other stratifying markers and disease outcome. We performed SNP analysis using Affymetrix Cytoscan HD arrays on 63 samples including constitutional DNA, tumor, bone marrow and relapse samples of 26 patients with confirmed hetMNA by MYCN?FISH. Tumors of patients ?18m were mostly aneuploid with numeric chromosomal aberrations (NCAs), presented a prominent MNA subclone and carried none or a few segmental chromosomal aberrations (SCAs). In older patients, tumors were mostly di? or tetraploid, contained a lower number of MNA cells and displayed a multitude of SCAs including concomitant 11q deletions. These patients often suffered disease progression, tumor dissemination and relapse. Restricted to aneuploid tumors, we detected chromosomes with uniparental di? or trisomy (UPD/UPT) in almost every sample. UPD11 was exclusive to tumors of younger patients whereas older patients featured UPD14. In this study, the MNA subclone appears to be constraint by the tumor environment and thus less relevant for tumor behavior in aggressive tumors with a high genomic instability and many segmental aberrations. A more benign tumor background and lower tumor stage may favor an outgrowth of the MNA clone but tumors generally responded better to treatment.","I 2799","Open Access","0.5028","0.0857","10","Angeles cog, Classification proceedings, Cog liver","Angeles cog, Classification proceedings, Cog liver","1","21","4","",""
"10.1002/pst.1541","dedup_wf_001::1ebb72112f89cc4e5d1727b9068983a5","arm studies;calculation recurrent;data arm","Sample size calculation for recurrent events data in one-arm studies","Rebora, Paola","2012-01-01","WILEY-BLACKWELL","publication","","Pharmaceutical Statistics","","","261474","Closed Access","-0.6256","0.4321","1","Approach based, Arm studies, Binary markers","Approach based, Arm studies, Binary markers",NA,NA,"1","",""
"10.1002/sim.4443","dedup_wf_001::fb7d9d7eeb0ae052b30d937bd23679ec","approach based;based proportions;binary markers","Performance of binary markers for censored failure time outcome: nonparametric approach based on proportions","Antolini, Laura","2012-01-01","WILEY-BLACKWELL","publication","","STATISTICS IN MEDICINE","","","5R01GM054438-03","Closed Access","-0.7395","0.0861","1","Approach based, Arm studies, Binary markers","Approach based, Arm studies, Binary markers",NA,NA,"1","",""
"10.1002/sim.5737","dedup_wf_001::78924570689ac007069979aec6d549e0","quasi-continuous endpoint","Dose-finding designs using a novel quasi-continuous endpoint for multiple?toxicities","Ezzalfani, Monia","2013-01-01","John Wiley & Sons","publication","","Statistics in Medicine","","The aim of a phase I oncology trial is to identify a dose with an acceptable safety profile. Most phase I designs use the dose-limiting toxicity, a binary endpoint, to assess the unacceptable level of toxicity. The dose-limiting toxicity might be incomplete for investigating molecularly targeted therapies as much useful toxicity information is discarded. In this work, we propose a quasi-continuous toxicity score, the total toxicity profile (TTP), to measure quantitatively and comprehensively the overall severity of multiple toxicities. We define the TTP as the Euclidean norm of the weights of toxicities experienced by a patient, where the weights reflect the relative clinical importance of each grade and toxicity type. We propose a dose-finding design, the quasi-likelihood continual reassessment method (CRM), incorporating the TTP score into the CRM, with a logistic model for the dose?toxicity relationship in a frequentist framework. Using simulations, we compared our design with three existing designs for quasi-continuous toxicity score (the Bayesian quasi-CRM with an empiric model and two nonparametric designs), all using the TTP score, under eight different scenarios. All designs using the TTP score to identify the recommended dose had good performance characteristics for most scenarios, with good overdosing control. For a sample size of 36, the percentage of correct selection for the quasi-likelihood CRM ranged from 80% to 90%, with similar results for the quasi-CRM design. These designs with TTP score present an appealing alternative to the conventional dose-finding designs, especially in the context of molecularly targeted agents.","261474","Open Access","0.7582","-0.0488","8","Article, Quasi continuous endpoint, Cumulative therapeutic benefit","Article, Quasi continuous endpoint, Cumulative therapeutic benefit",NA,NA,"11","",""
"10.1016/j.csda.2013.07.015","dedup_wf_001::9fab30266cf518930ce3dc86fbafeb86","distributed biomarkers;cut point;finding optimal","Finding the optimal cut-point for Gaussian and Gamma distributed biomarkers","Rota, Matteo","2014-01-01","ELSEVIER SCIENCE BV","publication","","Computational Statistics & Data Analysis","","","261474","Closed Access","-0.7217","0.2417","9","Optimal cut point, Distributed biomarkers","Optimal cut point, Distributed biomarkers",NA,NA,"7","",""
"10.1016/j.ebiom.2016.05.029","dedup_wf_001::a723ccd49440ae2603e6405ae72a4ebf","Wilms tumor","Intra-Tumor Genetic Heterogeneity in Wilms Tumor: Clonal Evolution and Clinical Implications","Cresswell, George D.","2016-05-01","Elsevier","publication","","EBioMedicine","","The evolution of pediatric solid tumors is poorly understood. There is conflicting evidence of intra-tumor genetic homogeneity vs. heterogeneity (ITGH) in a small number of studies in pediatric solid tumors. A number of copy number aberrations (CNA) are proposed as prognostic biomarkers to stratify patients, for example 1q?+ in Wilms tumor (WT); current clinical trials use only one sample per tumor to profile this genetic biomarker. We multisampled 20 WT cases and assessed genome-wide allele-specific CNA and loss of heterozygosity, and inferred tumor evolution, using Illumina CytoSNP12v2.1 arrays, a custom analysis pipeline, and the MEDICC algorithm. We found remarkable diversity of ITGH and evolutionary trajectories in WT. 1q?+ is heterogeneous in the majority of tumors with this change, with variable evolutionary timing. We estimate that at least three samples per tumor are needed to detect >?95% of cases with 1q?+. In contrast, somatic 11p15 LOH is uniformly an early event in WT development. We find evidence of two separate tumor origins in unilateral disease with divergent histology, and in bilateral WT. We also show subclonal changes related to differential response to chemotherapy. Rational trial design to include biomarkers in risk stratification requires tumor multisampling and reliable delineation of ITGH and tumor evolution.","270089","Open Access","0.495","-0.0426","10","Angeles cog, Classification proceedings, Cog liver","Angeles cog, Classification proceedings, Cog liver","5","26","7","",""
"10.1016/j.jcpo.2016.03.007","od_______322::cbc315f34d9dd30f77eefdf3938313c2","european;cancer;clinical","The SIOPE strategic plan: A European cancer plan for children and adolescents","Vassal, G.","2016-06-01","","publication","","","","Each year, more than 6000 young people in Europe die of cancer. There are more than 300,000 European childhood cancer survivors (in 2020, they will be nearly half a million): two-thirds of them have some late side effects of treatment, that are severe and impact on the daily life of half of those affected.
			Within the European Network for Cancer research in Children and Adolescents (ENCCA), SIOPE and the European paediatric haematology-oncology community have established a long-term sustainable Strategic Plan to increase the cure rate and the quality of survivorship for children and young people with cancer over the next ten years. The ultimate goal is to increase the disease- and late-effect- free survival after 10 years from the diagnosis, and beyond.

			Seven medical and scientific objectives have been set up to achieve these goals:
			1. Innovative treatments: to introduce safe and effective innovative treatments (i.e. new drugs, new technologies) into standard care;
			2. Precision cancer medicine: to use improved risk classification as well as biological characteristics of both the tumour and patient (such as molecular and immunological factors) to help guide decisions on which therapies to use;
			3. Tumour biology: to increase knowledge of tumour biology and speed up translation from basic research to clinical care to benefit patients;
			4. Equal access: to bring about equal access across Europe to standard care (in both diagnosis and treatment), expertise and clinical research;
			5. TYA: to address the specific needs of teenagers and young adults (TYA), in cooperation with adult oncology;
			6. Quality of survivorship: to address the consequences of cancer treatment such as long-term side effects, to better understand the genetic background/risk of an individual, and to improve quality of life of childhood cancer survivors;
			7. Causes of cancer: to understand the causes of paediatric cancers and to address prevention wherever possible.
			SIOPE will steer and coordinate the effective implementation of this Strategic Plan, together with the European Clinical Trial Groups (ECTGs) and the National Paediatric Haematology Oncology Societies (NAPHOS), in close cooperation with the parents, patients, and survivors’ advocates from the European Regional Committee of Childhood Cancer International (CCI).
			Cross-tumour platforms and projects will facilitate this implementation: a Clinical Trial Facilitating (CTF) platform to ease setting up of clinical trials within the new EU Clinical Trial Regulation, the PICORET (Population Improvement in Childhood cancer Outcomes through Research, Evaluation and Training) outcome research project to evaluate and monitor progress in childhood cancer survival and therapy effectiveness, the QUARTET (Quality and Excellence in Radiotherapy and Imaging for Children and Adolescents with Cancer across Europe in Clinical Trials) project for quality assurance in radiation therapy, ACCELERATE, the CDDF-SIOPE-ITCC multi-stakeholder platform to improve oncology drug development for children and adolescents, and the ‘Ethics and Social Science and Humanities’ project to address the ethical aspects related to paediatric cancer. An efficient IT infrastructure to support e-Health and research will be developed, and a European Reference Network for paediatric patients with cancer will be created to facilitate cross-border healthcare and access to expertise. The ‘Oncopolicy’ programme will ensure that the needs of young people are well taken into account into all EU policy initiatives in the field of health and research. Finally, the ‘Education and Training’ programme will ensure an adequate training to paediatric oncology health professionals.
			Partnerships will be strengthened with patients, parents and survivors’ advocates, adult oncologists as well as paediatric oncologists from other continents. ‘Intelligent and transparent’ public-private partnerships, recognizing the specificities of paediatric haematology-oncology, will be established with industry. The Strategic Plan’s projects and structures will be funded through European and national grants, as well as by charities and industry.
			In conclusion, as a result of several initiatives to involve all stakeholders and ensure that all their points of view would be taken into account in the document, this long-term sustainable Strategic Plan has achieved a broad consensus, and will serve as the 'European Cancer Plan for Children and Adolescents'.","261474","Open Access","-0.226","-0.3578","6","Cancer, European, Clinical","Cancer, European, Clinical","4","13","4","",""
"10.1016/j.jcpo.2016.03.007","od_______322::cbc315f34d9dd30f77eefdf3938313c2","european;cancer;clinical","The SIOPE strategic plan: A European cancer plan for children and adolescents","Vassal, G.","2016-06-01","","publication","","","","Each year, more than 6000 young people in Europe die of cancer. There are more than 300,000 European childhood cancer survivors (in 2020, they will be nearly half a million): two-thirds of them have some late side effects of treatment, that are severe and impact on the daily life of half of those affected.
			Within the European Network for Cancer research in Children and Adolescents (ENCCA), SIOPE and the European paediatric haematology-oncology community have established a long-term sustainable Strategic Plan to increase the cure rate and the quality of survivorship for children and young people with cancer over the next ten years. The ultimate goal is to increase the disease- and late-effect- free survival after 10 years from the diagnosis, and beyond.

			Seven medical and scientific objectives have been set up to achieve these goals:
			1. Innovative treatments: to introduce safe and effective innovative treatments (i.e. new drugs, new technologies) into standard care;
			2. Precision cancer medicine: to use improved risk classification as well as biological characteristics of both the tumour and patient (such as molecular and immunological factors) to help guide decisions on which therapies to use;
			3. Tumour biology: to increase knowledge of tumour biology and speed up translation from basic research to clinical care to benefit patients;
			4. Equal access: to bring about equal access across Europe to standard care (in both diagnosis and treatment), expertise and clinical research;
			5. TYA: to address the specific needs of teenagers and young adults (TYA), in cooperation with adult oncology;
			6. Quality of survivorship: to address the consequences of cancer treatment such as long-term side effects, to better understand the genetic background/risk of an individual, and to improve quality of life of childhood cancer survivors;
			7. Causes of cancer: to understand the causes of paediatric cancers and to address prevention wherever possible.
			SIOPE will steer and coordinate the effective implementation of this Strategic Plan, together with the European Clinical Trial Groups (ECTGs) and the National Paediatric Haematology Oncology Societies (NAPHOS), in close cooperation with the parents, patients, and survivors’ advocates from the European Regional Committee of Childhood Cancer International (CCI).
			Cross-tumour platforms and projects will facilitate this implementation: a Clinical Trial Facilitating (CTF) platform to ease setting up of clinical trials within the new EU Clinical Trial Regulation, the PICORET (Population Improvement in Childhood cancer Outcomes through Research, Evaluation and Training) outcome research project to evaluate and monitor progress in childhood cancer survival and therapy effectiveness, the QUARTET (Quality and Excellence in Radiotherapy and Imaging for Children and Adolescents with Cancer across Europe in Clinical Trials) project for quality assurance in radiation therapy, ACCELERATE, the CDDF-SIOPE-ITCC multi-stakeholder platform to improve oncology drug development for children and adolescents, and the ‘Ethics and Social Science and Humanities’ project to address the ethical aspects related to paediatric cancer. An efficient IT infrastructure to support e-Health and research will be developed, and a European Reference Network for paediatric patients with cancer will be created to facilitate cross-border healthcare and access to expertise. The ‘Oncopolicy’ programme will ensure that the needs of young people are well taken into account into all EU policy initiatives in the field of health and research. Finally, the ‘Education and Training’ programme will ensure an adequate training to paediatric oncology health professionals.
			Partnerships will be strengthened with patients, parents and survivors’ advocates, adult oncologists as well as paediatric oncologists from other continents. ‘Intelligent and transparent’ public-private partnerships, recognizing the specificities of paediatric haematology-oncology, will be established with industry. The Strategic Plan’s projects and structures will be funded through European and national grants, as well as by charities and industry.
			In conclusion, as a result of several initiatives to involve all stakeholders and ensure that all their points of view would be taken into account in the document, this long-term sustainable Strategic Plan has achieved a broad consensus, and will serve as the 'European Cancer Plan for Children and Adolescents'.","261474","Open Access","-0.226","-0.3578","6","Cancer, European, Clinical","Cancer, European, Clinical","4","13","4","",""
"10.1016/j.jcpo.2016.03.007","od_______322::187afede6cc3364aae3b53c6bb7d0c2f","cancer;european;young","The SIOPE strategic plan: a European cancer plan for children and adolescents","ENCCA Long-term Sustainability Working Group","2015-09-26","European Society for Paediatric Oncology (SIOPE)","publication","","","","Cancer in young people is rare, but it is still a major health issue in Europe. Each year, more than 6,000 young people in Europe die of cancer. There are more than 300,000 European childhood cancer survivors (in 2020, they will be nearly half a million): two-thirds of them have some late side effects of treatment, that are severe and impact on the daily life of half of those affected.
			Within the European Network for Cancer research in Children and Adolescents (ENCCA), SIOPE and the European paediatric haematology-oncology community have established a longterm sustainable Strategic Plan to increase the cure rate and the quality of survivorship for children and young people with cancer over the next ten years. The ultimate goal is to increase the disease- and late-effect- free survival after 10 years from the disease, and beyond.
			Seven medical and scientific objectives have been set up to achieve these goals:
			1. Innovative treatments: to introduce safe and effective innovative treatments (i.e. new drugs, new technologies) into standard care;
			2. Precision cancer medicine: to use improved risk classification as well as biological characteristics of both the tumour and patient (such as molecular and immunological factors) to help guide decisions on which therapies to use;
			3. Tumour biology: to increase knowledge of tumour biology and speed up translation from basic research to clinical care to benefit patients;
			4. Equal access: to bring about equal access across Europe to standard care (in both diagnosis and treatment), expertise and clinical research;
			5. TYA: to address the specific needs of teenagers and young adults (TYA), in cooperation with adult oncology;
			6. Quality of survivorship: to address the consequences of cancer treatment such as long-term side effects, to better understand the genetic background/risk of an individual, and to improve quality of life of childhood cancer survivors;
			7. Causes of cancer: to understand the causes of paediatric cancers and to address prevention wherever possible.","261474","Open Access","-0.2811","-0.3429","6","Cancer, European, Clinical","Cancer, European, Clinical","4","13","4","",""
