"doi","id","subject","title","authors","year","publisher","resulttype","language","journal","url","paper_abstract","project_id","accessright","x","y","area_uri","cluster_labels","area","citation_count","cited_by_tweeters_count","readers.mendeley","readers","file_hash"
"","dedup_wf_001::0fc6070f17ae706bf49f27bf2867522e","WSDL","Which service interfaces fit the model web?","Schade, Sven","2012-01-01","XPS","publication","","","http://publications.aston.ac.uk/16030/1/Which_Service_Interfaces_fit_the_Model_Web.pdf","Ponència presentada a The Fourth International Conference on Advanced Geographic Information Systems, Applications, and Services, GEOProcessing 2012, celebrat a València del 30 de gener al 4 de febrer de 2012
			The  Model  Web  has  been  proposed  as  a  concept  for  
			integrating     scientific     models
			     in     an     interoperable     and     
			collaborative manner. However, four years after the initial idea 
			was  formulated,  there  is  still  no  stable  long  term  solution.  
			Multiple  authors  propose  Web  
			Service  based  approaches  to  
			model  publication  and  chaining,  but  current  implementations  
			are highly case specific and lack 
			flexibility. This paper discusses 
			the  Web  Service  interfaces,  which  are  required  for  supporting  
			integrated environmental modeling in a sustainable manner. We 
			explore   ways   to   expose   environmental   models   and   their   
			components   using   Web   Service   interfaces.   Our   discussions   
			present  work  in  progress  for  establishing  the  Web  Services  
			technological  grounds  for  simp
			lifying  information  publication  
			and  exchange  within  the  Model  We
			b.  As  a  main  outcome,  this  
			contribution identifies challenges in respect to the required geo-
			processing  and  relates  them  to  currently  available  Web  Service  
			standards.","284898","Open Access","0.4816","0.2214","10","Wsdl","Wsdl",NA,NA,NA,"",""
"10.1007/978-3-642-22285-6_70","dedup_wf_001::1206b24e6ba60531ed3cf3ac01a8dce1","Requirements Analysis","Towards User Requirements for an Information System of the Integrated Rhine Programme","Usländer, Thomas","2011-06-27","Springer","publication","","","https://hal.inria.fr/hal-01569220/document","Part 6: Climate Services and Environmental Tools for Urban Planning and Climate Change Applications and Services; International audience; The Integrated Rhine Programme (IRP) is a strategic integrated measurement programme of the German federal state of Baden-Württemberg that aims at an improvement of flood control as well as the preservation and/or the restoration of the Upper Rhine plains. The implementation of the IRP shall be supported by an integrated and sustainable Information System for the IRP (IS-IRP) as an extension of the Environmental Information System of Baden-Württemberg. This paper describes how the analysis and design methodology SERVUS is applied to gather and document the functional and informational user requirements for the IS-IRP. SERVUS denotes a Design Methodology for Information Systems based upon Geospatial Service-oriented Architectures and the Modelling of Use Cases and Capabilities as Resources.","284898","Open Access","0.0482","-0.5164","8","Requirements analysis","Requirements analysis",0,NA,NA,"",""
"10.1007/978-3-642-41151-9_16","dedup_wf_001::4c8ae8eab1f78cfcef0897ceac27bdad","human sensors","Robust and Trusted Crowd-Sourcing and Crowd-Tasking in the Future Internet","Havlik, Denis","2013-10-09","Springer","publication","","","https://hal.inria.fr/hal-01457445/document","Part 2: Smart and Mobile Devices Used for Environmental Applications; International audience; A great majority of the EU citizens already owns a cellular phone. An increasing part of these phones are smartphones with a broadband internet connection. This growing network of smart internet enabled devices could act as a dense sensing network, as well as a tool for individual informing and tasking of mobile citizens and volunteers.In order to fully harvest this new resource, we need to understand its rules and develop adequate tools. This paper lists some of the peculiarities of ad-hoc volunteer networks supported by smartphones. It furthermore compares the capabilities and limitations of these networks with other means of observation gathering and activity coordination. This includes: (1) a reflection on the motivation for users participation; (2) human and technical limitations of smartphone-enabled volunteer networks; (3) legal and ethical challenges; (4) reliability and usability issues; as well as (5) issues related to trust and quality of information.The second part of the paper presents our experiences with design and prototypic development of the tools supporting volunteer efforts in the field of environmental monitoring, e-health and crisis management. This development is presented in a wider scope of the “Future Internet Public Private Partnership” research programme.Finally, the paper summarizes our findings and recommendations for further developments.","284898","Open Access","-0.4149","-0.4605","6","Human sensors","Human sensors",2,NA,NA,"",""
"10.1007/978-3-642-41151-9_65","dedup_wf_001::d68b93e27ee479bfe87ab2d712c138cd","[INFO] Computer Science [cs]","Environmental Infrastructures and Platforms with Citizens Observatories and Linked Open Data","Berre, Arne,","2013-10-09","Springer","publication","","","https://hal.inria.fr/hal-01457500/document","Part 9: Workshop ENVIP 2013, Environmental Information Systems and Services - Infrastructures and Platforms 2013; International audience; A number of past and current research and development projects aim to improve the sharing and use of environmental information. In 2010, the Environmental Infrastructures and Platforms (ENVIP) initiative was introduced as a means to identify the European potentials and specify common building blocks (‘services and enablers’) related to these projects. Work began with a set of projects supporting the Shared Environmental Information System (SEIS). This paper briefly summarizes the ongoing result collection and introduces the next wave of activities, which will follow two newly emerging trends: Citizens Observatories and Linked Open Data. We invite interested parties and project consortia to provide their contributions for future analysis and synergies through the CEN/TC287 TR 15449-2 Best practices registry and the ENVIP initiative.","284898","Open Access","-0.5025","0.1931","9","[info] computer science [cs]","[info] computer science [cs]",1,"1","8","",""
"10.1007/978-3-642-41151-9_7","dedup_wf_001::e7e7cc806c4dcc4e62e0f71dea691cb8","fusion","Data Fusion in the Environmental Domain","Schaaf, Hylke,","2013-10-09","Springer","publication","","","https://hal.inria.fr/hal-01457503/document","Part 1: Environmental Application in the Scope of the Future Internet; International audience; Air quality and air pollution have a very large impact on human health. The sensitivity to different pollutants varies per person, therefore it is important that citizens can get personalised air quality information. The Personal Environmental Information System (PEIS) aims at delivering just that. The PEIS takes sensor data from several data providers and employs a service-oriented architecture to deliver these observations to the user through a smartphone application. The PEIS also uses scientific models to fuse the sensor data and create new, derived observations. To make scientific models that fuse sensor data fit better in a service-oriented architecture, a software framework called Fusion4Decision was developed. This framework is based on Open Geospatial Consortium standards and allows scientific models written in languages like MATLAB or R to be available as a web service.","284898","Open Access","0.0045","0.3231","7","Fusion","Fusion",0,NA,"1","",""
"10.1007/978-3-642-41151-9_9","dedup_wf_001::2da61892780a366cef91804243e23b8f","[INFO] Computer Science [cs]","ENVIROFI - Bringing Biodiversity to the Future Internet","Schleidt, Katharina","2013-10-09","Springer","publication","","","https://hal.inria.fr/hal-01457505/document","Part 1: Environmental Application in the Scope of the Future Internet; International audience; In order to meet the requirements for observational biodiversity data, new sources of data must be enabled; for this purpose, new tools will be required. In order to effectively implement such tools, standardized building blocks such as the enablers defined by the FI will be very valuable. Thus, it is of utmost urgency that the requirements posed by the biodiversity sector are clearly structured and made available for implementation of environmental enablers within the FI. The ENVIROFI project has gone to great lengths so provide these requirements for various environmental domains; of specific relevant to this paper being the biodiversity domain. We hope to successfully contribute to the future of e-Environment in this manner.","284898","Open Access","-0.5229","-0.1312","2","[info] computer science [cs]","[info] computer science [cs]",0,NA,"2","",""
"10.1016/j.compenvurbsys.2013.06.001","ec_fp7_ict__::38492ba53dafda28775e8b7380b80498","environmental modelling; forest;forest trees","Seeing the forest through the trees: A review of integrated environmental modelling tools","Granell C.","2013-01-01","","publication","","Computers, Environment and Urban Systems","","","284898","Closed Access","0.5778","-0.0997","3","Integrated environmental modelling","Integrated environmental modelling",17,NA,NA,"",""
"10.1016/j.envsoft.2012.04.013","dedup_wf_001::6681d727ea3618ff47da6674b06fa7e1","Integrated environmental modelling (IEM)","Enhancing integrated environmental modelling by designing resource-oriented interfaces","Granell Canut, Carlos","2013-01-01","Elsevier","publication","","","","Integrated environmental modelling is gaining momentum for addressing grand scientific challenges such as monitoring the environment for change detection and forecasting environmental conditions along with the consequences for society. Such challenges can only be addressed by a multi-disciplinary approach, in which socio-economic, geospatial, and environmental information becomes inter-connected. However, existing solutions cannot be seamlessly integrated and current interaction paradigms prevent mainstream usage of the existing technology. In particular, it is still difficult to access and join harmonized data and processing algorithms that are provided by different environmental information infrastructures. In this paper we take a novel approach for integrated environmental modelling based on the notion of inter-linked resources on the Web. We present design practices for creating resource-oriented interfaces, driven by an interaction protocol built on the combination of valid linkages to enhance resource integration, accompanied by associated recommendations for implementation. The suggested resource-oriented approach provides a solution to the problems identified above, but still requires intense prototyping and experimentation. We discuss the central open issues and present a roadmap for future research.","284898","Open Access","0.251","-0.106","3","Integrated environmental modelling","Integrated environmental modelling",21,"8","74","",""
"10.1016/j.envsoft.2015.12.015","dedup_wf_001::bb7f5e36743f692cb8571f3f126c6905","environmental informatic","Future Internet technologies for environmental applications","GRANELL Carlos","2016-01-01","ELSEVIER SCI LTD","publication","","","","This paper investigates the usability of Future Internet technologies (aka “Generic Enablers of the Future Internet”) in the context of environmental applications. The paper incorporates the best aspects of the state-of-the-art in environmental informatics with geospatial solutions and scalable processing capabilities of Internet-based tools. It specifically targets the promotion of the “Environmental Observation Web” as an observation-centric paradigm for building the next generation of environmental applications. In the Environmental Observation Web, the great majority of data are considered as observations. These can be generated from sensors (hardware), numerical simulations (models), as well as by humans (human sensors). Independently from the observation provenance and application scope, data can be represented and processed in a standardised way in order to understand environmental processes and their interdependencies. The development of cross-domain applications is then leveraged by technologies such as Cloud Computing, Internet of Things, Big Data Processing and Analytics. For example, “the cloud” can satisfy the peak-performance needs of applications which may occasionally use large amounts of processing power at a fraction of the price of a dedicated server farm. The paper also addresses the need for Specific Enablers that connect mainstream Future Internet capabilities with sensor and geospatial technologies. Main categories of such Specific Enablers are described with an overall architectural approach for developing environmental applications and exemplar use cases.","284898","Open Access","-0.1958","-0.0226","1","Environmental informatic","Environmental informatic",17,"8","68","",""
"10.1080/17538947.2011.614698","dedup_wf_001::4fe665df245afa68dc982f984d5a26ac","data model;linked sensor;model linked","A RESTful proxy and data model for linked sensor data","Janowicz K.","2013-01-01","TAYLOR & FRANCIS LTD","publication","","International Journal of Digital Earth","","","223996","Closed Access","0.1944","0.6357","11","Data model, Linked sensor, Model linked","Data model, Linked sensor, Model linked",31,NA,NA,"",""
