"doi","id","subject","title","authors","year","publisher","resulttype","language","journal","url","paper_abstract","project_id","accessright","x","y","area_uri","cluster_labels","area","citation_count","readers.mendeley","cited_by_tweeters_count","readers","file_hash"
"","core_ac_uk__::d9813797e4c4929ed244118c7b1a150c","vision graph;adaptivity robustness","Improved adaptivity and robustness in decentralised multi-camera networks","Esterle, Lukas","2012-01-01","IEEE","publication","","","http://publications.aston.ac.uk/24912/1/esterle_et_al_icdsc_2012.pdf","In this paper we present increased adaptivity and robustness in distributed object tracking by multi-camera networks using a socio-economic mechanism for learning the vision graph. To build-up the vision graph autonomously within a distributed smart-camera network, we use an ant-colony inspired mechanism, which exchanges responsibility for tracking objects using Vickrey auctions. Employing the learnt vision graph allows the system to optimise its communication continuously. Since distributed smart camera networks are prone to uncertainties in individual cameras, such as failures or changes in extrinsic parameters, the vision graph should be sufficiently robust and adaptable during runtime to enable seamless tracking and optimised communication. To better reflect real smart-camera platforms and networks, we consider that communication and handover are not instantaneous, and that cameras may be added, removed or their properties changed during runtime. Using our dynamic socio-economic approach, the network is able to continue tracking objects well, despite all these uncertainties, and in some cases even with improved performance. This demonstrates the adaptivity and robustness of our approach.","257906","Open Access","0.5164","-0.2676","1","Vision graph, Camera networks, Distributed smart camera","Vision graph, Camera networks, Distributed smart camera",NA,NA,NA,"",""
"","dedup_wf_001::42f30e7a812e177b5af11f52271b462c","Computer Science - Software Engineering","The Handbook of Engineering Self-Aware and Self-Expressive Systems","Chen, Tao","2014-09-05","","publication","","","","When faced with the task of designing and implementing a new self-aware and self-expressive computing system, researchers and practitioners need a set of guidelines on how to use the concepts and foundations developed in the Engineering Proprioception in Computing Systems (EPiCS) project. This report provides such guidelines on how to design self-aware and self-expressive computing systems in a principled way. We have documented different categories of self-awareness and self-expression level using architectural patterns. We have also documented common architectural primitives, their possible candidate techniques and attributes for architecting self-aware and self-expressive systems. Drawing on the knowledge obtained from the previous investigations, we proposed a pattern driven methodology for engineering self-aware and self-expressive systems to assist in utilising the patterns and primitives during design. The methodology contains detailed guidance to make decisions with respect to the possible design alternatives, providing a systematic way to build self-aware and self-expressive systems. Then, we qualitatively and quantitatively evaluated the methodology using two case studies. The results reveal that our pattern driven methodology covers the main aspects of engineering self-aware and self-expressive systems, and that the resulted systems perform significantly better than the non-self-aware systems.","257906","Open Access","0.101","0.5605","4","Computing systems, Expressive systems, Simulation environment","Computing systems, Expressive systems, Simulation environment",NA,NA,NA,"",""
"","nora_uio__no::1727ac0f65a9583b917972faae1db771","control;funky sole;movement classification","Funky Sole Music: Gait Recognition and Adaptive Mapping","Nymoen, Kristian","2014-01-01","","publication","","","https://www.duo.uio.no/bitstream/handle/10852/39313/2/NIME-FunkySole.pdf","We present Funky Sole Music, a musical interface employing a sole embedded with three force sensitive resistors in combination with a novel algorithm for continuous movement classification. A heuristics-based music engine has been implemented, allowing users to control high-level parameters of the musical output. This provides a greater degree of control to users without musical expertise compared to what they get with traditional media playes. By using the movement classification result not as a direct control action in itself, but as a way to change mapping spaces and musical sections, the control possibilities offered by the simple interface are greatly increased.

			NIME’14, June 30 – July 03, 2014, Goldsmiths, University of London, UK.
			Copyright remains with the author(s).","257906","Open Access","-0.6912","-0.0971","8","Funky sole","Funky sole",NA,NA,NA,"",""
"","nora_uio__no::31efe9171731256053f7a11eb1146901","circulation;playing;solos","Enabling Participants to Play Rhythmic Solos Within a Group via Auctions","Chandra, Arjun","2012-01-01","","publication","","","https://www.duo.uio.no/bitstream/handle/10852/9105/1/Chandra_201281377.pdf","The paper presents the interactive music system SoloJam, which allows a group of participants with little or no musical training to effectively play together in a ``band-like'' setting. It allows the participants to take turns playing solos made up of rhythmic pattern sequences. We specify the issue at hand for allowing such participation as being the requirement of decentralised coherent circulation of playing solos. This is to be realised by some form of intelligence within the devices used for participation. Here we take inspiration from the Economic Sciences, and propose this intelligence to take the form of making devices possessing the capability of evaluating their utility of playing the next solo, the capability of holding auctions, and of bidding within them. We show that holding auctions and bidding within them enables decentralisation of co-ordinating solo circulation, and a properly designed utility function enables coherence in the musical output. The approach helps achieve decentralised coherent circulation with artificial agents simulating human participants. The effectiveness of the approach is further supported when human users participate. As a result, the approach is shown to be effective at enabling participants with little or no musical training to play together in SoloJam.","257906","Open Access","-0.4963","-0.1631","11","Circulation, Playing, Solos","Circulation, Playing, Solos",NA,NA,NA,"",""
"","nora_uio__no::429d683091786bd7f98a787a3bab19ce","ComputingMethodologies_ARTIFICIALINTELLIGENCE","PheroMusic: Navigating a Musical Space for Active Music Experiences","Nymoen, Kristian","2014-01-01","","publication","","","https://www.duo.uio.no/bitstream/handle/10852/41224/1/2014a.pdf","We consider the issue of how a flexible musical space can be manipulated by users of an active music system. The musical space is navigated within by selecting transitions between different sections of the space. We take inspiration from pheromone trails in ant colonies to propose and investigate an approach that allows an artificial agent to navigate such musical spaces in accordance with the preferences of the user, and a set of boundaries specified by the designer of the musical space.","257906","Open Access","-0.6736","0.0142","8","Funky sole","Funky sole",NA,NA,NA,"",""
"","nora_uio__no::28376a9654f3eb45d52ff6f7c503773a","motion;sound;features","Methods and Technologies for Analysing Links Between Musical Sound and Body Motion","Nymoen, Kristian","2013-01-01","","publication","","","https://www.duo.uio.no/bitstream/handle/10852/34354/1/dravhandling-nymoen.pdf","There are strong indications that musical sound and body motion are related. For instance, musical sound is often the result of body motion in the form of sound-producing actions, and muscial sound may lead to body motion such as dance. The research presented in this dissertation is focused on technologies and methods of studying lower-level features of motion, and how people relate motion to sound. Two experiments on so-called sound-tracing, meaning representation of perceptual sound features through body motion, have been carried out and analysed quantitatively. The motion of a number of participants has been recorded using stateof- the-art motion capture technologies. In order to determine the quality of the data that has been recorded, these technologies themselves are also a subject of research in this thesis.

			A toolbox for storing and streaming music-related data is presented. This toolbox allows synchronised recording of motion capture data from several systems, independently of systemspecific characteristics like data types or sampling rates.

			The thesis presents evaluations of four motion tracking systems used in research on musicrelated body motion. They include the Xsens motion capture suit, optical infrared marker-based systems from NaturalPoint and Qualisys, as well as the inertial sensors of an iPod Touch. These systems cover a range of motion tracking technologies, from state-of-the-art to low-cost and ubiquitous mobile devices. Weaknesses and strengths of the various systems are pointed out, with a focus on applications for music performance and analysis of music-related motion.

			The process of extracting features from motion data is discussed in the thesis, along with motion features used in analysis of sound-tracing experiments, including time-varying features and global features. Features for realtime use are also discussed related to the development of a new motion-based musical instrument: The SoundSaber.

			Finally, four papers on sound-tracing experiments present results and methods of analysing people’s bodily responses to short sound objects. These papers cover two experiments, presenting various analytical approaches. In the first experiment participants moved a rod in the air to mimic the sound qualities in the motion of the rod. In the second experiment the participants held two handles and a different selection of sound stimuli was used. In both experiments optical infrared marker-based motion capture technology was used to record the motion. The links between sound and motion were analysed using four approaches. (1) A pattern recognition classifier was trained to classify sound-tracings, and the performance of the classifier was analysed to search for similarity in motion patterns exhibited by participants. (2) Spearman’s p correlation was applied to analyse the correlation between individual sound and motion features. (3) Canonical correlation analysis was applied in order to analyse correlations between combinations of sound features and motion features in the sound-tracing experiments. (4) Traditional statistical tests were applied to compare sound-tracing strategies between a variety of sounds and participants differing in levels of musical training. Since the individual analysis methods provide different perspectives on the links between sound and motion, the use of several methods of analysis is recommended to obtain a broad understanding of how sound may evoke bodily responses.","257906","Open Access","-0.4892","0.3616","9","Motion, Sound","Motion, Sound",NA,NA,NA,"",""
"","nora_uio__no::842a11ca41b08e882a1687230b884a10","board;cui;sensor","Development and evaluation of a ZigFlea-based wireless transceiver board for CUI32","Tørresen, Jim","2012-01-01","","publication","","","https://www.duo.uio.no/bitstream/handle/10852/9097/1/Torresen_2012.pdf","We present a new wireless transceiver board for the CUI32 sensor interface, aimed at creating a solution that is flexible, reliable, and with little power consumption. Communication with the board is based on the ZigFlea protocol and it has been evaluated on a CUI32 using the StickOS oper- ating system. Experiments show that the total sensor data collection time is linearly increasing with the number of sensor samples used. A data rate of 0.8 kbit/s is achieved for wirelessly transmitting three axes of a 3D accelerometer. Although this data rate is low compared to other systems, our solution benefits from ease-of-use and stability, and is useful for applications that are not time-critical.

			Proceedings of the 12th International Conference on New Interfaces for Musical Expression.
			University of Michigan Press 2012 ISBN 978-0-9855720-1-3.","257906","Open Access","-0.2343","0.4917","2","Based motion capture, Infrared marker based, Marker based motion","Based motion capture, Infrared marker based, Marker based motion",NA,NA,NA,"",""
"","nora_uio__no::53ad83a27f88a3323129e26a2c394123","ComputingMethodologies_IMAGEPROCESSINGANDCOMPUTERVISION","Comparing Motion Data from an iPod Touch to a High-End Optical Infrared Marker-Based Motion Capture System","Nymoen, Kristian","2012-01-01","","publication","","","https://www.duo.uio.no/bitstream/handle/10852/9094/1/knNIME2012.pdf","The paper presents an analysis of the quality of motion data from an iPod Touch (4th gen.). Acceleration and orientation data derived from internal sensors of an iPod is compared to data from a high end optical infrared marker-based motion capture system (Qualisys) in terms of latency, jitter, accuracy and precision. We identify some rotational drift in the iPod, and some time lag between the two systems. Still, the iPod motion data is quite reliable, especially for describing relative motion over a short period of time.

			Proceedings of the 12th International Conference on New Interfaces for Musical Expression. 
			University of Michigan Press 2012 ISBN 978-0-9855720-1-3. s. 88-91","257906","Open Access","-0.383","0.5525","2","Based motion capture, Infrared marker based, Marker based motion","Based motion capture, Infrared marker based, Marker based motion",NA,NA,NA,"",""
"10.1007/978-3-642-31980-8_11","nora_uio__no::4cb4cb4975bd53eb5808fa5d534f4524","sounds;motion","A Statistical Approach to Analyzing Sound Tracings","Nymoen, Kristian","2012-01-01","","publication","","","https://www.duo.uio.no/bitstream/handle/10852/9102/1/knST2-LNCS.pdf","This paper presents an experiment on sound tracing, meaning an experiment on how people relate motion to sound. 38 participants were presented with 18 short sounds, and instructed to move their hands in the air while acting as though the sound was created by their hand motion. The hand motion of the participants was recorded, and has been analyzed using statistical tests, comparing results between different sounds, between different subjects, and between different sound classes. We have identified several relationships between sound and motion which are present in the majority of the subjects. A clear distinction was found in onset acceleration for motion to sounds with an impulsive dynamic envelope compared to non-impulsive sounds. Furthermore, vertical movement has been shown to be related to sound frequency, both in terms of spectral centroid and pitch. Moreover, a significantly higher amount of overall acceleration was observed for non-pitched sounds as compared to pitched sounds.

			The original publication is available at www.springerlink.com.
			Lecture Notes in Computer Science, 2012, Volume 7172/2012, 120-145.","257906","Open Access","-0.6135","0.389","9","Motion, Sound","Motion, Sound","0",NA,NA,"",""
"10.1007/s11554-011-0212-y","dedup_wf_001::2aada8de58aaadbd2d933928c7cf2d66","adaptive heterogeneous;architecture embedded;core architecture","A self-adaptive heterogeneous multi-core architecture for embedded real-time video object tracking","Happe, Markus","2013-01-01","SPRINGER HEIDELBERG","publication","","JOURNAL OF REAL-TIME IMAGE PROCESSING","","","257906","Closed Access","0.0646","-0.7195","13","Adaptive heterogeneous, Architecture embedded, Core architecture","Adaptive heterogeneous, Architecture embedded, Core architecture","16",NA,NA,"",""
