"doi","id","subject","title","authors","year","publisher","resulttype","language","journal","url","paper_abstract","project_id","accessright","x","y","area_uri","cluster_labels","area","cited_by_tweeters_count","readers.mendeley","citation_count","readers","file_hash"
"10.1002/cpt.362","od_______908::cb2428a8c8016bde9116d8b3c82e3920","Clinical Trial","Pilot PET Study to Assess the Functional Interplay Between ABCB1 and ABCG2 at the Human Blood?Brain Barrier","Bauer, M","2016-05-01","John Wiley and Sons Inc.","publication","","Clinical Pharmacology and Therapeutics","","ABCB1 and ABCG2 work together at the blood?brain barrier (BBB) to limit brain distribution of dual ABCB1/ABCG2 substrates. In this pilot study we used positron emission tomography (PET) to assess brain distribution of two model ABCB1/ABCG2 substrates ([11C]elacridar and [11C]tariquidar) in healthy subjects without (c.421CC) or with (c.421CA) the ABCG2 single?nucleotide polymorphism (SNP) c.421C>A. Subjects underwent PET scans under conditions when ABCB1 and ABCG2 were functional and during ABCB1 inhibition with high?dose tariquidar. In contrast to the ABCB1?selective substrate (R)?[11C]verapamil, [11C]elacridar and [11C]tariquidar showed only moderate increases in brain distribution during ABCB1 inhibition. This provides evidence for a functional interplay between ABCB1 and ABCG2 at the human BBB and suggests that both ABCB1 and ABCG2 need to be inhibited to achieve substantial increases in brain distribution of dual ABCB1/ABCG2 substrates. During ABCB1 inhibition c.421CA subjects had significantly higher increases in [11C]tariquidar brain distribution than c.421CC subjects, pointing to impaired cerebral ABCG2 function.","KLI 480","Open Access","0.1312","0.5256","12","Glycoprotein function, Human blood brain, Pet study","Glycoprotein function, Human blood brain, Pet study","1","19","10","",""
"10.1002/jlcr.2993","dedup_wf_001::df9ca5bdf3db483db95943bb946fc00a","drug efflux;efflux proteins;glycoprotein drug","Radioligands targeting P-glycoprotein and other drug efflux proteins at the blood-brain barrier","Wanek, Thomas","2013-01-01","WILEY-BLACKWELL","publication","","Journal of Labelled Compounds and Radiopharmaceuticals","","","201380","Closed Access","-0.5321","-0.1232","8","Cns efflux drug, Altered gaba, Barrier transport","Cns efflux drug, Altered gaba, Barrier transport",NA,NA,"22","",""
"10.1007/s00228-009-0709-5","dedup_wf_001::32337af3f383314d12ac2e97ee00798d","Blood-brain barrier","Age dependency of cerebral P-gp function measured with (R)-[11C]verapamil and PET","Bauer, Martin","2009-08-05","SPRINGER HEIDELBERG","publication","","EUROPEAN JOURNAL OF CLINICAL PHARMACOLOGY","https://hal.archives-ouvertes.fr/hal-00534987/document","Abstract
			        
			          Purpose
			          The aim of this study was to assess the influence of age on the functional activity of the multidrug efflux transporter P-glycoprotein (P-gp) at the human blood-brain barrier.
			        
			        
			          Methods
			          Seven young (mean age: 27???4 years) and six elderly (mean age: 69???9 years) healthy volunteers underwent dynamic (R)-[11C]verapamil (VPM) positron emission tomography (PET) scans and arterial blood sampling. Parametric distribution volume (DV) images were generated using Logan linearisation, and age groups were compared with statistical parametric mapping (SPM). Brain regions that SPM analysis had shown to be most affected by age were analysed by a region of interest (ROI)-based approach using a maximum probability brain atlas, before and after partial volume correction (PVC).
			        
			        
			          Results
			          SPM analysis revealed significant clusters of DV increases in cerebellum, temporal and frontal lobe of elderly compared to younger subjects. In the ROI-based analysis, elderly subjects showed significant DV increases in amygdala (+30%), insula (+26%) and cerebellum (+25%) before PVC, and in insula (+33%) after PVC.
			        
			        
			          Conclusions
			          Increased VPM DV values in the brains of elderly subjects suggest a decrease in cerebral P-gp function with increasing age.
			phone: +43-1-404002981 (Langer,  Oliver)
			oliver.langer@meduniwien.ac.at (Langer,  Oliver)
			Department of Clinical Pharmacology, Medical University of Vienna - Vienna - AUSTRIA (Bauer,  Martin)
			Department of Medical Computer Sciences, Medical University of Vienna - Vienna - AUSTRIA (Karch,  Rudolf)
			Department of Medical Computer Sciences, Medical University of Vienna - Vienna - AUSTRIA (Neumann,  Friederike)
			Department of Clinical Pharmacology, Medical University of Vienna - Vienna - AUSTRIA (Abrahim,  Aiman)
			Department of Clinical Pharmacology, Medical University of Vienna - Vienna - AUSTRIA (Wagner,  Claudia C.)
			Department of Nuclear Medicine, Medical University of Vienna - Vienna - AUSTRIA (Kletter,  Kurt)
			Department of Clinical Pharmacology, Medical University of Vienna - Vienna - AUSTRIA (Muller,  Markus)
			Department of Clinical Pharmacology, Medical University of Vienna - Vienna - AUSTRIA (Zeitlinger,  Markus)
			Department of Clinical Pharmacology, Medical University of Vienna - Vienna - AUSTRIA (Langer,  Oliver)
			Molecular Medicine, AIT Austrian Institute of Technology GmbH - Seibersdorf - AUSTRIA (Langer,  Oliver)
			Department of Clinical Pharmacology, Division of Pharmacogenetics and Imaging, Medical University of Vienna - Wahringer-Gurtel 18-20 - 1090 - Vienna - AUSTRIA (Langer,  Oliver)
			AUSTRIA
			Registration: 2009-07-22
			Received: 2009-03-11
			Accepted: 2009-07-21
			ePublished: 2009-08-05","201380","Open Access","0.5993","0.001","12","Glycoprotein function, Human blood brain, Pet study","Glycoprotein function, Human blood brain, Pet study",NA,NA,"29","",""
"10.1007/s00259-009-1332-5","dedup_wf_001::153be7b8ebcfecfa05c0534eb661f1a8","Article","Dose-response assessment of tariquidar and elacridar and regional quantification of P-glycoprotein inhibition at the rat blood-brain barrier using (R)-[11C]verapamil PET","Kuntner, Claudia","2010-01-01","SPRINGER","publication","","European Journal of Nuclear Medicine and Molecular Imaging","","","201380","Open Access","-0.2948","0.3284","4","Dose response assessment, Assessment of tariquidar, Verapamil pet","Dose response assessment, Assessment of tariquidar, Verapamil pet",NA,NA,"55","",""
"10.1007/s00259-011-1941-7","dedup_wf_001::160cef220aabcd9a729029005d97ab83","Article","A comparative small-animal PET evaluation of [11C]tariquidar, [11C]elacridar and (R)-[11C]verapamil for detection of P-glycoprotein expressing murine breast cancer","Wanek, Thomas","2011-10-08","SPRINGER","publication","","EUROPEAN JOURNAL OF NUCLEAR MEDICINE AND MOLECULAR IMAGING","","","201380","Open Access","-0.3337","0.6287","7","Small animal pet, Pet microdosing study, Animal pet evaluation","Small animal pet, Pet microdosing study, Animal pet evaluation",NA,NA,"12","",""
"10.1007/s11307-012-0556-0","dedup_wf_001::0768109ac265df4e1534d8e6bcd15bce","Research Article","P-Glycoprotein Function at the Blood-Brain Barrier: Effects of Age and Gender","van Assema, Danielle M. E.","2012-01-01","SPRINGER","publication","","MOLECULAR IMAGING AND BIOLOGY","","Purpose P-glycoprotein (Pgp) is an efflux transporter involved in transport of several compounds across the blood–brain barrier (BBB). Loss of Pgp function with increasing age may be involved in the development of age-related disorders, but this may differ between males and females. Pgp function can be quantified in vivo using (R)-[11C]verapamil and positron emission tomography. The purpose of this study was to assess global and regional effects of both age and gender on BBB Pgp function. Procedures Thirty-five healthy men and women in three different age groups were included. Sixty minutes dynamic (R)-[11C]verapamil scans with metabolite-corrected arterial plasma input curves were acquired. Grey matter time–activity curves were fitted to a validated constrained two-tissue compartment plasma input model, providing the volume of distribution (V T) of (R)-[11C]verapamil as outcome measure. Results Increased V T of (R)-[11C]verapamil with aging was found in several large brain regions in men. Young and elderly women showed comparable V T values. Young women had higher V T compared with young men. Conclusions Decreased BBB Pgp is found with aging; however, effects of age on BBB Pgp function differ between men and women.","201380","Open Access","0.3062","-0.0253","12","Glycoprotein function, Human blood brain, Pet study","Glycoprotein function, Human blood brain, Pet study","1","51","31","",""
"10.1007/s11307-015-0921-x","dedup_wf_001::06c9618b7040cf6c9ba67138fc5fd64f","High-resolution research tomograph (HRRT)","Impact of New Scatter Correction Strategies on High-Resolution Research Tomograph Brain PET Studies","Mansor, Syahir","2016-08-01","Springer US","publication","","Molecular Imaging and Biology","https://pure.rug.nl/ws/files/40598865/Impact_of_New_Scatter_Correction_Strategies_on_High_Resolution_Research_Tomograph_Brain_PET_Studies.pdf","Purpose The aim of this study is to evaluate the impact of different scatter correction strategies on quantification of high-resolution research tomograph (HRRT) data for three tracers covering a wide range in kinetic profiles. Procedures Healthy subjects received dynamic HRRT scans using either (R)-[11C]verapamil (n?=?5), [11C]raclopride (n?=?5) or [11C]flumazenil (n?=?5). To reduce the effects of patient motion on scatter scaling factors, a margin in the attenuation correction factor (ACF) sinogram was applied prior to 2D or 3D single scatter simulation (SSS). Results Some (R)-[11C]verapamil studies showed prominent artefacts that disappeared with an ACF-margin of 10?mm or more. Use of 3D SSS for (R)-[11C]verapamil showed a statistically significant increase in volume of distribution compared with 2D SSS (p?<?0.05), but not for [11C]raclopride and [11C]flumazenil studies (p?>?0.05). Conclusions When there is a patient motion-induced mismatch between transmission and emission scans, applying an ACF-margin resulted in more reliable scatter scaling factors but did not change (and/or deteriorate) quantification.","201380","Open Access","0.6506","0.2542","6","Attenuation correction, Scatter correction","Attenuation correction, Scatter correction",NA,NA,"0","",""
"10.1016/j.addr.2010.09.011","dedup_wf_001::ee67815c106a9e209273546d62a49f0f","Article","Approaches using molecular imaging technology — use of PET in clinical microdose studies","Wagner, Claudia C.","2011-01-01","ELSEVIER SCIENCE BV","publication","","Advanced Drug Delivery Reviews","","Positron emission tomography (PET) imaging uses minute amounts of radiolabeled drug tracers and thereby meets the criteria for clinical microdose studies. The advantage of PET, when compared to other analytical methods used in microdose studies, is that the pharmacokinetics (PK) of a drug can be determined in the tissue targeted for drug treatment. PET microdosing already offers interesting applications in clinical oncology and in the development of central nervous system pharmaceuticals and is extending its range of application to many other fields of pharmaceutical medicine. Although requirements for preclinical safety testing for microdose studies have been cut down by regulatory authorities, radiopharmaceuticals increasingly need to be produced under good manufacturing practice (GMP) conditions, which increases the costs of PET microdosing studies. Further challenges in PET microdosing include combining PET with other ultrasensitive analytical methods, such as accelerator mass spectrometry (AMS), to gain plasma PK data of drugs, beyond the short PET examination periods. Finally, conducting clinical PET studies with radiolabeled drugs both at micro- and therapeutic doses is encouraged to answer the question of dose linearity in clinical microdosing.","201380","Open Access","0.0962","0.6691","7","Small animal pet, Pet microdosing study, Animal pet evaluation","Small animal pet, Pet microdosing study, Animal pet evaluation",NA,NA,"56","",""
"10.1016/j.addr.2011.12.007","dedup_wf_001::aac39365d333b0fdc39e3e094dcf8bfd","cns efflux;efflux drug","Role of CNS efflux drug transporters in antiepileptic drug delivery: Overcoming CNS efflux drug transport","Potschka, Heidrun","2012-01-01","ELSEVIER SCIENCE BV","publication","","ADVANCED DRUG DELIVERY REVIEWS","","","201380","Closed Access","-0.1346","-0.698","8","Cns efflux drug, Altered gaba, Barrier transport","Cns efflux drug, Altered gaba, Barrier transport",NA,NA,"38","",""
"10.1016/j.bbrc.2011.04.043","dedup_wf_001::75ecbb28d0cbb7aa460523b4eb881485","abt abt;abt substrates;bcl inhibitors","The B-cell lymphoma 2 (BCL2)-inhibitors, ABT-737 and ABT-263, are substrates for P-glycoprotein","Vogler, Meike","2011-01-01","ACADEMIC PRESS INC ELSEVIER SCIENCE","publication","","BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS","","","201380","Closed Access","-0.616","-0.3985","15","Bcl inhibitors, Cancer chemotherapy, Central neurotoxicity","Bcl inhibitors, Cancer chemotherapy, Central neurotoxicity",NA,NA,"10","",""
