"doi","id","subject","title","authors","year","publisher","resulttype","language","journal","url","paper_abstract","project_id","accessright","x","y","area_uri","cluster_labels","area","cited_by_tweeters_count","readers.mendeley","citation_count","readers","file_hash"
"","core_ac_uk__::22f20fbc3934ad8ca9a8018fc03f1a9d","feature;multispectral iris;recognition","On fusion for multispectral iris recognition","Wild, Peter","2015-05-19","","publication","","","http://centaur.reading.ac.uk/48396/1/ICB_fusion.pdf","Multispectral iris recognition uses information from multiple bands of the electromagnetic spectrum to better represent certain physiological characteristics of the iris texture and enhance obtained recognition accuracy. This paper addresses the questions of single versus cross spectral performance and compares score-level fusion accuracy for different feature types, combining different wavelengths to overcome limitations in less constrained recording environments. Further it is investigated whether Doddington's “goats” (users who are particularly difficult to recognize) in one spectrum also extend to other spectra. Focusing on the question of feature stability at different wavelengths, this work uses manual ground truth segmentation, avoiding bias by segmentation impact. Experiments on the public UTIRIS multispectral iris dataset using 4 feature extraction techniques reveal a significant enhancement when combining NIR + Red for 2-channel and NIR + Red + Blue for 3-channel fusion, across different feature types. Selective feature-level fusion is investigated and shown to improve overall and especially cross-spectral performance without increasing the overall length of the iris code.","312583","Open Access","-0.3401","0.4746","3","Feature, Multispectral iris, Recognition","Feature, Multispectral iris, Recognition",NA,NA,NA,"",""
"","core_ac_uk__::f80ede4f3b288d7c6506ba3881d1d192","Data_MISCELLANEOUS","Biometrics in ABC: counter-spoofing research","Wei, Hong","2013-01-01","","publication","","","http://centaur.reading.ac.uk/36547/1/paper-biometrics%20ABC-final%20version.pdf","Automated border control (ABC) is concerned with fast and secure processing for intelligence-led identification. The \ud FastPass project aims to build a harmonised, modular reference system for future European ABC. When biometrics is taken on \ud board as identity, spoofing attacks become a concern. This paper presents current research in algorithm development for \ud counter-spoofing attacks in biometrics. Focussing on three biometric traits, face, fingerprint, and iris, it examines possible types \ud of spoofing attacks, and reviews existing algorithms reported in relevant academic papers in the area of countering measures to \ud biometric spoofing attacks. It indicates that the new developing trend is fusion of multiple biometrics against spoofing attacks.","312583","Open Access","-0.2171","-0.4604","2","Data miscellaneous","Data miscellaneous",NA,NA,NA,"",""
"10.1016/j.patcog.2015.08.007","dedup_wf_001::e947bde1f9ae65336828bd9dc0ab5e74","ComputerSystemsOrganization_COMPUTER-COMMUNICATIONNETWORKS","Robust multimodal face and fingerprint fusion in the presence of spoofing attacks","Wild, Peter","2016-02-01","Elsevier","publication","","Pattern Recognition","http://centaur.reading.ac.uk/48392/8/1-s2.0-S0031320315002952-main.pdf","Anti-spoofing is attracting growing interest in biometrics, considering the variety of fake materials and new means to attack biometric recognition systems. New unseen materials continuously challenge state-of-the-art spoofing detectors, suggesting for additional systematic approaches to target anti-spoofing. By incorporating liveness scores into the biometric fusion process, recognition accuracy can be enhanced, but traditional sum-rule based fusion algorithms are known to be highly sensitive to single spoofed instances. This paper investigates 1-median filtering as a spoofing-resistant generalised alternative to the sum-rule targeting the problem of partial multibiometric spoofing where m out of n biometric sources to be combined are attacked. Augmenting previous work, this paper investigates the dynamic detection and rejection of livenessrecognition pair outliers for spoofed samples in true multi-modal configuration with its inherent challenge of normalisation. As a further contribution, bootstrap aggregating (bagging) classifiers for fingerprint spoof-detection algorithm is presented. Experiments on the latest face video databases (Idiap Replay- Attack Database and CASIA Face Anti-Spoofing Database), and fingerprint spoofing database (Fingerprint Liveness Detection Competition 2013) illustrate the efficiency of proposed techniques.","312583","Open Access","-0.3667","-0.2232","6","Computersystemsorganization computer-communicationnetworks","Computersystemsorganization computer-communicationnetworks","2","39","10","",""
"10.1109/biosig.2016.7736915","core_ac_uk__::92bdd3275d2a2b54768efe0f2d6e75d2","ComputingMethodologies_PATTERNRECOGNITION","Cross-eyed - cross-spectral iris/periocular recognition database and competition","Sequeira, Ana","2016-11-07","","publication","","","http://centaur.reading.ac.uk/68957/1/07736915.pdf","This work presents a novel dual-spectrum database containing both iris and periocular images synchronously captured from a distance and within a realistic indoor environment. This database was used in the 1st Cross-Spectrum Iris/Periocular Recognition Competition (Cross-Eyed 2016). This competition aimed at recording recent advances in cross- spectrum iris and periocular recognition. Six submissions were evaluated for cross-spectrum periocular recognition, and three for iris recognition. The submitted algorithms are briefly introduced. Detailed results are reported in this paper, and comparison of the results is discussed.","312583","Open Access","0.1042","0.6364","8","Computingmethodologies patternrecognition","Computingmethodologies patternrecognition",NA,NA,"5","",""
"10.1109/btas.2014.6996293","core_ac_uk__::5089d03a8609deff88b9af4adc35e77a","detection;resistant;fusion","Towards anomaly detection for increased security in multibiometric systems: spoofing-resistant 1-median fusion eliminating outliers","Wild, Peter","2014-09-29","","publication","","","http://centaur.reading.ac.uk/48397/1/IJCB_AnomalyDetection.pdf","Multibiometrics aims at improving biometric security in presence of spoofing attempts, but exposes a larger availability of points of attack. Standard fusion rules have been shown to be highly sensitive to spoofing attempts – even in case of a single fake instance only. This paper presents a novel spoofing-resistant fusion scheme proposing the detection and elimination of anomalous fusion input in an ensemble of evidence with liveness information. This approach aims at making multibiometric systems more resistant to presentation attacks by modeling the typical behaviour of human surveillance operators detecting anomalies as employed in many decision support systems. It is shown to improve security, while retaining the high accuracy level of standard fusion approaches on the latest Fingerprint Liveness Detection Competition (LivDet) 2013 dataset.","312583","Open Access","-0.5808","-0.1195","1","Detection, Resistant, Fusion","Detection, Resistant, Fusion",NA,NA,"3","",""
"10.1109/btas.2015.7358746","core_ac_uk__::389a6a5673f4419fef8fdb0683b978ac","ComputingMethodologies_IMAGEPROCESSINGANDCOMPUTERVISION","A robust sclera segmentation algorithm","Radu, Petru","2015-09-08","","publication","","","http://centaur.reading.ac.uk/47437/1/BTAS2015_Sclera_Segmentation_final.pdf","Sclera segmentation is shown to be of significant importance for eye and iris biometrics. However, sclera segmentation has not been extensively researched as a separate topic, but mainly summarized as a component of a broader task. This paper proposes a novel sclera segmentation algorithm for colour images which operates at pixel-level. Exploring various colour spaces, the proposed approach is robust to image noise and different gaze directions. The algorithm’s robustness is enhanced by a two-stage classifier. At the first stage, a set of simple classifiers is employed, while at the second stage, a neural network classifier operates on the probabilities’ space generated by the classifiers at stage 1. The proposed method was ranked the 1st in Sclera Segmentation Benchmarking Competition 2015, part of BTAS 2015, with a precision of 95.05% corresponding to a recall of 94.56%.","312583","Open Access","0.4692","0.3496","5","Computingmethodologies imageprocessingandcomputervision","Computingmethodologies imageprocessingandcomputervision",NA,NA,"2","",""
"10.1109/tgrs.2016.2550623","dedup_wf_001::6d3bec6de2cd1f84559183e69e3b1bbc","laie;canopy;estimates","CHP toolkit:case study of LAIe sensitivity to discontinuity of canopy cover in fruit plantations","Fieber, Karolina D.","2016-09-01","IEEE Geoscience and Remote Sensing Society","publication","","","http://centaur.reading.ac.uk/65601/7/07486009.pdf","This paper presents an open-source canopy height profile (CHP) toolkit designed for processing small-footprint full-waveform LiDAR data to obtain the estimates of effective leaf area index (LAIe) and CHPs. The use of the toolkit is presented with a case study of LAIe estimation in discontinuous-canopy fruit plantations. The experiments are carried out in two study areas, namely, orange and almond plantations, with different percentages of canopy cover (48% and 40%, respectively). For comparison, two commonly used discrete-point LAIe estimation methods are also tested. The LiDAR LAIe values are first computed for each of the sites and each method as a whole, providing “apparent” site-level LAIe, which disregards the discontinuity of the plantations' canopies. Since the toolkit allows for the calculation of the study area LAIe at different spatial scales, between-tree-level clumping can be easily accounted for and is then used to illustrate the impact of the discontinuity of canopy cover on LAIe retrieval. The LiDAR LAIe estimates are therefore computed at smaller scales as a mean of LAIe in various grid-cell sizes, providing estimates of “actual” site-level LAIe. Subsequently, the LiDAR LAIe results are compared with theoretical models of “apparent” LAIe versus “actual” LAIe, based on known percent canopy cover in each site. The comparison of those models to LiDAR LAIe derived from the smallest grid-cell sizes against the estimates of LAIe for the whole site has shown that the LAIe estimates obtained from the CHP toolkit provided values that are closest to those of theoretical models.","FS100100040","Open Access","0.723","-0.0644","10","Canopy, Estimates, Laie","Canopy, Estimates, Laie",NA,NA,"0","",""
"10.1145/2619239.2626309","od_______610::c4f371ba49ada9e1d487dd2fbced45e2","borders;control;abc","Automated border control with a harmonized modular reference system - experiences in the EU research project FastPass","Grasemann, Gunther","2016-01-01","","publication","","","","The increasing amount of travelers crossing the EU borders as well as Illegal border crossing with sophisticated spoofing methods forces the authorities to implement new solutions for the control process. In order to achieve higher control rates and to increase security and objectivity in the process, the borders of the EU have been supported by automated border control systems (ABC) during the last years. The FP 7 EU project \"FastPass\" defines a European reference architecture for ABC systems relating to air, sea and land borders. The main objectives are lower cost, higher security for the border guards and increased acceptance for the travelers, authorities, politicians and the public. The FastPass consortium is a balanced mixture from industry, research and authorities/users of ABC systems with 27 partners from 9 countries (Austria, Germany, Finland, UK etc. like the Austrian AIT (coordinator), the Finish VTT and the German Fraunhofer Society. The main objectives are derived from the following motivating challenges: increased passenger flows, increased spoofing attacks, increased security requirements. They are higher process speeds, anti-spoofing measures, system risk assessment, harmonization, variety in usage, better usability and acceptance.","312583","Open Access","0.138","-0.6132","4","Abc, Borders, Control","Abc, Borders, Control",NA,NA,"43","",""
"10.1186/s13635-016-0048-x","dedup_wf_001::6eb12e5e42187b93cbffcd2ebec75262","Fusion","Quality-based iris segmentation-level fusion","Wild, Peter","2016-10-26","Springer","publication","","","http://centaur.reading.ac.uk/68950/1/art%253A10.1186%252Fs13635-016-0048-x.pdf","Iris localisation and segmentation are challenging and critical tasks in iris biometric recognition. Especially in non-cooperative and less ideal environments, their impact on overall system performance has been identified as a major issue. In order to avoid a propagation of system errors along the processing chain, this paper investigates iris fusion at segmentation-level prior to feature extraction and presents a framework for this task. A novel intelligent reference method for iris segmentation-level fusion is presented, which uses a learning-based approach predicting ground truth segmentation performance from quality indicators and model-based fusion to create combined\ud boundaries. The new technique is analysed with regard to its capability to combine segmentation results (pupillary\ud and limbic boundaries) of multiple segmentation algorithms. Results are validated on pairwise combinations of four open source iris segmentation algorithms with regard to the public CASIA and IITD iris databases illustrating the high versatility of the proposed method.","312583","Open Access","-0.0482","0.2663","9","Computingmethodologies imageprocessingandcomputervision, Fusion","Computingmethodologies imageprocessingandcomputervision, Fusion",NA,NA,"0","",""
"10.2139/ssrn.2432461","od_______610::a5661eae0f4f492d0bf84f3c79e5649b","automated border control","Automated border control: A comparative usability study at two european airports","Oostveen, A.-M.","2014-01-01","","publication","","","","Throughout Europe airports are increasingly installing automated border control (ABC) technologies as they are expected to improve security, streamline the traveling process, and facilitate better passenger experience. Although these e-gates have been in use for years, they are still underutilized by travellers. This might be partly due to problems with the systems’ usability. This paper presents a usability analysis of ABC e-gates at two large North-European international airports and compares their ease of use. Our study shows that there is scope for a better designed, standardized system with a more intuitive interface.","312583","Open Access","0.388","-0.4912","7","Automated border control","Automated border control",NA,NA,"3","",""
