"doi","id","subject","title","authors","year","publisher","resulttype","language","journal","url","paper_abstract","project_id","accessright","x","y","area_uri","cluster_labels","area","citation_count","cited_by_tweeters_count","readers.mendeley","readers","file_hash"
"","od______1582::bff8e0e38ef31f3be4808038f7bacf85","Informatique (Sciences cognitives)","LAI remote sensing products and simulated LAI: an intercomparison over FRANCE","Zhao, Yang","2010-01-01","","publication","","","","The leaf area index (LAI) is an important vegetation variable. It is a good measure of the amount of active vegetation and it is linked to canopy conductance, water and carbon fluxes at the interface between the atmosphere and the vegetation. In this study, we compare four different estimates of LAI over France: two LAI products derived from visible remote sensing, and simulated LAI from two land surface models. The simulated LAI is produced by the ISBA-A-gs model (developped by CNRM) and by the ORCHIDEE model (developped by LSCE). The same atmospheric forcing is used by two models: the SAFRAN dataset, a high resolution (8-km) operational product over France. The same vegetation map is used: the ECOCLIMAP2 dataset. The LAI remote sensing products are: MODIS (Collection 5), derived from the MODIS sensors, and CYCLOPES, derived from the SPOT4/VEGETATION sensor. These products were re-projected on the grid used by the model. The study period ranges from 2000 to 2007 and allows to study the average seasonal cycle as well as the interannual variation of LAI. We analyse monthly values of LAI over the period. The average seasonal cycle over the seven years starts earlier in the ORCHIDEE simulations than in the ISBA-A-gs ones. ORCHIDEE simulates a maximum interannual variability of LAI in spring (and a small one in summer), whereas in the ISBA-A-gs simulation the maximum is in summer (with small values in spring). These differences can be explained by contrasting levels of phenology constraints used in the two models. The interannual variability of both satellite products is more complex, with a weaker seasonal cycle and contrasted spatial patterns. Finally, we compare the water and carbon fluxes simulated by the two models.","218795","Closed Access","-0.2721","-0.0992","8","Root water, Water uptake, Soil moisture","Root water, Water uptake, Soil moisture",NA,NA,NA,"",""
"","od______1582::cc57552f0213e9d63551e944ef2cdc8f","Milieux et Changements globaux","Quality assessment of the first version of Geoland-2 biophysical variables produced at global scale","Camacho, Fernando","2010-01-01","","publication","","","","","218795","Closed Access","0.7054","0.0244","10","Milieux et changements globaux","Milieux et changements globaux",NA,NA,NA,"",""
"10.1007/s11069-012-0324-0","webcrawl____::9da9d9e093097fc6de6eefa811658f32","affecting elderly;change parameters;climate change","Long-term spatio-temporal social vulnerability variation considering health-related climate change parameters particularly affecting elderly","Aubrecht, Christoph","2013-01-01","SPRINGER","publication","","NATURAL HAZARDS","","","218795","Closed Access","0.2773","0.7479","2","Affecting elderly, Change parameters, Climate change","Affecting elderly, Change parameters, Climate change","7",NA,NA,"",""
"10.1016/j.agrformet.2012.02.006","dedup_wf_001::bd04e1934a85a5125c8c85a56c7fbe22","Agronomy and Crop Science","Evaluation of MSG-derived global radiation estimates for application in a regional crop model","Roerink, G.J.","2012-01-01","Elsevier BV","publication","","Agricultural and Forest Meteorology","http://edepot.wur.nl/212123","Crop monitoring systems that rely on agrometeorologic models require estimates of global radiation. These estimates are difficult to obtain due to the limited number of weather stations that measure this variable. In the present study, we validated the global radiation estimates derived from MeteoSat Second Generation (MSG) and evaluated their use in the European Crop Growth Monitoring System (CGMS). A validation with measurements from four CarboEurope flux towers showed that the MSG estimates are accurate and unbiased (standard deviation between 30 and 51 W/m2). Moreover, a comparison with global radiation estimates from about 300 operational weather stations throughout Europe confirmed that the quality of the MSG product is high and spatially uniform. We also made an intercomparison between the MSG product and the ECMWF (ERA-INTERIM) and CGMS products at 25 km resolution, thus demonstrating that the CGMS and ECMWF products generally underestimate radiation. Nevertheless, the CGMS product showed irregular spatial patterns of local over- and underestimation, while the ECMWF product consistently underestimated. A trend analysis using a seasonal Mann-Kendall test between 2005 and 2009 did not reveal any significant monotonic trends in the MSG radiation estimates, except for 1 location out of 15. Finally, when we applied the WOFOST crop model for maize throughout Europe, the simulated potential total biomass increased due to higher estimates of global radiation made by MSG. In contrast, the water-limited simulated total-biomass generally decreased due to a higher reference evapotranspiration, causing faster depletion of soil moisture and increased water stress.","218795","Open Access","-0.6008","-0.2239","1","Fcover global, Capitalizing over existing, Essential climate variables","Fcover global, Capitalizing over existing, Essential climate variables","15",NA,NA,"",""
"10.1016/j.agrformet.2012.04.011","dedup_wf_001::2f799e45233e919730b84d772fb7defd","gai;crop;retrieved","Estimating regional winter wheat yield with WOFOST through the assimilation of green area index retrieved from MODIS observations","de Wit, Allard","2012-01-01","ELSEVIER SCIENCE BV","publication","","AGRICULTURAL AND FOREST METEOROLOGY","","Within this paper we describe and test a methodology to optimize winter-wheat green area index (GAI) simulated by the WOFOST crop model using MODIS estimates of GAI over the Walloon region in Belgium. Detailed crop type maps over the period 2000-2009 were used to derive time-series of crop-specific GAI by selecting only those 250m MODIS pixels that have at least 75% purity for the target crop. Two important model parameters where optimized by minimizing the difference between simulated and observed GAI for each individual pixel and year. The resulting year-specific  joint parameter distributions were used to run an ensemble of crop simulations where the ensemble was initialized by sampling from the joint distribution of the corresponding year. The semi-variograms of the retrieved parameters demonstrate that the spatial patterns are consistent with agricultural practices, while seasonal characteristics of weather patterns in Wallonia can, at least partially, explain the temporal variability in the retrieved parameter distributions. Finally, the average ensemble crop simulation results were aggregated to the level of provinces and regions. A validation with EUROSTAT reported yields over the period 2000—2009 demonstrates that the assimilation of MODIS GAI leads to an improved relationship between simulation results and reported yields at regional level.","218795","Open Access","-0.4249","-0.5503","11","Crop","Crop","40",NA,NA,"",""
"10.1016/j.isprsjprs.2013.01.003","webcrawl____::e767ee4c42eb9a6ceef4f85e5b6cafec","africa time;anomaly hot;environmental anomaly","Identification of environmental anomaly hot spots in West Africa from time series of NDVI and rainfall","Boschetti, Mirco","2013-01-01","ELSEVIER SCIENCE BV","publication","","ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING","","","218795","Closed Access","0.4404","0.608","4","Anomaly hot, Environmental anomaly","Anomaly hot, Environmental anomaly","25",NA,NA,"",""
"10.1016/j.jag.2014.01.007","webcrawl____::259e26a1dac373e94bb2c4b822b37b6c","ascat soil;data international;index situ","Validation of the ASCAT Soil Water Index using in situ data from the International Soil Moisture Network","Paulik, Christoph","2014-01-01","ELSEVIER SCIENCE BV","publication","","INTERNATIONAL JOURNAL OF APPLIED EARTH OBSERVATION AND GEOINFORMATION","","","218795","Closed Access","0.6508","-0.2255","14","Ascat soil, Temperature data, Soil moisture","Ascat soil, Temperature data, Soil moisture","21","1","59","",""
"10.1016/j.rse.2012.12.027","dedup_wf_001::a63ac4568a6869e67a83c9f7c9615bbe","Data fusion;FAPAR;FCOVER;Global products;LAI;MODIS;Uncertainty;VEGETATION","GEOV1: LAI and FAPAR essential climate variables and FCOVER global time series capitalizing over existing products. Part1: Principles of development and production","Baret, F.","2013-01-01","ELSEVIER SCIENCE INC","publication","","REMOTE SENSING OF ENVIRONMENT","","Essential climate variables such as LAI or FAPAR are required for the monitoring, understanding and modeling of land surfaces at the global scale. While several products were already developed from the current medium resolution sensors, the few validation exercises currently achieved highlighted significant discrepancies and inconsistencies. The objective of this study is to develop improved global estimates of LAI, FAPAR and FCOVER variables by capitalizing on the development and validation of already existing products. In a first step, the performances of the MODIS, CYCLOPES, GLOBCARBON and JRC-FAPAR products were reviewed. The MODIS and CYCLOPES products were then selected since they provide higher level of consistency. These products were fused to generate the improved LAI, FAPAR and FCOVER values that were later scaled to closely match their expected range of variation. Finally, neural networks were trained to estimate these fused and scaled products from SPOT-VEGETATION top of canopy directionally normalized reflectance values. The resulting GEOV1 products are associated to quality control flags as well as quantitative estimates of uncertainties. Performances of the GEOV1 products are finally evaluated in a companion paper. The GEOV1 products are freely available to the community at www.geoland2.eu from 1999 up to present, globally at 1/112 degrees spatial sampling grid at the dekadal time step. ","218795","Open Access","-0.5196","0.1372","1","Fcover global, Capitalizing over existing, Essential climate variables","Fcover global, Capitalizing over existing, Essential climate variables","126",NA,NA,"",""
"10.1016/j.rse.2012.12.027","od______1582::e7b97896e3f122b7a40c5b2b4cdbc6d4","Sciences agricoles","Consistent and accurate LAI, FAPAR and FCOVER global products: principles and evaluation of GEOV1 products","Baret, Frederic","2010-01-01","","publication","","","","LAI, FAPAR and FCOVER variables are required for the monitoring, understanding and modelling of land surfaces at the global scale. While several products were already developed from the current medium resolution sensors, the few validation exercises achieved demonstrated that significant discrepancies and inconsistencies were observed. The objective of this study was to develop new global estimates of LAI, FAPAR and FCOVER that will build on the pros and minimize cons of already existing products. In a first step, the performances of the MODIS, CYCLOPES, GLOBACRBON and JRC‐FAPAR products were reviewed. The MODIS and CYCLOPES products were selected since they provide higher level of consistency. These products were then fused to generate the ‘best estimate’ of LAI, FAPAR and FCOVER that were later scaled to better match their expected range of variation. [br/] Finally, neural networks were trained to estimate these best estimates products from SPOT‐VEGETATION top of canopy directionally normalized reflectance values. Performances of the derived products called GEOV1 were evaluated, showing significant improvements as compared to previous products. These products will be extended back to 1981 using the AVHRR series of observation, and continued after the VEGETATION era thanks to AVHRR‐METOP, PROBA‐V and Sentinel3 future missions","218795","Open Access","-0.5493","0.1042","1","Fcover global, Capitalizing over existing, Essential climate variables","Fcover global, Capitalizing over existing, Essential climate variables","126",NA,NA,"",""
"10.1016/j.rse.2013.02.030","dedup_wf_001::d6e44d7feecbcfa6c56a0b7da47582e5","fcover","GEOV1: LAI, FAPAR essential climate variables and FCOVER global time series capitalizing over existing products. Part 2: Validation and intercomparison with reference products","Camacho, Fernando","2013-01-01","ELSEVIER SCIENCE INC","publication","","REMOTE SENSING OF ENVIRONMENT","","This paper describes the scientific validation of the first version of global biophysical products (i.e., leaf area index, fraction of absorbed photosynthetically active radiation and fraction of vegetation cover), namely GEOV1, developed in the framework of the geoland-2/BioPar core mapping service at 1 km spatial resolution and 10-days temporal frequency. The strategy follows the recommendations of the CEOS/WGCV Land Product Validation for LAI global products validation. Several criteria of performance were evaluated, including continuity, spatial and temporal consistency, dynamic range of retrievals, statistical analysis per biome type, precision and accuracy. The spatial and temporal consistencies of GEOV1 products were assessed by intercomparison with reference global products (MODIS c5, CYCLOPES v3.1, GLOBCARBON v2 LAI, and JRC SeaWIFS FAPAR) over a global network of homogeneous sites (BELMANIP-2) during the 2003-2005 period. The accuracy of GEOV1 was evaluated against a number of available ground reference maps. Our results show that GEOV1 products present reliable spatial distribution, smooth temporal profiles which are stable from year to year, good dynamic range with reliable magnitude for bare areas and dense forests, and optimal performances with ground-based maps. GEOV1 outperforms the quality of reference global products in most of the examined criteria, and constitutes a step forward in the development of consistent and accurate global biophysical variables within the context of the land monitoring core service of GMES.","218795","Open Access","-0.4495","0.2321","1","Fcover global, Capitalizing over existing, Essential climate variables","Fcover global, Capitalizing over existing, Essential climate variables","85",NA,NA,"",""
