"doi","id","subject","title","authors","year","publisher","resulttype","language","journal","url","paper_abstract","project_id","accessright","x","y","area_uri","cluster_labels","area","citation_count","cited_by_tweeters_count","readers.mendeley","readers","file_hash"
"","dedup_wf_001::2bb9e0a7e3bff6c55e22c8318244bcaf","Racine","Assemblages végétaux pour phytomanager des sols contaminés en métaux (Cu et Zn/Pb/Cd), rhizofiltrer de l’eau contaminée en Cu et fournir des biomasses à la bioéconomie","Oustrière, Nadège","2016-12-05","HAL CCSD","publication","","","https://tel.archives-ouvertes.fr/tel-01515942/document","The phytomanagement of metal-contaminated matrices (soils and water) combines their ecological remediation and the production of non-food crops for the bioeconomy. One science frontier is to identify plant assemblage and to optimize their biomass production, aided or not by amendment addition and cultural practices. A Cu-contaminated soil and a Cd/Pb/Zn-contaminated one were phytomanaged in controlled conditions. The combination of biochar and iron grit reduced the phytotoxicity in both soils. In a 2-year pot experiment, this amendment combination decreased the phytotoxicity of the Cu-contaminated soil, enhanced soil C sequestration and produced an uncontaminated biomass of Arundo donax L. and Populus nigra L. adapted for bioenergy production. These combinations of culture and amendment are tested in field trial at the Cu-contaminated site. In parallel, in microcosm experiment, out of 4 macrophytes commonly used in constructed wetlands (CW) to clean up aqueous matrices (i.e. Arundo donax L., Cyperus eragrostis Lam., Iris pseudacorus L. and Phalaris arundinacea L.), A. donax was the best adapted to produce a high Cu-rich root mat potentially usable as Cu-ecocatalyst. Clean up of a Bordeaux mixture effluent (BME, 69 μM Cu) by A. donax was tested in a pilot-scale CW. The BME was decontaminated in 48 hours, its Cu concentration being in compliance for indirect discharge of chemical industry effluents. However, after one BME circulation cycle, root Cu concentration of A. donax roots (623 ± 140 mg kg-1) was lower than threshold value for Cu-ecocatalysts (1000 mg kg-1) and successive treatments must be repeated to achieve required Cu concentration.; Le phytomanagement de matrices contaminées en métaux couple leur réhabilitation écologique avec la production de biomasses végétales pour la bioéconomie. Un front de science est d’identifier des assemblages végétaux et d’optimiser leur production, aidée ou non par l’ajout d’amendements. Le phytomanagement de deux sols, l’un contaminé en Cu, l’autre en Cd, Pb et Zn, a été testé en conditions contrôlées. L’emploi conjoint de biochar et de grenaille d’acier diminue la phytotoxicité des 2 sols. En pots, sur 2 ans, cette combinaison d’amendements séquestre du carbone, diminue la phytotoxicité du sol contaminé en Cu et produit une biomasse d’Arundo donax L. et de Populus nigra L. non contaminée, utilisable par le secteur de l’énergie. Ces modalités de culture et d’amendement ont été installées pour un suivi à long terme sur le site contaminé en Cu. Parallèlement, en microcosmes, parmi 4 macrophytes utilisées en zone humide construite (CW) pour décontaminer des matrices aqueuses (i.e. Arundo donax L., Cyperus eragrostis Lam., Iris pseudacorus L. et Phalaris arundinacea L.), A. donax est la mieux adaptée pour fournir des racines à forte concentration en Cu utilisables pour produire un écocatalyseur riche en Cu. Le phytomanagement d’un effluent de bouillie bordelaise (EB, 69 μM Cu) par A. donax a été testé en CW pilote. Il est décontaminé en 48h, sa concentration en Cu respectant la réglementation du rejet d’effluent en réseau d'assainissement. Cependant, après un cycle de circulation, la concentration en Cu des racines d’A. donax (623 ± 140 mg Cu kg-1) est inférieure aux besoins de l’éco-catalyse, et le cycle serait à répéter pour atteindre les 1000 mg Cu kg-1 requis.","266124","Open Access","0.0619","0.4604","9","À la bioéconomie, Assemblages végétaux pour, Biomasses à","À la bioéconomie, Assemblages végétaux pour, Biomasses à",NA,NA,NA,"",""
"","dedup_wf_001::b24ccaa565913773b11b0dc74450f804","Excluder","Tolérance au Cu chez Agrostis capillaris L. : du phénotype vers les mécanismes moléculaires","Hego, Elena","2014-06-17","HAL CCSD","publication","","","https://tel.archives-ouvertes.fr/tel-01135004/document","Cu-tolerant (metallicolous: M) and sensitive (non-metallicolous: NM) populations of Agrostis capillaris L. were exposed to increasing Cu concentrations (1-50 μM) to investigate Cu tolerance by a pluridisciplinary approach. Phenotypic parameters (biomass production, shoot length, and visual symptoms) indicated a higher growth and a better fitness of M plants over 10 μM Cu. Plant Cu concentrations indicated root Cu retention (‘excluder’ phenotype) and a reduced root-to-shoot translocation with increasing Cu stress. Based on root soluble proteome energy metabolism was altered by Cu excess in both populations with stronger impacts in NM (glycolysis, Krebs cycle/oxidative phosphorylation). Changes in shoot proteome showed impacts on both light dependent and independent photosynthesis phases in both populations, and an enhanced need in S-containing amino-acids (up-regulation of cysteine/methionine synthases). In NM leaves, increase of enzymes involved in glycolysis, pentose phosphate pathway and Calvin cycle indicated a stimulation of energy metabolism, while enhanced protein synthesis processes and protein chaperones suggested impacts on protein metabolism and increase of redox enzymes indicated a higher oxidative stress. Several over-expressed or accumulated proteins may be pivotal for Cu tolerance in M plants, for protecting protein metabolism (Heat shock protein 70kDa, roots and leaves), increasing anti-oxidative (ascorbate peroxidases, roots) – detoxification (Glutathione S-transferase and aldehyde dehydrogenase, roots) and proteolysis (peptidase and proteasome subunits) processes.; Des populations tolérante (métallicole: M) et sensible (non-métallicole: NM) d’Agrostis capillaris L. ont été exposées à des doses croissantes de Cu (1-50 μM) pour étudier la tolérance au Cu par une approche pluridisciplinaire. Selon les paramètres phénotypiques (biomasse, longueur des feuilles et symptômes visuels), les plantes M ont une meilleure croissance aux expositions supérieures à 10 μM Cu. Les concentrations en Cu des tissus reflètent une rétention racinaire (phénotype d’exclusion) et une réduction de la translocation vers les feuilles quand le stress augmente. En excès de Cu, le protéome soluble racinaire présente des altérations du métabolisme énergétique chez M et NM, plus marquées chez NM (glycolyse, cycle de Krebs /phosphorylation oxydative). Le protéome foliaire indique des impacts sur les phases claires et obscures de la photosynthèse chez M et NM, et un besoin plus important en acides aminés soufrés (augmentation des cystéine et méthionine synthases). Chez NM, l’augmentation d’enzymes de la glycolyse, de la voie des pentoses phosphates et du cycle de Calvin indiquent un besoin énergétique accru, tandis que la stimulation des chaperonnes et des processus de synthèse protéique suggère des impacts sur le métabolisme des protéines et celle des enzymes redox un stress oxydatif plus fort. Plusieurs protéines, surexprimées ou accumulées, interviendraient dans la tolérance au Cu chez M, en protégeant le métabolisme des protéines (HSP70, racines et feuilles) et en augmentant les mécanismes anti-oxydants (ascorbate péroxydases), de détoxification (GST et aldéhyde déshydrogénase) et de protéolyse (peptidase et protéasomes, racines).","266124","Open Access","0.3208","0.6172","9","À la bioéconomie, Assemblages végétaux pour, Biomasses à","À la bioéconomie, Assemblages végétaux pour, Biomasses à",NA,NA,NA,"",""
"10.1007/s10661-012-2686-x","webcrawl____::753bad3db59943e0bdbb8b25a0ae46a4","compost seed;bank cu;contaminated topsoils","Seed bank of Cu-contaminated topsoils at a wood preservation site: impacts of copper and compost on seed germination","Bes, Clemence M.","2013-01-01","SPRINGER","publication","","ENVIRONMENTAL MONITORING AND ASSESSMENT","","","266124","Closed Access","-0.3487","-0.6421","7","Bank cu, Compost seed, Contaminated topsoils","Bank cu, Compost seed, Contaminated topsoils",5,NA,NA,"",""
"10.1007/s11104-013-1597-0","webcrawl____::033b9eb2d107ad2e7d8b43c10139473f","bioavailability assays;cd phytoextraction;clone dgt","Predictability of the Zn and Cd phytoextraction efficiency of a Salix smithiana clone by DGT and conventional bioavailability assays","Puschenreiter, M.","2013-01-01","SPRINGER","publication","","PLANT AND SOIL","","","266124","Closed Access","0.2413","-0.7159","3","Bioavailability assays, Cd phytoextraction, Clone dgt","Bioavailability assays, Cd phytoextraction, Clone dgt",14,NA,NA,"",""
"10.1007/s11104-013-1974-8","webcrawl____::a382db984ba906f5d0db6a323f2f8a66","biomonitoring cu;cu exposure;exposure phytoremediation","Phenotypic seedling responses of a metal-tolerant mutant line of sunflower growing on a Cu-contaminated soil series: potential uses for biomonitoring of Cu exposure and phytoremediation","Kolbas, Aliaksandr","2014-01-01","SPRINGER","publication","","PLANT AND SOIL","","","266124","Closed Access","-0.4322","0.4386","13","Biomonitoring cu, Cu exposure, Exposure phytoremediation","Biomonitoring cu, Cu exposure, Exposure phytoremediation",11,NA,NA,"",""
"10.1007/s11104-014-2043-7","webcrawl____::348aa1b5d4824e0cd8746beadacee0a4","alyssum pintodasilvae;hyperaccumulator alyssum;improve nickel","Rhizobacterial inoculants can improve nickel phytoextraction by the hyperaccumulator Alyssum pintodasilvae","Cabello-Conejo, M. I.","2014-01-01","SPRINGER","publication","","PLANT AND SOIL","","","266124","Closed Access","0.6936","-0.2642","2","Alyssum pintodasilvae, Enhanced tobacco, Hyperaccumulator alyssum","Alyssum pintodasilvae, Enhanced tobacco, Hyperaccumulator alyssum",25,NA,NA,"",""
"10.1007/s11356-014-2938-0","dedup_wf_001::96aa4e89f59e5e0b4f4b7de143751b82","Amendment","Mobility and phytoavailability of Cu, Cr, Zn, and As in a contaminated soil at a wood preservation site after 4 years of aided phytostabilization","Hattab, Nour","2014-01-01","Springer Verlag","publication","","","https://hal-insu.archives-ouvertes.fr/insu-00991112/document","International audience; The remediation of copper-contaminated soils by aided phytostabilisation in 16 field plots at a wood preservation site was investigated. The mobility and bioavailability of four potentially toxic trace elements (PTTE), i.e., Cu, Zn, Cr, and As, were investigated in these soils 4 years after the incorporation of compost (OM, 5 % w/w) and dolomite limestone (DL, 0.2 % w/w), singly and in combination (OMDL), and the transplantation of mycorrhizal poplar and willows. Topsoil samples were collected in all field plots and potted in the laboratory. Total PTTE concentrations were determined in soil pore water (SPW) collected by Rhizon soil moisture samplers. Soil exposure intensity was assessed by Chelex100-DGT (diffusive gradient in thin films) probes. The PTTE phytoavailability was characterized by growing dwarf beans on potted soils and analyzing their foliar PTTE concentrations. OM and DL, singly and in combination (OMDL), were effective to decrease foliar Cu, Cr, Zn, and As concentrations of beans, the lowest values being numerically for the OM plants. The soil treatments did not reduce the Cu and Zn mineral masses of the bean primary leaves, but those of Cr and As decreased for the OM and DL plants. The Cu concentration in SPW was increased in the OM soil and remained unchanged in the DL and OMDL soils. The available Cu measured by DGT used to assess the soil exposure intensity correlated with the foliar Cu concentration. The Zn concentrations in SPW were reduced in the DL soil. All amendments increased As in the SPW. Based on DGT data, Cu availability was reduced in both OM and OMDL soils, while DL was the most effective to decrease soil Zn availability.","266124","Open Access","-0.2898","0.1223","4","Neural network model, Phytoremediated contaminated soils","Neural network model, Phytoremediated contaminated soils",15,NA,NA,"",""
"10.1007/s11368-012-0582-1","dedup_wf_001::6f0048e4348a1de45d3b0fee295b6b3a","Biology","Potential of willow and its genetically engineered associated bacteria to remediate mixed Cd and toluene contamination","WEYENS, Nele","2013-01-01","HEIDELBERG","publication","","Journal of soils and sediments","","The purpose of this study was to investigate if bacteria with beneficial properties that were isolated from willow growing on a metal-contaminated site can be further equipped with genes coding for a specific degradation pathway to finally obtain transconjugants that can be inoculated in willow to improve phytoremediation efficiency of mixed contaminations. Cultivable rhizosphere bacteria and root endophytes were isolated from willow (cv. Tora) growing on a metal-contaminated soil. All isolated strains were tested for their metal resistance and potential to promote plant growth. The two most promising strains were selected and were equipped with the pTOM plasmid coding for toluene degradation. Both transconjugants were inoculated separately and combined in willow cuttings exposed to mixed Cd-toluene contamination, and their effect on phytotoxicity, Cd uptake, and toluene evapotranspiration was evaluated. Many of the isolated strains tested positive for the production of siderophores, organic acids, and indole acetic acid (IAA) and showed increased Cd resistance. The Cd-resistant, siderophore-producing rhizosphere strain Burkholderia sp. HU001 and the Cd-resistant root endophyte Pseudomonas sp. HU002, able to produce siderophores, organic acids, and IAA, were selected as receptors for conjugation with the toluene-degrading Burkholderia vietnamiensis BU61 as a donor of the pTOM-TCE plasmid. Although inoculation with the individual transconjugant strains had no effect on plant growth and negatively affected Cd uptake, their combined inoculation resulted in an increased shoot biomass upon Cd-toluene exposure did not affect Cd uptake and strongly reduced evapotranspiration of toluene to the atmosphere. In this study, inoculation of willow with a consortium of plant-associated bacteria equipped with the appropriate characteristics resulted in an improved phytoremediation of a mixed Cd-toluene contamination: the degradation of toluene was improved leading to a decreased toxicity and evapotranspiration, while Cd uptake and translocation were not affected.
			This research was funded by the Institute for the Promotion of Innovation through Science and Technology in Flanders (IWT-Vlaanderen) J.D. and by the Fund for Scientific Research Flanders (FWO-Vlaanderen), Ph.D. grant for S. C. and S. T. This work has been financially supported by the UHasselt Methusalem project 08M03VGRJ and by the European Commission under the Seventh Framwork Programme for Research (FP7-KBBE-266124, GREEN-LAND). S. T. was supported by Laboratory Directed Research and Development funds (LDRD09-005) at the Brookhaven National Laboratory under contract with the U.S. Department of Energy.
			Geosciences, Multidisciplinary; Soil Science; cadmium; co-contamination; plant-associated bacteria; salix; toluene; willow","266124","Open Access","0.3508","0.115","11","Biology","Biology",21,NA,NA,"",""
"10.1016/j.apgeochem.2013.09.001","webcrawl____::175417cd77494dfe820bddd20c2a29f9","area nw;distribution mine;growing pb","Heavy metal distribution in mine-soils and plants growing in a Pb/Zn-mining area in NW Spain","Monterroso, C.","2014-01-01","PERGAMON-ELSEVIER SCIENCE LTD","publication","","APPLIED GEOCHEMISTRY","","","266124","Closed Access","-0.0453","-0.6568","12","Area nw, Distribution mine, Growing pb","Area nw, Distribution mine, Growing pb",38,NA,NA,"",""
"10.1016/j.ecoenv.2011.06.013","webcrawl____::7273a4eac4f06324a782fd27de393770","activities contaminated;amended dolomitic;copper distribution","Copper distribution and hydrolase activities in a contaminated soil amended with dolomitic limestone and compost","Lagomarsino, A.","2011-01-01","ACADEMIC PRESS INC ELSEVIER SCIENCE","publication","","ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY","","","266124","Closed Access","-0.5106","-0.3819","14","Copper distribution","Copper distribution",21,NA,NA,"",""
