"doi","id","subject","title","authors","year","publisher","resulttype","language","journal","url","paper_abstract","project_id","accessright","x","y","area_uri","cluster_labels","area","cited_by_tweeters_count","readers.mendeley","citation_count","readers","file_hash"
"","od______2016::63637f9e2c7272e78d1d04260fa9a912","Metal and metal oxide nanomaterials","Tackling the uncertainties of emergent nanomaterials for public health: are metal nanoparticles hazardous pollutants?","Louro, Henriqueta","2017-11-08","","publication","","","","When materials are produced at the nanoscale range, their surface chemistry changes, chemical reactivity increases and other important material properties may be altered, including optical, magnetic and electrical properties. Nanomaterials (NMs) display advantageous characteristics that enable innovative applications, as is the case of several metal and metal oxides such as titanium dioxide nanomaterials (TiO2), cerium dioxide (CeO2) and barium sulphate (BaSO4), that already have a broad range of applications in industry and consumer products. 
			However, the exponential development of nanotechnologies contrasts with the insufficient risk assessment for human health and the environment and reliable studies focused on nano-bio interactions are necessary1. 
			With the aim of contributing to a comprehensive investigation of the hazard of metal oxides NMs in human respiratory cells, we have used cytotoxicity and genotoxicity assays2, concomitantly with the analysis of the NMs’ properties in the cellular moiety. 
			The results show that only CeO2 has cytotoxic effects and TiO2 is genotoxic in the comet assay, but not clastogenic in the micronucleus assay. The remaining NMs are not genotoxic. The present results contribute to evaluate the hazard of the tested NMs, suggesting that some, but not all, metal NMs affect human respiratory cells. Considering the reports describing workers occupationally exposed to TiO23, this finding raises concerns for human health. Further studies are described that were designed to understand if this finding could be generalized to other TiO2 that are frequently used in consumer products. For tackling NMs’ uncertainties, an in-depth investigation of the nano-bio interactions must be foreseen, where correlation analysis with the primary and secondary physicochemical characteristics may enable grouping strategies valuable for risk assessment.
			Project NANoREG (grant#310584), NANOGENOTOX Joint Action (Grant Agreement 2009 21) and Centre for Toxicogenomics and Human Health – ToxOmics, (UID/BIM/00009/2013, Foundation for Science and Technology).
			info:eu-repo/semantics/publishedVersion","147402","Restricted","0.33","-0.0121","8","Carcinogenic potential, Metal nanoparticles, Mutagenic and carcinogenic","Carcinogenic potential, Metal nanoparticles, Mutagenic and carcinogenic",NA,NA,NA,"",""
"","od______2016::6de5e2dc543b7f97f80c1f42eb358b91","Nanomaterials","Mutagenic and carcinogenic potential of metal nanoparticles depends on their physicochemical properties","Dusinska, Maria","2016-06-01","","publication","","","","Invited lecture
			Nanomaterials (NMs) and nanoparticles (NPs) have been studied intensively for almost two decades and still all the characteristics that might be beneficial or harmful  are not explored.  Although many studies have investigated the mechanisms of action of NPs in cells, results are not fully understood and in many cases are controversial.  Endpoints appropriate for detecting harmful chemicals such as cytotoxicity, oxidative stress, inflammation, immunotoxicity, genotoxicity, and in some cases carcinogenicity, have been addressed. However, there might be also new mechanisms that might lead to NM-induced toxic effects.
			EC FP7 QualityNano (INFRA-2010-1.131-214547-2), FP7 NANoREG (NMP4-LA-2013-310584), FP7 MC (PITN-GA-2010-264506), NRC (239199/O70)
			N/A","310584","Restricted","-0.1904","0.1913","8","Carcinogenic potential, Metal nanoparticles, Mutagenic and carcinogenic","Carcinogenic potential, Metal nanoparticles, Mutagenic and carcinogenic",NA,NA,NA,"",""
"","od______2016::b0b6ab8ccdae0c1dcffe4d9ef0df80a8","Genotoxicidade Ambiental","Riscos laborais associados à manipulação de nanomateriais","Louro, Henriqueta","2016-05-31","Instituto Nacional de Saúde Doutor Ricardo Jorge, IP","publication","","","","De um modo geral, os nanomateriais manufaturados (NM) são definidos como materiais fabricados deliberadamente e que contêm partículas com pelo menos uma dimensão externa na gama de tamanhos compreendida entre 1 e 100 nanómetros (Comissão Europeia, 2011). A sua pequena dimensão confere-lhes propriedades físicas, químicas e biológicas que podem diferir bastante das propriedades dos materiais com a mesma composição química mas utilizados numa escala não nanométrica. São as propriedades mecânicas, óticas, elétricas e magnéticas inerentes aos materiais na escala “nano” que os tornam vantajosos para as mais diversas aplicações industriais e biomédicas. Contudo, a enorme expansão que tem vindo a acontecer ao nível da síntese, produção industrial e utilização de NMs contrasta com uma ainda insuficiente avaliação de risco para a saúde humana e para o ambiente. Efectivamente, A European Agency for Safety and Health at Work (EU-OSHA,2009) considerou a exposição a NM como o risco emergente mais premente no contexto da saúde ocupacional, estimando que entre 300.000 a 400.000 postos de trabalho lidavam já directamente com as nanotecnologias. 
			Neste seminário será abordada a possibilidade de exposição ocupacional ao longo do ciclo de vida dos NM, bem como as suas potenciais implicações para a saúde dos trabalhadores. Nesta palestra são apresentados alguns estudos realizados no Instituto Nacional de Saúde Doutor Ricardo Jorge que produziram evidência científica que poderá contribuir para o esforço internacional da regulação da produção e aplicação de nanomateriais, salvaguardando a saúde humana face às suas aplicações inovadoras.
			NANoREG, EU FP7 project, grant agreement 310584; NANOGENOTOX Joint Action, EU Grant Agreement 2009 21 01","310584","Open Access","-0.131","-0.7555","4","Associados à manipulação, Safety assessment contribution, Avaliação externa da qualidade","Associados à manipulação, Safety assessment contribution, Avaliação externa da qualidade",NA,NA,NA,"",""
"","od______2016::eb9c64117be88f19f2a51381fc1adf91","Saúde Pública","Avaliação integrada dos efeitos genotóxicos de nanomateriais manufaturados no ratinho transgénico LacZ","Louro, Henriqueta","2014-01-01","Instituto Nacional de Saúde Doutor Ricardo Jorge, IP","publication","","","","Num estudo recente, demonstrámos que um nanomaterial de dióxido de titânio na forma cristalina designada anatase, o NM-102 (do repositório do Joint Research Center; Ispra, Itália), induziu um aumento significativo de quebras cromossómicas - detetáveis na forma de micronúcleos - em linfócitos humanos expostos ex vivo(3) não se tendo, porém, observado um efeito dose-resposta. No sentido de prosseguir e aprofundar a avaliação da genotoxicidade do NM-102, o presente estudo teve por objetivo caracterizar os seus efeitos genotóxicos, num modelo animal, utilizando uma abordagem integrada, a qual abrangeu a análise de vários parâmetros de genotoxicidade no mesmo animal.
			Projeto co-financiado pela EU Grant Agreement 2009 21 01(NANOGENOTOX), Health Programme e pelo INSA.","310584","Open Access","0.7409","-0.3166","4","Associados à manipulação, Safety assessment contribution, Avaliação externa da qualidade","Associados à manipulação, Safety assessment contribution, Avaliação externa da qualidade",NA,NA,NA,"",""
"","od______2016::6a9d1aecf49377f5a955002f27cf594a","Genotoxicidade Ambiental","NANoREG Project - 6th Six-Month Technical Report","Maria João Silva, Henriqueta Louro","2016-03-01","","publication","","","","During this reporting period, INSA pursued the cytotoxicity and genotoxicity studies in A549 cells, in order to contribute to the data comparison between exposure at the air liquid interface (ALI, performed by other partners) and under conventional submerged conditions. The genotoxicity and oxidative DNA damage of a dose-range of the TiO2 NM-1001a, following 3h exposure of A544 cells was assessed through the comet and the FPG-modified comet assay, respectively. Thereby, the studies with this NM are finished and data are being displayed in the ISA-TAB datasheets. In addition, the studies concerning the CeO2 nanomaterial (NM-02102) using the MTT and the plating efficiency assay (cytotoxicity assessment) and the comet assay plus the FPG-modified comet assay (genotoxicity assessment), were also concluded. Testing of the other two nanomaterials (TiO2 NM-100 and BaSO4 NM-220) planned for this task will start very soon in order to comply with the deadline for data presentation.
			info:eu-repo/semantics/publishedVersion","310584","Restricted","0.5397","0.166","7","Genotoxicidade ambiental, Metallic nanomaterials, Nanoreg project","Genotoxicidade ambiental, Metallic nanomaterials, Nanoreg project",NA,NA,NA,"",""
"","od______2016::80104031476ecaca68e82e0b8014c5e8","Nanomaterials","Hazard assessement of metallic nanomaterials in human respiratory cells","Saruga, Andreia","2017-04-08","","publication","","","","As the applications of nanomaterials (NM) have been exponentially increasing, serious
			concerns about their potential impact on human health have been raised and
			challenging questions to regulators came up. This work investigated the toxicity of
			widely used metallic NM, namely cerium dioxide (CeO2, NM-212), titanium dioxide
			(TiO2, NM-100 and NM-101) and barium sulphate (BaSO4, NM-220).
			A standardized protocol for NM dispersion was followed and the quality of the
			dispersion in the culture medium was evaluated by dynamic light scattering. A human
			alveolar cell line (A549) was exposed to 1-100 μg/cm2 of each NM for cytotoxicity
			(MTT and clonogenic assays) and genotoxicity (comet and micronucleus assays)
			assessment.
			A decrease in cells’ proliferative capacity was detected after exposure to the two
			highest concentrations of CeO2 for 7 days (p=0.01 and p=0.002, respectively) while the
			remaining NM were not cytotoxic. Concerning genotoxicity, TiO2 NM significantly
			increased the level of DNA breaks but those lesions seemed to be efficiently repaired
			because no chromosome instability was detected by the micronucleus assay. The CeO2
			NM induced a two-fold (non-significant) increase of in the level of oxidative DNA.
			BaSO4 NM was neither cytotoxic nor genotoxic under the tested conditions.
			Although the present results contribute to the risk assessment of these NM, the real
			effects from human exposure, e.g., in the workplace, are still unclear. Thus, the
			implementation of high throughput methodologies to allow cost-efficient strategies
			and experimental models that better mimic in vivo responses is an urgent need to
			allow nanosafety studies to keep pace with innovation.
			EU FP7 project NANoREG, grant agreement 310584 and INSA, 2013DGH860
			info:eu-repo/semantics/publishedVersion","310584","Restricted","0.3622","0.1094","7","Genotoxicidade ambiental, Metallic nanomaterials, Nanoreg project","Genotoxicidade ambiental, Metallic nanomaterials, Nanoreg project",NA,NA,NA,"",""
"","od______2016::e20a40042ae2c94444a1550d5f87e9b7","Nanotechnology","Nanotoxicology and nanotechnology interplay towards a safe and responsible innovation","Silva, Maria João","2017-07-04","","publication","","","","The European Union Strategic and Action Plan for Nanosciences and Nanotechnologies emphasizes the
			need of ensuring the development of safe, integrated, and responsible nanotechnologies and nanotechnology products. Indeed, although the use of manufactured nanomaterials (NM) is widespread and has been considered greatly beneficial for several scientific and technological areas, uncertainties about their safety still remain, representing a challenge to scientists, risk assessors and regulators.
			Recent studies of the team have been aimed at assessing the potential deleterious effects, e.g., genotoxicity that is intimately associated with carcinogenicity, of several classes of NM, using complementary in vitro and in vivo approaches, nested within the conventional risk assessment paradigm. Overall, the results have suggested that specific physicochemical properties of NM are crucial to define their nano-bio interactions and their toxic potential. Furthermore, our findings reinforced previous reports suggesting that factors inherent to experimental conditions and methodologies may affect the effects observed. These and other nano-specific issues have been hindering the categorization of NM according to their toxicity and, consequently, their risk assessment and management. Nonetheless, considering the wide array of NM produced or under development, a case-by-case approach to the risks of each NM seems an unreasonably extensive task.
			Thus, the development of high-throughput omics-based tools adapted for the toxicity assessment of NM and, on the other hand, the elucidation of the cellular and molecular mechanisms underlying NM toxicity is of utmost importance to progress faster in the field of nanotoxicology. Such information will allow the development of cost-efficient screening strategies and promote predictive nanotoxicology, driving the synthesis of safer NM. The ultimate goal is fostering a sustainable and safe innovation in the field of nanotechnologies.
			European Union Seventh Framework Programme (FP7/2007-2013) under the project NANoREG (grant agreement 310584), the Fundação para a Ciência e Tecnologia (UID/BIM/00009/2013) and by Instituto Nacional de Saúde Doutor Ricardo Jorge, IP.
			N/A","310584","Restricted","0.0473","-0.3513","3","Nanoreg framework, Risk assessment, Safety assessment","Nanoreg framework, Risk assessment, Safety assessment",NA,NA,NA,"",""
"","od______2016::2709b727b0a99822cdc528f1d8409370","Genotoxicidade Ambiental","NANoREG Project (GA 310584). Progress report","Maria João Silva, Henriqueta Louro","2016-09-01","","publication","","","","The toxicity of NMs in submerged conditions with the alveolar cell line A549 was finalized, concerning the four selected nanomaterials (NMs): TiO2 (NM-100 and NM-1001), CeO2 (NM-2102) and BaSO4 (NM-220). Cytotoxicity was analysed using the MTT assay and the colony forming efficiency assay (CFE or clonogenic assay). The alkaline comet plus the FPG-modified assays and the cytokynesis-blocked micronucleus assay were used to address the genotoxic effects. The tests were performed with A549 cells cultured in conventional submerged cultures. Following the recommendation of the guidance document, the quality of the NM batch dispersion, as well as that of the NM dilution in the complete cells exposure medium, were analyzed using dynamic light scattering (DLS) performed shortly after dispersion and after incubation during 24h, 72h and 7 days. Most of the batch dispersions were in similar size range of the NANoREG benchmark data. In general, the dilution of the batch in cell culture medium showed no major impact on NM sizes and, after 24h incubation, sedimentation of the NMs probably contributed to the observation of lower size dispersed NMs when analyzing the suspension by DLS.
			The CFE assay with A549 cells was used to assess the cytotoxicity of a set of NMs that were agreed upon with NILU to allow data comparison between the two laboratories.  Two alternative methods were used to perform the assay – exposure of cells at a high desnsity  to the NM (24h) or exposure of a small number of adherent cells to the NM during 7 days  – and the following NMs were tested: silver NMs (NM-300k and NM-302) as well as zinc oxide (NM-110), amorphous silicon dioxide (NM-2000 and NM-203), a multiwalled carbon nanotube (NM-401) and titanium dioxide (NM-103). 
			Also, within a collaborative work with NILU aimed at characterizing the genotoxicity of three metallic NMs using regulatory tests (the hprt mutation assay, the comet assay and the micronucleus assay) results from the micronucleus assay in V79 cells were obtained for NM-100, NM-302 and NM-2102. All results were analyzed using adequate statistical tools.
			All data have been uploaded into the NanoReg Database entry tool with the exception of CFE for which no model database has been produced. The later data will be sent to the task leaders in order to be uploaded at CIRCABC.
			info:eu-repo/semantics/publishedVersion","310584","Restricted","0.4541","0.3324","7","Genotoxicidade ambiental, Metallic nanomaterials, Nanoreg project","Genotoxicidade ambiental, Metallic nanomaterials, Nanoreg project",NA,NA,NA,"",""
"","od______2016::bbff90f53874e0330269ef0b87acea9b","Genotoxicidade Ambiental","Manufactured Nanomaterials: is there a correlation between toxicological effects and the physicochemical properties?","Louro, Henriqueta","2016-06-22","","publication","","","","Toxicological information on nanomaterials (NMs) is of major importance for safety assessment, since they are already used in many consumer products and promise cutting-edge applications in the future. While the number of different NMs increases exponentially, new strategies for risk assessment are needed to cope with the safety issues, keeping pace with innovation. However, recent studies have suggested that even subtle differences in the physicochemical properties of NMs that are closely related may define different nano-bio interactions, thereby determining their toxic potential. Further research in this field is necessary to allow straightforward grouping strategies leading time-effective risk assessment to enable the safe use of the emerging NMs.
			In this presentation the case study of the in vitro toxicity testing of a set of multi-walled carbon nanotubes (MWCNTs) in two human cell lines from the respiratory tract will be described. Those MWCNT have been previously characterized in detail, and differ in thickness, length, aspect ratio and morphology. This comprehensive toxicological investigation undertaken in parallel with physicochemical characterization in the cellular moiety showed that the same NM did not display a consistent effect in different cell types, and that, within the same class of NM, different toxic effects could be observed. The correlation of the cytotoxic and genotoxic effects characterized in the two cell lines with their physicochemical properties will be presented and the relevance of considering the NMs properties in the biological context will be discussed.
			Overall, this case study suggests that nanotoxicity of closely related MWCNTs depends not only on their primary physicochemical properties, or combinations of these properties, but also on the cellular system, and its context. Challenges posed to toxicologists, risk assessors and regulators when addressing the safety assessment of NMs will be highlighted.
			EU FP7 project NANoREG, grant agreement 310584","310584","Open Access","0.1595","-0.0167","8","Carcinogenic potential, Metal nanoparticles, Mutagenic and carcinogenic","Carcinogenic potential, Metal nanoparticles, Mutagenic and carcinogenic",NA,NA,NA,"",""
"10.1002/em.21935","od______2016::bc72277bf3883ba088dcb07cbd1232e5","Genotoxicidade Ambiental","Genotoxicity of synthetic amorphous silica nanoparticles in rats following short-term exposure. Part 1: Oral route","Tarantini, Adeline","2015-03-01","Wiley","publication","","","","Synthetic amorphous silica (SAS) in its nanosized form is now used in food applications although the potential risks for human health have not been evaluated. In this study, genotoxicity and oxidative DNA damage of two pyrogenic (NM-202 and 203) and two precipitated (NM-200 and -201) nanosized SAS were investigated in vivo in rats following oral exposure.
			Male Sprague Dawley rats were exposed to 5, 10, or 20 mg/kg b.w./day for three days by gavage. DNA strand breaks and oxidative DNA damage were investigated in seven tissues (blood, bone marrow from femur, liver,spleen,
			kidney, duodenum, and colon) with the alkaline and the (Fpg)-modified comet assays, respectively.
			Concomitantly, chromosomal damage was investigated in bone marrow and in colon with the micronucleus assay. Additionally, malondialdehyde (MDA), a lipid peroxidation marker, was measured in plasma. When required, a histopathological examination was
			also conducted. The results showed neither obvious DNA strand breaks nor oxidative damage with the comet assay, irrespective of the dose and the organ investigated. Similarly, no increases in chromosome damage in bone marrow or lipid peroxidation in plasma were detected. However, although the response was not dose-dependent, a weak increase in the percentage of micronucleated cells was observed in the colon of rats treated with the two pyrogenic SAS at the lowest dose (5 mg/kg b.w./day). Additional data are required to confirm this result, considering in particular, the role of agglomeration/aggregation of SAS NMs in their uptake by intestinal cells.
			NANOGENOTOX Joint Action program (European Union in the framework of the Health Program and co-funded by the Executive Agency for Health and Consumers, grant agreement 2009 21 01).","310584","Open Access","0.2974","0.632","11","Genotoxicity, Oxide nanoparticles","Genotoxicity, Oxide nanoparticles","1","7","15","",""
