"doi","id","subject","title","authors","year","publisher","resulttype","language","journal","url","paper_abstract","project_id","accessright","x","y","area_uri","cluster_labels","area","citation_count","cited_by_tweeters_count","readers.mendeley","readers","file_hash"
"","dedup_wf_001::f5f5f87c6a42d0a8b8075f258f8db615","cohérence","Cohérence spatiale des mouvements sismiques et structure géométrique du proche sous-sol: un exemple à Argostoli, Grèce","Imtiaz, Afifa","2015-11-30","HAL CCSD","publication","","","https://hal-brgm.archives-ouvertes.fr/hal-01226818/document","International audience; The spatial variation of the earthquake ground motion over short distances can significantly affect the dynamic response of large and extended engineered structures, particularly when they are located at sites with lateral heterogeneity. In current practices, it is taken into account in terms of coherency, as a function of frequency and distance, established on an essentially empirical basis, making it difficult to extrapolate at different sites. Hence, in order to improve our understanding of the physical significance of coherency and its relationship to the geometrical and mechanical characteristics of the ground structure, a very dense network was installed in seismically active region of Argostoli-Koutavos (Cephalonia, Greece). Consisting of 21 velocimeters deployed on four concentric circles of radii 5, 15, 40 and 80 m around a central station in a small valley (~50 m thickness, width 1.5 km), the array recorded several hundred events in the period from September 2011 to April 2012. A subset of 46 events having a homogeneous distribution in terms of epicentral distance (0-200 km), back-azimuth (0-360 °) and magnitude (2 to 5) has been selected for a systematic analysis of the coherency of all station pairs observed on 'the most energetic phase' containing the S-wave. The results indicate a lack of a clear dependence of the average coherency on the magnitude, back-azimuth or site-to-source distance of the event, and on the length of chosen signal window provided that it contains the same S-phase energy. The most striking result concerns the influence of the site geometry; the coherency is systematically higher for the pairs aligned parallel to the axis of the valley (2D), and lower for those aligned in the perpendicular direction. This result is consistent with the formation of the wavefield in the valley, dominated by surface waves propagating from one edge to the other. The observed coherency estimates are, however, weakly represented by the existing parametric models.; La variabilité spatiale des mouvements sismiques sur de courtes distances peut affecter significativement la réponse dynamique des structures de génie civil de grande taille, en particulier quand elles sont fondées sur des sites latéralement hétérogènes. Elle est souvent prise en compte au travers de fonctions empiriques – peu calibrées et peu extrapolables d'un site à l'autre-décrivant la perte de cohérenceen fonction de la fréquence et la distance. Dans le but d'améliorer la compréhension de la structure de la cohérence et son lien avec les caractéristiques géométriques et mécaniques du sous-sol, un réseau sismologique très dense a été installé dans la région sismiquement très active d'Argostoli-Koutavos (Céphalonie, Grèce). Constitué de 21 vélocimètres déployés sur 4 cercles concentriques de rayons 5, 15, 40 et 80 m autour d'une station centrale au sein d'une vallée de petite taille (épaisseur ~50 m, largeur 1.5 km), ce réseau a enregistré plusieurs centaines d'événements sur la période septembre 2011-avril 2012. Un sous ensemble de 46 événements présentant une distribution homogène en termes de distance épicentrale (0-200 km), back-azimut (0-360°) et magnitude (2 à 5) a été sélectionné pour une analyse systématique de la cohérence observée sur la phase forte comprenant l'onde S de toutes les paires de stations. Les résultats indiquent une absence de dépendance claire de la cohérence moyenne en fonction de la magnitude, du back-azimut de la source, et de la distance hypocentrale, ainsi qu'une grande robustesse vis-à-vis de la fenêtre de signal choisie, pour peu qu'elle contienne la phase S énergétique. Le résultat le plus marquant concerne le contrôle par la géométrie du site : la cohérence est systématiquement plus forte pour les paires alignées parallèlement à l'axe de la vallée (2D), et minimale pour celles alignées selon la direction perpendiculaire. Ce résultat est cohérent avec la constitution du champ d'ondes dans la vallée dominé par des ondes de surface se propageant d'un bord à l'autre de la vallée. Les cohérences observées ne sont par ailleurs que très partiellement expliquées par les modèles existants.","262330","Open Access","0.5921","0.36","6","Cohérence","Cohérence",NA,NA,NA,"",""
"10.1002/2013jb010475","webcrawl____::7336c53359f1471ff8be5526f1e138f7","april aquila;aquila central;central italy","Waveguide effects in very high rate GPS record of the 6 April 2009, M-w 6.1 L'Aquila, central Italy earthquake","Avallone, Antonio","2014-01-01","AMER GEOPHYSICAL UNION","publication","","JOURNAL OF GEOPHYSICAL RESEARCH-SOLID EARTH","","","262330","Closed Access","0.2936","-0.613","1","April aquila, Aquila central, Central italy","April aquila, Aquila central, Central italy","13",NA,NA,"",""
"10.1016/j.engstruct.2013.02.029","webcrawl____::d2333f026fe88ecb7e01e187bd23dd38","capacity design;materials concern;degradation materials","Seismic Capacity Design of RC frames and environment-induced degradation of materials: Any concern?","Martinelli, Enzo","2013-01-01","ELSEVIER SCI LTD","publication","","ENGINEERING STRUCTURES","","","262330","Closed Access","-0.6382","0.1355","4","Capacity design, Degradation materials, Materials concern","Capacity design, Degradation materials, Materials concern","2",NA,NA,"",""
"10.1016/j.pce.2013.04.012","webcrawl____::8b193edfe33938ce45bf543bfc40ffb2","international collaborations;improving mediterranean;mediterranean seismicity","Improving the Mediterranean seismicity picture thanks to international collaborations","Godey, S.","2013-01-01","PERGAMON-ELSEVIER SCIENCE LTD","publication","","PHYSICS AND CHEMISTRY OF THE EARTH","","","262330","Closed Access","-0.4298","0.3657","2","Improving mediterranean, International collaborations, Mediterranean seismicity","Improving mediterranean, International collaborations, Mediterranean seismicity","3",NA,NA,"",""
"10.1029/2010jb007884","webcrawl____::67ae8a35511179c2e83475e71ae713dd","aegean inferred;anisotropy beneath;beneath aegean","Shear wave anisotropy beneath the Aegean inferred from SKS splitting observations","Evangelidis, C. P.","2011-01-01","AMER GEOPHYSICAL UNION","publication","","JOURNAL OF GEOPHYSICAL RESEARCH-SOLID EARTH","","","262330","Closed Access","0.2503","0.6625","7","Aegean inferred, Anisotropy beneath, Beneath aegean","Aegean inferred, Anisotropy beneath, Beneath aegean","18",NA,NA,"",""
"10.1029/2012gl053946","webcrawl____::a418626a98fa6c85ef5cdcc8eb60bf2f","accumulation framework;earthquakes unified;large earthquakes","Seismicity precursors to large earthquakes unified in a stress accumulation framework","Mignan, Arnaud","2012-01-01","AMER GEOPHYSICAL UNION","publication","","GEOPHYSICAL RESEARCH LETTERS","","","262330","Closed Access","0.0331","0.0316","3","Accumulation framework, Earthquakes unified, Large earthquakes","Accumulation framework, Earthquakes unified, Large earthquakes","12",NA,NA,"",""
"10.1038/srep00410","dedup_wf_001::e37e334a34c6e20d4a070560ad7858e2","Article","Anatomy of a microearthquake sequence on an active normal fault","Stabile, T. A.","2012-01-01","NATURE PUBLISHING GROUP","publication","","SCIENTIFIC REPORTS","","The analysis of similar earthquakes, such as events in a seismic sequence, is an effective tool with which to monitor and study source processes and to understand the mechanical and dynamic states of active fault systems. We are observing seismicity that is primarily concentrated in very limited regions along the 1980 Irpinia earthquake fault zone in Southern Italy, which is a complex system characterised by extensional stress regime. These zones of weakness produce repeated earthquakes and swarm-like microearthquake sequences, which are concentrated in a few specific zones of the fault system. In this study, we focused on a sequence that occurred along the main fault segment of the 1980 Irpinia earthquake to understand its characteristics and its relation to the loading-unloading mechanisms of the fault system.","282862","Open Access","0.4954","-0.0172","12","Article","Article","16","2","34","",""
"10.1785/0120110222","webcrawl____::3947b0e8e4cb9462cc10a5da1f98b6f6","acausally filtered;motion data;filtered strong","Using Pad-Stripped Acausally Filtered Strong-Motion Data","Boore, David M.","2012-01-01","SEISMOLOGICAL SOC AMER","publication","","BULLETIN OF THE SEISMOLOGICAL SOCIETY OF AMERICA","","","262330","Closed Access","-0.605","-0.422","11","Acausally filtered, Filtered strong, Motion data","Acausally filtered, Filtered strong, Motion data","15",NA,NA,"",""
"10.1785/0120110319","webcrawl____::8ae87f29338c7bf1367af5c9809166d8","ambient noise;greece recorded;hellenic unified","Ambient Noise Levels in Greece as Recorded at the Hellenic Unified Seismic Network","Evangelidis, C. P.","2012-01-01","SEISMOLOGICAL SOC AMER","publication","","BULLETIN OF THE SEISMOLOGICAL SOCIETY OF AMERICA","","","262330","Closed Access","-0.2459","-0.229","5","Ambient noise, Greece recorded, Hellenic unified","Ambient noise, Greece recorded, Hellenic unified","5",NA,NA,"",""
"10.1785/0220120087","dedup_wf_001::96868c5b4c040115e58c38b55db18be2","stress drop; sigma;sigma stress","What is Sigma of the Stress Drop?","Fabrice Cotton","2013-01-01","SEISMOLOGICAL SOC AMER","publication","","","","","262330","Open Access","-0.2294","0.6407","9","Sigma stress, Stress drop","Sigma stress, Stress drop","47",NA,"52","",""
