"doi","id","subject","title","authors","year","publisher","resulttype","language","journal","url","paper_abstract","project_id","accessright","x","y","area_uri","cluster_labels","area","citation_count","readers.mendeley","cited_by_tweeters_count","readers","file_hash"
"","dedup_wf_001::042f0402ee8691d2ac7895777a45fcfa","cell exhaustion;epithelial stem;exhaustion pathogenesis","EPITHELIAL STEM CELL EXHAUSTION IN THE PATHOGENESIS OF IDIOPATHIC PULMONARY FIBROSIS","Chilosi, M.","2010-01-01","FONDAZIONE PNEUMOLOGIA U I P ONLUS","publication","","SARCOIDOSIS VASCULITIS AND DIFFUSE LUNG DISEASES","","","202047","Closed Access","0.3716","0.4633","10","Idiopathic pulmonary fibrosis, Cellular senescence, Biopsy proved","Idiopathic pulmonary fibrosis, Cellular senescence, Biopsy proved",NA,NA,NA,"",""
"","dedup_wf_001::6b8657de618771edf9406fcfaef3ee2d","antigens organic;organic dusts;exposure microbial","MOUSE MODEL OF HYPERSENSITIVITY PNEUMONITIS AFTER INHALATION EXPOSURE TO DIFFERENT MICROBIAL ANTIGENS ASSOCIATED WITH ORGANIC DUSTS","Lemieszek, Marta","2011-01-01","INST AGRICULTURAL MEDICINE","publication","","ANNALS OF AGRICULTURAL AND ENVIRONMENTAL MEDICINE","","","202047","Open Access","-0.4912","0.5555","4","Hypersensitivity pneumonitis, Objective quantification, Abnormal remodeling","Hypersensitivity pneumonitis, Objective quantification, Abnormal remodeling",NA,NA,NA,"",""
"","dedup_wf_001::bb6b0e48edcea8057195b7b7cf235763","cathepsin sensitive;detection micro;granulomas hypersensitivity","CATHEPSIN-K IS A SENSITIVE IMMUNOHISTOCHEMICAL MARKER FOR DETECTION OF MICRO-GRANULOMAS IN HYPERSENSITIVITY PNEUMONITIS","Reghellin, D.","2010-01-01","FONDAZIONE PNEUMOLOGIA U I P ONLUS","publication","","SARCOIDOSIS VASCULITIS AND DIFFUSE LUNG DISEASES","","","202047","Closed Access","-0.2594","0.7374","4","Hypersensitivity pneumonitis, Objective quantification, Abnormal remodeling","Hypersensitivity pneumonitis, Objective quantification, Abnormal remodeling",NA,NA,NA,"",""
"","dedup_wf_001::981b2bc62fa9b187234b0b5de2a2d36c","cell tumors;lymphangioleiomyomatosis perivascular;molecular pathology","Molecular Pathology of Lymphangioleiomyomatosis and Other Perivascular Epithelioid Cell Tumors","Zamboni, Giuseppe","2010-01-01","COLLEGE AMER PATHOLOGISTS","publication","","","","","202047","Closed Access","0.6899","0.3019","12","Cell tumors, Differentiation of mouse, Embryonic stem cells","Cell tumors, Differentiation of mouse, Embryonic stem cells",NA,NA,NA,"",""
"","ec_fp7health::a30f74a856a7dbcdcb46ae34ac121eb3","cd foxp;derived growth;factor producing","Platelet-Derived Growth Factor-Producing CD4(+) Foxp3(+) Regulatory T Lymphocytes Promote Lung Fibrosis","Lecocq, Marylene","","AMER THORACIC SOC","publication","","","","","202047","Closed Access","-0.4501","-0.265","5","Lung fibrosis, Lung inflammation, Acid inhibits","Lung fibrosis, Lung inflammation, Acid inhibits",NA,NA,NA,"",""
"10.1002/hep.24329","dedup_wf_001::674cd952c814c59f8ce5c6fb6a8223c1","p arf;activator transcription;arf controls","p19(ARF) /p14(ARF) controls oncogenic functions of signal transducer and activator of transcription 3 in hepatocellular carcinoma","Schneller, Doris","2011-01-01","Hepatology","publication","","Hepatology","","","202047","Closed Access","-0.1314","0.2694","7","Hepatocellular carcinoma, Mesenchymal transition, Arf controls","Hepatocellular carcinoma, Mesenchymal transition, Arf controls",25,NA,NA,"",""
"10.1007/s00204-013-1028-2","dedup_wf_001::17c971dfec232cf2e3c595ae85e16ac1","attenuates tumour;barrier prevents;breaching lymphendothelial","Xanthohumol attenuates tumour cell-mediated breaching of the lymphendothelial barrier and prevents intravasation and metastasis","Viola, Katharina","2013-01-01","SPRINGER HEIDELBERG","publication","","ARCHIVES OF TOXICOLOGY","","","202047","Closed Access","0.5298","-0.5889","4","Hypersensitivity pneumonitis, Objective quantification, Abnormal remodeling","Hypersensitivity pneumonitis, Objective quantification, Abnormal remodeling",19,NA,NA,"",""
"10.1007/s00204-013-1045-1","dedup_wf_001::6d24771e3e759d4063c34298689613b2","anti intravasative;characterisation anti;product heteronemin","In vitro characterisation of the anti-intravasative properties of the marine product heteronemin","Kopf, Sabine","2013-01-01","SPRINGER HEIDELBERG","publication","","ARCHIVES OF TOXICOLOGY","","","202047","Closed Access","-0.5315","-0.5194","4","Hypersensitivity pneumonitis, Objective quantification, Abnormal remodeling","Hypersensitivity pneumonitis, Objective quantification, Abnormal remodeling",14,NA,NA,"",""
"10.1007/s10522-010-9265-8","dedup_wf_001::0ca7c4e14baef0ca3efea16273319b1a","compendium networks;database compendium;diseases processes","The NetAge database: a compendium of networks for longevity, age-related diseases and associated processes","Tacutu, Robi","2010-01-01","SPRINGER","publication","","Biogerontology","","","202047","Closed Access","-0.377","-0.5282","1","Age related diseases, Longevity and age, Ageing genomic resources","Age related diseases, Longevity and age, Ageing genomic resources",47,NA,NA,"",""
"10.1007/s10522-011-9343-6","ec_fp7health::01218613629cf5337ae0e895dc85a7f6","aging longevity;healing aging;longevity phenotype","Is rate of skin wound healing associated with aging or longevity phenotype?","Yanai, Hagai","2011-01-01","Biogerontology.","publication","","Biogerontology","","","202047","Closed Access","-0.2715","-0.5945","13","Wound healing, Longevity phenotype","Wound healing, Longevity phenotype",14,"12",NA,"",""
"10.1007/s10522-013-9455-2","dedup_wf_001::fbedfe2cc598653a63251ded63bde50f"," aging;aging barrier;barrier reprogramming","Is aging a barrier to reprogramming? Lessons from induced pluripotent stem cells","Phanthong, Phetcharat","2013-01-01","SPRINGER","publication","","BIOGERONTOLOGY","","","286264","Open Access","0.5047","-0.2794","14","Induced pluripotent stem, Pluripotent stem cells, Sleeping beauty transposon","Induced pluripotent stem, Pluripotent stem cells, Sleeping beauty transposon",6,"32","1","",""
"10.1007/s10522-013-9469-9","dedup_wf_001::fa45aa04cdd3488e81034cc2fc9f6b92","Age-related diseases","Tissue resident stem cells: till death do us part","Raveh-Amit, Hadas","2013-01-01","SPRINGER","publication","","","","Aging is accompanied by reduced regenerative capacity of all tissues and organs and dysfunction of adult stem cells. Notably, these age-related alterations contribute to distinct pathophysiological characteristics depending on the tissue of origin and function and thus require special attention in a type by type manner. In this paper, we review the current understanding of the mechanisms leading to tissue-specific adult stem cell dysfunction and reduced regenerative capacity with age. A comprehensive investigation of the hematopoietic, the neural, the mesenchymal, and the skeletal stem cells in age-related research highlights that distinct mechanisms are associated with the different types of tissue stem cells. The link between age-related stem cell dysfunction and human pathologies is discussed along with the challenges and the future perspectives in stem cell-based therapies in age-related diseases.","317146","Open Access","0.4189","-0.1291","14","Induced pluripotent stem, Pluripotent stem cells, Sleeping beauty transposon","Induced pluripotent stem, Pluripotent stem cells, Sleeping beauty transposon",19,"39","2","",""
"10.1007/s10522-013-9470-3","dedup_wf_001::66be053e53320bb230e7be2dd5873466","association human;association study;case control","Polymorphisms in the superoxidase dismutase genes reveal no association with human longevity in Germans: a case-control association study","Gentschew, Liljana","2013-01-01","SPRINGER","publication","","Biogerontology","","","202047","Closed Access","0.0631","-0.7318","3","Human longevity, Association study, Case control","Human longevity, Association study, Case control",4,NA,NA,"",""
