"doi","id","subject","title","authors","year","publisher","resulttype","language","journal","url","paper_abstract","project_id","accessright","x","y","area_uri","cluster_labels","area","citation_count","cited_by_tweeters_count","readers.mendeley","readers","file_hash"
"","core_ac_uk__::d84aece6c6662f5388b2ca4045557692","activism disappointment;disappointment readjustment;domestic factors","The interplay between international and domestic factors in Turkey’s grand strategy-making : activism, disappointment, and readjustment/","Sonmez, Goktug","","","publication","","","http://eprints.soas.ac.uk/24333/1/Sonmez_4374.pdf","","262533","Open Access","0.129","0.7686","2","Activism disappointment, Disappointment readjustment, Domestic factors","Activism disappointment, Disappointment readjustment, Domestic factors",NA,NA,NA,"",""
"","od______1033::88124eccbb2bb168f9df7d69924f4850","Educación","The e-learning platform of the FP7-SOPHIA Project: obtanied results and perspective for its future exploitation","Roca, Francesco","2015-01-01","E.T.S.I y Sistemas de Telecomunicación (UPM)","publication","","","http://oa.upm.es/42259/1/INVE_MEM_2015_227360.pdf","FP7-SOPHIA, the European PV Research Infrastructure project coordinated by CEA-INES ended on 31st of January 2015. The project focused on strengthening and optimising the research capabilities of outstanding European Research Infrastructures by pulling together numerous scientists and researchers of more than 48 relevant Research Infrastructures to share a common vision and to conduct efficient and coordinated research work in the field of PV technologies. SOPHi@Webinar is the internal e-learning platform that has organized a set of online courses/seminaries/guest lectures in parallel to more conventional training initiatives held physically. It has also been opened to non-SOPHIA members.","262533","Open Access","-0.656","0.1924","9","Educación","Educación",NA,NA,NA,"",""
"","od______3364::4e87b8beed4ec6c0da167f28f8351239","film silicon;nanotechnology thin;silicon photovoltaics","Nanotechnology for thin-film silicon photovoltaics","Meier, Matthias","2014-01-01","","publication","","","","","283501","Closed Access","-0.3796","0.6012","11","Film silicon, Nanotechnology thin, Silicon photovoltaics","Film silicon, Nanotechnology thin, Silicon photovoltaics",NA,NA,NA,"",""
"10.1002/pip.2715/full","od______1033::b7ddf7981ee430943f52963438d274af","Energías Renovables","Determination of spectral variations by means of component cells useful for CPV rating and design","Núñez Júdez, Rubén","2015-01-01","","publication","","","http://oa.upm.es/38558/1/Preprint_Nunez_PIP.pdf","A methodology is presented to determine both the short-term and the long-term influence of the spectral variations on the performance of Multi-Junction (MJ) solar cells and Concentrating
			\"This is the peer reviewed version of the following article: R. Núñez, C. Domínguez, S. Askins, M. Victoria, R. Herrero, I. Antón, and G. Sala, “Determination of
			spectral variations by means of component cells useful for CPV rating and design,” Prog. Photovolt: Res. Appl., 2015., which has been published in final form
			at http://onlinelibrary.wiley.com/doi/10.1002/pip.2715/full. This article may be used for non-commercial purposes in accordance with Wiley Terms and
			Conditions for Self-Archiving [http://olabout.wiley.com/WileyCDA/Section/id-820227.html#terms].\"
			Photovoltaic (CPV) modules. Component cells with the same optical behavior as MJ solar cells are used to characterize the spectrum. A set of parameters, namely Spectral Matching Ratios (SMRs), is used to characterize spectrally a particular Direct Normal Irradiance (DNI) by comparison to the reference spectrum (AM1.5D-ASTM-G173-03). Furthermore, the spectrally corrected DNI for a given MJ solar cell technology is defined providing a way to estimate the losses associated to the spectral variations. The last section analyzes how the spectrum evolves throughout a year in a given place and the set of SMRs representative for that location are calculated. This information can be used to maximize the energy harvested by the MJ solar cell throughout the year. As an example, three years of data recorded in Madrid shows that losses lower than 5% are expected due to current mismatch for state-of-the-art MJ solar cells.","262533","Open Access","0.2689","-0.5158","4","Energías renovables","Energías renovables","",NA,NA,"",""
"10.1002/pip.2793","dedup_wf_001::a91a88984575029b7487d872b07b836d","ageing","CHANGES OF SOLAR CELL PARAMETERS DURING DAMP-HEAT EXPOSURE","ZHU Jiang","2015-01-01","Institute of Electrical and Electronics Engineers, Japan Society of Applied Physics and IEEE Electron Devices Society","publication","","","","The electrical ageing of photovoltaic modules during extended damp-heat tests at different stress levels is investigated for three types of crystalline silicon photovoltaic modules with different backsheets, encapsulants and cell types. Deploying different stress levels allows determination of an equivalent stress dose function, which is a first step towards a lifetime prediction of devices. The derived humidity dose is used to characterise the degradation of power as well as that of the solar cell's equivalent circuit parameters calculated from measured current–voltage characteristics. An application of this to the samples demonstrates different modes in the degradation and thus enables better understanding of the module's underlying ageing mechanisms. The analysis of changes in the solar cell equivalent circuit parameters identified the primary contributors to the power degradation and distinguished the potential ageing mechanism for each types of module investigated in this paper. © 2016 The Authors. Progress in Photovoltaics: Research and Applications published by John Wiley & Sons Ltd. © 2016 The Authors. Progress in Photovoltaics: Research and Applications published by John Wiley & Sons Ltd.
			This work was supported in part by the European Commission under FP7 grant N° 262533 SOPHIA (INFRA-2010-
			1.1.22_CP-CSA-Infra) and by the Research Councils UK (RCUK) under project ‘Stability and Performance of Photovoltaics
			(STAPP)’ (contract no: EP/H040331/1).","262533","Open Access","-0.0529","-0.1858","7","Ageing","Ageing","3","1","19","",""
"10.1016/j.renene.2013.09.034","od______3360::dfe6e6824e50b438d6e4682e58dfa486","Organic photovoltaic","Round robin performance testing of organic photovoltaic devices","Gevorgyan, Suren A.","2014-01-01","Elsevier","publication","","","","This study addresses the issue of poor intercomparability of measurements of organic photovoltaic (OPV)
			devices among different laboratories. We present a round robin performance testing of novel OPV devices
			among 16 laboratories, organized within the framework of European Research Infrastructure
			Project (SOPHIA) and European Energy Research Alliance (EERA). Three types of OPVs with different
			structures, dimensions and encapsulations are studied and compared with reference Si solar cells
			certified by accredited laboratories. The agreement of the measurements of these among different laboratories
			is analyzed by focusing on testing procedures, testing equipment and sample designs. A
			number of deviations and pitfalls are revealed and based on the analyses, a set of recommendations are
			suggested for improving the agreement among the measurements of such OPV technologies.
			European Commission's FP7 programme;
			European Energy Research Alliance (EERA);
			EUDP;
			UK Department for Business, Innovation and Skills","262533","Open Access","-0.0962","0.2307","10","Organic photovoltaic","Organic photovoltaic","10","5","40","",""
"10.1016/j.solener.2017.07.066","dedup_wf_001::be11d74c21c10c67f5b313e590b6d86d","Thermal modelling","Thermal analysis of a BIPV system by various modelling approaches","Assoa, Ya Brigitte","2017-09-19","PERGAMON-ELSEVIER SCIENCE LTD, THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND","publication","","","","This work presents various models developed and implemented within the SOPHIA European project in order to thermally characterize PV modules in a rooftop BIPV configuration. Different approaches have been considered, including a linear model, lumped elements models and models that make use of commercial software solvers. The validation of the models performed by comparing the results of simulations with experimental data recorded on a test bench over an entire year is presented and discussed on a seasonal basis. The results have shown that all the models implemented allow achieving a good prediction of the PV modules back surface temperature, with the minimum value of the coefficient of determination R2 around 95% on a yearly basis. Moreover, the influence of season weather conditions and of the incident solar irradiance magnitude on the accuracy of the considered thermal models is highlighted. The major result of the present study is represented by the fact that it has been possible to perform a better thermal characterization of the BIPV module by tuning some of the heat transfer coefficients, such as those relative to the effects of the wind velocity, and to the evaluation of sky temperature.
			The experimental data used for the thermal simulation of BIPV system behavior were obtained in the framework of the project Performance BIPV supported by the French research agency (ANR), within the research program ANR HABISOL. Authors are grateful to the project partners CSTB, CEA, CNRS, Transénergie and Cythelia and to the private companies that provided the materials for the test benches. Authors would like to thank the European Community that supported the SOPHIA project with the funding of FP7-SOPHIA grant agreement nº 262533.","262533","Open Access","-0.4383","-0.055","5","Thermal modelling","Thermal modelling","1",NA,NA,"",""
