"doi","id","subject","title","authors","year","publisher","resulttype","language","journal","url","paper_abstract","project_id","accessright","x","y","area_uri","cluster_labels","area","citation_count","cited_by_tweeters_count","readers.mendeley","readers","file_hash"
"","ec_fp7_ict__::89686e75d1c06055d969ae52731f92b9","annotation environmental;environmental resources;matter resource","Semantic annotation of environmental resources: Does it really matter to resource users?","#N/D","2012-01-01","","publication","","","","","247893","Closed Access","-0.4523","-0.0201","5","Annotation environmental, Environmental resources, Matter resource","Annotation environmental, Environmental resources, Matter resource",NA,NA,NA,"",""
"10.1007/978-3-642-22285-6_41","dedup_wf_001::915a7aa43fe962d81c03e2b5dfc0f19e","annotation","An Architecture for the Semantic Enhancement of Environmental Resources","Dihé, P.","2011-06-27","Springer","publication","","","https://hal.inria.fr/hal-01569237/document","Part 4: Semantics and Environment; International audience; The vision of a Single Information Space in Europe for the Environment (SISE) requires seamless access to environmental resources, including data, models and services. Standardization organizations like OGC and OASIS have laid the foundations for interoperability on a syntactic level for many aspects of distributed environmental information systems (e.g. OGC SWE for sensor information). At the same time, the EC has undertaken a considerable effort to commit European stakeholders to offering their environmental information in such a way that it is accessible by interested parties, both on the scientific level by supporting research projects, like ORCHESTRA and SANY, and on the legal level by introducing directives (such as the INSPIRE directive). This development, amongst others, has led to the present situation in which a large number of environmental information sources are available. However, to implement the vision of the SISE it is not enough to publish resources. Environmental information must be discoverable, and it must be ‘understandable’ in different contexts in order to be used effectively by parties of various thematic domains. Therefore, in order to foster the implementation of SISE, semantic interoperability is a necessary element. Key to semantic interoperability is the presence of meta-information which describes the concepts of the environmental resources. Producing this meta-information puts a heavy technological burden on the individual resource providers such that it seems unlikely that enough semantic meta-information will ever be made available to reach semantic interoperability and thus accomplish the vision of SISE unless other ways to provide this essential meta-information are found. In this paper we introduce an architecture, developed in the FP7 project TaToo (247893), which tries to overcome the aforementioned obstacles by providing the possibility to easily annotate and rate environmental information resources, even by parties which do not own the resource, and transparently equipping this information with domain knowledge and thus enhancing discoverability and usability of resources with semantic technologies. The objective of the architecture is to seamlessly blend in with existing infrastructures by making use of de facto standards while offering support for discovery, annotation and validation of environmental resources through open interfaces.","247893","Open Access","-0.2552","-0.23","11","Annotation","Annotation","1",NA,NA,"",""
"10.1007/978-3-642-22285-6_42","dedup_wf_001::01270d0048930a701b86a11c7ca777aa","[INFO] Computer Science [cs]","Building Environmental Semantic Web Applications with Drupal","Havlik, Denis","2011-06-27","Springer","publication","","","https://hal.inria.fr/hal-01569188/document","Part 4: Semantics and Environment; International audience; Efforts required for publishing information as Linked Data often appears too high compared to obvious and immediate benefits. Consequently, only a tiny fraction of the web can be easily used as a semantic ”database” today. Drupal 7 changes the rules of the game by integrating the functionality required for structuring and semantically annotating arbitrary content types in the Drupal “core”, as well as encouraging the module authors to use this functionality in their Drupal extensions. This paper presents the authors recent experiences with strengths and shortcomings of the Drupal 6 and Drupal 7 semantic web extensions, and discusses feasibility of the future semantic web environmental applications based on a Drupal platform. The intention of the paper is (1) to analyse the state of the art in semantic web support, as well as the potentials for further development in Drupal today; (2) to prove the feasibility of Drupal based semantic web applications for environmental usage area; and (3) to introduce the idea of Drupal as a rapid prototyping development environment.","247893","Open Access","0.0038","-0.4566","9","[info] computer science [cs]","[info] computer science [cs]","1","1","8","",""
"10.1007/978-3-642-22285-6_44","dedup_wf_001::cb68035dc3d0940363830c708935dc43","[INFO] Computer Science [cs]","Towards a Semantically Unified Environmental Information Space","Nešić, Saša","2011-06-27","Springer","publication","","","https://hal.inria.fr/hal-01569193/document","Part 4: Semantics and Environment; International audience; In recent years we have witnessed a proliferation of environmental information on the Web thanks to advances in automated data acquisition and to the widespread use of computer based models and decision support systems processing environmental data. The number of environmental data providers has been also increasing. However, each provider manages its own data sets encoded into specific data formats and unaware of related and relevant data managed by other providers. Also, most of the environmental data providers store their data into huge, centralized repositories, which makes the access and discovery of desired data difficult. The Linked Data principles along with the Semantic Web technologies have been recognized as a promising solution to both environmental data integration and discovery. Unique identification of environmental data by HTTP dereferencable URIs, semantic annotation of environmental data by shared domain conceptualizations (ontologies), and interlinking of related environmental data by typed (semantic) links will enable the integration of disconnected environmental data sets into the semantically unified environmental information space. Semantic annotations and semantic links will then enable semantic discovery of environmental data over such unified information space. In this paper, we try to identify a number of requirements that environmental data providers should satisfy in order to make their data fully contribute to this vision. In particular, we are focused on requirements regarding environmental data identification, representation, annotation and linking.","247893","Open Access","0.2175","-0.2028","2","[info] computer science [cs]","[info] computer science [cs]","3",NA,NA,"",""
"10.1007/978-3-642-22285-6_45","dedup_wf_001::2494daecabc30be3975f42179e4a314f","annotation","A Model for Semantic Annotation of Environmental Resources: The TaToo Semantic Framework","Pariente, Tomás","2011-06-27","Springer","publication","","","https://hal.inria.fr/hal-01569226/document","Part 4: Semantics and Environment; International audience; During the past years huge amounts of resources in the environmental domain have been published on the internet. To facilitate search and discovery of relevant data among an ever increasing mass, the use of tags has been suggested. Yet, the use of non-formal tags for annotating resources allows simple categorization and search capabilities, but it does not provide the means to create cross-domain annotations. On the other hand, ontologies are a shared and formal conceptualization of a given domain and they can be used to formalise tags. The use of formal semantics for tagging allows taking advantage of the reasoning and inference power of the ontologies to create richer resource annotations enhancing the discovery process. In the environmental domain there is a clear need of frameworks and tools allowing formal tagging and discovery. In this paper we discuss about the definition of a Semantic Framework helping the tagging and discovery process of environmental resources. Moreover, we also report on the definition of a model to describe environmental resources allowing cross-domain annotation and search.","247893","Open Access","-0.1363","0.0848","3","Annotation","Annotation","1",NA,NA,"",""
"10.1007/978-3-642-22285-6_50","dedup_wf_001::4acdea6ade4506a390d45565a832a669","[INFO] Computer Science [cs]","Conceptual Model Enhancing Accessibility of Data from Cancer–Related Environmental Risk Assessment Studies","Dušek, Ladislav","2011-06-27","Springer","publication","","","https://hal.inria.fr/hal-01569180/document","Part 5: Information Tools for Global Environmental Assessment; International audience; This paper proposes conceptual model which can be used to facilitate the discovery, integration and analysis of environmental data in cancer-related risk studies. Persistent organic pollutants were chosen as a model because of their persistence, bioaccumulation potential and genotoxicity. Part dealing with cancer risk is primarily focused on population-based observations encompassing a wide range of epidemiologic studies, from local investigations to national cancer registries. The proposed model adopted multilayer hierarchy working with characteristics of given entities (POPs, cancer diseases as nomenclature classes) and couples “observation – measurement” as content defining classes. The proposal extends formally used taxonomy applying multidimensional set of descriptors including scores of measurement validity and precision. This solution has the potential to aid multidisciplinary data discovery and knowledge mining. The same structure of descriptors used for environmental and cancer part enables the users to integrate different data sources recognizing their methodical origin, time & space coordinates and validity.","247893","Open Access","0.5966","-0.2212","12","[info] computer science [cs]","[info] computer science [cs]","0",NA,NA,"",""
"10.1007/978-3-642-35173-0-35","ec_fp7_ict__::492989454da1eacbfd100061969a3481","based data;data tagging;domain framework","A multi-domain framework for community building based on data tagging","Bozic B.","2012-01-01","","publication","","","","","247893","Closed Access","-0.0913","0.6683","1","Based data, Data tagging, Domain framework","Based data, Data tagging, Domain framework","",NA,NA,"",""
"10.1007/978-3-642-41151-9_3","dedup_wf_001::23fb1a32f4204f6bebf2a4c8f342618c","[INFO] Computer Science [cs]","Automated Semantic Validation of Crowdsourced Local Information – The Case of the Web Application \"Climate Twins\"","Kaufmann, Alexander","2013-10-09","Springer","publication","","","https://hal.inria.fr/hal-01457472/document","Part 1: Environmental Application in the Scope of the Future Internet; International audience; Climate Twins is a freely accessible Web application which provides easily comprehensible information on the projected climate developments in Europe at a regional level. Climate Twins is based on the idea that an impression of the future climate of a specific region can be received by indicating regions which have a similar present climate. Within the 7th EU FP project \"TaToo\" ontology-based functionalities have been added to the basic Climate Twins Web application in order to allow users to enrich the original information base - restricted to only two climate parameters (’temperature’ and ’precipitation’) - by themselves by adding any further geo-located information which they consider relevant in the context of a specific local climate (e.g. information on local vegetation and fauna). This kind of crowdsourcing information raises the problem of safeguarding the quality of the added information. In this paper the authors show how the domain ontology of Climate Twins can be used to semantically validate the coherence of new entries in order to prevent incorrect links.","247893","Open Access","-0.2704","-0.5877","7","[info] computer science [cs]","[info] computer science [cs]","0",NA,NA,"",""
"10.1007/978-3-642-41151-9_56","dedup_wf_001::1fa559d4bb84f0c66405955230844e78","[INFO] Computer Science [cs]","Semantics Annotations of Ontology for Scenario: Anthropogenic Impact and Climate Change Issues","Kubásek, Miroslav","2011-06-27","Springer","publication","","","https://hal.inria.fr/hal-01569233/document","Part 4: Semantics and Environment; International audience; The synthesis of existing Persistent Organic Pollutants (POPs) pollution monitoring databases with epidemiological data is considered for identifying some impacts of POPs on human health. This task requires new, rich, data, services and models discovery capabilities from a multitude of monitoring networks and web resources. The FP7 project TaToo (Tagging Tool based on a Semantic Discovery Framework) is setting up a semantic web solution to close the discovery gap that prevents a full and easy access to web resources. The use of TaToo tools together with software GENASIS and SVOD is discussed as TaToo validation scenario for anthropogenic impact and global climate change influence on POPs trajectory. This paper contains the first propose of POPs and cancer domain ontology intended for TaToo framework.","247893","Open Access","0.3758","0.1773","4","[info] computer science [cs]","[info] computer science [cs]","0",NA,NA,"",""
"10.1007/978-3-642-41151-9_56","dedup_wf_001::b9c4f0f5fb7f393bdc5c97f418398edf","[INFO] Computer Science [cs]","SVOD – System for Visualizing of Oncological Data and Their Semantic Enhancement","Kubásek, Miroslav","2013-10-09","Springer","publication","","","https://hal.inria.fr/hal-01457490/document","Part 8: Information Systems and Applications; International audience; We present an overview of the SVOD web portal (System for Visualizing of Oncological Data) which is focused on population risk analyses related to cancer epidemiology and show its integration with the FP7 project TaToo (Tagging Tool based on a Semantic Discovery Framework). The developed TaToo Tools provide a semantic web solution in order to close the discovery gap that prevents full and easy access to specific web resources. Furhter more we will discuss in detail the used ontological resources, the integration of TaToo Tools into the SVOD portal together with the evaluation of this integration.","247893","Open Access","0.3564","0.3443","10","[info] computer science [cs]","[info] computer science [cs]","0",NA,NA,"",""
