"doi","id","subject","title","authors","year","publisher","resulttype","language","journal","url","paper_abstract","project_id","accessright","x","y","area_uri","cluster_labels","area","cited_by_tweeters_count","readers.mendeley","citation_count","readers","file_hash"
"","dedup_wf_001::79ef6f31d3e70f473bd85eac9f76bdff","embryogénèse somatique","Towards the integration of somatic embryogenesis in Larix breeding program: from understanding the developmental pathway to clonal propagation","Lelu-Walter, Marie-Anne","2015-05-11","HAL CCSD","publication","","","","Advances in plant biotechnology offer new opportunities in the field of plant propagation. Development of clonal propagation method, such as somatic embryogenesis has potentially numerous applications such as the production of a large number of genetically improved plants and the amenability of embryogenic cultures to cryogenie storage. Since the 90's, INRA engaged researches on somatic embryogenesis in hybrid larch species (Larix x eurolepis, Larix x marschlinsii). lndeed, compared to the parental species, the hybrids are known for
			their remarkable vigour as weil as for their superior stem form and site adaptation (Pâques 1992). Several improvements and simplifications of somatic embryogenesis protocol were developed at all steps including initiation, cryopreservation, maturation and plant recovery. The improved procedure for somatic embryogenesis of Larix species leads to well-synchronised somatic embryo development. Mature cotyledonary SE most closely resemble zygotic embryo counterpart (anatomy, proteins content). [br/]
			Among conifer species, somatic embryogenesis of Larix is becoming a model; its integration in a breeding programme is now undertaken for clonal propagation of improved material of hybrid larch Larix x eurolepis (Lelu-Walter and Pâques 2009). lndeed, we believe that somatic embryogenesis should influence breeding strategies by offering an alternative tool for accelerated production of plants for genotype evaluation through clonal testing; in addition, cryoconservation allows keeping juvenility of material and its production at any time. Requirements for the effective integration of somatic embryogenesis into the larch breeding programme are presented.","284181","Open Access","0.2568","-0.5769","7","Somatic embryogenesis","Somatic embryogenesis",NA,NA,NA,"",""
"","narcis______::5c72315654e000b3329f0123a0e1ebde","forest information;information scenario;manual european","Manual for the European Forest Information Scenario model (EFISCEN 4.1)","Verkerk, P.J.","2016-01-01","European Forest Institute","publication","","","http://edepot.wur.nl/403059","","284181","Open Access","-0.1922","-0.6566","6","Forest information, Forest landscape, Information scenario","Forest information, Forest landscape, Information scenario",NA,NA,NA,"",""
"","dedup_wf_001::4756debad597303b477fb0346bbd79c7","Biología","Development of somatic embryogenesis for cloning and conservation of mature holm oak trees (Quercus ilex L.)","Barra Jiménez, Azahara","2015-09-04","E.T.S.I. Agrónomos (UPM)","publication","","","http://oa.upm.es/37470/1/AZAHARA_BARRA_JIMENEZ_V2_1.pdf","La  encina  (Quercus ilex  L.)  es  una  de  las  especies  forestales  mediterráneas  más  importantes.  Constituye  gran  parte  del  estrato  arbóreo  de  dehesas  o  montados,  produce  bellota como alimento del ganado y establece simbiosis con hongos micorrizógenos de gran  valor económico. La encina está considerada como una especie recalcitrante en términos de  conservación  de  semillas  y  capacidad  morfogénica,  lo  que  dificulta  los  programas  de  conservación de recursos  genéticos y la mejora de la especie.  La  propagación vegetativa es  una  potente  herramienta  de  los  programas  de  mejora,  por  lo  que  es  preciso  desarrollar  protocolos de regeneración somática en encina. La embriogénesis somática está considerada  como la modalidad más  adecuada de  regeneración  basada  en  técnicas de cultivo de tejidos  vegetales  utilizada  en  biotecnología  forestal.  Este  trabajo  se  centra  en  el  estudio  de  determinados aspectos de la embriogénesis somática para la regeneración clonal de encinas  adultas.  La  memoria  de  esta  tesis  se  ha  dividido  en  capítulos  que  se  corresponden  con  diferentes aspectos del sistema embriogénico.  La  embriogénesis somática se indujo  en tegumentos  maternos de óvulos en desarrollo  procedentes  de bellotas  inmaduras  de  encinas  adultas.  A  pesar de las  bajas  frecuencias  de  inducción,  las  líneas  embriogénicas  generadas  se  amplificaron  mediante  embriogénesis  secundaria  observándose  cierta  pérdida  de  la  capacidad  de  diferenciación  con  el  tiempo.  Tanto  el  genotipo  como  la  formulación  del  medio  de  cultivo  influyeron  en  la  respuesta  embriogénica,  concluyendo  que la  formulación  de  macronutrientes  de  Schenk  y Hildebrant  del medio sin reguladores de crecimiento fue la combinación más efectiva en la inducción. Los  resultados sugirieron la existencia de una ventana en el desarrollo del óvulo más sensible a la  inducción. El genotipo in[luyó en la capacidad proliferativa de los cultivos y en la conversión  de los  embriones  somáticos,  que se incrementó  suplementando  el  medio  con ácido  indol-3-butírico y 6-benciladenina. El  cultivo  en  medio  líquido  de  líneas  embriogénicas  en  condiciones  de  inmersión  transitoria incrementó  el  crecimiento,  dependiendo  del genotipo,  con respecto  al cultivo en  medio  semisólido.  Sin  embargo,  no  mejoró  la  capacidad  de  diferenciar  embriones  cotiledonares aislados.  Se estableció  un protocolo  de inicio  y mantenimiento  de cultivos en  suspensión  para  varias  líneas  embriogénicas  mediante  inoculación  en  alta  densidad  de  agregados embrionarios procedentes del medio semisólido. Para evitar la pérdida de vigor y la capacidad morfogénica debida al cultivo prolongado  se  desarrolló  un  protocolo  de  crioconservación  de  líneas  embriogénicas  mediante  vitrificación. Al determinar la influencia de los agentes crioprotectores antes y después de su  inmersión en nitrógeno líquido se concluyó que las respuestas de capacidad de crecimiento y  de  diferenciación  del  material  embriogénico  son  independientes,  además  de  estar  bajo  influencia del  genotipo  y el  tipo  de material  crioconservado. La combinación de sacarosa  y PVS2 previa a la inmersión en nitrógeno  líquido proporcionó la mayor tasa de recuperación. Cuando las líneas fueron crioconservadas 30 días la capacidad de diferenciación se perdió en todas ellas. El  análisis de SSR detectó  variación somaclonal  en el  material  crioconservado  a corto plazo. SSR y RAPD mostraron importantes diferencias genéticas entre los árboles donantes y el material  embriogénico  que  dependieron  del  genotipo.  El  grado  de  detección  dependió  del marcador empleado.  Ambos marcadores revelaron baja inestabilidad intraclonal. Los RAPD revelaron variación genética intra-individuo en las encinas donantes. Se discuten la variación genética pre-existente en encina, su aparición durante las primeras fases de la inducción de embriogénesis,  y  la  presencia  de  tejidos  provenientes  de  la  fertilización  en  el  explanto materno.  Esto  hace  preciso  definir  la  identidad  genética  del  material  donante  y  acometer ensayos de detección precoz de variación somaclonal.  ABSTRACT Holm oak (Quercus ilex L.) is one of the most important Mediterranean forest species. It  conforms the tree layer of dehesas or montados,  it  produces  acorns to  feed  the  livestock  and  it  establishes  symbiosis  with  profitable  mycorrhizal  fungi.  Holm  oak  is  considered  as  recalcitrant  species  in  terms  of  seed  conservation  and  morphogenic  capacities,  which  complicates the development of genetic conservation and improvement programs. Vegetative  propagation  is  one  of  the  mightiest  tools  for  breeding  programs  therefore;  developing  protocols  for  clonal  regeneration  of  holm  oak  is  essential.  Somatic  embryogenesis  is  considered the best  tissue culture-based way of plant  regeneration in forest  biotechnology.  The present  study  is  focused on the  study of certain  aspects  of somatic  embryogenesis  for  clonal  regeneration  of  mature  holm  oak.  This  thesis  manuscript  is  divided  into  several  chapters that match with different aspects of the embryogenic system.  Somatic embryogenesis induction was achieved on maternal  teguments of developing  ovules from immature acorns of adult holm oak trees. Despite the low induction frequencies,  the generated embryogenic  lines  were amplified by  secondary embryogenesis.  A decline  in  the differentiation capacity over time was also observed. It was concluded that both genotype  and culture  media formulation  influenced the embryogenic response,  being the Schenk  and  Hildebrandt´s macronutrients formulation from culture medium and the lack of plant growth  regulators the most effective combination for the induction of the embryogenic  response.  It  has  been suggested the existence of a developmental  window in which ovules are prone  to  induction. Genotype influenced the proliferation capacity and the plant conversion of somatic  embryos,  which  was  also  favoured  by  the  presence  of  indol-3-butyric  acid  and  6-bencyladenine. The  use  of  temporary  immersion  systems  as  proliferation  in  liquid  culture  of  the  embryogenic lines increased the growth depending on genotype, when compared to semisolid  cultures.  However,  it  did not  improve the differentiation of single cotyledonary  embryos.  A  protocol  for  the  initiation  and  maintenance  of  embryogenic  suspension  cultures  was  established for several embryogenic lines with highly dense inoculi  of embryogenic  clusters  from proliferating semisolid cultures. In order to avoid the loss of vigour and morphogenic ability of embryogenic lines due to  prolonged cultures, a cryopreservation protocol for embryogenic lines of holm oak  has been  developed. During the determination of the influence of cryoprotective agents on the growth  and differentiation capacities  before and after  liquid nitrogen immersion, it was  concluded  that  both  responses  were  independent  from  each  other  and  also  under  the  influence  of  genotype and the type of cryopreserved material. The combination of sucrose and PVS2 prior  liquid nitrogen immersion provided higher recovery rates. When the same embryogenic lines were  cryopreserved  for  30  days,  none  was  able  to  differentiate.  The  SSRs  analysis  of  the  short-term cryopreserved material detected somaclonal variation. Both  SSR  and  RAPD  markers  showed  high  sensitivity  to  detect  genetic  differences  between the donor trees and the generated embryogenic material. Nevertheless, the degree of  instability  detection  depended  on  the  marker.  The  SSR  analysis  indicated  a  relationship  between  genotype,  the  studied  loci  and  the  located  polymorphisms.  Also,  both  markers  revealed low  intraclonal genetic  variation.  The  RAPD  detected  genetic  variation within the  donor trees. The presence of pre-existent genetic variation within mature trees, in addition to  its  occurrence  during  the  early  stages  of  the  embryogenic  induction,  and  the  presence  of  tissues of fertilisation origin within the maternal explants are all discussed. Nonetheless, the  determination  of  the  genetic  identity  of  donor  material  is  required,  in  addition  to  early  detection methods of somaclonal variation.","284181","Open Access","0.628","-0.2921","7","Somatic embryogenesis","Somatic embryogenesis",NA,NA,NA,"",""
"","od______1503::c59519ba5fd26d89775cddf2b0a8664b","rolha","Transferência de oxigénio para o vinho em garrafas com rolha de cortiça natural","Oliveira, Vanda","2015-09-25","CEF","publication","","","","","147339","Open Access","0.093","0.7638","15","Rolha","Rolha",NA,NA,NA,"",""
"","od______1582::43a979f7d1aefa5450e68b718afd7434","Biotechnologies","Development of calibration model for measuring stilbene content of wood samples by NIRS","Pulkka, Susanna","2015-01-01","","publication","","","","","284181","Open Access","-0.5764","0.2412","9","Biotechnologies, Scots pine, Stilbene content","Biotechnologies, Scots pine, Stilbene content",NA,NA,NA,"",""
"","od______1503::d523b8cd53ec08bd9e27622948e282e3","natural cork stoppers","Cork structural characteristics and their influence on the oxygen ingress through wine stoppers","Oliveira, Vanda Cristina Paiva Tavares de","2016-01-01","ISA-UL","publication","","","","Doutoramento em Engenharia Florestal e dos Recursos Naturais - Instituto Superior de Agronomia - UL
			Cork structural characteristics and their influence on the oxygen ingress through wine stoppers 
			were studied aiming to contribute to an increased added-value of the natural cork stoppers. 
			The surface porosity features of cork stoppers can differentiate the three main commercial 
			classes used nowadays: the porosity coefficient was 2.4%, 4.0% and 5.5% for premium, good 
			and standard stoppers, respectively.  Image analysis also distinguished defects in the cork 
			structure: empty ant gallery; Coroebus undatus F. larvae gallery; and wetcork. Several 
			predictive classification models of stoppers into quality classes were built using the results 
			from cork stoppers surface characterization and a simplified model using the main 
			discriminant features i.e. porosity coefficient and the RGB colour-type variables was 
			presented.  
			X-ray tomography was used as a non-destructive technique to study the internal structure of 
			natural cork stoppers, allowing the visualization of some defects inside the cork stopper. After 
			characterization, the natural cork stoppers were used as closure of bottles and oxygen 
			diffusion measurements were made along time. The kinetics of oxygen transfer was similar 
			and could be adjusted to logarithmic models. On average 35% of the overall oxygen ingress occurred in the first 5 days, 59% in the 1st month and 78% in the first 3 months.  
			Microtomography images (voxel size of 50 µm) allowed the observation of lenticular channels 
			development and geometry, and the quantification of void and high density regions (HDR) 
			fractions. The evidence that the void fraction of lenticular channels in the innermost part of 
			the cork stopper inserted in the bottle was strongly related to the oxygen ingress in the first 
			month after bottling can be used for quality enhancement of natural cork stoppers with 
			incorporation of performance requirements","SFRH/BD/77550/2011","Open Access","0.2616","0.5911","11","Cork components","Cork components",NA,NA,NA,"",""
"","od______1628::8c727749b24f442f5b94c7e0c0e22da5","Hibridação in situ flurescente","Molecular and cytogenetic characterization of Pinus sylvestris L. populations","Pavia, Ivo Miguel Meneses","2015-12-04","","publication","","","","Dissertação de Mestrado em Genética Molecular Comparativa e Tecnológica
			Portugal constitui o limite mais ocidental da distribuição de Pinus sylvestris L. (pinheiro-silvestre). As alterações climáticas globais estão a afetar os ecossistemas florestais estão a ocorrer mais rápido que o tempo necessário à adaptação das árvores. As populações periféricas (situadas em limites de distribuição de uma espécie) têm sido estudadas ao nível da conservação, e constituem reservatórios de elevada diversidade genética intra-específica, além de terem regimes de seleção natural daqueles verificados nas populações centrais. A 'Serra do Gerês' pode ter sido um refúgio para P. sylvestris durante a última era glacial e algumas das populações atuais presentes em áreas ribeirinhas podem ser núcleos remanescentes das potenciais populações nativas.
			Este trabalho foi desenvolvido no âmbito do projeto da FCT: “Scots pine in Portugal: the Southwest end or just the end” (PTDC/AGR-CFL/110988/2009). O seu principal objetivo foi apoiar ou refutar a hipótese da origem nativa das populações Portuguesas de pinheiro-silvestre localizadas na 'Serra do Gerês' com base em marcadores microssatélite (SSR) (Capítulo II) e na localização física de sequências de DNA repetitivas através de hibridação in situ fluorescente (FISH) não desnaturante (ND-FISH) e FISH (Capítulo III).
			Durante a presente pesquisa, foram analisados cinco loci SSR cloroplastidiais (cpSSR) e quatro loci nucleares SSR (nSSR) em DNA genómico de 96 indivíduos pertencentes às populações da 'Serra do Gerês' - 'Ribeira das Negras' e 'Biduissa' - e a quatro populações europeias representativas da distribuição desta espécie. Todos os loci nSSR e cpSSR se revelaram altamente polimórficos. A análise Bayesiana identificou um número relevante de clusters K=3. As proporções de mistura da análise Bayesiana e as análises de coordenadas principais diferenciaram as populações Portuguesas entre si e das restantes populações. A totalidade dos dados SSR evidenciou que as populações Portuguesas da 'Serra do Gerês' têm origens diferentes comparativamente às estrangeiras, confirmando a sua origem autóctone.
			Entre as diversas sequências repetitivas de DNA testadas através de ND-FISH e FISH em esfregaços cromossómicos mitóticos de P. sylvestris de diferentes proveniências, apenas sete SSRs [(AC)10, (AG)10, (AG)12; (AAG)5; (AAC)5; (GATA)4; (GACA)5 e (GGAT)4]; a repetição telomérica (TTTAGGG)6 e a 45S rDNA hibridaram com sucesso. Os padrões de hibridação foram semelhantes entre diferentes proveniências. Apesar da inexistência de estudos citogenéticos ou ideograma anteriores baseados em SSRs para pinheiro-silvestre, construi-se o esboço de um ideograma com base na sequencia SSR (AG)10, que revelou o maior número de sinais de hibridação. Experiências FISH adicionais estão previstas para identificar inequivocamente todos os cromossomas individuais. Inesperadamente, a sonda telomérica revelou uma distribuição dispersa e intersticial nos cromossomas. A sonda 45S rDNA detetou 14 loci rDNA corroborando estudos anteriores desenvolvidos em P. sylvestris. Contrariamente aos dados moleculares, os marcadores citogenéticos não contribuíram para a resposta à hipótese inicial. Contudo, o presente estudo citogenético constituiu o primeiro esboço de um ideograma para P. sylvestris baseado em sondas SSR e na discriminação de populações nativas e/ou raças geográficas de pinheiro-silvestre por marcadores citogenéticos.
			Pinus sylvestris L. (Scots pine) is widely distributed across Eurasia, ranging from southern Iberian Peninsula to beyond the Arctic Circle. Portugal constitutes the rear-end limit of its distribution. The foreseen global climate changes may jeopardize the adaptation of forest ecosystems since the process of change is rather fast in contrast to the time frame of trees. Peripheral and rear-end populations have become relevant for conservation biologists. They constitute a reservoir of intra-specific genetic diversity and experienced different natural selection regimes relatively to central populations. ‘Serra do Gerês’ might constitute a refuge for P. sylvestris during the last glacial age and present populations, at some riparian areas, could be remnant nuclei of putative native populations.
			This work was developed under the scope of the FCT project “Scots pine in Portugal: the Southwest end or just the end” (PTDC/AGR-CFL/110988/2009). Its major goal was to verify if the Portuguese Scots pine populations of ‘Serra do Gerês’ are in fact native, based on simple sequence repeat (SSR) markers (Chapter II) and physical location of repetitive DNA sequences by nondenaturing fluorescence in situ hybridization (ND-FISH) and FISH (Chapter III).
			During the present research, cloroplastidial SSR (cpSSR) loci and four nuclear SSR (nSSR) loci were analyzed five on genomic DNA from 96 individuals belonging to two Scots pine populations of ‘Serra do Gerês’ - ‘Ribeira das Negras’ and ‘Biduissa’, and four foreign populations representative of this species distribution. Both nSSR and cpSSR loci revealed to be highly polymorphic. Bayesian analysis identified a relevant number of K=3 clusters. The admixture proportions of the Bayesian analysis and the Principal Coordinate Analyses differentiated the Portuguese populations from each other and from the remaining populations. The pool of the SSR data provided evidences that the Portuguese populations have different origins comparatively to the foreign ones, supporting their native origin.
			Among the several repetitive DNA sequences tested by ND-FISH and FISH experiments performed in mitotic chromosome spreads of P. sylvestris from different provenances, seven SSRs [(AC)10; (AG)10; (AG)12; (AAG)5; (AAC)5; (GATA)4; (GACA)5 and (GGAT)4], the telomeric (TTTAGGG)6 and the 45S ribosomal DNA (rDNA) probes successfully hybridized. The hybridization patterns were similar among different provenances. Although there are no previous cytogenetic studies or ideograms based on SSRs for P. sylvestris, was attempted the construction of an ideogram for the probe SSR (AG)10 which showed the highest number of hybridization signals. Additional FISH experiments are envisaged in order to identify unequivocally all individual chromosomes. Unexpectedly, the telomeric probe showed an interspersed distribution along the chromosomes. The 45S rDNA probe detected 14 rDNA loci corroborating previous studies developed in P. sylvestris. Conversely to the molecular data, the cytogenetic markers did not aid to answer the initial hypothesis. However, the present cytogenetic study constituted the first attempt of an ideogram construction for P. sylvestris based on SSRs and discrimination of native populations and/or geographic races of this species by cytogenetic markers.","110988","Open Access","0.5795","0.3264","13","Hibridação in situ flurescente","Hibridação in situ flurescente",NA,NA,NA,"",""
"","od______1582::3753f4962cdc9add3f47b2672c109673","Biotechnologies","Evaluation of Near Infrared Spectroscopy as a High-Throughput Phenotyping Method for Assessing the Natural Durability of Larch Wood","Simonot, Vincent","2015-01-01","","publication","","","","","284181","Open Access","-0.4764","0.4924","2","Infrared spectroscopy, Biotechnologies","Infrared spectroscopy, Biotechnologies",NA,NA,NA,"",""
"","od______1582::d005a1a950eb58a4a1e885ca0a476822","Biologie du développement","Impact of high throughput phenotyping on estimation of genetic parameters","Kärkkäinen, Katri","2016-01-01","","publication","","","","","284181","Open Access","0.1604","0.3384","8","Data in silico, Dealing with paralogy, Detection and single","Data in silico, Dealing with paralogy, Detection and single",NA,NA,NA,"",""
"","od______1582::9a6ee369c80273dd129f6b46dba03bb9","Biotechnologies","Determination of Larch Taxa with Near Infrared Spectroscopy","Segura, Vincent","2015-01-01","","publication","","","","","284181","Open Access","-0.4174","0.6149","2","Infrared spectroscopy, Biotechnologies","Infrared spectroscopy, Biotechnologies",NA,NA,NA,"",""
