"doi","id","subject","title","authors","year","publisher","resulttype","language","journal","url","paper_abstract","project_id","accessright","x","y","area_uri","cluster_labels","area","citation_count","cited_by_tweeters_count","readers.mendeley","readers","file_hash"
"10.1002/nme.3141","webcrawl____::25784e184871aeea08716b0f489a2b40","efficient flexible;modes switching;static modes","Static modes switching for more efficient flexible multibody simulation","Heirman, Gert H. K.","2011-01-01","WILEY-BLACKWELL","publication","","INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING","","","213543","Closed Access","-0.6208","-0.2341","11","Efficient flexible, Modes switching, Static modes","Efficient flexible, Modes switching, Static modes",8,NA,NA,"",""
"10.1007/s11044-011-9298-z","webcrawl____::9105dc778cbcd8dfd51c1302ca730c0b","global modal;modal parameterization;real time","Real-time flexible multibody simulation with Global Modal Parameterization","Naets, Frank","2012-01-01","SPRINGER","publication","","MULTIBODY SYSTEM DYNAMICS","","","213543","Closed Access","-0.3693","-0.547","7","Global modal, Modal parameterization, Real time","Global modal, Modal parameterization, Real time",8,NA,NA,"",""
"10.1007/s11044-013-9351-1","dedup_wf_001::5be3424c8347fea7cf12f1cac2048265","gear contact","On the applicability of static modes switching in gear contact applications","Tamarozzi, Tommaso","2013-02-01","Kluwer Academic Publishers","publication","","MULTIBODY SYSTEM DYNAMICS","https://lirias.kuleuven.be/bitstream/123456789/367701/2//2013_MUBO_preprint.pdf","Contact modeling is an active research area in the field of multibody dynamics. Despite
			the important research effort of the last decades, two main challenging issues, namely
			accuracy and speed, are far from being jointly solved. One main issue remains the
			current lack of model order reduction schemes capable of efficiently treat systems
			where multiple, a priori unknown, input-output locations are present. This work
			discusses how a methodology named static modes switching can be extended for its
			use in gear contact simulation. The method proposes an on line strategy for the
			selection of residual attachment modes for accurate local deformation prediction.
			The applicability of the method is discussed by means of several numerical
			experiments. The result is an indication that the static modes switching underlying idea
			can be applied also in case of impulsive phenomena like gear impacts. Moreover, a
			numerical study on penalty factor values and number of eigenmodes and residual
			attachment modes shows an interesting relation between these three quantities, the
			dynamic behavior of the system and the solution accuracy.
			Finally, some simulations are performed to compare the adopted model order
			reduction strategy with a reference non-linear finite element simulation.","213543","Open Access","-0.5335","0.1276","4","Gear contact, Static modes switching, Switching in gear","Gear contact, Static modes switching, Switching in gear",2,NA,NA,"",""
"10.1016/j.cattod.2011.09.002","webcrawl____::e4a1a04c3e95980903c1b4bec1956e8f","adsorption desorption;ammonia adsorption;automotive applications","Modelling the ammonia adsorption-desorption process over an Fe-zeolite catalyst for SCR automotive applications","Colombo, Massimo","2012-01-01","ELSEVIER SCIENCE BV","publication","","CATALYSIS TODAY","","","213543","Closed Access","0.0572","-0.6049","2","Adsorption desorption, Ammonia adsorption, Automotive applications","Adsorption desorption, Ammonia adsorption, Automotive applications",24,NA,NA,"",""
"10.1016/j.cattod.2011.12.017","webcrawl____::3bf23a1df749c028cbc03e0ea3894316","filters inhomogeneous;filtration regeneration;inhomogeneous wall","Filtration and regeneration modeling for particulate filters with inhomogeneous wall structure","Bollerhoff, Thomas","2012-01-01","ELSEVIER SCIENCE BV","publication","","CATALYSIS TODAY","","","213543","Closed Access","0.4254","-0.499","8","Filters inhomogeneous, Filtration regeneration, Inhomogeneous wall","Filters inhomogeneous, Filtration regeneration, Inhomogeneous wall",20,NA,NA,"",""
"10.1016/j.compstruct.2012.03.030","webcrawl____::6724619df8c39e57afb795cea9282280","composite material;errors influence;identified composite","Model errors influence on identified composite material properties","Wesolowski, M.","2012-01-01","ELSEVIER SCI LTD","publication","","COMPOSITE STRUCTURES","","","213543","Closed Access","0.187","-0.2598","9","Composite material, Errors influence, Identified composite","Composite material, Errors influence, Identified composite",5,NA,NA,"",""
"10.1016/j.finel.2012.05.006","webcrawl____::2e55e76cb8690157dfaf79d7179c58e3","approach beam;beam bounding;beam concept","Beam Bounding Box - a novel approach for beam concept modeling and optimization handling","Mihaylova, P.","2012-01-01","ELSEVIER SCIENCE BV","publication","","FINITE ELEMENTS IN ANALYSIS AND DESIGN","","","213543","Closed Access","0.5592","-0.0853","3","Approach beam, Beam bounding, Beam concept","Approach beam, Beam bounding, Beam concept",7,NA,NA,"",""
"10.1016/j.finel.2013.06.004","webcrawl____::6c839d83d1939c08f547ff5b53f8844d","beam fe;d beam;early stage","Potential error factors in 1D beam FE modeling for the early stage vehicle design","Mihaylova, P.","2013-01-01","ELSEVIER SCIENCE BV","publication","","FINITE ELEMENTS IN ANALYSIS AND DESIGN","","","213543","Closed Access","0.5876","0.1784","1","Beam fe, D beam, Early stage","Beam fe, D beam, Early stage",2,NA,NA,"",""
"10.1016/j.mcm.2011.11.006","dedup_wf_001::80dae2ba49c9dd03a46c485ffa9c9e29","CFD","Evaluation of the Eulerian Lagrangian Spray Atomization (ELSA) model in spray simulations: 2D cases","Hoyas, S","2013-04-01","Elsevier","publication","","","","The aim of this paper is the evaluation and validation of the Eulerian-Lagrangian Spray Atomization (ELSA) model implemented in a CFD code by Renault. ELSA is an integrated model for capturing the whole spray evolution, in particular including primary break-up and secondary atomization. Two-dimensional simulations have been performed during the study, which is in fact enough to capture some of the main features of the spray, such as the spray penetration and the axial velocity. A mesh independence study has also been carried out in order to characterize the lowest mesh size that can be used to correctly characterize the spray. Furthermore, the two-equation k-epsilon turbulence model has been adjusted by changing some of the parameters of the dissipation rate transport equation in order to accurately characterize the spray. Finally some analyses of the results obtained, in terms of penetration, liquid mass fraction and droplet number and size, are presented in the last section of the paper. (C) 2011 Elsevier Ltd. All rights reserved.
			This work was supported by Renault and VECOM (Vehicle Concept Modeling) EU FP7, under the Marie Curie Initial Training Network (ITN) Grant Agreement 213543. The authors also acknowledge the support of the Generalitat Valenciana, under the contract GV/2010/039.
			Hoyas, S.; Gil Megías, A.; Margot, XM.; Khuong-Anh, D.; Ravet, F. (2013). Evaluation of the Eulerian Lagrangian Spray Atomization (ELSA) model in spray simulations: 2D cases. Mathematical and Computer Modelling. 57(7-8):1686-1693. doi:10.1016/j.mcm.2011.11.006
			Senia
			1686
			1693
			57
			7-8","213543","Open Access","-0.0165","0.5314","6","Eulerian lagrangian spray, Spray simulations","Eulerian lagrangian spray, Spray simulations",9,"1","50","",""
"10.1016/j.mechmachtheory.2013.01.006","dedup_wf_001::160e4b73678219a8e3165a7243c7de72","static modes switching;","Static modes switching in gear contact simulation","Tamarozzi, Tommaso","2013-05-01","Pergamon Press","publication","","MECHANISM AND MACHINE THEORY","https://lirias.kuleuven.be/bitstream/123456789/367700/2//2013_MAMT_preprint.pdf","Contact modeling is an active research area in the field of multibody dynamics. Despite the
			important research effort, two main challenging issues, namely accuracy and speed, are not yet
			jointly solved. One main issue remains the lack of model order reduction schemes capable to
			efficiently treat systems where multiple, a priori unknown, input-output locations are present.
			This work first analyzes the importance of including the necessary residual attachment modes
			by numerical simulation of two gears meshing in an ad-hoc flexible multibody model. Given
			the large number of residual attachment modes needed, the methodology named static modes
			switching is extended and successfully applied to improve efficiency. The method proposes an
			on line selection of residual attachment modes for accurate local deformation prediction. The
			applicability to impact problems is discussed through numerical experiments and the automatic
			selection strategy is based purely on geometrical information. Results show that the method
			can be applied to gear meshing simulation, obtaining a high level of accuracy while preserving
			computational efficiency. Comparisons are made between modally reduced models, full nonlinear
			finite element and the proposed strategy","213543","Open Access","-0.4845","0.0517","4","Gear contact, Static modes switching, Switching in gear","Gear contact, Static modes switching, Switching in gear",7,NA,NA,"",""
