"doi","id","subject","title","authors","year","publisher","resulttype","language","journal","url","paper_abstract","project_id","accessright","x","y","area_uri","cluster_labels","area","citation_count","cited_by_tweeters_count","readers.mendeley","readers","file_hash"
"","od______3667::443f755927eee1cca2cc1c6232bf0526","ontology matching, metadata, language resource","A Meta-data Driven Platform for Semi-automatic Configuration of Ontology Mediators","Fiorelli, M","2014-01-01","European Language Resources Association (ELRA)","publication","","","","","318497","Open Access","-0.2521","-0.5734","7","Language resource, Metadata, Ontology matching","Language resource, Metadata, Ontology matching",NA,NA,NA,"",""
"","od______3667::ef1d1e20d28aad6ade577fa03dce8a39","Semantic Web; Linked Open Data; agro-environmental modelling; semantic technologies","Designing Innovative Linked Open Data and Semantic Technologies for Agro-environmental Modelling","Lokers, R","2014-01-01","International Environmental Modelling and Software Society (iEMSs)","publication","","","","","318497","Open Access","-0.0553","0.6083","4","Agro-environmental modelling, Linked open data, Semantic technologies","Agro-environmental modelling, Linked open data, Semantic technologies",NA,NA,NA,"",""
"10.1002/isaf.1362","od______3667::a006a5dcb502e651835de21c307d8b46","semantic annotation; semantic web; software engineering; business, management and accounting (all); finance","A Flexible approach to semantic annotation systems for web content","Fiorelli, M","2015-01-01","Academic Press Inc.","publication","","","","","318497","Restricted","-0.4162","0.3615","3","Semantic annotation, Comprehensive framework, Web content","Semantic annotation, Comprehensive framework, Web content",0,NA,NA,"",""
"10.1007/978-3-319-18818-8_3","dedup_wf_001::59620d7a4b75b7d1eeaf74f65ed0b6ca","LN. Data base management systems.","VocBench: a Web Application for Collaborative Development of Multilingual Thesauri","Stellato, Armando","2015-05-21","Springer","publication","","","http://eprints.rclis.org/28130/1/ESWC_VocBench_CAMERA-READY_v.Final%20%282%29.pdf","We introduce VocBench, an open source web application for editing thesauri complying with the SKOS and SKOS-XL standards. VocBench has a strong focus on collaboration, supported by workflow management for content validation and publication. Dedicated user roles provide a clean separation of competences, addressing different specificities ranging from management as-pects to vertical competences on content editing, such as conceptualization versus terminology editing. Extensive support for scheme management allows editors to fully exploit the possibilities of the SKOS model, as well as to fulfill its integrity constraints. We discuss thoroughly the main features of VocBench, detail its ar-chitecture, and evaluate it under both a functional and user-appreciation ground, through a comparison with state-of-the-art and user questionnaires analysis, re-spectively. Finally, we provide insights on future developments.","318497","Open Access","-0.609","0.1288","2","Ln. data base management systems.","Ln. data base management systems.",11,NA,NA,"",""
"10.1007/978-3-319-19066-2_13","od______3667::714053a21ad8eb6a2f4db2f39387cfbf","human-computer interaction; ontology engineering; ontology population; text analytics; UIMA; computer science (all); theoretical computer science","Sheet2RDF: a flexible and dynamic spreadsheet import&lifting framework for RDF","Fiorelli, M","2015-01-01","Springer Verlag","publication","","","","","318497","Restricted","-0.6061","-0.2676","8","Computer science (all), Human-computer interaction, Ontology engineering","Computer science (all), Human-computer interaction, Ontology engineering",2,NA,NA,"",""
"10.1007/978-3-319-24309-2_23","od______3667::740b8dd2e71e0e0721203a362850e09b","ontology matching; evaluation; architecture","GENOMA: GENeric Ontology Matching Architecture","Enea, R","2015-01-01","Springer-Verlag","publication","","","","","318497","Restricted","-0.0653","-0.6308","11","Architecture, Evaluation, Ontology matching","Architecture, Evaluation, Ontology matching",0,NA,NA,"",""
"10.1007/978-3-642-35233-1_29","ec_fp7_ict__::9997aaa6a74a4773d2d169dd474cfd65","agricultural learning;data driven;driven schema","Data-driven schema matching in agricultural learning object repositories","Koukourikos A.","2012-01-01","","publication","","","","","318497","Closed Access","0.2893","-0.5922","9","Agricultural learning, Data driven, Driven schema","Agricultural learning, Data driven, Driven schema",1,NA,NA,"",""
"10.1007/978-3-662-53455-7_6","od______2659::a8d15fab2f8e68a39cb56ff29d3f023c","Database management","Workload-Aware Self-Tuning Histograms for the Semantic Web","Zamani, Katerina","2016-09-10","","publication","","","","Query processing systems typically rely on histograms, data structures that approximate data distribution, in order to optimize query execution. Histograms can be constructed by scanning the database tables and aggregating the values of the attributes in the table, or, more efficiently, progressively refined by analysing query results. Most of the relevant literature focuses on histograms of numerical data, exploiting the natural concept of a numerical range as an estimator of the volume of data that falls within the range. This, however, leaves Semantic Web data outside the scope of the histograms literature, as its most prominent datatype, the URI, does not offer itself to defining such ranges. This article first establishes a framework that formalises histograms over arbitrary data types and provides a formalism for specifying value ranges for different datatypes. This makes explicit the properties that ranges are required to have, so that histogram refinement algorithms are applicable. We demonstrate that our framework subsumes histograms over numerical data as a special case by using to formulate the state-of-the-art in numerical histograms. We then proceed to use the Jaro-Winkler metric to define URI ranges by exploiting the hierarchical nature of URI strings. This greatly extends the state of the art, where strings are treated as categorical data that can only be described by enumeration. We then present the open-source STRHist system that implements these ideas. We finally present empirical evaluation results using STRHist over a real dataset and query workload extracted from AGRIS, the most popular and widely used bibliographic database on agricultural research and technology.","318497","Open Access","0.2398","0.5716","6","Database management","Database management",0,NA,NA,"",""
"10.1016/j.procs.2012.04.173","dedup_wf_001::6354e7a914a17a805976cc332451ac24","agricultural data;boosting real;data infrastructures","Using a POWDER Triple Store for Boosting the Real-time Performance of Global Agricultural Data Infrastructures","Karampiperis, Pythagoras","2012-01-01","Elsevier BV","publication","","Procedia Computer Science","","","318497","Open Access","0.6258","0.1672","1","Agricultural data, Compressing semantic, Data infrastructures","Agricultural data, Compressing semantic, Data infrastructures",0,NA,NA,"",""
"10.1016/j.procs.2013.05.285","dedup_wf_001::7bd48a676d07623b185282a92eca150d","Recommender systems","Layered Evaluation of Multi-Criteria Collaborative Filtering for Scientific Paper Recommendation","Manouselis, Nikos","2013-01-01","Elsevier BV","publication","","Procedia Computer Science","https://lirias.kuleuven.be/bitstream/123456789/476465/1//1-s2.0-S1877050913004286-main.pdf.pdf","Recommendation algorithms have been researched extensively to help people deal with abundance of information. In recent years, the incorporation of multiple relevance criteria has attracted increased interest. Such multi-criteria recommendation approaches are researched as a paradigm for building intelligent systems that can be tailored to multiple interest indicators of end-users – such as combinations of implicit and explicit interest indicators in the form of ratings or ratings on multiple relevance dimensions. Nevertheless, evaluation of these recommendation techniques in the context of real-life applications still remains rather limited. Previous studies dealing with the evaluation of recommender systems have outlined that the performance of such algorithms is often dependent on the dataset – and indicate the importance of carrying out careful testing and parameterization. Especially when looking at large scale datasets, it becomes very difficult to deploy evaluation methods that may help in assessing the effect that different system components have to the overall design. In this paper, we study how layered evaluation can be applied for the case of a multi-criteria recommendation service that we plan to deploy for paper recommendation using the Mendeley dataset. The paper introduces layered evaluation and suggests two experiments that may help assess the components of the envisaged system separately.","318497","Open Access","0.5007","-0.3897","10","Recommender systems","Recommender systems",5,NA,NA,"",""
