"id","subject","title","authors","year","publisher","resulttype","language","journal","url","paper_abstract","doi","x","y","area_uri","cluster_labels","area","readers","file_hash"
"core_ac_uk__::58d12a53d0734857a3ca03a11d36f552","living deliverables;collaboration","The afterlife of 'living deliverables': angels or zombies?","Wild, Fridolin","2010","","","","","http://oro.open.ac.uk/24697/1/ECTEL2010research20_submission_final%5B1%5D.pdf","Within the STELLAR project, we provide the possibility to use living documents for the collaborative writing work on deliverables. Compared to 'normal' deliverables, 'living' deliverables come into existence much earlier than their delivery deadline and are expected to 'live on' after their official delivery to the European Commission. They are expected to foster collaboration. Within this contribution we investigate, how these deliverables have been used over the first 16 months of the project. We therefore propose a set of new analysis methods facilitating social network analysis on publicly available revision history data. With this instrumentarium, we critically look at whether the living deliverables have been successfully used for collaboration and whether their 'afterlife' beyond the contractual deadline had turned them into 'zombies' (still visible, but no or little live editing activities). The results show that the observed deliverables show signs of life, but often in connection with a topical change and in conjunction with changes in the pattern of collaboration.","","-0.0422","-0.7348","6","Collaboration, Living deliverables","Collaboration, Living deliverables","",""
"core_ac_uk__::9da05c8b85b3bb31b7e3a8127ac669d8","reflection;automated;detection","An architecture for the automated detection of textual indicators of reflection","Ullmann, Thomas Daniel","2011","","","","","http://oro.open.ac.uk/33406/1/paper14.pdf","Manual annotation of evidence of reflection expressed in texts is time consuming, especially as fine-grained models of reflection require extensive training of coders, otherwise resulting in low inter-coder reliability. Automated reflection detection provides a solution to this problem. Within this paper, a new basic architecture for detecting evidence of reflection is proposed that allows for automated marking up of written accounts of certain, observable elements of reflection. Furthermore, three promising example annotators of elements of reflection are identified, implemented, and demonstrated: detecting reflective keywords, premise and conclusions of arguments, and questions. It appears that automated detection of reflections bears the potential to support learning with technology at least on three levels: it can foster creating awareness of the reflectivity of own writings, it can help in becoming aware of reflective writings of others, and it can make visible reflective writings of learning networks as a whole.","","0.2973","-0.6062","11","Automated, Detection, Reflection","Automated, Detection, Reflection","",""
"dedup_wf_001::0a58001fee20b837a0eae1607adca84f","[SHS.EDU] Humanities and Social Sciences/Education","First experiences with a Science 2.0 infrastructure","Lindstaedt, Stefanie","2011","HAL CCSD","","","","https://telearn.archives-ouvertes.fr/hal-00852079/document","This deliverable reports on first usage experiences and evaluations of the STELLAR Science 2.0 Infrastructure. Usage experiences were available predominantly for the \"mature\" part of the infrastructure provided by standard Web 2.0 tools adapted to STELLAR needs. Evaluations are provided for newly developed tools. We first provide an overview of the whole STELLAR Science 2.0 Infrastructure and the relationships between the building blocks. While the individual building blocks already benefit researchers, the integration between them is the key for a positive usage experience. The publication meta data ecosystem for example provides researchers with an easy to retrieve set of TEL related data. Tools like the ScienceTable, Muse, the STELLAR latest publication widget, and the STELLAR BuRST search show already several scenarios of how to make use of this infrastructure. Especially a strong focus on anlytical tools based on publication and social media data seem useful. In order to highlight the relevance of the infrastructure to the individual capacitiy building activties within STELLAR, the usage experiences of individual building blocks are then reported with respect to Researcher Capacity (e.g. Deliverable Wikis, More! application), Doctoral Academy Capacity (e.g. DoCoP), Community Level Capacity (e.g TELeurope), and Leadership Capacity (e.g. Meeting of Minds, Podcast Series). Here we draw from 11 scientific papers published. The reader will find an overview of all these papers in the Appendix. Based on the usage experiences and evaluations we have identified a number of ideas which might be worth considering for future developments. For example, the experiences gained with the Deliverable Wikis show how the modification of the standard Wiki history can provide useful analytical insights into the collaboration of living deliverables and can return the focus on authorship (which is intentionally masked in Wikis, because of their strong notion on the product and not on authors). We conclude with main findings and an outlook on the development plan and evaluation plan which are currently being developed and which will influence D6.6. Particularly, we close with the notion of a Personal Research Environment (PRE) which draws from the concept of Personal Learning Environments (PLE).","","-0.1875","-0.5171","7","[shs.edu] humanities and social sciences/education","[shs.edu] humanities and social sciences/education","",""
"dedup_wf_001::19f1cda0dc66b0b76fdc4a25841d8e87","learning design; authoring tools; inquiry learning; personal inquiry","Learning design Rashomon II: exploring one lesson through multiple tools","P. Prieto, Luis","2013","HAL CCSD","","","Research in Learning Technology","https://hal.archives-ouvertes.fr/hal-00872208/document","An increasing number of tools are available to support the learning design process at different levels and from different perspectives. However, this variety can make it difficult for researchers and teachers to assess the tool that is best suited to their objectives and contexts as learning designers. Several of the tools are presented elsewhere in this issue. In this article, the aforementioned tools are used as lenses to view the same learning design narrative – an inquiry-based learning lesson on healthy eating aimed at secondary-school students – from different perspectives, in a manner inspired by the plot structure of Kurosawa’s film “Rashomon”. In modelling the lesson on five tools, we uncovered similarities and differences in relation to the challenges posed by modelling a particular learning scenario, the ease of implementation of the computer-interpretable products’ output by the tools and their different target audiences and pedagogical specialities. This comparative analysis thus illustrates some of the current underlying issues and challenges in the field of Learning Design.Keywords: learning design; authoring tools; inquiry learning; personal inquiry(Published: 16 September 2013)Citation: Research in Learning Technology Supplement 2013, 21: 20057 - http://dx.doi.org/10.3402/rlt.v21i0.20057","10.3402/rlt.v21i0.20057","0.2313","0.2942","3","Learning design rashomon, Supporting the design","Learning design rashomon, Supporting the design","",""
"dedup_wf_001::27d407fa6cf89314df50b5a0bab81596","[SHS.EDU] Humanities and Social Sciences/Education","Engaging the community in multidisciplinary TEL research: a case-study from networking in Europe","Camilleri, Anthony Fisher ","2010","HAL CCSD","","","","https://hal.archives-ouvertes.fr/hal-00593024/document","The STELLAR Network of Excellence was launched in February 2009 with the explicit intention of Sustaining Large Scale Multi-Disciplinary Research in Technology Enhanced Learning. So as to support this aim, the network has defined a number of different activity tracks, aimed at building capacity amongst senior-level researchers/decision makers, mid-level researchers and junior researchers/PhD students as well with a separate track dedicated to building community level capacity. In the abstract, the community around any research study might usually be defined as the subject of the research. However, the focus of the community-capacity building activities of STELLAR, considers the role of the community as object of the research  a main consumer of the products of research, and having a stake in setting the research agenda itself. Thus, on the one hand, the STELLAR consortium needs to inform its actions and activities based on needs and wishes of stakeholders, while at the same time it intends to mobilise the same stakeholders, to forge common policy positions with respect to future development of TEL in Europe. This paper takes these activities as a case-study in structured social-network design, and considers the impact such activities may have on the field of technology enhanced learning in the coming years. The data is based on the first year of activities of the network, which are intended to last 40 months and are designed around the overlapping activities of connecting, orchestrating and contextualising stakeholders. The paper describes the elements of the stakeholder engagement plan as deployed by the STELLAR network in TELeurope, the activities conducted so far, and the plans for the future. It explains the consortiums approach to stakeholder analysis, particularly the adaptation of existing methodologies, to produce a numerical ranking of stakeholders, by alliance potential. With regards to TELeurope, an emerging social platform being deployed by the STELLAR consortium so as to help this process of networking, it explains the current state of the affairs and plans for development of the platform, while referencing the work of Svensen & Laberge, and adapts the work of Bryson to contextualise these activities within a broader theoretical framework. Finally, the paper considers the quality monitoring elements and evaluation approach of the consortium, and makes recommendations as to how the networking strategy can be further energised, and as to how the process of evaluation can be improved. It concludes that the TELeurope strategy shows a high potential for stimulating engagement of stakeholders, subject to a number of caveats, which can be avoided through judicious policy choices within the next year.","","-0.2379","-0.2268","8","Building with stakeholders, Case study, Community building","Building with stakeholders, Case study, Community building","",""
"dedup_wf_001::6d64e0e21f1f4692312fceaef934f55f","Game Based Learning","Accompagner les enseignants dans le processus d'adoption d'une pédagogie par le jeu","Emin-Martinez, Valérie","2013","IRIT Press 2013","","","","https://hal.archives-ouvertes.fr/hal-00872340/document","Thématique session : Jeux pour apprendre (Jeux-Enseignant) - http://www.irit.fr/EIAH2013; International audience; L'évolution des pratiques enseignantes est au cœur des préoccupations de nombreuses recherches en sciences de l'éducation et en EIAH. Les pédagogies actives proposées depuis de nombreuses années peinent à s'intégrer à l'enseignement formel en milieu scolaire, notamment les démarches d'investigation, la résolution de problèmes, l'apprentissage par projet et l'apprentissage par le jeu. Ce papier s'intéresse à la manière dont les enseignants peuvent introduire les jeux dans leur pratique usuelle et tente de dégager les éléments d'un modèle d'adoption. Les deux questions de recherche auxquelles nous tentons de répondre ici sont : (1) quelles sont les questions qui se posent à un enseignant qui introduit des jeux dans sa classe ? et (2) quel processus d'adoption peut-on observer chez des enseignants introduisant un jeu dans leur classe pour la première fois ? Les jeux étudiés ici ont une composante numérique plus ou moins présente, allant des jeux vidéo au scenario pédagogique intégrant une courte phase de jeu médiatisé. Cet article propose une grille de questions élaborées à partir d'une revue de la littérature et d'une série d'entretiens, ainsi qu'un modèle d'adoption basé sur la théorie de la diffusion de l'innovation de Rogers et une étude de cas. Nous terminons sur quelques perspectives en ce qui concerne l'accompagnement des enseignants dans le processus d'adoption d'une pédagogie par le jeu.","","0.6488","-0.4552","12","Game based learning","Game based learning","",""
"dedup_wf_001::857d328e822f37a75a2ec794849960c8","recommender systems;tel","Context-aware recommender systems for learning: a survey and future challenges","Verbert, Katrien","2012","IEEE","","","IEEE TRANSACTIONS ON LEARNING TECHNOLOGIES","https://lirias.kuleuven.be/bitstream/123456789/338644/3//survey-final.pdf","Recommender systems have been researched extensively by the Technology Enhanced Learning (TEL) community during the last decade. By identifying suitable resources from a potentially overwhelming variety of choices, such systems offer a promising approach to facilitate both learning and teaching tasks. As learning is taking place in extremely diverse and rich environments, the incorporation of contextual information about the user in the recommendation process has attracted major interest. Such contextualization is researched as a paradigm for building intelligent systems that can better predict and anticipate the needs of users, and act more efficiently in response to their behavior. In this paper, we try to assess the degree to which current work in TEL recommender systems has achieved this, as well as outline areas in which further work is needed. First, we present a context framework that identifies relevant context dimensions for TEL applications. Then, we present an analysis of existing TEL recommender systems along these dimensions. Finally, based on our survey results, we outline topics on which further research is needed.","10.1109/TLT.2012.11","-0.1849","0.2838","10","Recommender systems","Recommender systems","",""
"dedup_wf_001::9d227299759c5205a10d093209a4ad48","ambient displays;channel literature;displays learning","Beyond the channel: A literature review on ambient displays for learning","Borner, Dirk","2013","PERGAMON-ELSEVIER SCIENCE LTD","","","COMPUTERS & EDUCATION","","Börner, D., Kalz, M., & Specht, M. (2013). Beyond the channel: A literature review on ambient displays for learning. Computers & Education, 60(1), 426–435.","10.1016/j.compedu.2012.06.010","0.4725","0.5392","1","Ambient displays, Channel literature, Displays learning","Ambient displays, Channel literature, Displays learning","",""
"dedup_wf_001::cff1fe618b096a73258df2416f276493","Education","Learning design Rashomon I &#x2013; supporting the design of one lesson through different approaches","Donatella Persico","2013","Association for Learning Technology","","","Research in Learning Technology","http://www.researchinlearningtechnology.net/index.php/rlt/article/download/20224/pdf_1","This paper presents and compares a variety of approaches that have been developed to guide the decision-making process in learning design. Together with the companion Learning Design Rashomon II (Prieto et al., 2013), devoted to existing tools to support the same process, it aims to provide a view on relevant research results in this field. The common thread followed in these two contributions is inspired by Kurosawa'1s Rashomon film, which takes multiple perspectives on the same action. Similarly, in this paper, Rashomon I, a lesson on “Healthy Eating” is analysed according to five different approaches, while the Rashomon II paper is used to exemplify the affordances of different tools. For this reason, this paper does not follow the conventional structure of research papers (research question, method, results and discussion), but rather it moves from an introduction providing the rationale for the paper, to a description of the five different approaches to learning design (the 4SPPIces Model, the 4Ts, the e-Design Template, the Design Principles Database and the Design Narrative) and then to a discussion of their similarities and differences to inform the choice of potential users.Keywords: learning design approaches; pedagogical planning; inquiry learning(Published: 16 September 2013)Citation: Research in Learning Technology Supplement 2013, 21: 20224 - http://dx.doi.org/10.3402/rlt.v21i0.20224","10.3402/rlt.v21i0.20224","0.2293","0.1162","3","Learning design rashomon, Supporting the design","Learning design rashomon, Supporting the design","",""
"dedup_wf_001::e16800221da8d5fe12d29dd71e2ba9ad","Technology Enhanced Learning","Supporting Teachers in the Process of Adoption of Game Based Learning Pedagogy","Emin-Martinez, Valérie","2013","ACPI","","","","https://hal.archives-ouvertes.fr/hal-00872282/document","International audience; In an attempt to address the difficulty to integrate Game-Based Learning (GBL) in the teaching practices, this paper proposes a model for the process of teachers' adoption of games, based on a first research work which led to a structured question matrix designed to foster teacher reflection on key issues that arise during this process. We focus on formal education and consider not only digital (educational) games but also other game-like activities such as role-plays and simulations. In tackling the matter of adoption, this paper addresses a key issue: How does the adoption process unfold when teachers introduce games in their classes for the first time? To answer this question, Roger's \"Diffusion of Innovations\" theory was used as the conceptual framework for analysing a case study. The case study took place in France with a group of six high school teachers who introduced three different games, in teams of two. We also provide different tools to support the adoption process: resources, activities, questionnaires, pedagogical scenario, patterns of activities and scenarios. Our efforts to support teachers' adoption and use of GBL are not designed to offer a one-size-fits-all solution. Rather, they are aimed at providing tools to foster reflection and facilitate the adoption process. It is hoped that this work will help overcome some teachers' resistance to GBL, and this will be the subject of further verification.","","0.3474","-0.2326","4","Game based learning","Game based learning","",""
