"doi","id","subject","title","authors","year","publisher","resulttype","language","journal","url","paper_abstract","x","y","area_uri","cluster_labels","area","cited_by_tweeters_count","readers.mendeley","citation_count","readers","file_hash"
"","core_ac_uk__::6e3591d08eb0a8e9ec06faef8cad5505","response emergency;camera;control room","Communicating with Citizens on the Ground: A Practical Study","Mazumdar, S.","2016-01-01","IGI Global","","","","http://eprints.whiterose.ac.uk/112857/13/mazumdar_IJISCRM_8_2_-open_access_.pdf","Availability and access to information is critical for a highly effective response to an ongoing event however, information reported by citizens is based on their context, bias and subjective interpretation, and the channel of communication may be too narrow to provide clear, accurate reporting. This can often lead to inadequate response to an emergency, which can in turn result in loss of property or even lives. Excessive response to an emergency can also result in a waste of highly resources. Our solution to address this problem is to make the citizen act as a camera for the control room by exploiting the user’s mobile camera. The system is designed to provide a live view of the citizen’s immediate surroundings, while control room personnel can provide instructions. In this paper, we introduce our approach and share initial insights from a focus group validation session and then four evaluations with users within a separate but closely related domain. We discuss our observations, evaluation results and provide a set of recommendations for the Emergency Response domain.","0.6334","0.0183","1","Camera, Control room, Response emergency","Camera, Control room, Response emergency",NA,NA,NA,"",""
"","core_ac_uk__::811d6673a1dc09cebcfb95043787f1ec","augmented reality;app;flood plane","Mobile Augmented Reality for Flood Visualisation in Urban Riverside Landscapes","Haynes, P.","","Herbert Wichmann Verlag","","","","http://eprints.whiterose.ac.uk/106451/1/MobileAugmentedReality.pdf","Frequency of flooding events worldwide has increased significantly over the past decades, and with it so has the need to raise citizen’s awareness of potential dangers within local flood zones. Smart phones provide a feasible means with which to educate the public in this way. We present a working smart phone app to engage the public with local flood zones by visualising potential flood levels. An interactive augmented reality (AR) tool provides in situ modeling of simple prototype 3D building models (cuboids) along a riverside, which are used to “occlude” an augmented flood plane within the scene. Flood plane height may be adjusted by the user. We discuss related AR work, tools for real-time in situ geometry modeling, app operation and present and on site demonstration.","0.0083","-0.7017","4","App, Augmented reality, Flood plane","App, Augmented reality, Flood plane",NA,NA,NA,"",""
"","core_ac_uk__::12f8b7d5c3e33986ec86d2848431cff9","ots;video communication","Access Visits using Video Communication","Mazumdar, S.","2017-01-01","IOS Press","","","","http://eprints.whiterose.ac.uk/117617/1/AAATE2017.pdf","An online video communication system is presented that enables Occupational Therapists (OTs) assess patient homes for assistive technology needs before acute care discharge to ensure appropriate independence and recovery conditions. Explorations under multiple conditions revealed perspectives from OTs and volunteer facilitators. Preliminary key findings and insights are reported.","0.619","0.4128","12","Ots, Video communication","Ots, Video communication",NA,NA,NA,"",""
"","core_ac_uk__::64761992baed2ea7a40de66f4271ff86","created shared;innovative;solutions","Citizens observatories for effective Earth observations: the WeSenseIt approach","Mazumdar, Suvodeep","2016-08-04","Institution of Environmental Sciences","","","","http://eprints.mdx.ac.uk/20536/1/CitizensObservatoriesForEffectiveEarthObservationsTheWeSenseItApproach_es_citizen_science_aug_16.pdf","The WeSenseIt project defines citizen observatories as “A method, an environment and an infrastructure supporting an information ecosystem for communities and citizens, as well as emergency operators and policymakers, for discussion, monitoring and intervention on situations, places and events” . A collaborative approach has been taken to develop solutions that involve an exchange of information and expertise from all participants and where the focus is on arriving at practical solutions with a clear vision and direction. This has created a shared ownership scheme, and shifts power to the process itself rather than remaining within authorities, developers or decision-makers. The project’s emphasis is on delivering highly innovative technologies to support citizens, communities and authorities in developing a real-time situation awareness while ensuring all stakeholders play their part. Implementation has been through a combination of crowdsourcing, custom applications and dedicated web portals designed to foster collaboration, and which has created a shared knowledge base that facilitates decision-making processes and engages with communities. Data is captured via innovative sensors that are used directly by citizens, crowdsourcing from social networks (or by collective intelligence).","0.4236","-0.1946","5","Created shared, Innovative, Solutions","Created shared, Innovative, Solutions",NA,NA,NA,"",""
"","od______1874::157a1480c633088c88e6cc190185d764","based gravitational;binaries networks;black hole","Search for intermediate mass black hole binaries with networks of ground-based gravitational-wave detectors","Mazzolo, G.","2013-01-01","","","","","","","-0.6088","0.4236","3","Based gravitational, Binaries networks, Black hole","Based gravitational, Binaries networks, Black hole",NA,NA,NA,"",""
"","core_ac_uk__::fe3523a1c04d341cb3b9d46936fe7022","citizens observatories;wesenseit","Citizens' observatories for situation awareness in flooding","Lanfranchi, V.","2014-01-01","","","","","http://eprints.whiterose.ac.uk/116349/1/iscram2014.pdf","Citizens' observatories are emerging as a means to establish interaction and co-participation between citizens and authorities during both emergencies and the day-to-day management of fundamental resources. In this paper we present a case study in which a model of citizens' observatories is being been translated into practice in the WeSenseIt project. The WeSenseIt citizens' observatory provides a unique way of engaging the public in the decision-making processes associated with water and flood management through a set of new digital technologies. The WeSenseIt citizens' observatory model is being implemented in three case studies based in the UK, the Netherlands and Italy. We describe the findings and our experiences following preliminary evaluations of the technologies and the model of co-participation and describe our future research plans.","0.3229","-0.4648","10","Citizens observatories, Wesenseit","Citizens observatories, Wesenseit",NA,NA,NA,"",""
"10.1016/j.envsci.2014.12.017","dedup_wf_001::f263f419a996fb9e7bf90f2a7479d0ac","Management, Monitoring, Policy and Law","Participation in flood risk management and the potential of citizen observatories: A governance analysis","Wehn, U.","2015-04-01","Elsevier","","","Environmental Science & Policy","http://eprints.whiterose.ac.uk/117705/1/1-s2.0-S1462901114002457-main.pdf","The implementation of the European Flood Directive 2007/60/EC requires the establishment\ud of public participation mechanisms to ensure citizens’ involvement in the flood management\ud cycle. This raises questions on how to achieve this goal and successfully translate the\ud directive into meaningful and effective participation. Innovative means, such as citizen\ud observatories enabled by information and communication technologies, have the potential\ud to provide citizens with a substantially new role in decision-making. In this paper, we\ud present a framework developed for analysing the potential for participation via ICT-enabled\ud citizen observatories and undertake a comparative analysis of the UK, the Netherlands and\ud Italy. Expository and qualitative research was undertaken in the three case study areas, with\ud the aim of identifying and comparing the transposition of the EU Flood directive and the\ud mechanisms in place for citizens’ participation during different phases of the disaster cycle\ud (prevention, preparedness, response, and recovery). Our analysis of the transposition of\ud legal obligations for citizen participation shows that implementation is limited when\ud examining both the respective roles and types of interactions between citizen and authorities\ud and the impact of citizen participation on decision-making. Different authorities have\ud differing perceptions of citizen participation in flood risk managementin terms of their roles\ud and influence. Our results also indicate that these perceptions are related to the importance\ud that the authorities place on the different stages of the disaster cycle. This understanding is\ud crucial for identifying the potential of citizen observatories to foster greater citizen engagement\ud and participation.","0.5021","-0.3995","9","Management, Monitoring, Policy and law","Management, Monitoring, Policy and law","3","181",29,"",""
"10.1088/0004-637x/744/2/105",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","NULL","1","18",66,"",""
"10.1088/0004-637X/744/2/105","narcis______::85c19cdc5138a2fbe34bc154df99b5a9","Astrophysics::High Energy Astrophysical Phenomena","Discovery of Nine Gamma-Ray Pulsars in Fermi Large Area Telescope Data Using a New Blind Search Method","Pletsch, H.J.","2012-01-01","","","","","https://pure.uva.nl/ws/files/1635870/134005_Discovery_of_Nine_Gamma_Ray_Pulsars.pdf","We report the discovery of nine previously unknown gamma-ray pulsars in a blind search of data from the Fermi Large Area Telescope (LAT). The pulsars were found with a novel hierarchical search method originally developed for detecting continuous gravitational waves from rapidly rotating neutron stars. Designed to find isolated pulsars spinning at up to kHz frequencies, the new method is computationally efficient and incorporates several advances, including a metric-based gridding of the search parameter space (frequency, frequency derivative, and sky location) and the use of photon probability weights. The nine pulsars have spin frequencies between 3 and 12 Hz, and characteristic ages ranging from 17 kyr to 3 Myr. Two of them, PSRs J1803-2149 and J2111+ 4606, are young and energetic Galactic-plane pulsars (spin-down power above 6 × 1035 erg s-1 and ages below 100 kyr). The seven remaining pulsars, PSRs J0106+4855, J0622+3749, J1620-4927, J1746-3239, J2028+3332, J2030+4415, and J2139+4716, are older and less energetic; two of them are located at higher Galactic latitudes (|b| > 10°). PSR J0106+4855 has the largest characteristic age (3 Myr) and the smallest surface magnetic field (2 × 1011 G) of all LAT blind-search pulsars. PSR J2139+4716 has the lowest spin-down power (3 × 1033 erg s-1) among all non-recycled gamma-ray pulsars ever found. Despite extensive multi-frequency observations, only PSR J0106+4855 has detectable pulsations in the radio band. The other eight pulsars belong to the increasing population of radio-quiet gamma-ray pulsars.","-0.0523","0.6587","14","Astrophysics::high energy astrophysical phenomena","Astrophysics::high energy astrophysical phenomena",NA,NA,66,"",""
"10.1088/0004-637x/773/2/91",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","NULL","14","19",29,"",""
"10.1088/0004-637X/773/2/91","dedup_wf_001::302758528d285bd720a0aa58e45e1f2e","Astrophysics - Astrophysics of Galaxies","The Einstein@Home search for radio pulsars and PSR J2007+2722 discovery","Allen, B.","2013-01-01","","","","","https://pure.uva.nl/ws/files/2071690/147756_The_Einstein_Home.pdf","Einstein@Home aggregates the computer power of hundreds of thousands of volunteers from 193 countries, to search for new neutron stars using data from electromagnetic and gravitational-wave detectors. This paper presents a detailed description of the search for new radio pulsars using Pulsar ALFA survey data from the Arecibo Observatory. The enormous computing power allows this search to cover a new region of parameter space; it can detect pulsars in binary systems with orbital periods as short as 11 minutes. We also describe the first Einstein@Home discovery, the 40.8 Hz isolated pulsar PSR J2007+2722, and provide a full timing model. PSR J2007+2722's pulse profile is remarkably wide with emission over almost the entire spin period. This neutron star is most likely a disrupted recycled pulsar, about as old as its characteristic spin-down age of 404 Myr. However there is a small chance that it was born recently, with a low magnetic field. If so, upper limits on the X-ray flux suggest but can not prove that PSR J2007+2722 is at least ~ 100 kyr old. In the future, we expect that the massive computing power provided by volunteers should enable many additional radio pulsar discoveries.","0.0632","0.5537","15","Einstein home","Einstein home",NA,NA,29,"",""
"10.1088/0004-637x/774/2/93",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","NULL","23","18",17,"",""
"10.1088/0004-637X/774/2/93","dedup_wf_001::e11346c9b806b835827a79e46b3577ea","General Relativity and Quantum Cosmology","Einstein@Home Discovery of 24 Pulsars in the Parkes Multi-beam Pulsar Survey","Knispel, B.","2013-01-01","","","","","","We have conducted a new search for radio pulsars in compact binary systems in the Parkes multi-beam pulsar survey (PMPS) data, employing novel methods to remove the Doppler modulation from binary motion. This has yielded unparalleled sensitivity to pulsars in compact binaries. The required computation time of approximately 17000 CPU core years was provided by the distributed volunteer computing project Einstein@Home, which has a sustained computing power of about 1 PFlop/s. We discovered 24 new pulsars in our search, of which 18 were isolated pulsars, and six were members of binary systems. Despite the wide filterbank channels and relatively slow sampling time of the PMPS data, we found pulsars with very large ratios of dispersion measure (DM) to spin period. Among those is PSR J1748-3009, the millisecond pulsar with the highest known DM (approximately 420 pc/cc). We also discovered PSR J1840-0643, which is in a binary system with an orbital period of 937 days, the fourth largest known. The new pulsar J1750-2536 likely belongs to the rare class of intermediate-mass binary pulsars. Three of the isolated pulsars show long-term nulling or intermittency in their emission, further increasing this growing family. Our discoveries demonstrate the value of distributed volunteer computing for data-driven astronomy and the importance of applying new analysis methods to extensively searched data.","0.1555","0.6311","15","Einstein home","Einstein home",NA,NA,17,"",""
"10.1103/physrevd.87.042001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","NULL","23","58",66,"",""
"10.1103/PhysRevD.87.042001","dedup_wf_001::427f665dff0ba7284244aa20ab9917da","General Relativity and Quantum Cosmology","Einstein@Home all-sky search for periodic gravitational waves in LIGO S5 data","Aasi, J.","2012-07-31","American Physical Society","","","","http://eprints.gla.ac.uk/91427/1/91427.pdf","This paper presents results of an all-sky searches for periodic gravitational waves in the frequency range [50, 1190] Hz and with frequency derivative ranges of [-2 x 10^-9, 1.1 x 10^-10] Hz/s for the fifth LIGO science run (S5). The novelty of the search lies in the use of a non-coherent technique based on the Hough-transform to combine the information from coherent searches on timescales of about one day. Because these searches are very computationally intensive, they have been deployed on the Einstein@Home distributed computing project infrastructure. The search presented here is about a factor 3 more sensitive than the previous Einstein@Home search in early S5 LIGO data. The post-processing has left us with eight surviving candidates. We show that deeper follow-up studies rule each of them out. Hence, since no statistically significant gravitational wave signals have been detected, we report upper limits on the intrinsic gravitational wave amplitude h0. For example, in the 0.5 Hz-wide band at 152.5 Hz, we can exclude the presence of signals with h0 greater than 7.6 x 10^-25 with a 90% confidence level.","-0.3075","0.5191","6","General relativity and quantum cosmology","General relativity and quantum cosmology",NA,NA,66,"",""
"10.3390/rs9010087","dedup_wf_001::841d0671f10348ad265f38f3b83be230","crowdsourcing citizen;citizen science","Citizen Science and Crowdsourcing for Earth Observations: An Analysis of Stakeholder Opinions on the Present and Future","Suvodeep Mazumdar","2017-01-01","MDPI AG","","","Remote Sensing","http://eprints.whiterose.ac.uk/110429/7/remotesensing-09-00087-v2.pdf","The impact of Crowdsourcing and citizen science activities on academia, businesses, governance and society has been enormous. This is more prevalent today with citizens and communities collaborating with organizations, businesses and authorities to contribute in a variety of manners, starting from mere data providers to being key stakeholders in various decision-making processes. The “Crowdsourcing for observations from Satellites” project is a recently concluded study supported by demonstration projects funded by European Space Agency (ESA). The objective of the project was to investigate the different facets of how crowdsourcing and citizen science impact upon the validation, use and enhancement of Observations from Satellites (OS) products and services. This paper presents our findings in a stakeholder analysis activity involving participants who are experts in crowdsourcing, citizen science for Earth Observations. The activity identified three critical areas that needs attention by the community as well as provides suggestions to potentially help in addressing some of the challenges identified.","0.3068","-0.0083","13","Citizen science, Crowdsourcing citizen","Citizen science, Crowdsourcing citizen","22","26",4,"",""
"10.5194/hess-2016-368","copernicuspu::11fd20611e00e8aaf4bbdd39d4c4eaf6","network design;sensor networks;existing","Rainfall and streamflow sensor network design: a review of applications, classification, and a proposed framework","Chacon-Hurtado, Juan Carlos","2016-09-13","","","","","file:///mnt/uploaded_dumps/copernicus/upload/hess-2016-368.pdf","Sensors and sensor networks play an important role in decision-making related to water quality, operational streamflow forecasting, flood early warning systems and other areas. Although there is a variety of evaluation and design procedures for sensor networks, most of the existing approaches focus on maximising the observability and information content of a variable of interest. Moreover, from the context of hydrological modelling, only a few studies use the performance of the hydrological simulation of discharge as design criteria. In this paper, we review the existing methodologies and propose a framework for classifying the design methods, as well as a generalised procedure for an optimal network design in the context of rainfall-runoff hydrological modelling.","-0.5204","-0.0609","2","Existing, Network design, Review","Existing, Network design, Review","1","1",3,"",""
"10.5194/hess-2017-59","dedup_wf_001::d7252ad9a3ce65ca78d71150a89c42be","crowdsourced observations;engagement","Towards assimilation of crowdsourced observations for different levels of citizen engagement: the flood event of 2013 in the Bacchiglione catchment","Mazzoleni, Maurizio","2017-02-06","","","","","https://ris.utwente.nl/ws/files/20609543/hess_2017_59.pdf","Accurate flood predictions are essential to reduce the risk and damages over large urbanized areas. To improve prediction capabilities, hydrological measurements derived by traditional physical sensors are integrated in real-time within mathematic models. Recently, traditional sensors are complemented with low-cost social sensors. However, measurements derived by social sensors (i.e. crowdsourced observations) can be more spatially distributed but less accurate. In this study, we assess the usefulness for model performance of assimilating crowdsourced observations from a heterogeneous network of static physical, static social and dynamic social sensors. We assess potential effects on the model predictions to the extreme flood event occurred in the Bacchiglione catchment on May 2013. Flood predictions are estimated at the target point of Ponte degli Angeli (Vicenza), outlet of the Bacchiglione catchment, by means of a semi-distributed hydrological model. The contribution of the upstream sub-catchment is calculated using a conceptual hydrological model. The flow is propagated along the river reach using a hydraulic model. In both models, a Kalman filter is implemented to assimilate the real-time crowdsourced observations. We synthetically derived crowdsourced observations for either static social or dynamic social sensors because crowdsourced measures were not available. We consider three sets of experiments: (1) only physical sensors are available; (2) probability of receiving crowdsourced observations and (3) realistic scenario of citizen engagement based on population distribution. The results demonstrated the importance of integrating crowdsourced observations. Observations from upstream sub-catchments assimilated into the hydrological model ensures high model performance for high lead time values. Observations next to the outlet of the catchments provide good results for short lead times. Furthermore, citizen engagement level scenarios moved by a feeling of belonging to a community of friends indicated flood prediction improvements when such small communities are located upstream a particular target point. Effective communication and feedback is required between water authorities and citizens to ensure minimum engagement levels and to minimize the intrinsic low-variable accuracy of crowdsourced observations.","-0.142","-0.3978","8","Crowdsourced observations, Assimilation of crowdsourced, Bacchiglione catchment","Crowdsourced observations, Assimilation of crowdsourced, Bacchiglione catchment","1","5",0,"",""
"10.5194/hess-2017-75","copernicuspu::6cbeca81c88a8a092bde55de799ddc42","uncertainty estimation","Residual uncertainty estimation using instance-based learning with applications to hydrologic forecasting","Wani, Omar","2017-03-16","","","","","file:///mnt/uploaded_dumps/copernicus/upload/hess-2017-75.pdf","A non-parametric method is applied to quantify residual uncertainty in hydrologic streamflow forecasting. This method acts as a post-processor on deterministic model forecasts and generates a residual uncertainty distribution. Based on instance-based learning, it uses a k-nearest neighbour search for similar historical hydrometeorological conditions to determine uncertainty intervals from a set of historical errors, i.e. discrepancies between past forecast and observation. The performance of this method is assessed using test cases of hydrologic forecasting in two UK rivers: Severn and Brue. Forecasts in retrospect were made and their uncertainties were estimated using kNN resampling and two alternative uncertainty estimators: Quantile Regression (QR) and Uncertainty Estimation based on local Errors and Clustering (UNEEC). Results show that kNN uncertainty estimation produces accurate and narrow uncertainty intervals with good probability coverage. The accuracy and reliability of these uncertainty intervals are at least comparable to those produced by QR and UNEEC. It is concluded that kNN uncertainty estimation is an interesting alternative to QR and UNEEC for estimating forecast uncertainty. An advantage of this method is that its concept is simple and well understood, it is relatively easy to implement and it requires little tuning.","-0.6295","-0.4245","11","Uncertainty estimation","Uncertainty estimation","2","8",0,"",""
"10.5194/hess-21-3071-2017","dedup_wf_001::8585ce94585221e7ffc8f90544b53f09","design;existing;review","Rainfall and streamflow sensor network design: a review of applications, classification, and a proposed framework","J. C. Chacon-Hurtado","2017-06-01","Copernicus Publications","","","Hydrology and Earth System Sciences","","Sensors and sensor networks play an important role in decision-making related
			to water quality, operational streamflow forecasting, flood early warning
			systems, and other areas. In this paper we review a number of existing
			applications and analyse a variety of evaluation and design procedures for
			sensor networks with respect to various criteria. Most of the existing
			approaches focus on maximising the observability and information content of a
			variable of interest. From the context of hydrological modelling only a few
			studies use the performance of the hydrological simulation in terms of output
			discharge as a design criterion. In addition to the
			review, we propose a framework for classifying the existing design methods,
			and a generalised procedure for an optimal network design in the context of
			rainfall–runoff hydrological modelling.","-0.5367","-0.0531","2","Existing, Network design, Review","Existing, Network design, Review","2","2",6,"",""
