"id","subject","title","authors","year","publisher","resulttype","language","journal","url","paper_abstract","doi","x","y","area_uri","cluster_labels","area","readers","file_hash"
"dedup_wf_001::0808f12a8b20e6fc893d6f450792b24a","Irony detection","From humor recognition to irony detection: The figurative language of social media","Reyes, Antonio","2012","ELSEVIER SCIENCE BV","","","DATA & KNOWLEDGE ENGINEERING","","The research described in this paper is focused on analyzing two playful domains of language: humor and irony, in order to identify key values components for their automatic processing. In particular, we are focused on describing a model for recognizing these phenomena in social media, such as \"tweets\". Our experiments are centered on five data sets retrieved from Twitter taking advantage of user-generated tags, such as \"#humor\" and \"#irony\". The model, which is based on textual features, is assessed on two dimensions: representativeness and relevance. The results, apart from providing some valuable insights into the creative and figurative usages of language, are positive regarding humor, and encouraging regarding irony. (C) 2012 Elsevier B.V. All rights reserved.
			This work has been done in the framework of the VLC/CAMPUS Microcluster on Multimodal Interaction in Intelligent Systems and it has been partially funded by the European Commission as part of the WIQEI IRSES project (grant no. 269180) within the FP 7 Marie Curie People Framework, and by MICINN as part of the Text-Enterprise 2.0 project (TIN2009-13391-C04-03) within the Plan I + D + I. The National Council for Science and Technology (CONACyT - Mexico) has funded the research work of Antonio Reyes.
			Reyes Pérez, A.; Rosso, P.; Buscaldi, D. (2012). From humor recognition to Irony detection: The figurative language of social media. Data and Knowledge Engineering. 74:1-12. doi:10.1016/j.datak.2012.02.005
			Senia
			1
			12
			74","10.1016/j.datak.2012.02.005","-0.4326","0.1408","1","Automatic irony detection, Detecting irony","Automatic irony detection, Detecting irony","",""
"dedup_wf_001::08ba257a022547aad547e9249ae7cc04","Cross-Lingual Similarity","A comparison of approaches for measuring cross-lingual similarity of wikipedia articles","Barrón-Cedeño, Alberto","2014","Springer","","","","","Wikipedia has been used as a source of comparable texts
			for a range of tasks, such as Statistical Machine Translation and CrossLanguage
			Information Retrieval. Articles written in different languages
			on the same topic are often connected through inter-language-links. However,
			the extent to which these articles are similar is highly variable and
			this may impact on the use of Wikipedia as a comparable resource. In this
			paper we compare various language-independent methods for measuring
			cross-lingual similarity: character n-grams, cognateness, word count ratio,
			and an approach based on outlinks. These approaches are compared
			against a baseline utilising MT resources. Measures are also compared
			to human judgements of similarity using a manually created resource
			containing 700 pairs of Wikipedia articles (in 7 language pairs). Results
			indicate that a combination of language-independent models (char-ngrams,
			outlinks and word-count ratio) is highly effective for identifying
			cross-lingual similarity and performs comparably to language-dependent
			models (translation and monolingual analysis).
			Tacardi research project [TIN2012-38523-C02-00]
			DIANA-Applications [TIN2012-38603-C02- 01]
			WIQ-EI IRSES
			Barrón Cedeño, LA.; Paramita, ML.; Clough, P.; Rosso, P. (2014). A Comparison of Approaches for Measuring Cross-Lingual Similarity of Wikipedia Articles. En Advances in Information Retrieval. Springer Verlag (Germany). 424-429. doi:10.1007/978-3-319-06028-6_36
			Senia
			424
			429","10.1007/978-3-319-06028-6_36","0.6333","-0.2614","10","Approaches for measuring, Comparison of approaches, Conceptual thesaurus","Approaches for measuring, Comparison of approaches, Conceptual thesaurus","",""
"dedup_wf_001::46d4151a6189012d7c8c585221cefdfe","Conditional random field","Towards a Protein-Protein Interaction information extraction system: recognizing named entities","Danger Mercaderes, Roxana María","2014","Elsevier","","","","","The majority of biological functions of any living being are related to Protein Protein Interactions (PPI). PPI discoveries are reported in form of research publications whose volume grows day after day. Consequently, automatic PPI information extraction systems are a pressing need for biologists. In this paper we are mainly concerned with the named entity detection module of PPIES (the PPI information extraction system we are implementing) which recognizes twelve entity types relevant in PPI context. It is composed of two sub-modules: a dictionary look-up with extensive normalization and acronym detection, and a Conditional Random Field classifier. The dictionary look-up module has been tested with Interaction Method Task (IMT), and it improves by approximately 10% the current solutions that do not use Machine Learning (ML). The second module has been used to create a classifier using the Joint Workshop on Natural Language Processing in Biomedicine and its Applications (JNLPBA 04) data set. It does not use any external resources, or complex or ad hoc post-processing, and obtains 77.25%, 75.04% and 76.13 for precision, recall, and F1-measure, respectively, improving all previous results obtained for this data set.
			This work has been funded by MICINN, Spain, as part of the \"Juan de la Cierva\" Program and the Project DIANA-Applications (TIN2012-38603-C02-01), as well as the by the European Commission as part of the WIQ-EI IRSES Project (Grant No. 269180) within the FP 7 Marie Curie People Framework.
			Danger Mercaderes, RM.; Pla Santamaría, F.; Molina Marco, A.; Rosso, P. (2014). Towards a Protein-Protein Interaction information extraction system: recognizing named entities. Knowledge-Based Systems. 57:104-118. doi:10.1016/j.knosys.2013.12.010
			Senia
			104
			118
			57","10.1016/j.knosys.2013.12.010","-0.128","-0.6414","2","Arabic wordnet, Conditional random field","Arabic wordnet, Conditional random field","",""
"dedup_wf_001::5bf6b4763b0c3ddb33fdecf4da0f87e9","Short-text corpora","An efficient Particle Swarm Optimization approach to cluster short texts","Cagnina, Leticia","2014","ELSEVIER SCIENCE INC","","","INFORMATION SCIENCES","","This is the author’s version of a work that was accepted for publication in Information Sciencies. Changes resulting from the publishing process, such as peer review, editing, corrections, structural formatting, and other quality control mechanisms may not be reflected in this document. Changes may have been made to this work since it was submitted for publication. A definitive version was subsequently published in Information Sciences, VOL 265, MAY 1 2014 DOI 10.1016/j.ins.2013.12.010.
			Short texts such as evaluations of commercial products, news, FAQ's and scientific abstracts are important resources on the Web due to the constant requirements of people to use this on line information in real life. In this context, the clustering of short texts is a significant analysis task and a discrete Particle Swarm Optimization (PSO) algorithm named CLUDIPSO has recently shown a promising performance in this type of problems. CLUDIPSO obtained high quality results with small corpora although, with larger corpora, a significant deterioration of performance was observed. This article presents CLUDIPSO*, an improved version of CLUDIPSO, which includes a different representation of particles, a more efficient evaluation of the function to be optimized and some modifications in the mutation operator. Experimental results with corpora containing scientific abstracts, news and short legal documents obtained from the Web, show that CLUDIPSO* is an effective clustering method for short-text corpora of small and medium size. (C) 2013 Elsevier Inc. All rights reserved.
