"doi","id","subject","title","authors","year","publisher","resulttype","language","journal","url","paper_abstract","project_id","accessright","x","y","area_uri","cluster_labels","area","citation_count","readers.mendeley","cited_by_tweeters_count","readers","file_hash"
"","od______1501::aab59ae6da2f9da1f640408ce4e7f3fa","Effective memory handling","Effective algorithm for building and solving linear systems","Serna, Sebastian Pena","2009-10-01","Grupo Português de Computação Gráfica","publication","","","","Several mesh-based techniques in computer graphics such as shape deformation, mesh editing, animation and simulation, build and solve linear systems. The most common method to build a linear system consists in traversing the topology (connectivity) of the mesh, producing in general a representation of the set of equations in form of a sparse matrix. Similarly, the solution of the system is achieved, by means of iterating over the set of equations in
			the default sequence of the vertices (unknowns). This paper presents a new algorithm, which optimizes the build of
			the linear system and its storage, and which allows the iteration over the set of equations in any arbitrary order.
			Additionally, our algorithm enables rapid modiﬁcations to the linear system, avoiding a complete rebuild.","231809","Open Access","-0.183","0.6029","6","Archive maps","Archive maps",NA,NA,NA,"",""
"","od______2367::1ed4e43a10740dff191aa7b4b07c434d","info:eu-repo/classification/acm/I.4.8 Scene Analysis","Geometry-aware video registration","Palma, Gianpaolo","2010-01-01","Eurographics","publication","","","","We present a new method for the accurate registration of video sequences of a real object over its dense triangular mesh. The goal is to obtain an accurate video-to-geometry registration to allow the bidirectional data transfer between the 3D model and the video using the perspective projection defined by the camera model. Our solution uses two different approaches: feature-based registration by KLT video tracking, and statistic-based registration by maximizing the Mutual Information (MI) between the gradient of the frame and the gradient of the rendering of the 3D model with some illumination related properties, such as surface normals and ambient occlusion. While the first approach allows a fast registration of short sequences with simple camera movements, the MI is used to correct the drift problem that KLT tracker produces over long sequences, due to the incremental tracking and the camera motion. We demonstrate, using synthetic sequences, that the alignment error obtained with our method is smaller than the one introduced by KLT, and we show the results of some interesting and challenging real sequences of objects of different sizes, acquired under different conditions.","231809","Restricted","0.1643","0.2976","10","Acquisition and mapping, Approximation from video, Aware video registration","Acquisition and mapping, Approximation from video, Aware video registration",NA,NA,NA,"",""
"","od______2367::216ae02e8109127f5e3a4703664d3f24","High Dynamic Range Video","Enhancement of low dynamic range videos using highdynamic range backgrounds","Banterle, Francesco","2011-01-01","Eurographics Association","publication","","","","In this paper, we present a practical system for enhancing the quality of Low Dynamic Range (LDR) videos using High Dynamic Range (HDR) background images. Our technique relies on the assumption that the HDR information is static in the video footage. This assumption can be valid in many scenarios where moving subjects are the main focus of the footage and do not have to interact with moving light sources or highly reflective objects. Another valid scenario is teleconferencing via webcams, where the background is typically over-exposed, not allowing the users to perceive correctly the environment where the communication is happening.","231809","Restricted","0.5941","0.3735","13","High dynamic range imaging, High dynamic range video","High dynamic range imaging, High dynamic range video",NA,NA,NA,"",""
"","od______2367::b68afc15d8a636d68de024c035473456","Shading","Removing shadows for color projection using sun position estimation","Dellepiane, Matteo","2010-01-01","Eurographics","publication","","","","The result of an outdoors 3D scanning acquisition campaign is usually an accurate 3D model of the site, but in most of the cases the quality of the color acquired by the scanner is not satisfying. Alternative solutions, like the projection of a photographic dataset acquired in a different stage, are still dependent on the quality of the initial images. The short time for the acquisition campaigns and the weather conditions often force the shooting of images taken under a strong direct sun illumination. This generates colored models of poor quality. In this paper we present a method to estimate the sun position starting from a geo-referenced 3D model and a set of images. The sun position can enhance both the image alignment and color projection phases. Moreover, the detection and removal of the shadows from the images produces a better and more coherent color in the final 3D model. Using this kind of approach, outdoor sites can be acquired producing a high quality color information together with an accurate geometric measurement.","231809","Restricted","0.5567","0.0143","10","Acquisition and mapping, Approximation from video, Aware video registration","Acquisition and mapping, Approximation from video, Aware video registration",NA,NA,NA,"",""
"","od______2367::3a73f17625ebeb0f591e471bedef446c","3D scanning evices","Verification and acceptance tests for high definition 3D surface scanners","Bathow, Christiane","2010-01-01","Eurographics Publishing","publication","","","","High definition three-dimensional (3D) surface scanners, based on structured light or laser light section techniques, have found a wide range of applications, especially for technical and industrial applications (mostly for measuring and inspection tasks). Since about 10 years, systems adapted for the requirements of arts and Cultural Heritage (CH) support 3D digitization of art objects. Although the use of digital 3D models in CH is rapidly growing, many of the users are not yet completely familiar with terminology and all details of technical specifications. As most of the users are practitioners there is sometimes only little experience with terms as data quality, accuracy, resolution, measurement uncertainty, especially because these terms are used in very different ways, in manuals and brochures of scanner manufacturers as well as by authors of scientific papers. Moreover, the objective of many applications is digitization instead of measurement; therefore, many users are not even aware, that they nevertheless have to care about metrology issues such as verification and acceptance tests of the used equipment to get a reliable scanning result. In its first part, the paper will give an overview the fundamentals of data acquisition and data processing, presenting also advantages and benefits, limitations and drawbacks as well as correlations between different performance parameters of high definition 3D surface scanners. Our goal is also to rectify a number of typical misunderstandings and to clarify related terms and definitions. In its second part, the paper will concentrate on verification and acceptance tests of high definition 3D scanners, reviewing the German guidelines VDI/VDE 2634/2 and proposing some preliminary extensions required to cope better with the CH domain.","231809","Restricted","-0.1906","-0.3501","2","3d scanning evices, Acceptance tests, Automatic texturing","3d scanning evices, Acceptance tests, Automatic texturing",NA,NA,NA,"",""
"","od______2367::61a5b25bc5d276e42ec461825b68861e","3D segmentation","A framework for user-assisted sketch-based fitting of geometric primitives","Portelli, Davide","2010-01-01","WSCG","publication","","","","In this paper, we present a user-assisted sketch-based framework to extract hi-level primitives (e.g. columns or staircases) from scanned3D models of an architectural complex. The framework offers a unified level of representation of the hi-level primitives, so that new types of primitives can be easily added as plug-ins to the main engine. Primitives are fitted with a user-assisted procedure: the user suggests the approximate location of the primitive by means of simple mouse gestures, sketched over a rendering of the model. The viewpoint that was selected prior to the sketching is also taken in consideration as hints on the orientation and size of the primitive. The engine performs a GPU assisted fitting and the result is shown in real time to the user. Ad-hoc gestures cause the system to add and fit groups of primitive in one go (e.g. a column complex, or a sequence of windows).","231809","Restricted","-0.0828","-0.7701","6","Archive maps","Archive maps",NA,NA,NA,"",""
"","od______2367::8ed7dfd10d3ddf4a76e2152aab35d538","Vision and Scene Understanding","Improving 2D-3D registration by mutual information using gradient maps","Palma, Gianpaolo","2010-01-01","Eurographics","publication","","","","In this paper we propose an extension for the algorithms of image-to-geometry registration by Mutual Information(MI) to improve the performance and the quality of the alignment. Proposed for the registration of multi modal medical images, in the last years MI has been adapted to align a 3D model to a given image by using different renderings of the model and a gray-scale version of the input image. A key aspect is the choice of the rendering process to correlate the 3D model to the image without taking into account the texture data and the lighting conditions. Even if several rendering types for the 3D model have been analyzed, in some cases the alignment fails for two main reasons: the peculiar reflection behavior of the object that we are not able to reproduce in the rendering of the 3D model without knowing the material characteristics of the object and the lighting conditions of the acquisition environment; the characteristics of the image background, especially non uniform background, that can degrade the convergence of the registration. To improve the quality of the registration in these cases we propose to compute the MI between the gradient map of the 3D rendering and the gradient map of the image in order to maximize the shared data between them.","231809","Restricted","0.2954","0.2343","10","Acquisition and mapping, Approximation from video, Aware video registration","Acquisition and mapping, Approximation from video, Aware video registration",NA,NA,NA,"",""
"","od______2367::e320875be5b4333766c4180bb1faaf3f","info:eu-repo/classification/acm/I.3.7 Three-Dimensional Graphics and Realism","Improving high-speed scanning systems by photometric stereo","Larue, Frederic","2011-01-01","Eurographics","publication","","","","High-speed scanning systems can be extremely valuable for Cultural Heritage applications, especially when large collections of small objects have to be acquired. However, fine details may not be acquired using this technology. Nevertheless, it is possible to try to recover them by taking advantage of the additional data provided by these systems: the calibrated video sequence of the acquisition, and the position of the projector light for each frame. In this paper, we propose a workflow that processes the video sequence with a photometric stereo approach, in order to refine the coarse geometry provided by the scanner. A normal map is first extracted by a method that accounts for the unevenly distributed sampling that generally results from the particular trajectory followed by this kind of scanners during the acquisition. This normal map is then integrated in order to recover missing geometric features. Good performances are achieved, since the whole workflow is particularly suited to GPU programming.","231809","Restricted","-0.0483","0.142","2","3d scanning evices, Acceptance tests, Automatic texturing","3d scanning evices, Acceptance tests, Automatic texturing",NA,NA,NA,"",""
"","od______2367::e5262a18b9011eadf507844a1d3aea23","3D scanning","Pompei revived: scanning Mission - Insula V 1","Dell'Unto, Nicol?","2013-01-01","Amsterdam University Press","publication","","","","The Swedish Pompeii Project started in 2000 as a fieldwork initiated from the Swedish Institute in Rome. The aim was to record and analyze a full Pompeian city-block, Insula V 1. This paper presents the initial results of one of the actions in the context of this project. In October 2011, two houses were acquired using 3D scanning and 3d-from-photos techniques, and the data was processed to obtain an accurate and complete model. Through the use of Virtual Reality Techniques, it will be possible to visit the Pompeian houses of Casa del Torello and Casa di Cecilio Giocondo understanding the relation between the actual archaeological context and their original outfit. The collected data will be used also to design and test a web-based access system, where the entire dataset will be available for browsing, measurement and data extraction. The features of HTML5, in particular WebGL, will be used to deliver realtime 3D content and interaction.","231809","Open Access","-0.5555","-0.1237","4","3d scanning, Cultural heritage","3d scanning, Cultural heritage",NA,NA,NA,"",""
"","od______2367::dd3f0192524af36feb4bf6a4813b8f30","3D scanning","Using digital 3D models for study and restoration of Cultural Heritage artifacts","Dellepiane, Matteo","2011-01-01","CRC Press","publication","","","","This Chapter describes the so-called 3D scanning pipeline (i.e., how raw sampled 3D data have to be processed to obtain a complete 3D model of a real-world object). This kind of raw data may be the result of the sampling of a real-world object by a 3D scanning device [1] or by one of the recent image-based approaches (which returns raw 3D data by processing set of images) [2] . Thanks to the improvement of the 3D scanning devices (and the development of software tools), it is now quite easy to obtain high quality, high resolution three-dimensional sampling in relatively short times. Conversely, processing this fragmented/raw data to generate a complete and usable 3D model is still a complex task, requiring the use of several algorithms and tools; the knowledge of the processing tasks and solutions required is still the realm of well-informed practitioners and it often appears as a set of obscure black boxes to most of the users. Therefore, we focus the Chapter on: (a) the geometric processing tasks that have to be applied to raw 3D scanned data to transform them into a clean and complete 3D model and, (b), how 3D scanning technology should be used for the acquisition of real artifacts. The sources of sample 3D data (i.e., the different hardware systems used in 3D scanning), are briefly presented in the following subsection. Please note that the domains of 3D scanning, geometric processing, visualization and applications to CH are too wide to provide a complete and exhaustive bibliography in a single Chapter; we decided to describe and cite here just a few, representative references to the literature. Our goal is to describe the software processing, the pitfalls of current solutions (trying to cope both with existing commercial systems and academic tools/results) and to highlight some topics of interest for future research, according to our experience and sensibility. The presentation follows in part the structure of a recently published paper on the same subject [3].","231809","Restricted","-0.1655","-0.1776","4","3d scanning, Cultural heritage","3d scanning, Cultural heritage",NA,NA,NA,"",""
"","od______2367::fa7429e394afb9fd0cef7d4d6959fce0","3D scanning","Processing sampled 3D data: reconstruction and visualization technologies","Callieri, Marco","2011-01-01","CRC Press","publication","","","","The introduction of new technologies in the context of Cultural Heritage (CH) and Archeology has often been a difficult issue. This is probably related to the lack in confidence in replacing consolidated approaches with experimental methods heavily based on innovative hardware or software systems. This already happened for a number of revolutionary technologies: for example, the advent of photography, color images and digital cameras took some time before changing the reference methods for archival and studies in the context of archeological excavation or of restoration actions. The same considerations hold for the use of digital 3D models in CH applications. One basic issue is the need to switch from a two-dimensional visualization and reasoning approach (essentially based on photos and drawings) to the possibility to explore and visualize the object in its full three-dimensional (3D) nature. Nevertheless, in the last few years both 3D modeling and 3D scanning have become a valued way to present and analyze CH artifacts. Several interesting practical applications have been made available to the publicly in museums, or virtually on the Web. Here we just cite a single sample paper [56], which deals with the problem of interactive inspection and rendering of complex 3D models; many other experiences are presented in this Chapter.","231809","Restricted","0.1127","-0.2518","4","3d scanning, Cultural heritage","3d scanning, Cultural heritage",NA,NA,NA,"",""
"10.1007/978-3-642-27978-2_2","dedup_wf_001::c3c2e43c60f5bf5fe49dece9ff52ec4a","Bump Map fitting","Automatic texturing without illumination artifacts from in-hand scanning data flow","Larue, Fr?d?ric","2012-01-01","Springer Verlag","publication","","","","This paper shows how to improve the results of a 3D scanning system to allow to better fit the requirements of the Multi-Media and Cultural Heritage domains. A real-time in-hand scanning system is enhanced by further processing its intermediate data, with the goal of producing a digital 3D model with a high quality color texture and an improved representation of the high-frequency shape detail. The proposed solution starts from the usual output of the scanner, a 3D model and a video sequence gathered by the scanner sensor, for which the rigid motion is known at each frame. The produced color texture is deprived of the typical artifacts that generally appear while creating textures from several pictures: ghosting, shadows and specular highlights. In the case of objects made of diffuse materials, the system is also able to compute a normal map, thus improving the geometry acquired by the scanner. Results demonstrate that our texturing procedure is quite fast (a few minutes to process more than a thousand images). Moreover, the method is highly automatic, since only a few intuitive parameters must be tuned by the user, and all required computations are particularly suited to GPU programming, making the method convenient and scalable to graphics hardware.","231809","Restricted","0.1224","-0.0699","2","3d scanning evices, Acceptance tests, Automatic texturing","3d scanning evices, Acceptance tests, Automatic texturing","0",NA,NA,"",""
"10.1007/s00371-010-0449-7","od______2367::442de88431295df1aed8806983575539","info:eu-repo/classification/acm/I.3.3 Picture/Image Generation","Real-time single scattering inside inhomogeneous materials","Bernabei, Daniele","2010-01-01","Springer","publication","","","","In this paper we propose a novel technique to perform real-time rendering of translucent inhomogeneous materials, one of the most well known problems of Computer Graphics. The developed technique is based on an adaptive volumetric point sampling, done in a preprocessing stage, which associates to each sample the optical depth for a predefined set of directions. This information is then used by a rendering algorithm that combines the object's surface rasterization with a ray tracing algorithm, implemented on the graphics processor, to compose the final image. This approach allows us to simulate light scattering phenomena for inhomogeneous isotropic materials in real time with an arbitrary number of light sources. We tested our algorithm by comparing the produced images with the result of ray tracing and showed that the technique is effective.","231809","Restricted","0.1896","0.4829","12","Architecture for interactively, Info:eu-repo/classification/acm/i.3.3 picture/image generation, Inside inhomogeneous materials","Architecture for interactively, Info:eu-repo/classification/acm/i.3.3 picture/image generation, Inside inhomogeneous materials","1",NA,NA,"",""
"10.1007/s00371-010-0488-0","od______2367::57cefcd4ef0aa73e66424f0793041d32","Shape enhancement","Shape enhancement for rapid prototyping","Pintus, Ruggero","2010-01-01","Springer","publication","","","","Many applications, for instance, in the reverse engineering and cultural heritage field, require building a physical replica of 3D digital models. Recent 3D printers can easily perform this task in a relatively short time and using color to reproduce object textures. However, the finite resolution of printers and, most of all, some peculiar optical and physical properties of the used materials reduce their perceptual quality. The contribution of this paper is a shape enhancing technique which allows users to increase readability of the tiniest details in physical replicas, without requiring manual post-reproduction interventions.","231809","Restricted","0.2215","-0.6572","9","Detailed surfaces, High resolution, Shape enhancement","Detailed surfaces, High resolution, Shape enhancement","7",NA,NA,"",""
"10.1007/s11263-010-0382-2","dedup_wf_001::63b7fe9a859ab365cda0cbb87d3a78ee","Laser triangulation","Image guided reconstruction of un-sampled data: a filling technique for cultural heritage models","Dellepiane, Matteo","2011-01-01","Springer","publication","","INTERNATIONAL JOURNAL OF COMPUTER VISION","","Cultural Heritage (CH) is one of the major fields of application of 3D scanning technologies. In this context, one of the main limitations perceived by the practitioners is the uncompleteness of the sampling. Whenever we scan a complex artifact, the produced sampling usually presents a large number of unsampled regions. Many algorithmic solutions exist to close those gaps (from specific hole-filling algorithms to the drastic solution of using water-tight reconstruction methods). Unfortunately, adding patches over un-sampled regions is an issue in CH applications: if the 3D model should be used as a master document over the shape (and status) of the artwork, informed CH curators usually do not accept that an algorithm is used to {em guess} portions of a surface. In this paper, we present a low-cost setup and related algorithms to reconstruct un-sampled portions of the 3D models by inferring information about the real shape of the missing region from photographs. Data needed to drive the surface completion process are obtained by coupling a calibrated pattern of laser diodes to a digital camera. Thus, we are proposing a simple active acquisition device (based on consumer components and more flexible than standard 3D scanning devices) to improve selectively the sampling produced by a standard 3D scanning device. After acquiring one or more images with the laser-enhanced camera, an almost completely automatic process analyzes the image/s in order to extract the pattern, to estimate the laser projector intersections over the surface and determining coordinates of those points (using the consolidated triangulation approach). Then, the gathered geometric data are used to steer the hole filling in order to obtain a patch which is coherent with the real shape of the object. A series of tests on real objects proves that our method is able to recover geometrical features that cannot be reconstructed using state-of-the-art methods. Consequently, it can be used to obtain complete 3D models without creating plausible but false data.","231809","Restricted","-0.0381","-0.0673","4","3d scanning, Cultural heritage","3d scanning, Cultural heritage","2",NA,NA,"",""
