"doi","id","subject","title","authors","year","publisher","resulttype","language","journal","url","paper_abstract","project_id","accessright","x","y","area_uri","cluster_labels","area","citation_count","cited_by_tweeters_count","readers.mendeley","readers","file_hash"
"","od_______610::2af21cc81aba3a459b8ed5ed3139ca19","user experience","User experience & emotions for accessibility. Introduction to the special thematic session","Mohamad, Yehya","2016-01-01","","publication","","","","This STS on user experience and emotions for accessibility is targeted towards the elaboration on the topics of user experience and affective computing approaches and their relation to accessibility of electronic content. Accessible design as crucial condition for disabled users to get access to electronic content, which is also beneficial for non-disabled users, e.g. because of adaptability of information presentation accessing web services via smartphones. Accessibility so far pays less attention to user experience or emotional aspects of interaction, though they are important factors for disabled persons in similar way as for non-disabled persons. Additional to accessibility, considering user experience and emotional aspects of user interfaces would help disabled users for example to easily and efficiently use information systems and overcome communication disorders. Concepts for support of emotional interaction can on the other side increase the usability of electronic services for disabled users.","287774","Closed Access","-0.6438","-0.1633","1","Emotion, User experience","Emotion, User experience",NA,NA,NA,"",""
"10.1007/978-3-319-31744-1_44","od______1106::d69ee73f7f6f43eae46bd613a05508bc","Cerebral palsy (CP)","Evaluation of cervical posture improvement of children with cerebral palsy after physical therapy with a HCI based on head movements and serious videogames","Velasco, Miguel A.","2016-04-01","Springer","publication","","","","This paper presents the preliminary results of a novel rehabilitation therapy for cervical and trunk control of children with cerebral palsy (CP). The therapy is based on the use of an inertial sensor that will be used to control a set of serious videogames with movements of the head. Ten users with CP participated in the study, in the experimental and control groups. Ten sessions of therapy provided improvements in head and trunk control that were higher in the experimental group for Visual Analogue Scale (VAS), Goal Attainment Scaling
			(GAS) and Trunk Control Measurement Scale (TCMS). Significant differences (27% vs. 2% of percentage improvement) were found between the experimental and control groups for TCMS (p<0.05). The kinematic assessment shows that there are some improvements in active and passive range of motion, but no significant differences were found pre- and after-therapy. This new strategy, together with traditional rehabilitation therapies, could allow the child to reach maximum levels of function in the trunk and cervical regions.","287774","Open Access","0.3019","-0.2527","12","Cerebral palsy (cp)","Cerebral palsy (cp)","0",NA,NA,"",""
"10.1007/978-3-319-41264-1_76","od_______610::70c4e35709c5c3df97fe1e4761031af5","emotion","Study on elicitation and detection of emotional states with disabled users","Mohamad, Yehya","2016-01-01","","publication","","","","This paper presents the results of a qualitative study on elicitation and online detection of emotional states in users suffering from cerebral palsy (CP). Two questions stood in the focus of the study. Firstly, is an elicitation approach based on the international affective digitized sound system (IADS-2) database feasible for this user group? Secondly, is it possible to distinguish out of the measurements of the EDA sensor (Electro Dermal Activity) positive and negative emotional states? The results revealed high correlation between the findings in the study and the published IADS-2 standard‎ [1]‎. These results has shown as well that it is possible to distinguish between positive and negative emotional states based on the measured EDA signals.","287774","Closed Access","-0.5911","-0.3295","1","Emotion, User experience","Emotion, User experience","0",NA,NA,"",""
"10.1007/978-3-642-35236-2_65","ec_fp7_ict__::dfcd223d8d55d616d004d1c39ef6be26","based single;connectivity enhancing;discovery bci","Towards a framework based on single trial connectivity for enhancing knowledge discovery in BCI","Billinger M.","2012-01-01","","publication","","","","","287774","Closed Access","-0.0925","0.7086","3","Based single, Connectivity enhancing, Discovery bci","Based single, Connectivity enhancing, Discovery bci","1",NA,NA,"",""
"10.1016/j.clinph.2013.02.118","dedup_wf_001::7dc6e348b60a8514fee3143b9a100369","Brain-computer interface","On the control of brain-computer interfaces by users with cerebral palsy","Daly, Ian","2013-01-01","ELSEVIER IRELAND LTD","publication","","CLINICAL NEUROPHYSIOLOGY","","Brain-computer interfaces (BCIs) have been proposed as a potential assistive device for individuals with cerebral palsy (CP) to assist with their communication needs. However, it is unclear how well-suited BCIs are to individuals with CP. Therefore, this study aims to investigate to what extent these users are able to gain control of BCIs
			This work was supported by the FP7 Framework EU Research Project ABC (No. 287774). This paper only reflects the authors views and funding agencies are not liable for any use that may be made of the information contained herein. The authors thank Petar Horki, Elisabeth Friedrich, and Christian Breitwieser for advice and assistance in the development of aspects of the BCI systems used in this work.
			Daly, I.; Billinger, M.; Laparra Hernandez, J.; Aloise, F.; Lloria Garcia, M.; Faller, J.; Scherer, R.... (2013). On the control of brain-computer interfaces by users with cerebral palsy. Clinical Neurophysiology. 124(9):1787-1797. doi:10.1016/j.clinph.2013.02.118
			Senia
			1787
			1797
			124
			9","287774","Open Access","-0.1609","-0.178","4","Brain-computer interface, Electroencephalogram (eeg)","Brain-computer interface, Electroencephalogram (eeg)","38","5","84","",""
"10.1016/j.ijhcs.2017.05.002","od______1106::a7810edd061db8633372eac7279f7dd7","Fitts’s law","Human-computer interaction for users with cerebral palsy based on head orientation. Can cursor’s movement Be modeled by Fitts’s law?","Velasco, Miguel A.","2017-06-16","Elsevier","publication","","","","This paper presents an experiment to validate a head-mounted inertial interface for human-computer interaction (HCI) developed for people with cerebral palsy (CP). The method is based on Fitts’s law, an empirical model of human motor performance for aimed movements. Head motion is recorded in a series of goal-crossing tasks and a regression model of the movement time (MT) is estimated for each user. Values of R2 above 0.9 are indicators of a strong correlation of those motion patterns with the linear model proposed by Fitts. The analysis of MT confirmed that head movements of users without disability follow Fitts’s law and showed that 3 users with CP (MACS IV and V) had the same behavior. There was a weaker correlation (R2=0.839) for one individual with cervical dystonia and ballistic movements and no correlation for two users with cervical hypotonia and dyskinetic CP. Results show the impact of ballistic movements and poor postural control in computer interaction. They also provide the foundation for new interaction techniques to develop a universal computer interface for motor impaired users.","287774","Embargo","0.0099","-0.3617","11","Fitts’s law","Fitts’s law","0","4","23","",""
"10.1016/j.tics.2013.08.004","ec_fp7_ict__::fa958366c0c701f1365e8afc23900c3b","based interaction;interaction physical;physical world","Thought-based interaction with the physical world","Scherer R.","2013-01-01","","publication","","Trends in Cognitive Sciences","","","287774","Closed Access","0.6783","-0.1668","8","Based interaction, Interaction physical, Physical world","Based interaction, Interaction physical, Physical world","10","4","36","",""
"10.1080/2326263x.2015.1008956","dedup_wf_001::de52357e8dca1883d81895e2c485bde9","bnci horizon;bci","BNCI Horizon 2020: Towards a roadmap for the BCI community","Brunner, Clemens","2015-01-01","","publication","","","https://dspace.library.uu.nl/bitstream/1874/350349/1/Horizon.pdf","The brain-computer interface (BCI) field has grown dramatically over the past few years, but there are still no coordinated efforts to ensure efficient communication and collaboration among key stakeholders. The European Commission (EC) has recently renewed their efforts to establish such a coordination effort by funding a coordination and support action for the BCI community called ‘BNCI Horizon 2020’ after the ‘Future BNCI’ project. Major goals of this new project include developing a roadmap for the next decade and beyond, encouraging discussion and collaboration within the BCI community, fostering communication with the general public, and the foundation of an international BCI Society. We present a short overview of current and past EU-funded BCI projects and provide evidence of a growing research and industrial community. Efficient communication also entails the establishment of clear terminology, which is a major goal of BNCI Horizon 2020. To this end, we give a brief overview of current BCI-related terms and definitions. A major networking activity in the project was the BNCI Horizon 2020 Retreat in Hallstatt, Austria. Over 60 experts participated in this event to discuss the future of the BCI field in a series of plenary talks, targeted discussions, and parallel focus sessions. A follow-up event was the EU BCI Day at the 6th International Brain-Computer Interface Conference in Graz, Austria. This networking event included plenary talks by eight companies and representatives from all seven ongoing EU research projects, poster presentations, demos, and discussions. Another goal of BNCI Horizon 2020 is the foundation of an official BCI Society. In this article, we summarize the current status of this process. Finally, we present visions for future BCI applications developed within BNCI Horizon 2020 using input from external BCI experts as well. We identify common themes and conclude with six exemplary use cases.","224051","Open Access","-0.5468","0.4631","9","Bci, Bnci horizon, [info.info-bt] computer science [cs]/biotechnology","Bci, Bnci horizon, [info.info-bt] computer science [cs]/biotechnology","42","14","142","",""
"10.1080/2326263x.2016.1263916","dedup_wf_001::8d1051c885c327abbbebbaff6a68b78e","[INFO.INFO-BT] Computer Science [cs]/Biotechnology","Heading for new shores! Overcoming pitfalls in BCI design","Chavarriaga, Ricardo","2017-01-01","Taylor & Francis Ltd (Abingdon)","publication","","","https://hal.inria.fr/hal-01415906/document","International audience; Research in brain-computer interfaces has achieved impressive progress towards implementing assistive technologies for restoration or substitution of lost motor capabilities, as well as supporting technologies for able-bodied subjects. Notwithstanding this progress, effective translation of these interfaces from proof-of concept prototypes into reliable applications remains elusive. As a matter of fact, most of the current BCI systems cannot be used independently for long periods of time by their intended end-users. Multiple factors that impair achieving this goal have already been identified. However, it is not clear how do they affect the overall BCI performance or how they should be tackled. This is worsened by the publication bias where only positive results are disseminated, preventing the research community from learning from its errors. This paper is the result of a workshop held at the 6th International BCI meeting in Asilomar. We summarize here the discussion on concrete research avenues and guidelines that may help overcoming common pitfalls and make BCIs become a useful alternative communication device.","287774","Open Access","-0.3528","0.4894","9","Bci, Bnci horizon, [info.info-bt] computer science [cs]/biotechnology","Bci, Bnci horizon, [info.info-bt] computer science [cs]/biotechnology","3","6","21","",""
"10.1109/brc.2013.6487540","ec_fp7_ict__::b5a6efe579df126ea76d2ce4df033384","analysis based;based wearable;cerebral palsy","Positive and negative motor signs of head motion in cerebral palsy an analysis based on a wearable inertial human computer interface","Raya R.","2013-01-01","","publication","","","","","287774","Closed Access","0.2654","-0.553","10","Cerebral palsy, Analysis based, Human computer","Cerebral palsy, Analysis based, Human computer","1",NA,NA,"",""
