"doi","id","subject","title","authors","year","publisher","resulttype","language","journal","url","paper_abstract","project_id","accessright","x","y","area_uri","cluster_labels","area","cited_by_tweeters_count","readers.mendeley","citation_count","readers","file_hash"
"10.1016/j.clinph.2012.08.006","webcrawl____::86f51bc79e05ab627261c23ecf75e65c","auditory p;directional cues;interface directional","A portable auditory P300 brain-computer interface with directional cues","Kaethner, Ivo","2013-01-01","ELSEVIER IRELAND LTD","publication","","CLINICAL NEUROPHYSIOLOGY","","","288566","Closed Access","0.0916","-0.4998","7","Adaptive brain, Automatic adaptation, Beta rebound","Adaptive brain, Automatic adaptation, Beta rebound","4","108","33","",""
"10.1016/j.clinph.2013.02.019","dedup_wf_001::b9f50ff42539aff5bb5050dcb3786764","activity parietal;brain regions;mirror activity","Watching object related movements modulates mirror-like activity in parietal brain regions","Wriessnegger S.C.","2013-01-01","ELSEVIER IRELAND LTD","publication","","Clinical Neurophysiology","","","299566","Closed Access","-0.4956","-0.5675","15","Activity parietal, Brain regions, Mirror activity","Activity parietal, Brain regions, Mirror activity",NA,"40","6","",""
"10.1080/2326263x.2015.1008956","dedup_wf_001::de52357e8dca1883d81895e2c485bde9","bci;bnci horizon","BNCI Horizon 2020: Towards a roadmap for the BCI community","Brunner, Clemens","2015-01-01","","publication","","","https://dspace.library.uu.nl/bitstream/1874/350349/1/Horizon.pdf","The brain-computer interface (BCI) field has grown dramatically over the past few years, but there are still no coordinated efforts to ensure efficient communication and collaboration among key stakeholders. The European Commission (EC) has recently renewed their efforts to establish such a coordination effort by funding a coordination and support action for the BCI community called ‘BNCI Horizon 2020’ after the ‘Future BNCI’ project. Major goals of this new project include developing a roadmap for the next decade and beyond, encouraging discussion and collaboration within the BCI community, fostering communication with the general public, and the foundation of an international BCI Society. We present a short overview of current and past EU-funded BCI projects and provide evidence of a growing research and industrial community. Efficient communication also entails the establishment of clear terminology, which is a major goal of BNCI Horizon 2020. To this end, we give a brief overview of current BCI-related terms and definitions. A major networking activity in the project was the BNCI Horizon 2020 Retreat in Hallstatt, Austria. Over 60 experts participated in this event to discuss the future of the BCI field in a series of plenary talks, targeted discussions, and parallel focus sessions. A follow-up event was the EU BCI Day at the 6th International Brain-Computer Interface Conference in Graz, Austria. This networking event included plenary talks by eight companies and representatives from all seven ongoing EU research projects, poster presentations, demos, and discussions. Another goal of BNCI Horizon 2020 is the foundation of an official BCI Society. In this article, we summarize the current status of this process. Finally, we present visions for future BCI applications developed within BNCI Horizon 2020 using input from external BCI experts as well. We identify common themes and conclude with six exemplary use cases.","224051","Open Access","0.6441","0.1454","4","Bnci horizon, Brain computer interface","Bnci horizon, Brain computer interface","14","142","42","",""
"10.1093/brain/awt102","webcrawl____::c1abc0b37f11301921985d27cf778194","brain communication;communication locked;locked state","Brain communication in the locked-in state","De Massari, Daniele","2013-01-01","OXFORD UNIV PRESS","publication","","BRAIN","","","214570","Closed Access","-0.2401","-0.5997","13","Brain communication, Communication locked, Locked state","Brain communication, Communication locked, Locked state","8","71","32","",""
"10.1109/embc.2013.6609987","ec_fp7_ict__::c81fb892e7c2f15019eeaa49f245745d","disabled patients;healthy people;people severely","Performance of a tactile P300 speller for healthy people and severely disabled patients","Ortner R.","2013-01-01","","publication","","","","","288566","Closed Access","-0.5914","-0.2968","2","Disabled patients, Healthy people, People severely","Disabled patients, Healthy people, People severely",NA,NA,"2","",""
"10.1109/ner.2013.6695860","ec_fp7_ict__::7c5896bdb1d2a7022e54e851e7fe961d","adaptation beta;automatic adaptation;beta rebound","Automatic adaptation to the beta rebound after brisk movement imagery in a brain-computer interface","Faller J.","2013-01-01","","publication","","","","","288566","Closed Access","0.2435","-0.623","7","Adaptive brain, Automatic adaptation, Beta rebound","Adaptive brain, Automatic adaptation, Beta rebound",NA,NA,"1","",""
"10.1109/ner.2013.6695957","ec_fp7_ict__::67ac9a40bfb1f7f5df491e8e9b3bec3e","band time;brain switch;broad band","Broad band time-varying estimation of event-related synchronization for user-independent configuration of a brain switch","Solis-Escalante T.","2013-01-01","","publication","","","","","288566","Closed Access","-0.1396","-0.7648","3","Band time, Brain switch, Broad band","Band time, Brain switch, Broad band",NA,NA,"0","",""
"10.1109/ner.2013.6696099","ec_fp7_ict__::b067942dcc50de049591493def01ad5e","adaptive brain;computer interfacing;cord injury","Online co-adaptive brain-computer interfacing: Preliminary results in individuals with spinal cord injury","Faller J.","2013-01-01","","publication","","","","","288566","Closed Access","0.3348","-0.4736","7","Adaptive brain, Automatic adaptation, Beta rebound","Adaptive brain, Automatic adaptation, Beta rebound",NA,NA,"1","",""
"10.1155/2015/623896","dedup_wf_001::2dd25931f2414ab0d11590cc76678940","Research Article","Brain Computer Interface on Track to Home","Miralles, Felip","2015-06-01","Hindawi Publishing Corporation","publication","","The Scientific World Journal","/2015/HINDAWI.TSWJ/623896-2015-06-08.xml","The novel BackHome system offers individuals with disabilities a range of useful services available via brain-computer interfaces (BCIs), to help restore their independence. This is the time such technology is ready to be deployed in the real world, that is, at the target end users’ home. This has been achieved by the development of practical electrodes, easy to use software, and delivering telemonitoring and home support capabilities which have been conceived, implemented, and tested within a user-centred design approach. The final BackHome system is the result of a 3-year long process involving extensive user engagement to maximize effectiveness, reliability, robustness, and ease of use of a home based BCI system. The system is comprised of ergonomic and hassle-free BCI equipment; one-click software services for Smart Home control, cognitive stimulation, and web browsing; and remote telemonitoring and home support tools to enable independent home use for nonexpert caregivers and users. BackHome aims to successfully bring BCIs to the home of people with limited mobility to restore their independence and ultimately improve their quality of life.","288566","Open Access","-0.1245","0.6435","1","Track to home, Brain computer","Track to home, Brain computer",NA,NA,"10","",""
"10.1186/1471-2202-15-s1-p118","od_______908::8d46b8da7a7f26acb7126bd346552fb1","Poster Presentation","Multimodal brain-computer interface communication in disorders of consciousness","Halder, S","2014-07-01","BioMed Central","publication","","BMC Neuroscience","","","288566","Open Access","0.5839","-0.3745","9","Poster presentation","Poster presentation",NA,NA,"2","",""
