"doi","id","subject","title","authors","year","publisher","resulttype","language","journal","url","paper_abstract","project_id","accessright","x","y","area_uri","cluster_labels","area","citation_count","cited_by_tweeters_count","readers.mendeley","readers","file_hash"
"","webcrawl____::1cbd85c58b85a16f1e14b67bbeaae4db","accuracy p;impairments comparison;motor impairments","Accuracy of a P300 Speller for People with Motor Impairments: a Comparison","Ortner, Rupert","2011-01-01","EEG & CLINICAL NEUROSCIENCE SOC (E C N S)","publication","","CLINICAL EEG AND NEUROSCIENCE","","","247447","Closed Access","0.6625","0.2997","14","Accuracy p, Impairments comparison, Motor impairments","Accuracy p, Impairments comparison, Motor impairments",NA,NA,NA,"",""
"10.1007/s11517-012-1018-1","dedup_wf_001::59f92561f21ce664927b57cf1310d8f4","Stroke rehabilitation","Detection of movement-related cortical potentials based on subject-independent training","Niazi, Imran Khan","2013-01-01","SPRINGER HEIDELBERG","publication","","MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING","","To allow a routinely use of brain?computer interfaces (BCI), there is a need to reduce or completely eliminate the time-consuming part of the individualized training of the user. In this study, we investigate the possibility of avoiding the individual training phase in the detection of movement intention in asynchronous BCIs based on movement-related cortical potential (MRCP). EEG signals were recorded during ballistic ankle dorsiflexions executed (ME) or imagined (MI) by 20 healthy subjects, and attempted by five stroke subjects. These recordings were used to identify a template (as average over all subjects) for the initial negative phase of the MRCPs, after the application of an optimized spatial filtering used for pre-processing. Using this template, the detection accuracy (mean???SD) calculated as true positive rate (estimated with leave-one-out procedure) for ME was 69???21 and 58???11?% on single trial basis for healthy and stroke subjects, respectively. This performance was similar to that obtained using an individual template for each subject, which led to accuracies of 71???6 and 55???12?% for healthy and stroke subjects, respectively. The detection accuracy for the MI data was 65???22?% with the average template and 60???13?% with the individual template. These results indicate the possibility of detecting movement intention without an individual training phase and without a significant loss in performance.","247935","Open Access","-0.0771","0.4662","9","Stroke rehabilitation","Stroke rehabilitation","36",NA,NA,"",""
"10.1016/j.neuroscience.2012.10.027","webcrawl____::e1cc3b72595bf75a2e2461481346d872","activation motor;direction human;executed impulsive","FAST CHANGES IN DIRECTION DURING HUMAN LOCOMOTION ARE EXECUTED BY IMPULSIVE ACTIVATION OF MOTOR MODULES","Oliveira, A. S.","2013-01-01","PERGAMON-ELSEVIER SCIENCE LTD","publication","","NEUROSCIENCE","","","247935","Closed Access","0.513","-0.4113","3","Activation motor, Direction human, Executed impulsive","Activation motor, Direction human, Executed impulsive","14",NA,NA,"",""
"10.1080/2326263x.2015.1008956","dedup_wf_001::de52357e8dca1883d81895e2c485bde9","bci;bnci horizon","BNCI Horizon 2020: Towards a roadmap for the BCI community","Brunner, Clemens","2015-01-01","","publication","","","https://dspace.library.uu.nl/bitstream/1874/350349/1/Horizon.pdf","The brain-computer interface (BCI) field has grown dramatically over the past few years, but there are still no coordinated efforts to ensure efficient communication and collaboration among key stakeholders. The European Commission (EC) has recently renewed their efforts to establish such a coordination effort by funding a coordination and support action for the BCI community called ‘BNCI Horizon 2020’ after the ‘Future BNCI’ project. Major goals of this new project include developing a roadmap for the next decade and beyond, encouraging discussion and collaboration within the BCI community, fostering communication with the general public, and the foundation of an international BCI Society. We present a short overview of current and past EU-funded BCI projects and provide evidence of a growing research and industrial community. Efficient communication also entails the establishment of clear terminology, which is a major goal of BNCI Horizon 2020. To this end, we give a brief overview of current BCI-related terms and definitions. A major networking activity in the project was the BNCI Horizon 2020 Retreat in Hallstatt, Austria. Over 60 experts participated in this event to discuss the future of the BCI field in a series of plenary talks, targeted discussions, and parallel focus sessions. A follow-up event was the EU BCI Day at the 6th International Brain-Computer Interface Conference in Graz, Austria. This networking event included plenary talks by eight companies and representatives from all seven ongoing EU research projects, poster presentations, demos, and discussions. Another goal of BNCI Horizon 2020 is the foundation of an official BCI Society. In this article, we summarize the current status of this process. Finally, we present visions for future BCI applications developed within BNCI Horizon 2020 using input from external BCI experts as well. We identify common themes and conclude with six exemplary use cases.","224051","Open Access","-0.4709","0.6043","15","Bci, Bnci horizon","Bci, Bnci horizon","42","14","142","",""
"10.1088/1741-2560/8/6/066009","webcrawl____::d90a05dc94eb6f67c7f0b263e60e0553","detection movement;intention single;movement intention","Detection of movement intention from single-trial movement-related cortical potentials","Niazi, Imran Khan","2011-01-01","IOP PUBLISHING LTD","publication","","JOURNAL OF NEURAL ENGINEERING","","","247935","Closed Access","0.3066","0.5668","2","Electrical stimulation, Enhances motor, Evoked potentials","Electrical stimulation, Enhances motor, Evoked potentials","94","1","155","",""
"10.1109/tbme.2013.2294203","webcrawl____::25b7e071dfa6c7cf44c67cf12d498047","closed loop;eeg closed;enhanced low","Enhanced Low-Latency Detection of Motor Intention From EEG for Closed-Loop Brain-Computer Interface Applications","Xu, Ren","2014-01-01","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","publication","","IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING","","","247935","Closed Access","0.0821","0.6443","6","Closed loop, Eeg closed, Enhanced low","Closed loop, Eeg closed, Enhanced low","67",NA,NA,"",""
"10.1109/tnsre.2012.2194309","webcrawl____::f32760e2e984e10d8e071e31c94c629f","electrical stimulation;enhances motor;evoked potentials","Peripheral Electrical Stimulation Triggered by Self-Paced Detection of Motor Intention Enhances Motor Evoked Potentials","Niazi, Imran Khan","2012-01-01","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","publication","","IEEE TRANSACTIONS ON NEURAL SYSTEMS AND REHABILITATION ENGINEERING","","","247935","Closed Access","0.399","0.386","2","Electrical stimulation, Enhances motor, Evoked potentials","Electrical stimulation, Enhances motor, Evoked potentials","54",NA,NA,"",""
"10.1113/jphysiol.2011.222851","webcrawl____::49932d910949758fec6fc60807bb9564","association cortical;afference induces;cortical plasticity","Precise temporal association between cortical potentials evoked by motor imagination and afference induces cortical plasticity","Mrachacz-Kersting, Natalie","2012-01-01","WILEY-BLACKWELL","publication","","JOURNAL OF PHYSIOLOGY-LONDON","","","247935","Closed Access","0.6642","0.0435","11","Afference induces, Association cortical, Cortical plasticity","Afference induces, Association cortical, Cortical plasticity","87","1","133","",""
"10.1177/1545968313520410","od______1688::8a4b319ffa049c8c3e4e095d44b0e09c","fNIRS","Lower Limb Movement Preparation in Chronic Stroke: A Pilot Study Toward an fNIRS-BCI for Gait Rehabilitation","Rea, Massimiliano","2014-01-01","Los Angeles","publication","","","","Background: Thus  far,  most  of  the  brain–computer  interfaces  (BCIs)  developed  for  motor  rehabilitation  used  
			electroencephalographic signals to drive prostheses that support upper limb movement. Only few BCIs used hemodynamic signals or were designed to control lower extremity prostheses. Recent technological developments indicate that functional 
			near-infrared spectroscopy (fNIRS)-BCI can be exploited in rehabilitation of lower limb movement due to its great usability and reduced sensitivity to head motion artifacts. 

			Objective: The aim of this proof of concept study was to assess whether hemodynamic signals underlying lower limb motor preparation in stroke patients can be reliably measured and classified. 

			Methods: fNIRS data were acquired during preparation of left and right hip movement in 7 chronic stroke patients. 

			Results: Single-trial analysis indicated that specific hemodynamic changes associated with left and right hip movement preparation can  be  measured  with  fNIRS.  Linear  discriminant  analysis  classification  of  totHB  signal  changes  in  the  premotor  cortex and/or  posterior  parietal  cortex  indicated  above  chance  accuracy  in  discriminating  paretic  from  nonparetic  movement preparation trials in most of the tested patients. 

			Conclusion: The results provide first evidence that fNIRS can detect brain activity  associated  with single-trial lower limb  motor preparation in stroke patients. These findings encourage further investigation of fNIRS suitability for BCI applications in rehabilitation of patients with lower limb motor impairment after 
			stroke.
			peerReviewed","231724","Open Access","-0.2769","0.0503","13","Bci for gait, Chronic stroke, Classification of overt","Bci for gait, Chronic stroke, Classification of overt","14",NA,NA,"",""
"10.1186/1743-0003-10-79","dedup_wf_001::8fc85cc7bbe99685f95d4e38715c4d64","Science & Technology","Effects of robotic guidance on the coordination of locomotion","Moreno, Juan C.","2013-01-01","BIOMED CENTRAL LTD","publication","","JOURNAL OF NEUROENGINEERING AND REHABILITATION","","Background: Functional integration of motor activity patterns enables the production of coordinated movements,
			such as walking. The activation of muscles by weightened summation of activation signals has been demonstrated
			to represent the spatiotemporal components that determine motor behavior during walking. Exoskeleton robotic
			devices are now often used in the rehabilitation practice to assist physical therapy of individuals with neurological
			disorders. These devices are used to promote motor recovery by providing guidance force to the patients. The
			guidance should in principle lead to a muscle coordination similar to physiological human walking. However, the
			influence of robotic devices on locomotor patterns needs still to be characterized. The aim of this study was to
			analyze the effect of force guidance and gait speed on the modular organization of walking in a group of eight
			healthy subjects.
			Method: A group of healthy subjects walked on a treadmill with and without robotic aiding at speeds of 1.5, 2.0
			and 2.5 Km/h. The guidance force was varied between 20%, 40%, 70% and 100% level of assistance. EMG
			recordings were obtained from seven leg muscles of the dominant leg and kinematic and kinetic features of the
			knee and hip joints were extracted.
			Results: Four motor modules were sufficient to represent the variety of behavioral goals demanded during robotic
			guidance, with similar relationships between muscle patterns and biomechanical parameters across subjects,
			confirming that the low-dimensional and impulsive control of human walking is maintained using robotic force
			guidance. The conditions of guidance force and speed that maintained correct and incorrect (not natural) modular
			control were identified.
			Conclusion: In neurologically intact subjects robotic-guided walking at various force guidance and speed levels
			does not alter the basic locomotor control and timing. This allows the design of robotic-aided rehabilitation
			strategies aimed at the modulation of motor modules, which are altered in stroke.
			peerReviewed","247935","Open Access","-0.1681","-0.5128","5","Alley activates premotor, Robot aided walking, Coordination of locomotion","Alley activates premotor, Robot aided walking, Coordination of locomotion","24","3","101","",""
