"doi","id","subject","title","authors","year","publisher","resulttype","language","journal","url","paper_abstract","project_id","accessright","x","y","area_uri","cluster_labels","area","citation_count","cited_by_tweeters_count","readers.mendeley","readers","file_hash"
"10.1002/adsc.200900891","webcrawl____::6f95bbe27c78952f1501a89fc559abf2","acid optically;biocatalytic cascade;deracemisation mandelic","Deracemisation of Mandelic Acid to Optically Pure Non-Natural L-Phenylglycine via a Redox-Neutral Biocatalytic Cascade","Resch, Verena","2010-01-01","WILEY-V C H VERLAG GMBH","publication","","ADVANCED SYNTHESIS & CATALYSIS","","","238531","Closed Access","0.7416","-0.1059","13","Acid derivatives, Artificial transfer, Biocatalytic cascade","Acid derivatives, Artificial transfer, Biocatalytic cascade",51,NA,NA,"",""
"10.1002/adsc.201200139","od______2439::b4240fac13ca6eeac3d690c50aa95931","access enantiopure;alkyl beta;alpha alkyl","Access to Enantiopure alpha-Alkyl-beta-hydroxy Esters through Dynamic Kinetic Resolutions Employing Purified/Overexpressed Alcohol Dehydrogenases","Cuetos Fernández, Aníbal","2012-01-01","","publication","","","","","238531","Open Access","-0.6525","0.3831","1","Alkyl beta, Alpha alkyl, Click chemistry","Alkyl beta, Alpha alkyl, Click chemistry",23,NA,NA,"",""
"10.1002/adsc.201201057","dedup_wf_001::0f83c541048d97257b8b2fd8c2954a88","biocatalytic steps;cyclohexylamine derivatives;derivatives prochiral","Asymmetric Synthesis of 3-Substituted Cyclohexylamine Derivatives from Prochiral Diketones via Three Biocatalytic Steps","Siirola, Elina","2013-01-01","WILEY-V C H VERLAG GMBH","publication","","ADVANCED SYNTHESIS & CATALYSIS","","","238531","Closed Access","0.0843","-0.5387","3","Beta diketone, Biocatalytic steps, Crafts hydrolases","Beta diketone, Biocatalytic steps, Crafts hydrolases",25,NA,NA,"",""
"10.1002/adsc.201300232","webcrawl____::4e85ea03dbfae3b1b6c1cd5eb9401fc2"," hydrolases;hydrolases biocatalysis","C-C Hydrolases for Biocatalysis","Siirola, Elina","2013-01-01","WILEY-V C H VERLAG GMBH","publication","","ADVANCED SYNTHESIS & CATALYSIS","","","238531","Closed Access","0.0759","-0.6927","3","Beta diketone, Biocatalytic steps, Crafts hydrolases","Beta diketone, Biocatalytic steps, Crafts hydrolases",16,NA,NA,"",""
"10.1002/adsc.201300882","webcrawl____::9e4bc63c2f1219021370139a3b12652f","chemical enzymatic;cleavage chemical;enzymatic methods","Oxidative Alkene Cleavage by Chemical and Enzymatic Methods","Rajagopalan, Aashrita","2013-01-01","WILEY-V C H VERLAG GMBH","publication","","ADVANCED SYNTHESIS & CATALYSIS","","","238531","Closed Access","-0.2539","-0.6022","6","Alkene cleavage, Aerobic alkene, Cleavage catalyzed","Alkene cleavage, Aerobic alkene, Cleavage catalyzed",27,NA,NA,"",""
"10.1002/anie.201006268","webcrawl____::0bc3637277a64b7a13489e519e5a983b","aerobic activation;biocatalytic enantioselective;coupling aerobic","Biocatalytic Enantioselective Oxidative C-C Coupling by Aerobic C-H Activation","Schrittwieser, Joerg H.","2011-01-01","WILEY-BLACKWELL","publication","","ANGEWANDTE CHEMIE-INTERNATIONAL EDITION","","","238531","Closed Access","0.2303","-0.192","13","Acid derivatives, Artificial transfer, Biocatalytic cascade","Acid derivatives, Artificial transfer, Biocatalytic cascade",55,NA,NA,"",""
"10.1002/anie.201007820","webcrawl____::defd67e52a42dd1febaf2462a5d963bf","artificial transfer;cyclic imines;enantioselective reduction","Artificial Transfer Hydrogenases for the Enantioselective Reduction of Cyclic Imines","Duerrenberger, Marc","2011-01-01","WILEY-BLACKWELL","publication","","ANGEWANDTE CHEMIE-INTERNATIONAL EDITION","","","238434","Closed Access","0.4143","0.1828","13","Acid derivatives, Artificial transfer, Biocatalytic cascade","Acid derivatives, Artificial transfer, Biocatalytic cascade",85,NA,NA,"",""
"10.1002/anie.201400027","dedup_wf_001::e6409266eb7cbb8cda22b4fcc4908d51","deracemization","Deracemization By Simultaneous Bio-oxidative Kinetic Resolution and Stereoinversion**","Schrittwieser, Joerg H","2014-02-01","WILEY-VCH Verlag","publication","","Angewandte Chemie (International Ed. in English)","","Deracemization, that is, the transformation of a racemate into a single product enantiomer with theoretically 100 % conversion and 100 % ee, is an appealing but also challenging option for asymmetric synthesis. Herein a novel chemo-enzymatic deracemization concept by a cascade is described: the pathway involves two enantioselective oxidation steps and one non-stereoselective reduction step, enabling stereoinversion and a simultaneous kinetic resolution. The concept was exemplified for the transformation of rac-benzylisoquinolines to optically pure (S)-berbines. The racemic substrates were transformed to optically pure products (ee&gt;97 %) with up to 98 % conversion and up to 88 % yield of isolated product.","289646","Open Access","-0.0262","0.2306","13","Acid derivatives, Artificial transfer, Biocatalytic cascade","Acid derivatives, Artificial transfer, Biocatalytic cascade",37,"1","50","",""
"10.1002/bit.23154","dedup_wf_001::4980226939bd2d40085cf0bb83ba9a27","amines transaminases;chiral amines;considerations asymmetric","Process Considerations for the Asymmetric Synthesis of Chiral Amines Using Transaminases","Tufvesson, Par","2011-01-01","WILEY-BLACKWELL","publication","","BIOTECHNOLOGY AND BIOENGINEERING","","","238531","Closed Access","0.4496","-0.3851","14","Biocatalytic processes, Catalyst production, Chiral amines","Biocatalytic processes, Catalyst production, Chiral amines",139,NA,NA,"",""
"10.1002/bit.23275","webcrawl____::b8964acdd02e397382e3ba96a63a81ef","beta diketone;crotonase superfamily;diketone hydrolases","Tolerance of beta-Diketone Hydrolases as Representatives of the Crotonase Superfamily Towards Organic Solvents","Siirola, Elina","2011-01-01","WILEY-BLACKWELL","publication","","BIOTECHNOLOGY AND BIOENGINEERING","","","238531","Closed Access","0.3486","-0.6594","3","Beta diketone, Biocatalytic steps, Crafts hydrolases","Beta diketone, Biocatalytic steps, Crafts hydrolases",6,NA,NA,"",""
