"doi","id","subject","title","authors","year","publisher","resulttype","language","journal","url","paper_abstract","project_id","accessright","x","y","area_uri","cluster_labels","area","citation_count","cited_by_tweeters_count","readers.mendeley","readers","file_hash"
"","dedup_wf_001::314063bbb88472565b6d8e84f43e1da0","Computer Science::Machine Learning","Functional Requirements for Reward-Modulated Spike-Timing-Dependent Plasticity","Frémaux, Nicolas","2010-01-01","Society for Neuroscience","publication","","","","Recent experiments have shown that spike-timing-dependent plasticity is influenced by neuromodulation. We derive theoretical conditions for successful learning of reward-related behavior for a large class of learning rules where Hebbian synaptic plasticity is conditioned on a global modulatory factor signaling reward. We show that all learning rules in this class can be separated into a term that captures the covariance of neuronal firing and reward and a second term that presents the influence of unsupervised learning. The unsupervised term, which is, in general, detrimental for reward-based learning, can be suppressed if the neuromodulatory signal encodes the difference between the reward and the expected reward&#8212;but only if the expected reward is calculated for each task and stimulus separately. If several tasks are to be learned simultaneously, the nervous system needs an internal critic that is able to predict the expected reward for arbitrary stimuli. We show that, with a critic, reward-modulated spike-timing-dependent plasticity is capable of learning motor trajectories with a temporal resolution of tens of milliseconds. The relation to temporal difference learning, the relevance of block-based learning paradigms, and the limitations of learning with a critic are discussed.","243914","Open Access","0.3046","-0.5579","5","Actor critic framework, Computer science::machine learning, Continuous time actor","Actor critic framework, Computer science::machine learning, Continuous time actor",NA,NA,NA,"",""
"10.1007/s10827-010-0310-z","webcrawl____::c2e1b1ac1fd899a7bfbc5a0b1ade8c5a","balanced networks;based integrate;conductance based","Topologically invariant macroscopic statistics in balanced networks of conductance-based integrate-and-fire neurons","Yger, Pierre","2011-01-01","SPRINGER","publication","","JOURNAL OF COMPUTATIONAL NEUROSCIENCE","","","243914","Closed Access","0.1944","0.7035","7","Balanced networks, Based integrate, Chaotic neural","Balanced networks, Based integrate, Chaotic neural","19",NA,NA,"",""
"10.1016/j.neuron.2012.06.017","dedup_wf_001::4f6abf0883a9ebd5753361af94e844d0","Neuroscience(all)","Target-Specific Expression of Presynaptic NMDA Receptors in Neocortical Microcircuits","Buchanan, Katherine A.","2012-01-01","CELL PRESS","publication","","NEURON","","Traditionally, NMDA receptors are located postsynaptically; yet, putatively presynaptic NMDA receptors (preNMDARs) have been reported. Although<br/>implicated in controlling synaptic plasticity, their function is not well understood and their expression patterns are debated. We demonstrate that, in layer 5<br/>of developing mouse visual cortex, preNMDARs specifically control synaptic transmission at pyramidal cell inputs to other pyramidal cells and to Martinotti<br/>cells, while leaving those to basket cells unaffected. We also reveal a type of interneuron that mediates ascending inhibition. In agreement with synapse-specific expression, we find preNMDAR-mediated calcium signals in a subset of pyramidal cell terminals. A tuned network model predicts that preNMDARs specifically reroute information flow in local circuits during high-frequency firing, in particular by impacting frequency-dependent disynaptic inhibition mediated by Martinotti cells, a finding that we experimentally verify. We conclude that postsynaptic cell type determines presynaptic terminal molecular identity and that preNMDARs govern information processing in neocortical columns.","243914","Open Access","-0.6502","-0.1701","14","Neocortical microcircuits, Receptors in neocortical, Short term","Neocortical microcircuits, Receptors in neocortical, Short term","49","3","171","",""
"10.1016/j.tins.2013.03.008","dedup_wf_001::8db3dc784cf38e8d358080803998961b","long term","Steady or changing? Long-term monitoring of neuronal population activity.","Lütcke Henry","2013-01-01","","publication","","Trends in Neurosciences","","Stability and flexibility are both hallmarks of brain function that allow animals to thrive in ever changing environments. Investigating how a balance between these opposing features is achieved with a dynamic array of cellular and molecular constituents requires long term tracking of activity from individual neurons. Here we review in vivo chronic extracellular recording studies and recent long term two photon calcium imaging investigations that address the question of stability and plasticity of neuronal population activity in the mammalian brain. Overall spiking activity is heterogeneously distributed among neurons in local populations and largely remains stable for individual cells over time. Tuning properties appear more flexible and may be adaptively stabilized possibly by neuromodulators to encode reliably and specifically salient stimuli or behaviors.","310030_127091","Closed Access","0.2349","0.4634","8","Brain machine, Motor cortex, Neurochoice","Brain machine, Motor cortex, Neurochoice","23","11","272","",""
"10.1038/nature09880","dedup_wf_001::026ca49004eefb7118c8a490eafe6be1","PRIMARY VISUAL-CORTEX, IN-VIVO, HORIZONTAL CONNECTIONS, INTRACORTICAL CIRCUITS, NEURONAL NETWORKS, CORTICAL NETWORKS, STRIATE CORTEX, SIMPLE CELLS, CAT, INHIBITION","Functional specificity of local synaptic connections in neocortical networks.","Ko, Ho","2011-05-05","NATURE PUBLISHING GROUP","publication","","Nature","","Neuronal connectivity is fundamental to information processing in the brain. Therefore, understanding the mechanisms of sensory processing requires uncovering how connection patterns between neurons relate to their function. On a coarse scale, long-range projections can preferentially link cortical regions with similar responses to sensory stimuli(1-4). But on the local scale, where dendrites and axons overlap substantially, the functional specificity of connections remains unknown. Here we determine synaptic connectivity between nearby layer 2/3 pyramidal neurons in vitro, the response properties of which were first characterized in mouse visual cortex in vivo. We found that connection probability was related to the similarity of visually driven neuronal activity. Neurons with the same preference for oriented stimuli connected at twice the rate of neurons with orthogonal orientation preferences. Neurons responding similarly to naturalistic stimuli formed connections at much higher rates than those with uncorrelated responses. Bidirectional synaptic connections were found more frequently between neuronal pairs with strongly correlated visual responses. Our results reveal the degree of functional specificity of local synaptic connections in the visual cortex, and point to the existence of fine-scale subnetworks dedicated to processing related sensory information.","243914","Open Access","0.1453","0.248","8","Brain machine, Motor cortex, Neurochoice","Brain machine, Motor cortex, Neurochoice","260","5","1032","",""
"10.1038/nature12236","dedup_wf_001::19124846f600074d0ca3b38d0de38f2a","Neurochoice","Behaviour-dependent recruitment of long-range projection neurons in somatosensory cortex","Chen, Jerry L.","2013-01-01","NATURE PUBLISHING GROUP","publication","","NATURE","http://www.zora.uzh.ch/id/eprint/80903/1/nature12236%282%29.pdf","In the mammalian neocortex, segregated processing streams are thought to be important for forming sensory representations of the environment, but how local information in primary sensory cortex is transmitted to other distant cortical areas during behaviour is unclear. Here we show task-dependent activation of distinct, largely non-overlapping long-range projection neurons in the whisker region of primary somatosensory cortex (S1) in awake, behaving mice. Using two-photon calcium imaging, we monitored neuronal activity in anatomically identified S1 neurons projecting to secondary somatosensory (S2) or primary motor (M1) cortex in mice using their whiskers to perform a texture-discrimination task or a task that required them to detect the presence of an object at a certain location. Whisking-related cells were found among S2-projecting (S2P) but not M1-projecting (M1P) neurons. A higher fraction of S2P than M1P neurons showed touch-related responses during texture discrimination, whereas a higher fraction of M1P than S2P neurons showed touch-related responses during the detection task. In both tasks, S2P and M1P neurons could discriminate similarly between trials producing different behavioural decisions. However, in trials producing the same decision, S2P neurons performed better at discriminating texture, whereas M1P neurons were better at discriminating location. Sensory stimulus features alone were not sufficient to elicit these differences, suggesting that selective transmission of S1 information to S2 and M1 is driven by behaviour.","223524","Open Access","0.5005","0.3454","8","Brain machine, Motor cortex, Neurochoice","Brain machine, Motor cortex, Neurochoice","79","10","481","",""
"10.1038/nn.2861","dedup_wf_001::9a8219c03cfe1ff0afdb2841f6fa4647","Sensory Systems","Adaptation of the simple or complex nature of V1 receptive fields to visual statistics","Fournier, Julien","2011-01-01","NATURE PUBLISHING GROUP","publication","","NATURE NEUROSCIENCE","https://hal.archives-ouvertes.fr/hal-00660536/document","Abstract
			        Receptive fields (RFs) in primary visual cortex (V1) are categorized as Simple or Complex, depending on their spatial selectivity to stimulus contrast polarity. We studied the dependence of this classification on visual context by comparing, in the same cell, the synaptic responses to three classical RF mapping protocols: sparse noise, ternary dense noise and flashed Gabor noise. Intracellular recordings show that the relative weights of Simple-like and Complex-like RF components are scaled such as to make the same RF more Simple-like with dense noise and more Complex-like with sparse or Gabor noise stimulations. However, once these context-dependent RFs are convolved with the corresponding stimulus, the balance between Simple-like and Complex-like contributions to the synaptic responses appears invariant across input statistics. This normalization of the linear/nonlinear input ratio suggests a novel form of homeostatic control of V1 functional properties, optimizing the network nonlinearities to the statistical structure of the visual input.
			fournier@unic.cnrs-gif.fr (Fournier,  Julien)
			UNIC, UPR 3293 - 1 avenue de la Terrasse, Gif-sur-Yvette, France 91198-->
			       - FRANCE (Fournier,  Julien)
			UNIC, UPR 3293 - 1 avenue de la Terrasse, Gif-sur-Yvette, France 91198-->
			       - FRANCE (Monier,  Cyril)
			UNIC, UPR 3293 - 1 avenue de la Terrasse, Gif-sur-Yvette, France 91198-->
			       - FRANCE (Pananceau,  Marc)
			UNIC, UPR 3293 - 1 avenue de la Terrasse, Gif-sur-Yvette, France 91198-->
			       - FRANCE (Fregnac,  Yves)
			FRANCE
			Accepted: 2011-05-10
			Received: 2011-03-21
			Revised: 2011-05-10","243914","Open Access","-0.7475","-1e-04","4","Receptive fields","Receptive fields","20","1","241","",""
"10.1038/nn.3240","dedup_wf_001::60ecb321b1734ef2c5cbdee1a89373fc","animal structures","Reorganization of cortical population activity imaged throughout long-term sensory deprivation","Margolis, David J.","2012-01-01","NATURE PUBLISHING GROUP","publication","","NATURE NEUROSCIENCE","","Sensory maps are reshaped by experience. It is unknown how map plasticity occurs in vivo in functionally diverse neuronal populations because activity of the same cells has not been tracked over long time periods. Here we used repeated two photon imaging of a genetic calcium indicator to measure whisker evoked responsiveness of the same layer 2/3 neurons in adult mouse barrel cortex over weeks first with whiskers intact then during continued trimming of all but one whisker. Across the baseline period neurons displayed heterogeneous yet stable responsiveness. During sensory deprivation responses to trimmed whisker stimulation globally decreased whereas responses to spared whisker stimulation increased for the least active neurons and decreased for the most active neurons. These findings suggest that recruitment of inactive 'silent' neurons is part of a convergent redistribution of population activity underlying sensory map plasticity. Sensory driven responsiveness is a key property controlling experience dependent activity changes in individual neurons.","243914","Closed Access","0.3019","0.3479","8","Brain machine, Motor cortex, Neurochoice","Brain machine, Motor cortex, Neurochoice","67","10","322","",""
"10.1038/nn.3258","dedup_wf_001::8b3e4ea2cf9dd5cf4f777f34406ba54a","coding schemes;coexisting coding;correlated input","Correlated input reveals coexisting coding schemes in a sensory cortex","Estebanez, Luc","2012-01-01","NATURE PUBLISHING GROUP","publication","","NATURE NEUROSCIENCE","","","243914","Closed Access","-0.4487","-0.6056","3","Apparent motion, Coding schemes, Coexisting coding","Apparent motion, Coding schemes, Coexisting coding","26","10","267","",""
"10.1073/pnas.1303053111","dedup_wf_001::1a3c5f0dad35502602f95c893f5188f8","Physical Sciences","A neuromorphic network for generic multivariate data classification","Schmuker, Michael","2014-01-01","NATL ACAD SCIENCES","publication","","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA","","One primary goal of computational neuroscience is to uncover fundamental principles of computations that are performed by the brain. In our work, we took direct inspiration from biology for a technical application of brain-like processing. We make use of neuromorphic hardware—electronic versions of neurons and synapses on a microchip—to implement a neural network inspired by the sensory processing architecture of the nervous system of insects. We demonstrate that this neuromorphic network achieves classification of generic multidimensional data—a widespread problem with many technical applications. Our work provides a proof of concept for using analog electronic microcircuits mimicking neurons to perform real-world computing tasks, and it describes the benefits and challenges of the neuromorphic approach.","269921","Open Access","0.5801","-0.0569","6","Quantitative biology - neurons and cognition","Quantitative biology - neurons and cognition","29","22","133","",""
