"doi","id","subject","title","authors","year","publisher","resulttype","language","journal","url","paper_abstract","project_id","accessright","x","y","area_uri","cluster_labels","area","citation_count","cited_by_tweeters_count","readers.mendeley","readers","file_hash"
"","ec_fp7_ict__::2eedd3907417437cf4eff8e82dccf684","accuracy p;impairments comparison;motor impairments","Accuracy of a P300 speller for people with motor impairments: A comparison","#N/D","2011-01-01","","publication","","","","","247447","Closed Access","-0.3288","-0.5685","12","Accuracy p, Impairments comparison, Motor impairments","Accuracy p, Impairments comparison, Motor impairments",NA,NA,NA,"",""
"","webcrawl____::1cbd85c58b85a16f1e14b67bbeaae4db","accuracy p;impairments comparison;motor impairments","Accuracy of a P300 Speller for People with Motor Impairments: a Comparison","Ortner, Rupert","2011-01-01","EEG & CLINICAL NEUROSCIENCE SOC (E C N S)","publication","","CLINICAL EEG AND NEUROSCIENCE","","","247447","Closed Access","-0.346","-0.5732","12","Accuracy p, Impairments comparison, Motor impairments","Accuracy p, Impairments comparison, Motor impairments",NA,NA,NA,"",""
"10.1007/978-3-642-03889-1-47","ec_fp7_ict__::76170f85eb20b21e82a62ede5344c790","home control;interface smart;p brain","Using a P300 brain computer interface for smart home control","Holzner C.","2009-01-01","","publication","","","","","247447","Closed Access","-0.0853","-0.2552","3","Home control, Interface smart, P brain","Home control, Interface smart, P brain","",NA,NA,"",""
"10.1007/978-3-642-14100-3_14","ec_fp7_ict__::ccb0191b111179247d2529311e6a6310","based brain;interface robot;robot control","SSVEP based brain-computer interface for robot control","Ortner R.","2010-01-01","","publication","","","","","247447","Closed Access","0.5286","0.0066","4","Brain computer interface, Based brain, Enhanced gaming","Brain computer interface, Based brain, Enhanced gaming","11",NA,NA,"",""
"10.1007/978-3-642-21303-8","ec_fp7_ict__::65151047b271771366fcac354cd92d2e","lecture notes","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics): Preface","Bravo J.","2011-01-01","","publication","","","","","247447","Closed Access","0.3868","-0.6784","1","Lecture notes","Lecture notes","3",NA,NA,"",""
"10.1007/978-3-642-21501-8_45","ec_fp7_ict__::3dcc299b43e5117c30576d9a7e4744e8","enhanced gaming;gaming robotic;interfaces enhanced","Non-invasive brain-computer interfaces: Enhanced gaming and robotic control","Scherer R.","2011-01-01","","publication","","","","","247447","Closed Access","0.4081","-0.0922","4","Brain computer interface, Based brain, Enhanced gaming","Brain computer interface, Based brain, Enhanced gaming","8",NA,NA,"",""
"10.1007/s00500-012-0895-4","ec_fp7_ict__::9f9298d9a43eb7705ad215c2cf424d1c","interfacing sum;sum parts","Brain-computer interfacing: More than the sum of its parts","Scherer R.","2013-01-01","","publication","","Soft Computing","","","247447","Closed Access","0.4711","0.2542","4","Brain computer interface, Based brain, Enhanced gaming","Brain computer interface, Based brain, Enhanced gaming","20",NA,NA,"",""
"10.1016/j.brainresbull.2010.11.009","webcrawl____::a14743bad84ce14c8e0caf27d35d20c3","experience induction;experience social;human subjective","Quantifying human subjective experience and social interaction using the eXperience Induction Machine","Bernardet, Ulysses","2011-01-01","PERGAMON-ELSEVIER SCIENCE LTD","publication","","BRAIN RESEARCH BULLETIN","","","247447","Closed Access","-0.0665","-0.7513","6","Experience induction, Experience social, Human subjective","Experience induction, Experience social, Human subjective","4",NA,NA,"",""
"10.1016/j.ijpsycho.2010.12.002","webcrawl____::9b27e0b55dd2bae6d1eb0082bb24a506","differences human;eeg theta;human eeg","Sex differences in human EEG theta oscillations during spatial navigation in virtual reality","Kober, Silvia Erika","2011-01-01","ELSEVIER SCIENCE BV","publication","","INTERNATIONAL JOURNAL OF PSYCHOPHYSIOLOGY","","","247447","Closed Access","0.1228","-0.6726","13","Differences human, Eeg theta, Human eeg","Differences human, Eeg theta, Human eeg","26","1","62","",""
"10.1016/j.ijpsycho.2012.01.014","dedup_wf_001::271d7e64b3c6ab6eb66d14fa6e4e9ffa","classification performance;distinct mental; effect","The effect of distinct mental strategies on classification performance for brain-computer interfaces","Friedrich, Elisabeth V. C.","2012-01-01","ELSEVIER SCIENCE BV","publication","","INTERNATIONAL JOURNAL OF PSYCHOPHYSIOLOGY","","","258169","Closed Access","-0.0596","0.4277","5","Hybrid brain computer, Auto calibrating, Aware hybrid","Hybrid brain computer, Auto calibrating, Aware hybrid","53",NA,NA,"",""
