"doi","id","subject","title","authors","year","publisher","resulttype","language","journal","url","paper_abstract","project_id","accessright","x","y","area_uri","cluster_labels","area","cited_by_tweeters_count","readers.mendeley","citation_count","readers","file_hash"
"10.1002/adfm.201201387","dedup_wf_001::40507b8ab9fd2b6333556d73bc5407d9","based probe;cellular oxygen;detection modalities","A Phosphorescent Nanoparticle-Based Probe for Sensing and Imaging of (Intra)Cellular Oxygen in Multiple Detection Modalities","Kondrashina, Alina V.","2012-01-01","WILEY-V C H VERLAG GMBH","publication","","ADVANCED FUNCTIONAL MATERIALS","","","267233","Open Access","-0.2476","-0.5124","15","Based probe, Cell respiration, Cellular oxygen","Based probe, Cell respiration, Cellular oxygen","1","53",77,"",""
"10.1002/jmr.2194","webcrawl____::4b6050385bf42b75e7e31832108868cb","activation inhibition;autophosphorylation activation;curcumin epidermal","Autophosphorylation activation and inhibition by curcumin of the epidermal growth factor receptor reconstituted in liposomes","Doumiati, Samah","2012-01-01","WILEY-BLACKWELL","publication","","JOURNAL OF MOLECULAR RECOGNITION","","","264772","Closed Access","0.5156","0.5187","1","Activation inhibition, Autophosphorylation activation, Curcumin epidermal","Activation inhibition, Autophosphorylation activation, Curcumin epidermal",NA,NA,5,"",""
"10.1007/s00216-012-6627-x","dedup_wf_001::362246ab5ecd0879f2937657caa27cd6","Carbohydrates","Cellobiose dehydrogenase modified electrodes: advances by materials science and biochemical engineering","Ludwig, Roland","2013-01-01","Springer-Verlag","publication","","Analytical and Bioanalytical Chemistry","","The flavocytochrome cellobiose dehydrogenase (CDH) is a versatile biorecognition element capable of detecting carbohydrates as well as quinones and catecholamines. In addition, it can be used as an anode biocatalyst for enzymatic biofuel cells to power miniaturised sensor?transmitter systems. Various electrode materials and designs have been tested in the past decade to utilize and enhance the direct electron transfer (DET) from the enzyme to the electrode. Additionally, mediated electron transfer (MET) approaches via soluble redox mediators and redox polymers have been pursued. Biosensors for cellobiose, lactose and glucose determination are based on CDH from different fungal producers, which show differences with respect to substrate specificity, pH optima, DET efficiency and surface binding affinity. Biosensors for the detection of quinones and catecholamines can use carbohydrates for analyte regeneration and signal amplification. This review discusses different approaches to enhance the sensitivity and selectivity of CDH-based biosensors, which focus on (1) more efficient DET on chemically modified or nanostructured electrodes, (2) the synthesis of custom-made redox polymers for higher MET currents and (3) the engineering of enzymes and reaction pathways. Combination of these strategies will enable the design of sensitive and selective CDH-based biosensors with reduced electrode size for the detection of analytes in continuous on-site and point-of-care applications.","L 395","Open Access","-0.1154","0.2978","11","Carbohydrates","Carbohydrates",NA,NA,51,"",""
"10.1007/s00216-012-6651-x","webcrawl____::995f9879c5c62e4e23e934b423e040dc","activity optical;antioxidant activity;based online","Enzyme-based online monitoring and measurement of antioxidant activity using an optical oxygen sensor coupled to an HPLC system","Quaranta, Michela","2013-01-01","SPRINGER HEIDELBERG","publication","","ANALYTICAL AND BIOANALYTICAL CHEMISTRY","","","264772","Closed Access","0.2121","-0.4509","2","Optical oxygen, Antioxidant activity, Based online","Optical oxygen, Antioxidant activity, Based online",NA,NA,7,"",""
"10.1007/s00604-014-1413-4","od______1404::6f3f0d3878f7f412363f281d65332acc","Molecularly imprinted polymers (MIP)","Voltammetric sensor for theophylline using sol–gel immobilized molecularly imprinted polymer particles","Bates, Ferdia","2015-01-01","","publication","","","","El títol del pre-print va ser: Development of a voltammetric sensor for theophylline with sol-gel immobilised molecularly imprinted polymer particles
			Application of Molecularly Imprinted Polymers (MIPs) to sensor substrates holds great promise within the field of electrochemical sensing due to their low price, tailored selectivity and facile synthesis protocols. Though MIPs can be synthesised directly onto the surface of sensors via layer or film deposition, this can be difficult due to the high number of interdependent steps involved in their synthesis. For this reason, synthesis of MIP particles is more frequently employed by synthetic and non-specialist laboratories alike. There is, however a lack of immobilisation protocols for these particles. Herein, there is presented a sol-gel based immobilisation method for MIP particles for the development of an electrochemical sensor. The macroporous precipitation-polymerised particles were imprinted with Theophylline, combined with graphite in the sol-gel and deposited on an electrode surface. The sensor was tested using differential pulse voltammetry. A limit of detection of 1µM and a relative standard deviation of 6.85% was observed for the primary analyte. The electrode was regenerated via a thermal washing process with a signal loss of 29.3% following the initial regeneration and 2.35% per subsequent regeneration.","264772","Open Access","0.2998","-0.0041","7","Molecularly imprinted polymers (mip)","Molecularly imprinted polymers (mip)",NA,NA,14,"",""
"10.1007/s00604-015-1540-6","od______1404::4220c0c4529120084e20c9112452ae00","Aptamer","Aptamer-antibody sandwich assay for cytochrome c employing a MWCNT platform and the electrochemical impedance technique","Ocaña Tejada, Cristina","2015-01-01","","publication","","","","We report on a sensitive aptamer-antibody interaction-based assay for cytochrome c (Cytc) using electrochemical impedance. 4-Amino benzoic acid is used for the oriented immobilization of aminated aptamers onto multi-walled carbon nanotubes on the surface of a screen-printed electrode via electrochemical grafting. Impedance was measured in a solution containing the redox system ferro/ferricyanide. The change in interfacial charge transfer resistance (Rct) experienced by the redox marker was recorded to confirm the formation of a complex between aptamer and the target (Cytc). A biotinylated antibody against cytochrome c was then used in a sandwich type of assay. The addition of streptavidin conjugated to gold nanoparticles and signal enhancement by treatment with silver led to a further increase in Rct. Under optimized conditions, a detection limit as low as 12 pM was obtained. Cross-reactivity against other serum proteins including fibrinogen, BSA and immunoglobulin G demonstrated improved selectivity.","264772","Open Access","-0.1178","-0.0297","5","Aptamer","Aptamer",NA,NA,17,"",""
"10.1007/s12566-012-0032-y","od_______908::688338fa98298f5a746d106dafc9c794","Metal complexes","Indicators for optical oxygen sensors","Quaranta, Michela","2012-11-01","Springer Vienna","publication","","Bioanalytical Reviews","","Continuous monitoring of oxygen concentration is of great importance in many different areas of research which range from medical applications to food packaging. In the last three decades, significant progress has been made in the field of optical sensing technology and this review will highlight the one inherent to the development of oxygen indicators. The first section outlines the bioanalytical fields in which optical oxygen sensors have been applied. The second section gives the reader a comprehensive summary of the existing oxygen indicators with a critical highlight on their photophysical and sensing properties. Altogether, this review is meant to give the potential user a guide to select the most suitable oxygen indicator for the particular application of interest.","264772","Open Access","0.3678","-0.5572","2","Optical oxygen, Antioxidant activity, Based online","Optical oxygen, Antioxidant activity, Based online","1","204",139,"",""
"10.1016/j.aca.2013.02.029","dedup_wf_001::b3c34a33e37cee4136d1b397f256bb96","array switchable;based dna;detection based","Quantitative detection of well-based DNA array using switchable lanthanide luminescence","Karhunen, Ulla","2013-01-01","ELSEVIER SCIENCE BV","publication","","ANALYTICA CHIMICA ACTA","","","264772","Closed Access","0.6382","-0.3353","10","Array switchable, Based dna, Detection based","Array switchable, Based dna, Detection based",NA,NA,8,"",""
"10.1016/j.bbabio.2013.07.008","dedup_wf_001::4892d49f12b9470ecc6369110e7e4f0e","Cell Biology","Availability of the key metabolic substrates dictates the respiratory response of cancer cells to the mitochondrial uncoupling","Zhdanov, Alexander V.","2014-01-01","ELSEVIER SCIENCE BV","publication","","BIOCHIMICA ET BIOPHYSICA ACTA-BIOENERGETICS","","","264772","Open Access","-0.6382","-0.4118","14","Cell biology","Cell biology",NA,NA,16,"",""
"10.1016/j.bioelechem.2012.05.004","webcrawl____::62c7e48d2292ee06eef7970b055f34b3","capsulatus electrodes;communication heterotrophically;electrodes mediated","Electrochemical communication between heterotrophically grown Rhodobacter capsulatus with electrodes mediated by an osmium redox polymer","Hasan, Kamrul","2013-01-01","ELSEVIER SCIENCE SA","publication","","BIOELECTROCHEMISTRY","","","264772","Closed Access","-0.5029","-0.0601","4","Electrochemical communication, Electrodes mediated, Osmium redox","Electrochemical communication, Electrodes mediated, Osmium redox",NA,NA,24,"",""
