"doi","id","subject","title","authors","year","publisher","resulttype","language","journal","url","paper_abstract","project_id","accessright","x","y","area_uri","cluster_labels","area","cited_by_tweeters_count","readers.mendeley","citation_count","readers","file_hash"
"","od________18::98c7a6f16ab04f3d565f01f8b98c14e7","Computer Science - Artificial Intelligence","Algorithms for Weighted Boolean Optimization","Manquinho, Vasco","2009-03-04","","publication","","","","The Pseudo-Boolean Optimization (PBO) and Maximum Satisfiability (MaxSAT) problems are natural optimization extensions of Boolean Satisfiability (SAT). In the recent past, different algorithms have been proposed for PBO and for MaxSAT, despite the existence of straightforward mappings from PBO to MaxSAT and vice-versa. This papers proposes Weighted Boolean Optimization (WBO), a new unified framework that aggregates and extends PBO and MaxSAT. In addition, the paper proposes a new unsatisfiability-based algorithm for WBO, based on recent unsatisfiability-based algorithms for MaxSAT. Besides standard MaxSAT, the new algorithm can also be used to solve weighted MaxSAT and PBO, handling pseudo-Boolean constraints either natively or by translation to clausal form. Experimental results illustrate that unsatisfiability-based algorithms for MaxSAT can be orders of magnitude more efficient than existing dedicated algorithms. Finally, the paper illustrates how other algorithms for either PBO or MaxSAT can be extended to WBO.","76572","Open Access","-0.6506","0.271","15","Computer science - artificial intelligence, Boolean optimization","Computer science - artificial intelligence, Boolean optimization",NA,NA,NA,"",""
"","od______1249::0612c1ae31ef79248b07029848c0befa","Boolean","TG-Pro: a SAT-based ATPG system, system description","Chen, Huan","2012-01-01","IOS Press","publication","","","","peer-reviewed
			Automatic Test Pattern Generation (ATPG) is arguably one of the practical applications
			that motivated the development of modern Boolean Satisfiability (SAT) solvers in
			the mid 90s. Despite the interest of using SAT in ATPG, the original model remained
			mostly unchanged for nearly two decades, even in the presence of renewed interest in applying modern SAT technology to large-scale hardware designs. This paper describes the SAT-based ATPG system TG-Pro. In contrast to all SAT-based ATPG work over the last two decades, TG-Pro is based on a new fundamentally different SAT-based ATPG model. Experimental results, obtained on well-known and publicly available benchmarks, demonstrate that TG-Pro achieves major performance improvements over other well-established SAT-based ATPG models.","217069","Open Access","-0.2435","0.659","11","Model checking","Model checking",NA,NA,NA,"",""
"","od________18::5ec3b2d94b5aa10c1519ae7a2e673d56","TheoryofComputation_MATHEMATICALLOGICANDFORMALLANGUAGES","Industrial-Strength Formally Certified SAT Solving","Darbari, Ashish","2009-11-09","","publication","","","","Boolean Satisfiability (SAT) solvers are now routinely used in the verification of large industrial problems. However, their application in safety-critical domains such as the railways, avionics, and automotive industries requires some form of assurance for the results, as the solvers can (and sometimes do) have bugs. Unfortunately, the complexity of modern, highly optimized SAT solvers renders impractical the development of direct formal proofs of their correctness. This paper presents an alternative approach where an untrusted, industrial-strength, SAT solver is plugged into a trusted, formally certified, SAT proof checker to provide industrial-strength certified SAT solving. The key novelties and characteristics of our approach are (i) that the checker is automatically extracted from the formal development, (ii), that the combined system can be used as a standalone executable program independent of any supporting theorem prover, and (iii) that the checker certifies any SAT solver respecting the agreed format for satisfiability and unsatisfiability claims. The core of the system is a certified checker for unsatisfiability claims that is formally designed and verified in Coq. We present its formal design and outline the correctness proofs. The actual standalone checker is automatically extracted from the the Coq development. An evaluation of the certified checker on a representative set of industrial benchmarks from the SAT Race Competition shows that, albeit it is slower than uncertified SAT checkers, it is significantly faster than certified checkers implemented on top of an interactive theorem prover.","217069","Open Access","0.0254","0.6874","9","Certified sat solving, Industrial strength, Proof checking","Certified sat solving, Industrial strength, Proof checking",NA,NA,NA,"",""
"10.1002/rnc.2914","webcrawl____::466fc6a7180c91a3174e61d2f36bd8a2","systems ariadne;assume guarantee;guarantee verification","Assume-guarantee verification of nonlinear hybrid systems with ARIADNE","Benvenuti, Luca","2014-01-01","WILEY-BLACKWELL","publication","","INTERNATIONAL JOURNAL OF ROBUST AND NONLINEAR CONTROL","","","217069","Closed Access","0.676","0.2979","8","Assume guarantee, Dense orderings, Guarantee verification","Assume guarantee, Dense orderings, Guarantee verification","1","3","14","",""
"10.1007/978-0-387-09661-2_18","ec_fp7_ict__::9234328b7a47c30f83fef4629fda1959","abstract rtos;annotation technique; efficient","An efficient time annotation technique in abstract RTOS simulations for multiprocessor task migration","Zabel H.","2008-01-01","","publication","","","","","217069","Closed Access","-0.1603","-0.5886","2","Abstract rtos, Annotation technique, Fault simulation","Abstract rtos, Annotation technique, Fault simulation",NA,NA,"2","",""
"10.1007/978-3-540-73099-6_8","ec_fp7_ict__::637dd1fee935f7b16cd3c4c680067753","dense orderings;logics subinterval;structures dense","Tableau systems for logics of subinterval structures over dense orderings","#N/D","2007-01-01","","publication","","","","","217069","Closed Access","-0.6452","-0.3909","8","Assume guarantee, Dense orderings, Guarantee verification","Assume guarantee, Dense orderings, Guarantee verification",NA,NA,"3","",""
"10.1007/978-3-540-78800-3_30","dedup_wf_001::ba2563a9861cd01cd4d0133df4c28a8c","TheoryofComputation_MATHEMATICALLOGICANDFORMALLANGUAGES","Efficient interpolant generation in satisfiability modulo theories","Cimatti A.","2008-01-01","","publication","","","http://eprints.biblio.unitn.it/1410/1/DIT%2D07%2D075.pdf","The problem of computing Craig Interpolants for propositional (SAT) formulas has recently received a lot of interest, mainly for its applications in formal verification. However, propositional logic is often not expressive enough for representing many interesting verification problems, which can be more naturally addressed in the framework of Satisfiability Modulo Theories, SMT. Although {some} works have addressed the topic of generating interpolants in SMT, the techniques and tools that are currently available have some limitations, and their performance still does not exploit the full power of current state-of-the-art SMT solvers. In this paper we try to close this gap. We present several techniques for interpolant generation in SMT which overcome the limitations of the current generators mentioned above, and which take full advantage of state-of-the-art SMT technology. These novel techniques can lead to substantial performance improvements wrt. the currently available tools. We support our claims with an extensive experimental evaluation of our implementation of the proposed techniques in the MathSAT SMT solver.","217069","Open Access","-0.0655","0.3795","3","Satisfiability modulo theories, Computing backbones, Costs foundations","Satisfiability modulo theories, Computing backbones, Costs foundations",NA,NA,"21","",""
"10.1007/978-3-540-79719-7_21","dedup_wf_001::14a66252a25aa80b3e7b50890dd63660","based maximum; effective;effective unsatisfiability","Towards more effective unsatisfiability-based maximum satisfiability algorithms","Marques-Silva J.","2008-01-01","","publication","","","https://eprints.soton.ac.uk/265228/1/jpms-sat08a.pdf","","217069","Open Access","-0.5906","0.0534","10","Boolean satisfiability, Based maximum, Effective unsatisfiability","Boolean satisfiability, Based maximum, Effective unsatisfiability",NA,NA,"7","",""
"10.1007/978-3-540-87603-8_34","dedup_wf_001::89cb6abe68283fb4a2f8a82ca538684b","TheoryofComputation_LOGICSANDMEANINGSOFPROGRAMS","Model Checking Event-B by Encoding into Alloy","Matos, Paulo J.","2008-05-21","s.n.","publication","","","https://eprints.soton.ac.uk/265893/1/0805.3256v2.pdf","As systems become ever more complex, verification becomes more main stream. Event-B and Alloy are two formal specification languages based on fairly different methodologies. While Event-B uses theorem provers to prove that invariants hold for a given specification, Alloy uses a SAT-based model finder. In some settings, Event-B invariants may not be proved automatically, and so the often difficult step of interactive proof is required. One solution for this problem is to validate invariants with model checking. This work studies the encoding of Event-B machines and contexts to Alloy in order to perform temporal model checking with Alloy's SAT-based engine.","EP/E012973/1","Open Access","0.3373","0.6371","11","Model checking","Model checking",NA,NA,"1","",""
"10.1007/978-3-540-87803-2_7","ec_fp7_ict__::28901b6627c5b289ae145f49142c5670","linear orders;logic linear;optimal tableaux","Optimal tableaux for right propositional neighborhood logic over linear orders","Bresolin D.","2008-01-01","","publication","","","","","217069","Closed Access","-0.687","-0.171","4","Linear orders, Logic linear, Logic trees","Linear orders, Logic linear, Logic trees",NA,NA,"2","",""
