"doi","id","subject","title","authors","year","publisher","resulttype","language","journal","url","paper_abstract","project_id","accessright","x","y","area_uri","cluster_labels","area","citation_count","cited_by_tweeters_count","readers.mendeley","readers","file_hash"
"","dedup_wf_001::098905b80e594eacc6486e13cc806291","Verkehrssimulation und -prognose","Unified Evaluation Method for Traffic Control Algorithms","Blokpoel, Robbin","2014-09-04","","publication","","","http://elib.dlr.de/90619/1/RBL%20-%20ITS%20world%20-%20Traffic%20control%20evaluation.pdf","Traffic lights play a major role in traffic management. It is known how to compute the delay-minimizing optimal programs for single intersections or networks of them, if a static flow is assumed. But traffic flow changes on different time scales and many adaptive algorithms were developed, all of which adapt the green time durations, phase orders, and cycle lengths to the current traffic state. Evaluation of these more advanced traffic light control algorithms is more complex. The perfect control strategy is not known, so a comparison with a ground-truth is not possible. In literature many different metrics are used to evaluate the algorithms, but none of them are complete and they are difficult to compare with each other. This paper will derive a unified evaluation method for traffic control algorithms. As a first step a complete set of metrics with minimal overlap is determined. This set will include users’ perception, which is currently not used in literature to evaluate control algorithms, but shows significant added value. The second and last step is combining the metrics into one final criterion for evaluation by using a policy based scheme.","318622","Open Access","-0.0356","0.3998","11","Traffic light, Colombo deliverable, Verkehrsmanagement","Traffic light, Colombo deliverable, Verkehrsmanagement",NA,NA,NA,"",""
"","od______1640::076d7d0781af73bc3603656263b702e9","Verkehrsmanagement","COLOMBO Deliverable 7.6: Project Final Report","Leich, Andreas","2016-01-29","","publication","","","http://elib.dlr.de/100344/2/COLOMBO_D7.6_final_report_public.pdf","Traffic control systems should cope with the ever increasing demand by determining the situation on the road network and by controlling traffic flows. Emerging cooperative techniques like vehicle-to-infrastructure communication increase the knowledge about road traffic participants and open new channels for delivering information to these participants. However, most cooperative systems require large penetration rates in order to assure their functionality, making the first steps towards their deployment unattractive.
			COLOMBO overcomes this hurdle by delivering a set of modern, self-organizing traffic management algorithms designed for being applicable even at low penetration rates, asserting their usability from the very first deployment days on. COLOMBO focuses on two traffic management topics: traffic surveillance and advanced traffic light control algorithms. Herein, cost-efficiency and the reduction of vehicular emissions are the project’s key objectives. Both results lay the foundations for new, cost-effective and comprehensive way to measure and handle traffic. The results of COLOMBO include prototypes for incident and emission monitoring at intersections, for traffic state estimation based on fragmented data collected in low V2X equipment rate scenarios and for the self-organizing traffic control algorithm SWARM. A key aspect in the COLOMBO investigations is the use of advanced optimization techniques for tuning the parameter sets of the traffic control algorithms.
			These results have been achieved in tight cooperation of the project partners Graz University of Technology contributing PHEM, the German Aerospace Center DLR issuing SUMO, the University of Bologna who devised SWARM, the Université libre de Bruxelles which maintains irace and the Graduate School and Research Center in Communication Systems EURECOM.","318622","Open Access","-0.1761","-0.0128","9","Colombo deliverable, Verkehrsmanagement","Colombo deliverable, Verkehrsmanagement",NA,NA,NA,"",""
"","od______1640::1d18e25c23c8e4c2159050a171bc726c","Institut für Verkehrssystemtechnik","Bayesian Network based speed estimation in case of C2X data at very low equipment rates","Junghans, Marek","2016-06-13","","publication","","","http://elib.dlr.de/102972/1/TRISTAN_2016_paper_216.pdf","The estimation of the traffic state, particularly speed and vehicle counts, is important for modern traffic light control (TLC) algorithms. Recent developments in the field of so
			called self-organizing TLC focus on using cooperative traffic data transmitted via Car-to-Infrastructure (C2I) communication. In this context, vehicles periodically exchange their GPS position and speed via so called Cooperative Awareness Messages (CAM) in the EU
			(a.k.a. Basic Safety Messages (BMS) in the US) transmitted on a vehicular-specific Extension to the WiFi ad-hoc mode IEEE802.11p. Equipped with such technology, TLC may
			intercept CAM/BSM and use the contained data to estimate its local traffic state. This technology is yet emerging and car manufacturers are not expecting a sufficient penetration
			at the time future self-organizing TLC systems will be deployed. In this paper, a novel approach
			proposes to complement missing C2I technology with Bluetooth technology (BT), which is already widely available in all modern vehicles as well as smartphones. BT data has notably been tested for traffic data acquisition for years, but neither provide the same type nor the same quality of C2I cooperative data. Accordingly, we propose to rely on a stochastic data fusion engine based on Bayesian Networks (BN) to enrich and integrate traffic state data from a low C2I penetration rate (less than 1%) and moderate BT Penetration rate (30%). One of the challenges addressed is to be able to extrapolate mobility from detection processes, and then extract the estimated BT speed likelihood. Using BN, we will propose to link such likelihood to different a-priori knowledge of mobility states. Another challenge will be to integrate the BT and C2I speed likelihood, considering both processes have different properties. We show the robustness of our approach assuming a BN being able to reach already 2 m/s speed RMSE and complete the traffic state estimation by 35%
			by fusing 1% C2I with 30% BT.","318622","Closed Access","-0.5861","-0.0278","1","Institut für verkehrssystemtechnik","Institut für verkehrssystemtechnik",NA,NA,NA,"",""
"","od______1640::1d6f1dc05a85bf2763c0fa3ad5872723","Verkehrsmanagement","COLOMBO Deliverable 5.3: Traffic Light Algorithm Evaluation System","Krajzewicz, Daniel","2015-02-08","","publication","","","http://elib.dlr.de/95551/1/COLOMBO_D5.3_TLSEvaluationSystem_v1.0.pdf","Deliverable 5.3 describes the work performed in Task 5.3 on a “Traffic Light Algorithm Evaluation System”. This work includes two approaches. The first is the derivation of a single performance indicator that combines conventional traffic efficiency measures, measures describing how drivers perceive the traffic state as well as environmental measures. The work is accompanied by a summary on nowadays benchmarking of traffic lights. The developed performance indicator may be used for both, benchmarking new developed traffic light algorithms as well benchmarking real-world traffic lights.
			The second approach is the definition of a suite of tests where each test investigates the response of a traffic light algorithm under evaluation when being posed against a certain traffic characteristic. To determine which traffic characteristics should be covered and how they occur in reality, real-world data evaluations have been performed. In subsequent steps, the evaluation system itself is presented, including the requirements put on it, its software realisation and user interaction, as well as the scenario sets that respectively cover a certain traffic characteristic.
			Both approaches are joined by proper interfaces.","318622","Open Access","0.0506","0.0664","11","Traffic light, Colombo deliverable, Verkehrsmanagement","Traffic light, Colombo deliverable, Verkehrsmanagement",NA,NA,NA,"",""
"","od______1640::2263c0becabef5965a0e4935fcd45003","Institut für Verkehrssystemtechnik","Optimal driving of connected vehicles at traffic lights","Woelki, Marko","2016-01-11","Transportation Research Board","publication","","","http://elib.dlr.de/102279/1/16-4409_final.pdf","This article considers different driving patterns at a traffic light (TLS). The motivation is to determine and improve the behavior of traffic flow at controlled intersections, given the availability of the so-called “EcoDriving” (USA) or “GLOSA” (Europe) application. This is an advanced driver assistance system that tells the driver which speed to choose in order to pass the oncoming traffic light at green. The speed is computed using information sent by the traffic light. When entering the communication range of the TLS vehicles decide at what time they will pass the halting line and follow that plan. The models of consideration either comprise speed or acceleration advisory or no advice at all, the latter in case they are not equipped with a communication device. Additionally, the cases of cooperative and non-cooperative driving across the intersection are taken into account; that is either closing the gap to the car in front or simply following a velocity that will lead to an arrival at green light. Finally, different extensions of the situation are considered: smaller random demand and a finite penetration rate. Safety criteria (brake gap) are fulfilled in any of these cases. This article presents simulation results and answers the question which driving advice strategy is best with regard to different criteria as travel time and emissions.","318622","Restricted","-0.4798","0.2412","2","Institut für verkehrssystemtechnik","Institut für verkehrssystemtechnik",NA,NA,NA,"",""
"","od______1640::6c50ac97ffe4907a9b71f3618b56566e","Verkehrssimulation und -prognose","Including Pedestrian and Bicycle Traffic into the Traffic Simulation SUMO","Krajzewicz, Daniel","2014-01-01","","publication","","","http://elib.dlr.de/90621/1/TP0096.pdf","Being available since 2002, the open source traffic simulation SUMO has gained a state of being accepted by a large community. Albeit SUMO allows to model inter-modal trip chains for individually simulated persons it still lacks models for the dynamics of pedestrians and bicycles as well as for the interaction between these traffic modes and motorised traffic. Closing this gap is one of the tasks scheduled within the COLOMBO project. This paper outlines the requirements put on a pedestrian model, list available prerequisites that are used, and show currently followed approaches for implementing pedestrian models into SUMO.","318622","Restricted","-0.1299","-0.564","3","Traffic simulation","Traffic simulation",NA,NA,NA,"",""
"","od______1640::3a580f77f6b15e03e75e021e7875d04e","Verkehrsmanagement","COLOMBO Deliverable 1.1: Scenario Specifications and Required Modifications to Simulation Tools","Krajzewicz, Daniel","2014-02-15","","publication","","","http://elib.dlr.de/98046/1/COLOMBO_D1.1_ScenariosExtensions_v2.4.pdf","While targeting on supporting descriptions of scenarios and extensions to the simulation suite, the document additionally delivers a complete overview of the evaluation procedures to use in COLOMBO. Starting with an overview of the evaluation process, based on work done in the FESTA project, the document includes definitions of the performance indicators to use. These were originally produced by the iTETRIS project (by consortium partners of COLOMBO, mainly) and was extended within COLOMBO by performance indicators that describe the behaviour of inter-vehicle communication.
			To put the work on a scientific ground, a performed comparison of 40 scientific simulation studies is given, that shows that no standard scenarios and metrics exist. Additionally the document lists feature extensions which shall be implemented into the simulation tools within the COLOMBO project. Applicable software and data yielding to the scenarios were provided to the COLOMBO partners.
			As targeted, the document lists the scenarios made available within COLOMBO, distinguishing synthetic and real-world scenarios. Overall, seven scenarios based on real-world data were made available. Additionally, a tool that allows generating a large variety of synthetic scenarios is presented. The document ends with an extension (against the one given in D5.1) of requirements put on the simulations suite.","318622","Open Access","0.4246","-0.5127","4","Colombo deliverable, Verkehrsmanagement","Colombo deliverable, Verkehrsmanagement",NA,NA,NA,"",""
"","od______1640::4658b61b3dae643d547bb84a3d654c28","Verkehrsmanagement","COLOMBO Deliverable 1.2: Data Collection and Dissemination for Low Penetration Systems","Härri, Jérôme","2015-02-08","","publication","","","http://elib.dlr.de/95547/1/COLOMBO_D1.2_DataCollectionDissemination_v1.2.pdf","The major objective of the deliverable is to present the traffic surveillance algorithms designed within COLOMBO. The deliverable gives an overview of existing conventional traffic surveillance approaches, first, which are mainly relying on stationary detectors. In a second step, this document places the algorithms developed in COLOMBO in the scope of already existing V2X-based surveillance algorithms.
			The document shows four different solutions for traffic surveillance, namely:
			•	Cluster-based Traffic Surveillance
			•	DissFlow Traffic Surveillance
			•	Traffic State Generation from CAMs
			•	Probe Vehicle Data-based Traffic Surveillance
			The document additionally outlines the on-going work on traffic anomalies detection and local emissions monitoring and presents an overview on the costs of V2X-based systems.","318622","Open Access","-0.1019","-0.2441","5","Verkehrsmanagement","Verkehrsmanagement",NA,NA,NA,"",""
"","od______1640::503ea72acfea17624a7ace20b900064f","Verkehrsmanagement","COLOMBO Deliverable 3.2: Results of the Offline Configuration and Tuning of the Emergent Behavior","Dubois-Lacoste, Jérémie","2015-02-08","","publication","","","http://elib.dlr.de/95549/1/COLOMBO_D3.2_OfflineConfiguration_v1.2.pdf","The Deliverable 3.2 presents the technology behind the off-line configuration process used to find proper parameters for the traffic light algorithms presented in WP2’s Deliverable D2.3. The document gives an introduction into the topic of automatic configuration. It describes the main automatic algorithm configurators that have been considered for the COLOMBO tuning tasks, compares, their performance on available benchmark configuration scenarios, analyses in more detail the performance of the most promising configurator, the irace software package, and proposes various improvements to it. The deliverable then describes how to apply irace to automatic configuration tasks for the off-line configuration of the traffic light control software developed in WP2 and gives an in-depth experimental analysis of the performance we achieved by the automatic configuration on some traffic control scenarios that so far have been considered in the COLOMBO project.","318622","Open Access","0.5509","0.1281","6","Offline configuration","Offline configuration",NA,NA,NA,"",""
"","od______1640::9790b30d4bd4a938e5dc7619a982394d","Verkehrsmanagement","COLOMBO Deliverable 5.1: Prototype of overall System Architecture and Definition of Interfaces","Bellavista, Paolo","2014-02-14","","publication","","","http://elib.dlr.de/98048/1/COLOMBO_D5.1_SystemPrototype_v2.2.pdf","This Deliverable 5.1 contains the design and a description of the work undertaken to combine and integrate the engaged software (SUMO, ns3, iCS, PHEM, ...) to suite the investigation tasks of the COLOMBO project. Requirements from the traffic management solutions to be developed in COLOMBO put on the overall simulation system have been collected. They are given in D5.1 together with short explanations about the implementation of the solutions using the COLOMBO suite of simulation applications. Both the components of the simulation system as well as the system’s architecture are described. Additionally, the software development process in COLOMBO is also described in the document.","318622","Open Access","0.2616","-0.5276","4","Colombo deliverable, Verkehrsmanagement","Colombo deliverable, Verkehrsmanagement",NA,NA,NA,"",""
"","od______1640::978659de12c47271d94318f7c220b176","Mobilität und urbane Entwicklung","Driving patterns reducing pollutant emission at traffic lights","Krajzewicz, Daniel","2015-10-05","","publication","","","http://elib.dlr.de/100109/1/finalITS_EmissionReduction.pdf","The reduction of vehicular pollutant emissions is pursuit by different actors, from local traffic managers to vehicle manufacturers. One promising attempt are in-vehicle solutions that advice the driver to use a most environment-friendly speed and acceleration over time. One of them is GLOSA, Green Light Optimal Speed Advisory, which is based on vehicular communications. While mainly targeting on increasing comfort and traffic efficiency, GLOSA is assumed to decrease the amount of used fuel and emitted pollutants as well. This report distinguishes driving modes that differ in emission levels, shows optimal speeds and accelerations for these modes, and benchmarks existing models for approaching an intersection, including two new ones that lead to the lowest emissions.","318622","Restricted","-0.4753","0.4248","8","Control and speed, Driving patterns reducing, Emission at traffic","Control and speed, Driving patterns reducing, Emission at traffic",NA,NA,NA,"",""
"","od______1640::c8da91c1cf1ea2c3f290661724de5955","ComputerSystemsOrganization_COMPUTER-COMMUNICATIONNETWORKS","COLOMBO Deliverable 5.2: Traffic Simulation Extensions","Erdmann, Jakob","2014-07-15","","publication","","","http://elib.dlr.de/96125/1/COLOMBO_D5.2_TrafficSimulationExtensions_v1.0.pdf","The deliverable comprises a state-of-the-art outline of pedestrian modeling. It covers the implementation of pedestrian and bicycle traffic in the traffic simulation SUMO.","318622","Open Access","-0.0033","-0.5032","3","Traffic simulation","Traffic simulation",NA,NA,NA,"",""
"","od______1640::bb1315178f4c7af051acf91b6e77166b","Verkehrsmanagement","COLOMBO Deliverable 5.4: Performance of COLOMBO Solutions","Leich, Andreas","2015-11-18","","publication","","","http://elib.dlr.de/100337/1/COLOMBO_D5-4_COLOMBOPerformance_v1-0.pdf","This document enables a concise overview on previously reported results of tests and evaluations from different WPs and respective deliverables. The evaluated traffic management subsystems are:
			1 Traffic state estimation (TSE)
			2 Automatic incident detection (AID)
			3 Emission monitoring System (EMS)
			4 Self-organising traffic control (SOTL)
			5 Automatic configuration software (tuning)

			The most comprehensive evaluation of the self-organising traffic light solution (SOTL) was performed on a newly edited real-world scenario (set), described herein. The simulation results of the pre-defined (key) performance indicators PI are given as semi-aggregated values. Their comparison to the defined base case (conventional TLC) and their evaluation discussion lead to indications which application is promising for deployment under certain circumstances. Different degrees of equipment with sensors, i.e., the so-called penetration rate, are considered.","318622","Open Access","0.2906","-0.0365","14","Verkehrsmanagement","Verkehrsmanagement",NA,NA,NA,"",""
"","od______1640::bc994e9ae264ca24ec7c69fc028a91e8","Verkehrsmanagement","COLOMBO: Guideline for emission optimised traffic light control","Dippold, Martin","2015-11-03","","publication","","","http://elib.dlr.de/100342/1/Emission_TLC_Guideline_final.pdf","This guideline gives the traffic engineer an overview on rules to be followed and on supporting tools available to consider emission effects when developing and implementing TLC algorithms.","318622","Open Access","0.2363","0.4079","15","Verkehrsmanagement","Verkehrsmanagement",NA,NA,NA,"",""
"","od______1640::bca6fb7c82f8c0c24f785734970a42a6","Verkehrsmanagement","COLOMBO Deliverable 1.3: Decentralized Monitoring based on Low Penetration Traffic Information","Härri, Jérôme","2015-11-16","","publication","","","http://elib.dlr.de/100334/1/COLOMBO_D1.3_Decentralized_Monitoring_Low_Penetration_v1.0.pdf","In Chapter 2, fusion-based decentralized low penetration traffic state estimation systems (DFCD) are described, ranging from Class B (WLAN) to Class B (BT) assisting low penetration Class C (V2X) vehicles. Afterwards, Chapter 3 introduces and evaluates further decentralized surveillance applications, such as traffic Anomalies and Incident Detection (AID) as well as Local Emission Monitoring systems (EMS). Chapter 4 summarizes the described work.","318622","Open Access","-0.387","-0.4242","5","Verkehrsmanagement","Verkehrsmanagement",NA,NA,NA,"",""
"","od______1640::ec9ce2f9818db6f74e2009644429f07d","Verkehrsmanagement","COLOMBO Deliverable 2.2: Policy Definition and dynamic Policy Selection Algorithms","Hebenstreit, Cornelia","2014-07-15","","publication","","","http://elib.dlr.de/96128/1/COLOMBO_D2.2_PolicySelectionDefinition_v1.9.pdf","In chapter 2, a literature research points out a lot of differences regarding to light signals between Austria, Belgium, France, Germany, Italy, Netherlands, and the United Kingdom. Normally the street user can handle the different light signals in a safe way, but when planning light signals certain differences could be recognised. In this chapter, a common and unambiguous glossary is defined, highlighting the concepts that will be used in the rest of the document.
			In chapter 3, a general overview of signal control methods and a classification after Fixed Time (time dependent) Signal Control, Actuated (traffic dependent) Signal Control and Adaptive Signal Control is presented.
			In chapter 4, time-dependent, fixed time signal control methods are presented, and a thorough explanation of the prerequisites for designing this kind of control methods is shown
			In chapter 5, the coordination of arterials and networks is properly explained. While this is a special case of time-dependent control, it deserved a full chapter because coordination is very important when controlling arterial streets, mostly in urban areas.
			In chapter 6, traffic dependent signal control methods are presented, with a peculiar emphasis on fully traffic dependent, actuated signal control.
			Chapter 7 introduces adaptive signal control systems, providing also some historical background on their development and adoption in Europe. The different approaches and results of several methods used all over the world are presented.
			Chapter 8 presents the traffic control method designed for the COLOMBO project, how it is split into a macroscopic level adaptive control system and into several microscopic level policies. Preliminary results on the usage of these policies compared to other policies already implemented into the simulation environment are reported.","318622","Open Access","0.1384","0.6116","13","Verkehrsmanagement","Verkehrsmanagement",NA,NA,NA,"",""
"","od______1640::ca4c9e7e3b319d2b4706eca613dc5f5d","Verkehrsmanagement","COLOMBO Deliverable 2.3: Performance of the Traffic Light Control System for different Penetration Rates","Milano, Michela","2015-02-18","","publication","","","http://elib.dlr.de/95548/1/COLOMBO_D2.3_TLSPerformance_v1.2.pdf","The aim of D2.3 is to show how the traffic control system proposed by COLOMBO in the previous D2.2 has been extended and how it reacts without full knowledge of the vehicles approaching the controlled intersection.
			At first, the developed extensions of the traffic light algorithms to deal with incomplete knowledge are presented. Two methods to estimate the real values of a traffic measure from observations of only a fraction of vehicles are given. The first estimates the amount of vehicles on the controlled roads using vehicle lengths and positions, the second attempts to determine the length of queues in front of the controlled intersections. A third method to cope with incomplete knowledge puts additional constraints to the selection of a traffic light phase, prohibiting to select the same one too often.
			The document then presents how the parameters for the traffic light were obtained off-line, this means using configuration process performed before evaluating the traffic light. The results obtained from subsequent evaluations are then presented. They show that the developed traffic light systems outperform conventional, fixed-cycle traffic lights for equipment rates above 10%.","318622","Open Access","-0.0871","0.1534","11","Traffic light, Colombo deliverable, Verkehrsmanagement","Traffic light, Colombo deliverable, Verkehrsmanagement",NA,NA,NA,"",""
"","od______1640::ceb06e8005af2430a16c079e4af388d9","Verkehrsmanagement","COLOMBO Deliverable 4.3: Pollutant Emission Models and Optimisation","Reixis, Martin","2015-02-08","","publication","","","http://elib.dlr.de/95550/1/COLOMBO_D4.3_EmissionModelsOptimisation_v1.1.pdf","The first part of this document is dedicated to descriptions of work performed on the PHEMlight emission model after the delivery of D4.2. The major outcome are in-depth comparisons of the applicability of both models as well as of the results they deliver. It is emphasized that PHEMlight’s improved capability to model a coasting / motoring behaviour properly makes it a better choice for subsequent work on emission reduction.
			The optimisation of traffic in means of reducing its environmental impact is described in subsequent parts of the document. At first, driver-centric approaches (ecological driving) are presented. This starts with investigations on the optimal “atomic” cruising and acceleration/deceleration behaviour. Subsequently, these values are used to evaluate different approaches for an emission-optimal driver behaviour at traffic lights. The evaluation uses two approaches developed within COLOMBO and puts them against work known from literature on GLOSA  systems.
			Then, the macroscopic view on emission reduction is given, targeting on how traffic lights – synchronised or standalone – should be designed to reduce the amount of pollutants produced on the controlled roads. The presented results are based on real-world measurements of traffic at the Wiener Straße located in Graz. They will be subsequently used for a guidance on designing emission-friendly traffic light systems.","318622","Open Access","0.2289","0.2054","12","Verkehrsmanagement","Verkehrsmanagement",NA,NA,NA,"",""
"","od______1640::e5c83e757404b3aa21305fa095a49ffb","Verkehrsmanagement","COLOMBO Deliverable 6.4: Educational Kit","Blokpoel, Robbin","2015-11-16","","publication","","","http://elib.dlr.de/114543/1/COLOMBO_D6-4%20Educational%20toolkit.pdf","The aim of this document is to provide instruction to those interested in the publicly available software components of COLOMBO. The document is written in the first place for the academic community, basic knowledge of linux, windows and XML file editing is therefore assumed. Road authorities, consultants, traffic planners and managers, and OEMs of relevant ITS products are also welcome to use this public deliverable to access the COLOMBO results. The document tries to explain the purpose of the components and give a manual-style overview on the usage.
			The document will first discuss the COLOMBO Overall Simulation System (COSS) in Chapter 2, which should enable the user to setup the online simulations. Chapter 3 will treat the Swarm traffic control algorithm in more detail. This control algorithm is compiled together with the SUMO simulator and therefore does not appear as a separate component in the overall architecture. The next component is the evaluation toolkit discussed in Chapter 4. Chapter 5 deals with the specifics for COLOMBO of the iRace software. Lastly, Appendix A explains the iTetris software in more detail, which is responsible for the iCS middleware.","318622","Open Access","0.4168","-0.2719","4","Colombo deliverable, Verkehrsmanagement","Colombo deliverable, Verkehrsmanagement",NA,NA,NA,"",""
"","od______1640::fbc57cfebe2bcc3fd81bb839295edf90","Institut für Verkehrssystemtechnik","Traffic State Estimation with Bayesian Networks at Extremely Low V2X Penetration Rates","Junghans, Marek","2016-07-08","","publication","","","http://elib.dlr.de/103393/1/1570262634.pdf","In this paper the concept of Bayesian Networks (BN) is applied to the problem of traffic data acquisition by data fusion. Two wireless communication based sensors are used as data sources: IEEE 802.15.1 Bluetooth and IEEE 802.11p V2X (vehicle to vehicle and vehicle to infrastructure). Via V2X, so called cooperative awareness messages (CAM) are being received, which provide information on vehicle location and speed. Via Bluetooth,
			only the presence of a Bluetooth equipped device can be detected. Nowadays and in the near future, only a low number of road users is expected to be equipped with V2X. Therefore the rate of vehicles equipped is very low (around 1%). The equipment rate of Bluetooth devices is much higher. We assume, that between 5% and 50% of all road users can be detected ad reidentified with a Bluetooth scanning device. Bluetooth detectors have been notably
			used for traffic management purposed for years, e.g. for obtaining accurate journey times, but they have not been applied for Speed estimation so far. The approach of this paper is providing vehicle speed and vehicle count data by fusing moderate Penetration Bluetooth data and low penetration V2X data. The challenging task is to obtain accurate speed estimation data. Applying BNs for this purpose, we will show that the robustness of this stochastic
			fusion engine is capable of reaching speed RMSEs from 2 to 5m/s and complete the state estimation by 35% by fusing 1% V2X with 30% Bluetooth. The investigations are made on the basis of simulation.","318622","Embargo","-0.68","-0.1944","1","Institut für verkehrssystemtechnik","Institut für verkehrssystemtechnik",NA,NA,NA,"",""
