"doi","id","subject","title","authors","year","publisher","resulttype","language","journal","url","paper_abstract","project_id","accessright","x","y","area_uri","cluster_labels","area","citation_count","cited_by_tweeters_count","readers.mendeley","readers","file_hash"
"","dedup_wf_001::348ad5b4f4f5a78223b1147ff968fd9f","Articles","Vegetative state, minimally conscious state, akinetic mutism and Parkinsonism as a continuum of recovery from disorders of consciousness: an exploratory and preliminary study","Formisano, Rita","2011-01-01","CIC Edizioni Internationali","publication","","FUNCTIONAL NEUROLOGY","","
			The aim of this study was to review the usefulness of clinical and instrumental evaluation in individuals with disorders of consciousness (DOC).
			","247919","Open Access","-0.2473","0.5129","7","Minimally conscious, Disorders of consciousness","Minimally conscious, Disorders of consciousness",NA,NA,NA,"",""
"","dedup_wf_001::17342662486b59207fa93984e3162ca0","Original Articles","Resting-state EEG study of comatose patients: a connectivity and frequency analysis to find differences between vegetative and minimally conscious states","Lehembre, Rémy","2012-06-06","CIC Edizioni Internazionali","publication","","FUNCTIONAL NEUROLOGY","","The aim of this study was to look for differences in the power spectra and in EEG connectivity measures between patients in the vegetative state (VS/UWS) and patients in the minimally conscious state (MCS).","247919","Open Access","-0.1759","0.3123","7","Minimally conscious, Disorders of consciousness","Minimally conscious, Disorders of consciousness",NA,NA,NA,"",""
"","od______1318::27e041d3e13c0fbd430fc07965e3487f","brain-computer interface","A vibrotactile P300-based BCI for consciousness detection and communication","Lugo, Zulay","2014-01-01","","publication","","","","Brain–computer interface (BCI) has been used for many years for communication in severely disabled patients. BCI based on electrophysiological signals has enabled communication, using auditory or visual stimuli to elicit event-related potentials (ERPs). The aim of this study was to determine whether patients with locked-in syndrome (LIS) could elicit a P300 wave, using a vibrotactile oddball paradigm for establishing somatosensory BCI-based communication. Six chronic LIS patients performed 2electroencephalography (EEG)-based vibrotactile P300 oddball tasks. After a simple mental counting task of the target stimuli, participants were instructed to answer 5 questions by counting the vibration on either the right wrist for “yes” or the left wrist for “no.” All participants were able to elicit a P300 wave using the vibrotactile oddball paradigm BCI task. In the counting task, 4 patients got accuracies of 100% (average above chance). In the communication task, one patient achieved 100% accuracy (average above chance). We have shown the feasibility of eliciting a P300 response using vibrotactile stimulation in patients with LIS. The present study provides evidence that this approach can be used for EEG-based BCI communications in this patient group. This is the first study to prove the feasibility of a BCI based on somatosensory (vibratory) stimulation in a group of braininjured patients. Furthermore, this approach could be used for the detection of consciousness in non-communicating patients due to severe brain injuries.
			Peer reviewed","247919","Open Access","0.1082","-0.3288","4","Brain computer interface, Brain-computer interface, Disorders of consciousness","Brain computer interface, Brain-computer interface, Disorders of consciousness",NA,NA,NA,"",""
"","od______1318::17a61a9d75c532e63004f219ae574ee1","disorders of consciousness","ROLE OF ACTIVE ERP PARADIGMS IN AWARENESS DETECTION IN NON RESPONSIVE PATIENTS","Lugo, Zulay","2012-04-01","","publication","","","","The role of active vs. passive ERP paradigms in disorders of consciousness is assessed in this case study of a LIS patient. Results show that despite absent P3 in a passive auditory task, the patient displayed significant differences in the active task. This study shows the importance of using a large battery of tests when assessing DOC patients.
			Peer reviewed","247919","Open Access","0.16","0.083","2","Minimally conscious patients, P300, Disorders of consciousness","Minimally conscious patients, P300, Disorders of consciousness",NA,NA,NA,"",""
"10.1002/hbm.21507","webcrawl____::372298edac94a265c5876912078ac7af","top attention;cognition disorders;consciousness v","Visual cognition in disorders of consciousness: From V1 to top-down attention","Monti, Martin M.","2013-01-01","WILEY-BLACKWELL","publication","","HUMAN BRAIN MAPPING","","","247919","Closed Access","-0.5942","0.3101","1","Cognitive functions, Patients with disorders, Probing command","Cognitive functions, Patients with disorders, Probing command","27",NA,NA,"",""
"10.1007/978-3-642-34546-3_210","od______1318::76f272133389822fd81cd7192702bddc","Brain-computer interface","Detecting Consciousness with a Brain-computer Interface","Noirhomme, Quentin","2012-11-01","","publication","","","","Recent electrophysiological and neuroimaging studies showed command-specific changes in EEG or fMRI signals of unresponsive patients providing motor-independent evidence of conscious thoughts. These promising results have paved the way for a new application for Brain-computer Interface (BCI): detecting consciousness in patients with disorders of consciousness (DOC). In the present abstract, we review the first results obtained by BCI-like applications in patients with DOC and discuss the challenges facing BCI research. We believe that patients with DOC may benefit from BCI based diagnosis. BCIs may detect changes in the signal in response to command and, in some cases, may permit communication.
			Peer reviewed","247919","Restricted","-0.1411","-0.1571","4","Brain computer interface, Brain-computer interface, Disorders of consciousness","Brain computer interface, Brain-computer interface, Disorders of consciousness","3",NA,NA,"",""
"10.1016/b978-0-444-53839-0.00021-1","dedup_wf_001::463aacddf928c69d2ae0b1142db5e5e3",": Neurology [Human health sciences]","\"Multimodal neuroimaging in patients with disorders of consciousness showing \"\"functional hemispherectomy\"\"\"","Bruno, M. A.","2011-01-01","ELSEVIER SCIENCE BV","publication","","SLOW BRAIN OSCILLATIONS OF SLEEP, RESTING STATE AND VIGILANCE","","Beside behavioral assessment of patients with disorders of consciousness, neuroimaging modalities may offer objective paraclinical markers important for diagnosis and prognosis. They provide information on the structural location and extent of brain lesions (e.g., morphometric MRI and diffusion tensor imaging (DTI-MRI) assessing structural connectivity) but also their functional impact (e.g., metabolic FDG-PET, hemodynamic fMRI, and EEG measurements obtained in \"resting state\" conditions). We here illustrate the role of multimodal imaging in severe brain injury, presenting a patient in unresponsive wakefulness syndrome (UWS; i.e., vegetative state, VS) and in a \"fluctuating\" minimally conscious state (MCS). In both cases, resting state FDG-PET, fMRI, and EEG showed a functionally preserved right hemisphere, while DTI showed underlying differences in structural connectivity highlighting the complementarities of these neuroimaging methods in the study of disorders of consciousness.
			Peer reviewed","247919","Open Access","-0.0497","0.4129","7","Minimally conscious, Disorders of consciousness","Minimally conscious, Disorders of consciousness","19",NA,NA,"",""
"10.1016/j.artmed.2013.07.003","dedup_wf_001::58218e7f9c9c213d40322f9b204551b3","Clinical assessment","The auditory P300-based single-switch brain-computer interface: Paradigm transition from healthy subjects to minimally conscious patients","Pokorny, Christoph","2013-01-01","ELSEVIER SCIENCE BV","publication","","ARTIFICIAL INTELLIGENCE IN MEDICINE","","Objective: Within this work an auditory P300 brain–computer interface based on tone stream segregation,which allows for binary decisions, was developed and evaluated.Methods and materials: Two tone streams consisting of short beep tones with infrequently appearingdeviant tones at random positions were used as stimuli. This paradigm was evaluated in 10 healthysubjects and applied to 12 patients in a minimally conscious state (MCS) at clinics in Graz, Würzburg,Rome, and Liège. A stepwise linear discriminant analysis classifier with 10 × 10 cross-validation was usedto detect the presence of any P300 and to investigate attentional modulation of the P300 amplitude.Results: The results for healthy subjects were promising and most classification results were better thanrandom. In 8 of the 10 subjects, focused attention on at least one of the tone streams could be detectedon a single-trial basis. By averaging 10 data segments, classification accuracies up to 90.6 % could bereached. However, for MCS patients only a small number of classification results were above chance leveland none of the results were sufficient for communication purposes. Nevertheless, signs of consciousnesswere detected in 9 of the 12 patients, not on a single-trial basis, but after averaging of all correspondingdata segments and computing significant differences. These significant results, however, strongly variedacross sessions and conditions.Conclusion: This work shows the transition of a paradigm from healthy subjects to MCS patients. Promisingresults with healthy subjects are, however, no guarantee of good results with patients. Therefore, moreinvestigations are required before any definite conclusions about the usability of this paradigm for MCSpatients can be drawn. Nevertheless, this paradigm might offer an opportunity to support bedside clinicalassessment of MCS patients and eventually, to provide them with a means of communication.
			Peer reviewed","247919","Open Access","0.3006","-0.2117","2","Minimally conscious patients, P300, Disorders of consciousness","Minimally conscious patients, P300, Disorders of consciousness","38",NA,NA,"",""
"10.1016/j.clinph.2012.04.030","dedup_wf_001::c642fb4f576a088e174ad796e2cceeff","command patients;consciousness brain;probing command","Probing command following in patients with disorders of consciousness using a brain-computer interface","Lule, Dorothee","2013-01-01","ELSEVIER IRELAND LTD","publication","","CLINICAL NEUROPHYSIOLOGY","","","247919","Closed Access","-0.4057","-0.0236","1","Cognitive functions, Patients with disorders, Probing command","Cognitive functions, Patients with disorders, Probing command","79","1","125","",""
