"doi","id","subject","title","authors","year","publisher","resulttype","language","journal","url","paper_abstract","project_id","accessright","x","y","area_uri","cluster_labels","area","citation_count","cited_by_tweeters_count","readers.mendeley","readers","file_hash"
"","dedup_wf_001::2b40f3a233e546504acd211ae8fc0bab","ComputerSystemsOrganization_COMPUTER-COMMUNICATIONNETWORKS","Communication Patterns in Mean Field Models for Wireless Sensor Networks","Talebi, Mahmoud","2015-03-26","arXiv.org","publication","","","https://pure.tue.nl/ws/files/4039705/888711014515320.pdf","Wireless sensor networks are usually composed of a large number of nodes, and with the increasing processing power and power consumption efficiency they are expected to run more complex protocols in the future. These pose problems in the field of verification and performance evaluation of wireless networks. In this paper, we tailor the mean-field theory as a modeling technique to analyze their behavior. We apply this method to the slotted ALOHA protocol, and establish results on the long term trends of the protocol within a very large network, specially regarding the stability of ALOHA-type protocols.","621353","Open Access","-0.0211","-0.3708","4","Wireless sensor networks","Wireless sensor networks",NA,NA,NA,"",""
"","dedup_wf_001::33f6d61943fa17300ec7071d5abf5a33","xdense;sistemas;distributed","XDense: A Dense Grid Sensor Network for Distributed Feature Extraction","Loureiro, João","2015-01-01","","publication","","","","XXXIII Simpósio Brasileiro de Redes de Computadores e Sistemas Distribuídos (SBRC 2015). 15 to 19, May, 2015, III Workshop de Comunicação em Sistemas Embarcados Críticos. Vitória, Brasil.
			We propose XDense, a wired mesh grid sensor network architecture
			tailored for scenarios that benefit from thousands of sensors per square meter.
			XDense has a scalable network topology and protocol, customizable to application
			specifics, that enables complex feature extraction in realtime from the observed
			phenomena by exploiting the communication and distributed processing
			capabilities of such network topologies. We detail XDense’s node and network
			architecture, protocols, and principles of operation. To demonstrate XDense’s
			potentials, we evaluate it’s response time, data traffic metrics and accuracy in
			the context of detecting fluid dynamic features.","621353","Open Access","0.3674","-0.5027","10","Xdense, Sensor network","Xdense, Sensor network",NA,NA,NA,"",""
"","dedup_wf_001::e1cf43cb66c5ba65868efe31afa3cb70","[INFO] Computer Science [cs]","Work-in-Progress and Demo Proceedings - 2016 IEEE Real-Time and Embedded Technology and Applications Symposium (RTAS)","Nélis, Vincent","2016-04-12","HAL CCSD","publication","","","https://hal.inria.fr/hal-01305183/document","International audience; This document is a collection of the Work-in-Progress and Demo papers presented at the 2016 IEEE Real-Time and Embedded Technology and Applications Symposium (RTAS).","333053","Open Access","0.0144","0.6763","14","Applications symposium rtas, Case bounds analysis, Demo proceedings ieee","Applications symposium rtas, Case bounds analysis, Demo proceedings ieee",NA,NA,NA,"",""
"","od______2595::08949ad6d99b74cd95d930f20fd77667","emerging smart;citizens significantly;connectivity interoperability","Dependable Embedded Wireless Infrastructure","Pereira, Nuno","2015-01-01","","publication","","","","DEWI will provide key solutions for wireless seamless connectivity and interoperability in the everyday physical
			environment of citizens, thereby significantly contributing to the emerging smart home and smart public space.","621353","Open Access","0.6051","0.4036","7","Citizens significantly, Connectivity interoperability, Emerging smart","Citizens significantly, Connectivity interoperability, Emerging smart",NA,NA,NA,"",""
"","od______2595::5538ff9e1f306a1fc97023495483d7b5","xdense;deployments","Towards the Development of XDense, A Sensor Network for Dense Sensing","Loureiro, João","2015-01-01","","publication","","","","Poster in 12th European Conference on Wireless Sensor Networks (EWSN 2015). 9 to 11, Feb, 2015, pp 24-25. Porto, Portugal.
			In order to observe phenomena of interest, many applications can require extremely dense deployments of sensors with high sampling rates. We proposed XDense as a wired mesh grid sensor network architecture tailored for scenarios that can benefit from deployments as dense as thousands of sensors per square meter. In a previous work, we evaluated and validated the XDense model and its application specific potentials with extensive simulations. In this paper, we discuss the practical issues involved in implementing XDense and steps for its experimental validation.","137228","Open Access","0.4657","-0.319","10","Xdense, Sensor network","Xdense, Sensor network",NA,NA,NA,"",""
"","od______2595::2663892f7d353dd93b8ff706d741f20c","Multi-Packet Reception","Stability and Delay of Network-Diversity Multiple Access with Backlog Retransmission Control","Robles, Ramano","2017-01-01","","publication","","","","The Second International Conference on Advances in Signal, Image and Video Processing - from Sensing to Applications (SIGNAL 2017). 21 to 25, May, 2017, 5Gsignalwave. Barcelona, Spain.
			This paper proposes two strategies for retransmission
			control of backlog traffic in the family of algorithms known
			as Network Diversity Multiple Access (NDMA). This type of
			algorithm has been shown to achieve (in ideal conditions) the
			following aspects: 1) collision-free performance for contentionbased
			traffic, 2) low latency values, and 3) reduced feedback
			complexity. These features match the machine-type traffic, realtime,
			and dense object connectivity requirements in 5G. This
			makes NDMA a candidate for contention traffic support in 5G
			systems. However, existing analysis ignores the effects of backlog
			traffic generated by the imperfect detection conditions that arise
			in settings with finite Signal-to-Noise Ratio (SNR). This paper
			aims to partially fill this gap, by providing analytic expressions for
			the performance of symmetrical training-based NDMA protocols
			with two different types of backlog traffic retransmission schemes.
			In the first strategy, all terminals involved in an unsuccessful resolution
			period retransmit immediately in the subsequent resolution
			periods or epoch slots. This procedure is repeated continuously
			(persistent retransmission) by inducing the same collision event
			under different channel outcomes until all the contending signals
			are correctly detected and received. In the second retransmission
			strategy, the terminals in backlog state retransmit at a randomly
			selected time-slot with a probability that that is assumed (for
			simplicity) to match the transmission rate of the system. In
			both strategies, expressions are here obtained of the maximum
			stable throughput and the average delay experienced by any
			packet to be correctly received by the destination. This allows
			us to determine the capabilities of NDMA for achieving lowlatency,
			reduced feedback complexity, as well as highly stable
			and real-time throughout performance. The results shown here
			suggest that NDMA can achieve attractive low latency and high
			throughput figures mainly at high SNR values and moderate
			traffic loads.
			info:eu-repo/semantics/publishedVersion","621353","Open Access","-0.4266","-0.3937","2","Diversity multiple access, Network diversity multiple, Imperfect channel","Diversity multiple access, Network diversity multiple, Imperfect channel",NA,NA,NA,"",""
"","od______2595::99138601413410b286383e4f4813a676","Wireless Sensor Networks","Towards Worst-Case Bounds Analysis of the IEEE 802.15.4e","Kurunathan, Harrison","2016-01-01","Institute of Electrical and Electronics Engineers","publication","","","","Work in Progress Session, 22nd IEEE Real-Time Embedded Technology & Applications Symposium (RTAS 2016). 11 to 14, Apr, 2016. Viena, Austria.
			The IEEE 802.15.4e amendment provides important functionalities to address timeliness and reliability in timesensitive WSN applications, by extending the IEEE 802.15.4-2011 protocol. Nevertheless, in other to make the appropriate network design choices, it is mandatory to understand the behavior of such networks under worst-case conditions. This paper contributes in that direction by proposing a methodology based on Network Calculus that will, by modeling the fundamental performance limits of such networks, enable in the future a quick and efficient worst-case dimensioning of the networks’ schedule and resources.
			info:eu-repo/semantics/publishedVersion","135626","Restricted","-0.0046","0.0391","14","Applications symposium rtas, Case bounds analysis, Demo proceedings ieee","Applications symposium rtas, Case bounds analysis, Demo proceedings ieee",NA,NA,NA,"",""
"","od______2595::7f983e658731890f8241ce2d4a76d07a","figure;xdense;phenomena","A module for the XDense architecture in ns-3","Loureiro, João","2015-01-01","","publication","","","","Demo in Workshop on ns-3 (WNS3 2015). 13 to 14, May, 2015. Castelldefels, Spain.
			The acquisition of data regarding some dynamic phenomena can
			require extremely dense deployments of sensors and high
			sampling rates. We propose XDense [1], a wired mesh grid sensor
			network architecture (see Figure 1a) tailored for scenarios that
			benefit from thousands of sensors per square meter. XDense has
			scalable network topology and it enables complex feature
			extraction in real-time from the observed phenomena, by
			exploiting distributed processing capabilities and inter-node
			communication, the latter being represented in Figure 1b.","147439","Open Access","0.4665","-0.4605","10","Xdense, Sensor network","Xdense, Sensor network",NA,NA,NA,"",""
"","od______2595::f3ec0d390e958a770ad2e815267a8b55","Imperfect CSIT","Joint Beamforming, Terminal Scheduling, and Adaptive Modulation with Imperfect CSIT in Rayleigh Fading Correlated Channels with Co-channel Interference","Robles, Ramiro","2017-01-01","","publication","","","","The Second International Conference on Advances in Signal, Image and Video Processing - from Sensing to Applications (SIGNAL 2017). 21 to 25, May, 2017, 5Gsignalwave. Barcelona, Spain.
			—This paper presents a resource allocation algorithm
			for multi-user wireless networks affected by co-channel interference.
			The analysis considers a network with one base station
			(BS) that uses a multiple antenna transmitter (beamformer) to
			schedule (in a time-division manner) transmissions towards a
			set of J one-antenna terminals in the presence of K persistent
			interferers. The transmitter is assumed to employ MaximumRatio
			Combining (MRC) beamforming with spatially-correlated
			branches and channel envelopes modelled as Rayleigh-distributed
			processes. The BS has access to an imperfect (outdated) copy
			of the instantaneous Channel State Information (CSI) of each
			terminal. Based on this CSI at the transmitter side (CSIT), the BS
			proceeds to select (at each time interval or time-slot) the terminal
			with the highest channel strength for purposes of transmission.
			This imperfect CSIT is also used to calculate the coefficients of the
			beamformer that will be used to transmit information towards the
			scheduled terminal, as well as for selecting the most appropriate
			modulation format (threshold-based decision). In addition, the
			transmission towards each scheduled terminal is assumed to
			experience persistent co-channel interference that will degrade
			the quality of the information reception process. The main merits
			of this work are the following: 1) joint analysis of MRC-based
			beamforming, terminal scheduling based on maximum channel
			strength, and modulation assignment, and 2) joint modelling
			of the effects of spatial correlation, co-channel interference
			and imperfect CSIT. Results suggest that scheduling helps in
			rejecting co-channel interference and the degrading effects of
			imperfect CSIT. Spatial correlation could some times lead to
			better performance than the uncorrelated case, particularly in the
			low SNR (Signal-to-Noise Ratio) regime. Conversely, uncorrelated
			branches always outperform the correlated case in the high SNR
			regime. The use of higher numbers of antennas also improve
			performance of the system. However, spatial correlation tends
			to accumulate over the antenna array thus leading to a more
			noticeable performance degradation and more allocation errors
			due to the outdated CSIT assumption.
			info:eu-repo/semantics/publishedVersion","621353","Open Access","-0.5144","0.1157","5","Imperfect csit, Adaptive modulation, Fading correlated channels","Imperfect csit, Adaptive modulation, Fading correlated channels",NA,NA,NA,"",""
"10.1109/dsd.2014.40","narcis______::208a950fc93cc7e19ce24434b82c6878","ComputingMilieux_LEGALASPECTSOFCOMPUTING","Composable and predictable dynamic loading for time-critical partitioned systems","Sinha, SS Shubhendu","2014-01-01","Institute of Electrical and Electronics Engineers Inc.","publication","","","https://pure.tue.nl/ws/files/3757636/706991235301736.pdf","","621353","Open Access","-0.1122","-0.795","13","Computingmilieux legalaspectsofcomputing","Computingmilieux legalaspectsofcomputing",5,NA,NA,"",""
