"doi","id","subject","title","authors","year","publisher","resulttype","language","journal","url","paper_abstract","project_id","accessright","x","y","area_uri","cluster_labels","area","citation_count","cited_by_tweeters_count","readers.mendeley","readers","file_hash"
"","dedup_wf_001::08fa6de4e67a6d065810721129641237","[INFO.INFO-CR] Computer Science [cs]/Cryptography and Security [cs.CR]","The Linux Pseudorandom Number Generator Revisited","Lacharme, Patrick","2012-01-01","HAL CCSD","publication","","","https://hal.archives-ouvertes.fr/hal-01005441/document","déposé sur Cryptology ePrint Archive (http://eprint.iacr.org/); The Linux pseudorandom number generator (PRNG) is a PRNG with entropy inputs which is widely used in many security related applications and protocols. This PRNG is written as an open source code which is subject to regular changes. It was last analyzed in the work of Gutterman et al. in 2006 [GPR06] but since then no new analysis has been made available, while in the meantime several changes have been applied to the code, among others, to counter the attacks presented in [GPR06]. Our work describes the Linux PRNG of kernel versions 2.6.30.7 and upwards. We detail the PRNG architecture in the Linux system and provide its first accurate mathematical description and a precise analysis of the building blocks, including entropy estimation and extraction. Subsequently, we give a security analysis including the feasibility of cryptographic attacks and an empirical test of the entropy estimator. Finally, we underline some important changes to the previous versions and their consequences.","216676","Open Access","0.1551","-0.4698","11","[info] computer science [cs], Affine coordinates, Alred construction","[info] computer science [cs], Affine coordinates, Alred construction",NA,NA,NA,"",""
"","dedup_wf_001::0f3530a66778a26fe6afaee0967db09d","digital rights management","Diﬀusion chiﬀrée avec traçage de traîtres","Strefler, Mario","2013-09-26","HAL CCSD","publication","","","https://tel.archives-ouvertes.fr/tel-00870910/document","In this thesis, we look at deﬁnitions and black-box constructions with eﬃcient instantiations for broadcast encryption and traitor tracing. We begin by looking at the security notions for broadcast encryption found in the literature. Since there is no easy way to compare these existing notions, we propose a framework of security notions for which we establish relationships. We then show where existing notions ﬁt within this framework. Second, we present a black-box construction of a decentralized dynamic broadcast encryption scheme. This scheme does not rely on any trusted authorities, and new users can join at any time. It achieves the strongest security notion based on the security of its components and has an eﬃcient instantiation that is fully secure under the DDH assumption in the standard model. Finally, we give a black-box construction of a message-based traitor tracing scheme, which allows tracing not only based on pirate decoders but also based on watermarks contained in a message. Our scheme is the ﬁrst one to obtain the optimal ciphertext rate of 1 symptotically. We then show that at today's data rates, the scheme is already practical for standard choices of values.; Dans cette thèse, nous étudions les déﬁnitions et les constructions en boite noire avec des instantiations eﬃcaces pour la diﬀusion chiﬀrée et le traçage de traîtres. Nous commençons par examiner les notions de sécurité pour la diﬀusion chiﬀrée présentes dans la littérature. Comme il n'y a pas de moyen facile de les comparer, nous proposons un cadre général et établissons des relations. Nous montrons alors comment les notions existantes s'inscrivent dans ce cadre. Ensuite, nous présentons une construction en boite noire d'un système de diﬀusion chiﬀrée dynamique décentralisée. Ce système ne repose sur aucune autorité de conﬁance, et de nouveaux utilisateurs peuvent joindre à tout moment. Le système satisfait la notion de sécurité la plus forte sous des hypothèses de sécurité classiques de ses composantes. Il admet une instantiation eﬃcace qui est sûre sous la seule hypothèse DDH dans le modèle standard. Enﬁn, nous donnons une construction en boite noire d'un système de traçage de traîtres à base de messages, qui permet de tracer non seulement à partir des décodeurs pirates, mais aussi à partir des tatouages numériques contenus dans un message. Notre schéma est le premier à obtenir asymptotiquement le taux d'expansion optimal de 1. Nous montrons également que vus les débits de données actuels, le schéma est déjà pratique pour les choix de valeurs usuels.","216676","Open Access","-0.6213","-0.4039","11","[info] computer science [cs], Affine coordinates, Alred construction","[info] computer science [cs], Affine coordinates, Alred construction",NA,NA,NA,"",""
"","dedup_wf_001::12dd8cfb77bfe1ed378a4c62d3df8828","[INFO.INFO-CR] Computer Science [cs]/Cryptography and Security [cs.CR]","On the complexity of the Arora-Ge Algorithm against LWE","Albrecht, Martin","2012-07-11","HAL CCSD","publication","","","https://hal.inria.fr/hal-00776434/document","International audience; Arora & Ge recently showed that solving LWE can be reduced to solve a high-degree non-linear system of equations. They used a linearization to solve the systems. We investigate here the possibility of using Gr¨obner bases to improve Arora & Ge approach.","216676","Open Access","0.312","-0.4844","4","Bihomogeneous ideals, [info.info-cr] computer science [cs]/cryptography and security [cs.cr]","Bihomogeneous ideals, [info.info-cr] computer science [cs]/cryptography and security [cs.cr]",NA,NA,NA,"",""
"","dedup_wf_001::60c587ddf4047e5483516f3132aedbf6","composite-order groups","Étude de l'arithmétique des couplages sur les courbes algébriques pour la cryptographie","Guillevic, Aurore","2013-12-20","HAL CCSD","publication","","","https://tel.archives-ouvertes.fr/tel-00921940/document","Since 2000 pairings became a very useful tool to design new protocols in cryptography. Short signatures and identity-based encryption became also practical thanks to these pairings. This thesis contains two parts. One part is about optimized pairing implementation on different elliptic curves according to the targeted protocol. Pairings are implemented on supersingular elliptic curves in large characteristic and on Barreto-Naehrig curves. The pairing library developed at Thales is used in a broadcast encryption scheme prototype. The prototype implements pairings over Barreto-Naehrig curves. Pairings over supersingular curves are much slower and have larger parameters. However these curves are interesting when implementing protocols which use composite-order elliptic curves (the group order is an RSA modulus). We implement two protocols that use pairings on composite-order groups and compare the benchmarks and the parameter size with their counterpart in a prime-order setting. The composite-order case is 30 up to 250 times much slower according to the considered step in the protocols: the efficiency difference in between the two cases is very important. A second part in this thesis is about two families of genus 2 curves. Their Jacobians are isogenous to the product of two elliptic curves over a small extension field. The properties of elliptic curves can be translated to the Jacobians thanks to this isogeny. Point counting is as easy as for elliptic curves in this case. We also construct two endomorphisms both on the Jacobians and the elliptic curves. These endomorphisms can be used for scalar multiplication improved with a four-dimensional Gallant-Lambert-Vanstone method.; Depuis 2000 les couplages sont devenus un très bon outil pour la conception de nouveaux protocoles cryptographiques. Les signatures courtes et le chiffrement basé sur l'identité sont devenus réalisables grâce aux couplages. Les travaux réalisés dans cette thèse comprennent deux aspects complémentaires. Une partie consiste en l'implémentation optimisée de couplages sur différentes courbes elliptiques, en fonction des protocoles visés. Une implémentation sur des courbes supersingulières en grande caractéristique et sur des courbes de Barreto-Naehrig est détaillée. La bibliothèque développée au Laboratoire Chiffre de Thales est utilisée avec des courbes de Barreto-Naehrig dans un protocole de diffusion chiffrée. La seconde application évalue la différence de temps de calcul pour des protocoles utilisant les couplages sur des courbes d'ordre composé (un large module RSA) et la traduction de ces protocoles qui utilise plusieurs couplages sur des courbes plus habituelles. Les résultats montrent une différence d'un facteur de 30 à 250 en fonction des étapes des protocoles, ce qui est très important. Une seconde partie porte sur deux familles de courbes de genre deux. Les jacobiennes de ces courbes sont isogènes au produit de deux courbes elliptiques sur une extension de corps de petit degré. Cette isogénie permet de transférer les propriétés des courbes elliptiques vers les jacobiennes. Le comptage de points est aisé et ne requiert qu'un comptage de points sur une des courbes elliptiques isogènes, plus quelques ajustements. On présente aussi la construction de deux endomorphismes à la fois sur les jacobiennes et sur les courbes elliptiques. Ces deux endomorphismes permettent des multiplications scalaires efficaces en suivant la méthode de Gallant, Lambert et Vanstone, ici en dimension quatre.","216676","Open Access","0.2558","-0.6765","11","[info] computer science [cs], Affine coordinates, Alred construction","[info] computer science [cs], Affine coordinates, Alred construction",NA,NA,NA,"",""
"","dedup_wf_001::8b50106c93afc831f5c11ee07f79a916","ComputingMethodologies_DOCUMENTANDTEXTPROCESSING","Elligator: Elliptic-curve points indistinguishable from uniform random strings","Bernstein, D. J.","2013-01-01","IACR","publication","","","https://pure.tue.nl/ws/files/3965509/1518161068435.pdf","","1018836","Open Access","-0.0079","0.762","13","Edwards curves, Algebra and number theory, Elliptic curve","Edwards curves, Algebra and number theory, Elliptic curve",NA,NA,NA,"",""
"","dedup_wf_001::cfc61f01aad51707e567ea0b43db3c5d","efficiency.","Towards Black-Box Accountable Authority IBE with Short Ciphertexts and Private Keys","Libert, Benoît","2008-07-11","Springer","publication","","","https://hal.inria.fr/inria-00356999/document","International audience; At Crypto'07, Goyal introduced the concept of Accountable Authority Identity-Based Encryption as a convenient tool to reduce the amount of trust in authorities in Identity-Based Encryption. In this model, if the Private Key Generator (PKG) maliciously re-distributes users' decryption keys, it runs the risk of being caught and prosecuted. Goyal proposed two constructions: the first one is efficient but can only trace well-formed decryption keys to their source; the second one allows tracing obfuscated decryption boxes in a model (called weak black-box model) where cheating authorities have no decryption oracle. The latter scheme is unfortunately far less efficient in terms of decryption cost and ciphertext size. In this work, we propose a new construction that combines the efficiency of Goyal's first proposal with a very simple weak black-box tracing mechanism. Our scheme is described in the selective-ID model but readily extends to meet all security properties in the adaptive-ID sense, which is not known to be true for prior black-box schemes.","216676","Open Access","-0.4752","-0.4665","7","Black box accountable, Box accountable authority, Certificateless encryption","Black box accountable, Box accountable authority, Certificateless encryption",NA,NA,NA,"",""
"","narcis______::590b725fd5649efbd80a1ee3267f3965"," sha;sha software;software shootout","The new SHA-3 software shootout","Bernstein, DJ Daniel","2012-01-01","National Institute of Standards and Technology (NIST)","publication","","","https://pure.tue.nl/ws/files/3385969/36354605207602.pdf","","216676","Open Access","0.4645","0.6163","3","Analysis methods, Consistent hardware, Cryptographic hash","Analysis methods, Consistent hardware, Cryptographic hash",NA,NA,NA,"",""
"","dedup_wf_001::b3e9252ad923c38c9344dd15c7329867","quantum cryptanalysis","Symmetric Cryptography for Long-Term Security","Naya-Plasencia, María","2017-05-05","HAL CCSD","publication","","","https://hal.inria.fr/tel-01656036/document","","216676","Open Access","0.083","-0.7643","11","[info] computer science [cs], Affine coordinates, Alred construction","[info] computer science [cs], Affine coordinates, Alred construction",NA,NA,NA,"",""
"","narcis______::232345030766536f9acb16cbd216785d","ComputingMethodologies_DOCUMENTANDTEXTPROCESSING","Compact implementations of pairings","Herrewege, A. Van","2009-01-01","","publication","","","http://repository.ubn.ru.nl/bitstream/handle/2066/75347/75347.pdf","Alleen electronisch beschikbaar","216676","Open Access","-0.289","0.6189","11","[info] computer science [cs], Affine coordinates, Alred construction","[info] computer science [cs], Affine coordinates, Alred construction",NA,NA,NA,"",""
"","dedup_wf_001::dd02b446b84374ee64c402c36d742c62","Differential Fault Analysis","Differential Fault Analysis of the Advanced Encryption Standard Using a Single Fault","Tunstall, Michael","2011-06-01","Springer","publication","","","https://hal.inria.fr/hal-01573310/document","Part 7: Security Attacks and Measures (Short Papers); International audience; In this paper we present a differential fault attack that can be applied to the AES using a single fault. We demonstrate that when a single random byte fault is induced at the input of the eighth round, the AES key can be deduced using a two stage algorithm. The first step has a statistical expectation of reducing the possible key hypotheses to 232, and the second step to a mere 28.","216676","Open Access","0.2507","-0.5697","5","Aes asic, Asic cores, Channel collision","Aes asic, Asic cores, Channel collision",NA,NA,NA,"",""
"","narcis______::d97978eeb64cf465a067db1a9c2cbdb7","hash function;cryptographic hash;whirlwind","Wirlwind: a New Cryptographic Hash Function","Barreto, Paulo","2010-04-01","","publication","","","https://ris.utwente.nl/ws/files/6728185/whirlwind_final_DCC.pdf","A new cryptographic hash function Whirlwind is presented. We give the full specification and explain the design rationale. We show how the hash function can be implemented efficiently in software and give first performance numbers. A detailed analysis of the security against state-of-the-art cryptanalysis methods is also provided. In comparison to the algorithms submitted to the SHA-3 competition, Whirlwind takes recent developments in cryptanalysis into account by design. Even though software performance is not outstanding, it compares favourably with the 512-bit versions of SHA-3 candidates such as LANE or the original CubeHash proposal and is about on par with ECHO and MD6.","216676","Open Access","0.23","0.2667","3","Analysis methods, Consistent hardware, Cryptographic hash","Analysis methods, Consistent hardware, Cryptographic hash",NA,NA,NA,"",""
"","narcis______::72fb23c25e5e18e93fb953dd2b72064d","ComputingMethodologies_DOCUMENTANDTEXTPROCESSING","The Certicom Challenges ECC2-X","Bailey, D. V.","2009-01-01","","publication","","","http://repository.ubn.ru.nl/bitstream/handle/2066/75792/75792.pdf","","216676","Open Access","-0.4228","0.6516","11","[info] computer science [cs], Affine coordinates, Alred construction","[info] computer science [cs], Affine coordinates, Alred construction",NA,NA,NA,"",""
"","webcrawl____::97337f849bdda917f2aa53977f027074","communication protocols;efficient location;location private","Efficient and Location-Private Communication Protocols for WBSNs","Braeken, An","2013-01-01","OLD CITY PUBLISHING INC","publication","","AD HOC & SENSOR WIRELESS NETWORKS","","","216676","Closed Access","-0.477","0.3261","8","Alternating block, Architecture supporting, Asymmetric cryptography","Alternating block, Architecture supporting, Asymmetric cryptography",NA,NA,NA,"",""
"10.1007/978-3-319-10879-7_2","dedup_wf_001::aa14010cf0376b448106ccfc731fbcea","[INFO.INFO-CR] Computer Science [cs]/Cryptography and Security [cs.CR]","Tighter Reductions for Forward-Secure Signature Schemes","Abdalla, Michel","2015-03-01","HAL CCSD","publication","","","","In this paper, we revisit the security of factoring-based signature schemes built via the Fiat-Shamir transform and show that they can admit tighter reductions to certain decisional complexity assumptions such as the quadratic-residuosity, the high-residuosity, and the φ- hiding assumptions. We do so by proving that the underlying identification schemes used in these schemes are a particular case of the lossy identification notion recently introduced by Abdalla et al. at Eurocrypt 2012. Next, we show how to extend these results to the forward-security setting based on ideas from the Itkis-Reyzin forward-secure signature scheme. Unlike the original Itkis-Reyzin scheme, our construction can be instantiated under different decisional complexity assumptions and has a much tighter security reduction. Finally, we show that the tighter security reductions provided by our proof methodology can result in concrete efficiency gains in practice, both in the standard and forward-security setting, as long as the use of stronger security assumptions is deemed acceptable. All of our results hold in the random oracle model.","216676","Open Access","-0.3959","-0.2652","9","Forward secure signature, Lossy identification, [info.info-cr] computer science [cs]/cryptography and security [cs.cr]","Forward secure signature, Lossy identification, [info.info-cr] computer science [cs]/cryptography and security [cs.cr]","2",NA,NA,"",""
"10.1007/978-3-642-01001-9_32","dedup_wf_001::c6814e496eb83de8076cc802109cb498","[INFO.INFO-CR] Computer Science [cs]/Cryptography and Security [cs.CR]","Verifiable Random Functions from Identity based Key Encapsulation","Abdalla, Michel","2009-04-26","HAL CCSD","publication","","","","International audience; We propose a methodology to construct verifiable random functions from a class of identity based key encapsulation mechanisms (IB-KEM) that we call VRF suitable. Informally, an IB-KEM is VRF suitable if it provides what we call unique decryption (i.e. given a ciphertext C produced with respect to an identity ID , all the secret keys corresponding to identity ID′ , decrypt to the same value, even if ID≠ID′ ) and it satisfies an additional property that we call pseudorandom decapsulation. In a nutshell, pseudorandom decapsulation means that if one decrypts a ciphertext C, produced with respect to an identity ID , using the decryption key corresponding to any other identity ID′ the resulting value looks random to a polynomially bounded observer. Interestingly, we show that most known IB-KEMs already achieve pseudorandom decapsulation. Our construction is of interest both from a theoretical and a practical perspective. Indeed, apart from establishing a connection between two seemingly unrelated primitives, our methodology is direct in the sense that, in contrast to most previous constructions, it avoids the inefficient Goldreich-Levin hardcore bit transformation.","216676","Open Access","-0.0741","-0.628","14","Verifiable random functions, Based key encapsulation, Identity based key","Verifiable random functions, Based key encapsulation, Identity based key","10",NA,NA,"",""
"10.1007/978-3-642-03298-1_10","dedup_wf_001::259649fbac88ee84bebd15fa214c6654","[INFO.INFO-CR] Computer Science [cs]/Cryptography and Security [cs.CR]","Proofs on Encrypted Values in Bilinear Groups and an Application to Anonymity of Signatures","Fuchsbauer, Georg","2009-01-01","Springer","publication","","","https://hal.inria.fr/inria-00539544/document","International audience; We give a generic methodology to unlinkably anonymize cryptographic schemes in bilinear groups using the Boneh-Goh-Nissim cryptosystem and NIZK proofs in the line of Groth, Ostrovsky and Sahai. We illustrate our techniques by presenting the first instantiation of anonymous proxy signatures (in the standard model), a recent primitive unifying the functionalities and strong security notions of group and proxy signatures. To construct our scheme, we introduce various efficient NIZK and witness-indistinguishable proofs, and a relaxed version of simulation soundness.","216676","Open Access","-0.5123","-0.0776","10","Standard model","Standard model","2",NA,NA,"",""
"10.1007/978-3-642-05445-7_25","dedup_wf_001::dbfba52e9ea7ab3ba0e2b1dbea8bbe57","Data_FILES","Herding, Second Preimage and Trojan Message Attacks Beyond Merkle-Damgaard","Andreeva, Elena","2009-08-13","HAL CCSD","publication","","","https://hal.inria.fr/inria-00417798/document","International audience; In this paper we present new attack techniques to analyze the structure of hash functions that are not based on the classical Merkle-Damgaard̊ construction. We extend the herding attack to concatenated hashes, and to certain hash functions that process each message block several times. Using this technique, we show a second preimage attack on the folklore “hash-twice” construction which process two concatenated copies of the message. We follow with showing how to apply the herding attack to tree hashes. Finally, we present a new type of attack — the trojan message attack, which allows for producing second preimages of unknown messages (from a small known space) when they are appended with a fixed suffix.","216676","Open Access","0.5323","0.0858","5","Aes asic, Asic cores, Channel collision","Aes asic, Asic cores, Channel collision","5",NA,NA,"",""
"10.1007/978-3-642-10366-7","dedup_wf_001::dc9085e65e412b4cbf994eca7512a875","Homogeneous Coppersmith's Root Finding","Factoring pq² with Quadratic Forms: Nice Cryptanalyses","Castagnos, Guilhem","2009-12-06","HAL CCSD","publication","","","https://hal.archives-ouvertes.fr/hal-01022756/document","International audience; We present a new algorithm based on binary quadratic forms to factor integers of the form N = pq². Its heuristic running time is exponential in the general case, but becomes polynomial when special (arithmetic) hints are available, which is exactly the case for the so-called NICE family of public-key cryptosystems based on quadratic fields introduced in the late 90s. Such cryptosystems come in two flavours, depending on whether the quadratic field is imaginary or real. Our factoring algorithm yields a general key-recovery polynomial-time attack on NICE, which works for both versions: Castagnos and Laguillaumie recently obtained a total break of imaginary-NICE, but their attack could not apply to real-NICE. Our algorithm is rather different from classical factoring algorithms: it combines Lagrange's reduction of quadratic forms with a provable variant of Coppersmith's lattice-based root finding algorithm for homogeneous polynomials. It is very efficient given either of the following arithmetic hints: the public key of imaginary-NICE, which provides an alternative to the CL attack; or the knowledge that the regulator of the quadratic field Q(√p) is unusually small, just like in real-NICE.","216676","Open Access","0.6684","-0.2021","12","Homogeneous coppersmith's root finding, [info] computer science [cs]","Homogeneous coppersmith's root finding, [info] computer science [cs]","2","2","6","",""
"10.1007/978-3-642-10366-7_28","dedup_wf_001::929e6a7e622f4f302cb92a7a8210715e","[INFO] Computer Science [cs]","Factoring pq 2 with Quadratic Forms: Nice Cryptanalyses","Castagnos, Guilhem","2009-12-06","HAL CCSD","publication","","","https://hal.archives-ouvertes.fr/hal-01082340/document","International audience; We present a new algorithm based on binary quadratic forms to factor integers of the form N = pq 2 . Its heuristic running time is expo-nential in the general case, but becomes polynomial when special (arith-metic) hints are available, which is exactly the case for the so-called NICE family of public-key cryptosystems based on quadratic fields introduced in the late 90s. Such cryptosystems come in two flavours, depending on whether the quadratic field is imaginary or real. Our factoring al-gorithm yields a general key-recovery polynomial-time attack on NICE, which works for both versions: Castagnos and Laguillaumie recently ob-tained a total break of imaginary-NICE, but their attack could not apply to real-NICE. Our algorithm is rather different from classical factoring algorithms: it combines Lagrange's reduction of quadratic forms with a provable variant of Coppersmith's lattice-based root finding algorithm for homogeneous polynomials. It is very efficient given either of the following arithmetic hints: the public key of imaginary-NICE, which provides an alternative to the CL attack; or the knowledge that the regulator of the quadratic field Q(√ p) is unusually small, just like in real-NICE.","216676","Open Access","0.6512","-0.202","12","Homogeneous coppersmith's root finding, [info] computer science [cs]","Homogeneous coppersmith's root finding, [info] computer science [cs]","0",NA,NA,"",""
"10.1007/978-3-642-10433-6_15","dedup_wf_001::5eda38222c1c2f91792a94481a422d74","ComputingMilieux_COMPUTERSANDSOCIETY","Transferable Constant-Size Fair E-Cash","Fuchsbauer, Georg","2009-01-01","Springer","publication","","","https://hal.inria.fr/inria-00539543/document","International audience; We propose a new blind certification protocol that provides interesting properties while remaining efficient. It falls in the Groth-Sahai framework for witness-indistinguishable proofs, thus extended to a certified signature it immediately yields non-frameable group signatures. We then use it to build an efficient (offline) e-cash system that guarantees user anonymity and transferability of coins without increasing their size. As required for fair e-cash, in case of fraud, anonymity can be revoked by an authority, which is also crucial to deter from double spending.","216676","Open Access","-0.6348","0.1027","10","Standard model","Standard model","8",NA,NA,"",""
"10.1007/978-3-642-10433-6_34","dedup_wf_001::342025ab5cdc061404c65a6e67d73c67","standard model","Group Signatures with Verifier-Local Revocation and Backward Unlinkability in the Standard Model","Libert, Benoît","2009-12-12","Springer","publication","","","https://hal.inria.fr/inria-00577255/document","International audience; Group signatures allow users to anonymously sign messages in the name of a group. Membership revocation has always been a critical issue in such systems. In 2004, Boneh and Shacham formalized the concept of group signatures with verifier-local revocation where revocation messages are only sent to signature verifiers (as opposed to both signers and verifiers). This paper presents an efficient {verifier-local revocation group signature} (VLR-GS) providing backward unlinkability (i.e. previously issued signatures remain anonymous even after the signer's revocation) with a security proof in the standard model (i.e. without resorting to the random oracle heuristic).","216676","Open Access","-0.6917","-0.0814","10","Standard model","Standard model","14",NA,NA,"",""
"10.1007/978-3-642-12510-2_14","dedup_wf_001::27705f5595c7d1f5cc2cf1eb21ae8e6c","[INFO.INFO-DL] Computer Science [cs]/Digital Libraries [cs.DL]","Modeling Privacy for Off-Line RFID Systems","Garcia, Flavio D.","2010-01-01","Springer","publication","","","https://hal.inria.fr/hal-01056106/document","International audience; This paper establishes a novel model for RFID schemes where readers are not continuously connected to the back office, but only periodically. Furthermore, adversaries are not only capable of compromising tags, but also of compromising readers. This more properly models large scale deployment of RFID technology such as in public transport ticketing systems and supply-chain management systems. In this model we define notions of security (only legitimate tags can authenticate) and of privacy (no adversary is capable of tracking legitimate tags). We show that privacy is always lost at the moment that a reader is compromised and we develop notions of forward and backward privacy with respect to reader corruption. This models the property that tags cannot be traced, under mild additional assumptions, for the time slots before and after reader corruption. We exhibit two protocols that only use hashing that achieve these security and privacy notions and give proofs in the random oracle model.","216676","Open Access","-0.549","-0.4165","7","Black box accountable, Box accountable authority, Certificateless encryption","Black box accountable, Box accountable authority, Certificateless encryption","5",NA,NA,"",""
"10.1007/978-3-642-12678-9_2","dedup_wf_001::7f4b33451295d55025a30b32b2bc11af","Standard model","Fair Blind Signatures without Random Oracles","Fuchsbauer, Georg","2010-05-03","Springer","publication","","","https://hal.inria.fr/inria-00577145/document","International audience; A fair blind signature is a blind signature with revocable anonymity and unlinkability, i.e., an authority can link an issuing session to the resulting signature and trace a signature to the user who requested it. In this paper we first revisit the security model for fair blind signatures given by Hufschmitt and Traoré in 2007. We then give the first practical fair blind signature scheme with a security proof in the standard model. Our scheme satisfies a stronger variant of the Hufschmitt-Traoré model.","216676","Open Access","-0.6384","-0.1396","10","Standard model","Standard model","3",NA,NA,"",""
"10.1007/978-3-642-12678-9_21","dedup_wf_001::b7cd4d79c7ad078728aa3325ab9224cd","[INFO.INFO-CR] Computer Science [cs]/Cryptography and Security [cs.CR]","Strong Cryptography from Weak Secrets - Building Efficient PKE and IBE from Distributed Passwords","Boyen, Xavier","2010-05-03","Springer","publication","","","https://hal.inria.fr/inria-00539542/document","International audience; Modern multi-user communication systems, including popular instant messaging tools, social network platforms, and cooperative-work applications, offer flexible forms of communication and exchange of data. At any time point concurrent communication sessions involving different subsets of users can be invoked. The traditional tool for achieving security in a multi-party communication environment are group key exchange (GKE) protocols that provide participants with a secure group key for their subsequent communication. Yet, in communication scenarios where various user subsets may be involved in different sessions the deployment of classical GKE protocols has clear performance and scalability limitations as each new session should be preceded by a separate execution of the protocol. The motivation of this work is to study the possibility of designing more flexible GKE protocols allowing not only the computation of a group key for some initial set of users but also efficient derivation of independent secret keys for all potential subsets. In particular we improve and generalize the recently introduced GKE protocols enabling on-demand derivation of peer-to-peer keys (so called GKE+P protocols). We show how a group of users can agree on a secret group key while obtaining some additional information that they can use on-demand to efficiently compute independent secret keys for any possible subgroup. Our security analysis relies on the Gap Diffie-Hellman assumption and uses random oracles","216676","Open Access","-0.0878","-0.4104","15","[info.info-cr] computer science [cs]/cryptography and security [cs.cr]","[info.info-cr] computer science [cs]/cryptography and security [cs.cr]","1",NA,NA,"",""
