"doi","id","subject","title","authors","year","publisher","resulttype","language","journal","url","paper_abstract","project_id","accessright","x","y","area_uri","cluster_labels","area","citation_count","readers.mendeley","cited_by_tweeters_count","readers","file_hash"
"","od______3731::35ace7a45bb970d45fa763036b62285f","Foundry Al alloys, Modelling, Microstructure, Mechanical properties","Prediction of the yield strength and microstructure of a cast Al-Si-Mg alloy by means of physically-based models","Colombo, Marco","2017-01-01","","publication","","","","","312483","Closed Access","0.0371","0.797","8","Sodium ion batteries, Amorphous alloys, Anode materials","Sodium ion batteries, Amorphous alloys, Anode materials",NA,NA,NA,"",""
"","od________18::6dc35c27b646156eb5d0e6c48dd8d229","Physics::Optics","Dirac Kirchhoff diffraction theory","Van Boxem, Ruben","2013-03-05","","publication","","","","Kirchhoff's scalar diffraction theory is applied throughout photon and electron optics. It is based on the stationary electromagnetic or Schr\\"odinger wave equation, and is useful in describing interference phenomena for both light and matter waves. Here, Kirchhoff's diffraction theory is derived from the relativistic Dirac equation, thus reformulated to work on Dirac spinors. The parallels with the \"classic\" scalar theory are highlighted, and a basic interpretation of the result obtained for the Fraunhofer diffraction limit is given. The goal of this paper is to emphasize the similarity between the two equations on the most fundamental level.","246791","Open Access","-0.6915","-0.3592","11","Electron vortex beams, Physics - optics, Orbital angular momentum","Electron vortex beams, Physics - optics, Orbital angular momentum",NA,NA,NA,"",""
"","narcis______::37483cbd665d36a78c13c1c870e8f8cc","core shell","Combination of HAADF-STEM and ADF-STEM Tomography for Core–Shell Hybrid Materials","Sentosun, K.","2015-12-01","Wiley","publication","","","https://ir.cwi.nl/pub/23994/23994D.pdf","htmlabstractCharacterization of core–shell type nanoparticles in 3D by transmission electron microscopy (TEM) can be very challenging. Especially when both heavy and light elements coexist within the same nanostructure, artifacts in the 3D reconstruction are often present. A representative example would be a particle comprising an anisotropic metallic (Au) nanoparticle coated with a (mesoporous) silica shell. To obtain a reliable 3D characterization of such an object, a dose-efficient strategy is proposed to simultaneously acquire high-angle annular dark-field scanning TEM and annular dark-field tilt series for tomography. The 3D reconstruction is further improved by applying an advanced masking and interpolation approach to the acquired data. This new methodology enables us to obtain high-quality reconstructions from which also quantitative information can be extracted. This approach is broadly applicable to investigate hybrid core–shell materials.","312483","Open Access","-0.4717","-0.0638","5","Resolution electron tomography, Haadf stem, Reconstruction technique","Resolution electron tomography, Haadf stem, Reconstruction technique",NA,NA,NA,"",""
"10.1002/9783527808465.emc2016.5519","od______2097::afbe67f7a3ece2c0521da9a6f45b9f46","Physics","Investigating lattice strain in Au nanodecahedrons","Goris, Bart","2016-01-01","","publication","","","","","312483","Closed Access","-0.7709","-0.2231","15","Dark field electron, Field electron holography, Lattice strain","Dark field electron, Field electron holography, Lattice strain","0",NA,NA,"",""
"10.1002/adfm.201302892","dedup_wf_001::996cde8b717aa42d4fd8d6cc3346a492","Chemistry","Magnetically Decorated Multi-Walled Carbon Nanotubes as Dual MRI and SPECT Contrast Agents","Wang, Julie Tzu-Wen","2014-04-02","WILEY-V C H VERLAG GMBH","publication","","","","Carbon nanotubes (CNTs) have been proposed as one of the most promising nanomaterials to be used in biomedicine for their applications in drug/gene delivery as well as biomedical imaging. The present study developed radio-labeled iron oxide decorated multi-walled CNTs (MWNT) as dual magnetic resonance (MR) and single photon emission computed tomography (SPECT) imaging agents. Hybrids containing different amounts of iron oxide were synthesized by in situ generation. Physicochemical characterisations revealed the presence of superparamagnetic iron oxide nanoparticles (SPION) granted the magnetic properties of the hybrids. Further comprehensive examinations including high resolution transmission electron microscopy (HRTEM), fast Fourier transform simulations (FFT), X-ray diffraction (XRD) and X-ray photoelectron spectroscopy (XPS) assured the conformation of prepared SPION as γ-Fe2O3. High r2 relaxivities were obtained in both phantom and in vivo MRI compared to the clinically approved SPION Endorem®. The hybrids were successfully radio-labeled with technetium-99m through a functionalized bisphosphonate and enabled SPECT/CT imaging and γ-scintigraphy to quantitatively analyze the biodistribution in mice. No abnormality was found by histological examination and the presence of SPION and MWNT were identified by Perls stain and Neutral Red stain, respectively. TEM images of liver and spleen tissues showed the co-localization of SPION and MWNT within the same intracellular vesicles, indicating the in vivo stability of the hybrids after intravenous injection. The results demonstrated the capability of the present SPION-MWNT hybrids as dual MRI and SPECT contrast agents for in vivo use.","246791","Open Access","0.4755","-0.0585","3","Walled carbon nanotubes, Case study, Additional data file","Walled carbon nanotubes, Case study, Additional data file","38","41",NA,"",""
"10.1002/adfm.201303492","dedup_wf_001::a8eff41755014e2984f4a6f2a85303d1","/dk/atira/pure/subjectarea/asjc/2500/2504","Studies of the Room-Temperature Multiferroic Pb(Fe0.5Ta0.5)0.4(Zr0.53Ti0.47)0.6O3: Resonant Ultrasound Spectroscopy, Dielectric, and Magnetic Phenomena","Schiemer, J","2014-02-01","BlackWell Publishing Ltd","publication","","Advanced Functional Materials","http://eprints.esc.cam.ac.uk/2991/1/adfm201303492.pdf","Recently, lead iron tantalate/lead zirconium titanate (PZTFT) was demonstrated to possess large, but unreliable, magnetoelectric coupling at room temperature. Such large coupling would be desirable for device applications but reproducibility would also be critical. To better understand the coupling, the properties of all 3 ferroic order parameters, elastic, electric, and magnetic, believed to be present in the material across a range of temperatures, are investigated. In high temperature elastic data, an anomaly is observed at the orthorhombic mm2 to tetragonal 4mm transition, Tot = 475 K, and a softening trend is observed as the temperature is increased toward 1300 K, where the material is known to become cubic. Thermal degradation makes it impos- sible to measure elastic behavior up to this temperature, however. In the low temperature region, there are elastic anomalies near ≈40 K and in the range 160–245 K. The former is interpreted as being due to a magnetic ordering transition and the latter is interpreted as a hysteretic regime of mixed rhom- bohedral and orthorhombic structures. Electrical and magnetic data collected below room temperature show anomalies at remarkably similar temperature ranges to the elastic data. These observations are used to suggest that the three order parameters in PZTFT are strongly coupled.","312483","Open Access","0.315","0.5563","1","Article, Interferometric methods, Magnetic properties","Article, Interferometric methods, Magnetic properties","23","23","1","",""
"10.1002/adfm.201400559","od______2097::5fe77fb9cd7b00ffe10aba8f6b486e4e","Engineering sciences. Technology","Self-directed localization of ZIF-8 thin film formation by conversion of ZnO nanolayers","Khaletskaya, Kira","2014-01-01","","publication","","Advanced functional materials","","Abstract: Control of localized metal-organic framework (MOF) thin film formation is a challenge. Zeolitic imidazolate frameworks (ZIFs) are an important sub-class of MOFs based on transition metals and imidazolate linkers. Continuous coatings of intergrown ZIF crystals require high rates of heterogeneous nucleation. In this work, substrates coated with zinc oxide layers are used, obtained by atomic layer deposition (ALD) or by magnetron sputtering, to provide the Zn2+ ions required for nucleation and localized growth of ZIF-8 films ([Zn(mim)(2)]; Hmim = 2-methylimidazolate). The obtained ZIF-8 films reveal the expected microporosity, as deduced from methanol adsorption studies using an environmentally controlled quartz crystal microbalance (QCM) and comparison with bulk ZIF-8 reference data. The concept is transferable to other MOFs, and is applied to the formation of [Al(OH)(1,4-ndc)](n) (ndc = naphtalenedicarboxylate) thin films derived from Al2O3 nanolayers.","312483","Closed Access","-0.0222","0.6461","6","Antiferromagnetic order, Epitaxially strained, Mno thin films","Antiferromagnetic order, Epitaxially strained, Mno thin films","48","64","2","",""
"10.1002/adfm.201503673","od______2097::172fbce45e5685506452db2e9268b26e","Engineering sciences. Technology","Effects of nanostructure and coating on the mechanics of carbon nanotube arrays","Poelma, Rene H.","2016-01-01","","publication","","Advanced functional materials","","Abstract: Nanoscale materials are one of the few engineering materials that can be grown from the bottom up in a controlled manner. Here, the effects of nanostructure and nanoscale conformal coating on the mechanical behavior of vertically aligned carbon nanotube (CNT) arrays through experiments and simulation are systematically investigated. A modeling approach is developed and used to quantify the compressive strength and modulus of the CNT array under large deformation. The model accounts for the porous nanostructure, which contains multiple CNTs with random waviness, van der Waals interactions, fracture strain, contacts, and frictional forces. CNT array micropillars are grown and their porous nanostructure is controlled by the infiltration and deposition of thin conformal coatings using chemical vapor deposition. Flat-punch nanoindentation experiments reveal significant changes in material properties as a function of coating thickness. The simulations explain the experimental results and show the novel failure transition regime that changes from collective CNT buckling toward structural collapse due to fracture. The compressive strength and the elastic modulus increase exponentially as a function of the coating thickness and demonstrate a unique dependency on the CNT waviness. More interestingly, a design rule is identified that predicts the optimum coating thickness for porous materials.","312483","Closed Access","0.2703","0.5473","3","Walled carbon nanotubes, Case study, Additional data file","Walled carbon nanotubes, Case study, Additional data file","10",NA,NA,"",""
"10.1002/admi.201400416","od______2097::06fc0e6f7f971986290c559596af19da","Physics","Enhanced local magnetization by interface engineering in perovskite-type correlated oxide heterostructures","Huijben, Mark","2015-01-01","","publication","","Advanced Materials Interfaces","","","246791","Open Access","0.1028","0.7032","1","Article, Interferometric methods, Magnetic properties","Article, Interferometric methods, Magnetic properties","10",NA,NA,"",""
"10.1002/admi.201600106","od______1106::68d17a98693abb0f7202dd4b0aab8c7c","Complex oxides","Misfit dislocation guided topographic and conduction patterning in complex oxide epitaxial thin films","Sandiumenge, Felip","2016-07-22","Wiley-VCH","publication","","","","Interfacial dissimilarity has emerged in recent years as the cornerstone of emergent interfacial phenomena, while enabling the control of electrical transport and magnetic behavior of complex oxide epitaxial films. As a step further toward the lateral miniaturization of functional nanostructures, this work uncovers the role of misfit dislocations in creating periodic surface strain patterns that can be efficiently used to control the spatial modulation of mass transport phenomena and bandwidth-dependent properties on a ≈20 nm length scale. The spontaneous formation of surface strain-relief patterns in La0.7Sr0.3MnO3/LaAlO3 films results in lateral periodic modulations of the surface chemical potential and tetragonal distortion, controlling the spatial distribution of preferential nucleation sites and the bandwidth of the epilayer, respectively. These results provide insights into the spontaneous formation of strain-driven ordered surface patterns, topographic and functional, during the growth of complex oxide heterostructures on lengths scales far below the limits achievable through top-down approaches.","645658","Open Access","0.0902","0.6121","3","Walled carbon nanotubes, Case study, Additional data file","Walled carbon nanotubes, Case study, Additional data file","5",NA,NA,"",""
