"doi","id","subject","title","authors","year","publisher","resulttype","language","journal","url","paper_abstract","project_id","accessright","x","y","area_uri","cluster_labels","area","citation_count","cited_by_tweeters_count","readers.mendeley","readers","file_hash"
"","od______1857::37f318fddfe1ec552f5de35129f8dad4","chemical technology","Nanocomposite foams from iron oxide stabilized dicyclopentadiene high internal phase emulsions","Kovačič, Sebastijan","2017-08-24","Slovensko kemijsko društvo","publication","","","","Nanocomposite polyHIPE foams with open-cellular morphology were obtained using nanoparticles ($γFe_2O_3/Fe_3O_4$), surfactant (Pluronic L121) or nanoparticle/surfactant stabilized dicyclopentadiene high internal phase emulsions (DCPD HIPEs). Upon curing, cavity sizes were found to vary drastically between 950 ± 360 µm down to 7 ±3 µm de- pending on the HIPE formulations. As-obtained nanocomposite polyHIPE foams were functionalized using elemental bromine in THF. Upon bromination the nanoparticles are moved from the cavities surfaces into the bulk phase of the polymer scaffold, which affects the inductive-heating capability of the magnetic nanocomposite foams decreasing it by the factor of 2.","211468","Open Access","0.1258","0.8082","12","Mechanical properties","Mechanical properties",NA,NA,NA,"",""
"","webcrawl____::b78536c48d7dd10ac29dded8cf3df3db","additive poly;poly dicyclopentadiene;free synthesis","Solvent-Free Synthesis of Silver-Nanoparticles and their Use as Additive in Poly (Dicyclopentadiene)","Abbas, Mudassar","2013-01-01","CHEM SOC PAKISTAN","publication","","JOURNAL OF THE CHEMICAL SOCIETY OF PAKISTAN","","","232172","Closed Access","-0.6079","0.5403","11","Ethyl acrylate, Free synthesis, Large difluoromethylene","Ethyl acrylate, Free synthesis, Large difluoromethylene",NA,NA,NA,"",""
"10.1002/adsc.201200385","fp7_nmp_____::a8ff000dbc4d4f3078f9570c83526fe0","bearing modified;catalysts bearing;catalytic structural","Catalytic and Structural Studies of Hoveyda-Grubbs Type Pre-Catalysts Bearing Modified Ether Ligands","Guidone, Stefano","2012-01-01","","publication","","Advanced Synthesis & Catalysis","","","211468","Closed Access","0.4714","0.5016","7","Bearing modified, Catalysts bearing, Olefin metathesis","Bearing modified, Catalysts bearing, Olefin metathesis",10,NA,NA,"",""
"10.1002/adsc.201200411","fp7_nmp_____::0f7e3c19f006d1aace13ce22b02f4d48","complex efficient;efficient transfer;hydrogenation catalyst","Ruthenium Phenylindenyl Complex as an Efficient Transfer Hydrogenation Catalyst","Manzini, Simone","2012-01-01","","publication","","Advanced Synthesis & Catalysis","","","211468","Closed Access","0.6112","-0.1585","5","Efficient transfer, Hydrogenation catalyst, Olefin metathesis catalyst","Efficient transfer, Hydrogenation catalyst, Olefin metathesis catalyst",29,NA,NA,"",""
"10.1002/anie.201106915","dedup_wf_001::e176a19ec11f20acca6ba926b36ae86e","Catalysts","From Olefin Metathesis Catalyst to Alcohol Racemization Catalyst in One Step","Manzini, Simone","2012-01-01","WILEY-BLACKWELL","publication","","ANGEWANDTE CHEMIE-INTERNATIONAL EDITION","","The research leading to these results has received funding from the European Community's Seventh Framework Programme (FP7/2007-2013) under grant agreement no. CP-FP 211468-2 EUMET. S.P.N. is a Royal Society Wolfson Research Merit Award holder. L.C. thanks BSC (QCM-2010-2-0020), and the HPC team of Enea for the use of the ENEA-GRID and the HPC facilities, and CRESCO, in Portici (Italy) for access to remarkable computational resources. A.P. thanks the Spanish MICINN for a Ramon y Cajal contract (RYC-2009-04170) and the European Commission for a Career Integration Grant (CIG09-GA-2011-293900)","293900","Closed Access","0.6039","-0.4079","5","Efficient transfer, Hydrogenation catalyst, Olefin metathesis catalyst","Efficient transfer, Hydrogenation catalyst, Olefin metathesis catalyst",36,"6","21","",""
"10.1002/chem.201001849","webcrawl____::5970b53d624eb76538ab98a5ce2021cd","catalysis olefin;cis trans;insights cis","Mechanistic Insights into the cis-trans Isomerization of Ruthenium Complexes Relevant to Catalysis of Olefin Metathesis","Poater, Albert","2010-01-01","WILEY-V C H VERLAG GMBH","publication","","CHEMISTRY-A EUROPEAN JOURNAL","","","211468","Closed Access","-0.0226","-0.408","6","Acid ligand, Activation route, Activation step","Acid ligand, Activation route, Activation step",57,NA,NA,"",""
"10.1002/chem.201100483","webcrawl____::4bdafa068ee7ce49216624c05e666adc","catalyzed ring;metathesis olefins; pivotal","The Pivotal Role of Symmetry in the Ruthenium-Catalyzed Ring-Closing Metathesis of Olefins","Costabile, Chiara","2011-01-01","WILEY-BLACKWELL","publication","","CHEMISTRY-A EUROPEAN JOURNAL","","","211468","Closed Access","-0.3921","-0.5603","10","Catalyzed olefin metathesis, Ruthenium catalyzed olefin, Accelerating influence","Catalyzed olefin metathesis, Ruthenium catalyzed olefin, Accelerating influence",36,NA,NA,"",""
"10.1002/chem.201201589","fp7_nmp_____::7d66f50260f08b6cec35bf292b62bbc3","batch process;catalyst batch;complex robust","A Fast-Initiating Ionically Tagged Ruthenium Complex: A Robust Supported Pre-catalyst for Batch-Process and Continuous-Flow Olefin Metathesis","Borré, Etienne","2012-01-01","","publication","","Chemistry - A European Journal","","","211468","Closed Access","0.4088","-0.1328","4","Amide chelated, Batch process, Benzylidene complexes","Amide chelated, Batch process, Benzylidene complexes",27,NA,NA,"",""
"10.1002/chem.201202817","fp7_nmp_____::a751abf94e74d599e7ad0b4f88e1cbb7","chelated hoveyda; family;family halogen","A New Family of Halogen-Chelated Hoveyda-Grubbs-Type Metathesis Catalysts","Barbasiewicz, Michał","2012-01-01","","publication","","Chemistry - A European Journal","","","211468","Closed Access","0.3795","-0.5013","8","Alkene metathesis, Alternating diene, Altmet opitimizing","Alkene metathesis, Alternating diene, Altmet opitimizing",25,NA,NA,"",""
"10.1002/ejic.200801160","webcrawl____::2d4d7ecd31cf09e2b4e252686089aa5a","application calculation;calculation buried;sambvca web","SambVca: A Web Application for the Calculation of the Buried Volume of N-Heterocyclic Carbene Ligands","Poater, Albert","2009-01-01","WILEY-V C H VERLAG GMBH","publication","","EUROPEAN JOURNAL OF INORGANIC CHEMISTRY","","","211468","Closed Access","-0.3263","0.5788","9","Heterocyclic carbene ligands, Buried volume, Face donation","Heterocyclic carbene ligands, Buried volume, Face donation",359,NA,NA,"",""
