"doi","id","subject","title","authors","year","publisher","resulttype","language","journal","url","paper_abstract","project_id","accessright","x","y","area_uri","cluster_labels","area","cited_by_tweeters_count","readers.mendeley","citation_count","readers","file_hash"
"","dedup_wf_001::0ed89e46b6dd53836e69a3f44b4013a8","FPGA","SYSTEMES NEUROMORPHIQUES POUR DES PLATEFORMES BIO-HYBRIDES","Levi, Timothée","2017-03-02","HAL CCSD","publication","","","https://hal.archives-ouvertes.fr/tel-01540207v3/document","Le présent mémoire d’habilitation à diriger des recherches propose une synthèse de mes activités d’enseignement et de recherche sur la période 2004-2016. le contexte scientifique général de ce mémoire est celui des Systèmes neuromorphiques pour des plateformes bio-hybrides. Un système biomimétique (neuromimétique) se distingue d’un système bio-inspiré (neuro-inspiré) par son objectif et ses caractéristiques. En effet, un système bio-inspiré est un système s’inspirant de la nature pour effectuer des tâches d’ingénierie comme la reconnaissance de forme par exemple. Il ne fonctionne pas forcément en temps réel biologique mais plutôt en temps accéléré. La plupart de ses applications concernent des tâches de calculs ou la robotique. Un système biomimétique reproduit le comportement de la nature en en étant le plus proche possible. Ces systèmes travaillent en temps réel biologique et peuvent ainsi remplacer le vivant. Leurs applications sont plus tournées vers le biomédical, vers la compréhension des systèmes vivants et pour la création de neuroprothèses en ce qui concerne les systèmes neuromimétiques. Les systèmes neuromimétiques que nous avons conçu dans notre équipe seront développés dans le deuxième chapitre. Ces systèmes étant également hétérogènes (électronique analogique, numérique, optique, chimique et microfluidique), une méthodologie de modélisation pour l’électronique analogique et mixte est obligatoire et sera développée dans le premier chapitre.Mes travaux de recherche ont été effectué dans l’objectif général de concevoir des systèmes neuromimétiques novateurs afin d’effectuer des expériences hybrides avec le vivant pour la compréhension des différents mécanismes mais aussi pour permettre de remplacer le vivant pour certaines applications. Cela nécessite avant tout de proposer plusieurs systèmes utilisant différents modèles et diverses plateformes.Les 3 premiers chapitres de ce mémoire s’inscrivent pleinement dans cet objectif et déclinent ma contribution selon les 3 axes suivants :- Le chapitre 1 est consacré aux méthodes de modélisation et de réutilisation permettant d’optimiser la conception et le fonctionnement de ces systèmes. Ces systèmes étant hétérogènes, développer des méthodologies communes permet d’augmenter l’efficacité et la rapidité de conception.- Le chapitre 2 fait l’exposé des différents systèmes neuromimétiques conçus lors de mes activités de recherche. Allant de l’électronique analogique à la microfluidique en passant par de l’électronique numérique, ces réseaux de neurones artificiels gardent le même objectif de l’hybridation avec le vivant.- Le chapitre 3 décrit mes projets de recherche que ce soit à court-terme ou à long-terme. Deux axes se distinguent : la conception de plateforme neuromorphique bio-hybride et les systèmes neuromorphiques au profit de l’intelligence artificielle.- Le chapitre 4 s’attache à mes activités de collaboration et de gestion des relations internationales que j’effectue au cours de mes activités de recherche mais également dans le cadre de mes enseignements à l’IUT GEII de Bordeaux.","237955","Open Access","0.8207","-0.0137","9","Fpga","Fpga",NA,NA,NA,"",""
"","dedup_wf_001::b34be168b3a885360dec7703679b0236","Réseaux neuronaux stochastiques","Traiter le cerveau avec les neurosciences : théorie de champ-moyen, effets de taille finie et capacité de codage des réseaux de neurones stochastiques","Fasoli, Diego","2013-09-25","HAL CCSD","publication","","","https://tel.archives-ouvertes.fr/tel-00850289v2/document","The brain is the most complex system in the known universe. Its nested structure with small-world properties determines its function and behavior. The analysis of its structure requires sophisticated mathematical and statistical techniques. In this thesis we shed new light on neural networks, attacking the problem from different points of view, in the spirit of the Theory of Complexity and in terms of their information processing capabilities. In particular, we quantify the Fisher information of the system, which is a measure of its encoding capability. The first technique developed in this work is the mean-field theory of rate and FitzHugh-Nagumo networks without correlations in the thermodynamic limit, through both mathematical and numerical analysis. The second technique, the Mayer’s cluster expansion, is taken from the physics of plasma, and allows us to determine numerically the finite size effects of rate neurons, as well as the relationship of the Fisher information to the size of the network for independent Brownian motions. The third technique is a perturbative expansion, which allows us to determine the correlation structure of the rate network for a variety of different types of connectivity matrices and for different values of the correlation between the sources of randomness in the system. With this method we can also quantify numerically the Fisher information not only as a function of the network size, but also for different correlation structures of the system. The fourth technique is a slightly different type of perturbative expansion, with which we can study the behavior of completely generic connectivity matrices with random topologies. Moreover this method provides an analytic formula for the Fisher information, which is in qualitative agreement with the other results in this thesis. Finally, the fifth technique is purely numerical, and uses an Expectation-Maximization algorithm and Monte Carlo integration in order to evaluate the Fisher information of the FitzHugh-Nagumo network. In summary, this thesis provides an analysis of the dynamics and the correlation structure of the neural networks, confirms this through numerical simulation and makes two key counterintuitive predictions. The first is the formation of a perfect correlation between the neurons for particular values of the parameters of the system, a phenomenon that we term stochastic synchronization. The second, which is somewhat contrary to received opinion, is the explosion of the Fisher information and therefore of the encoding capability of the network for highly correlated neurons. The techniques developed in this thesis can be used also for a complete quantification of the information processing capabilities of the network in terms of information storage, transmission and modification, but this would need to be performed in the future.; Ce travail a été développé dans le cadre du projet européen FACETS-ITN, dans le domaine des Neurosciences Computationnelles. Son but est d’améliorer la compréhension des réseaux de neurones stochastiques de taille finie, pour des sources corrélées à caractère aléatoire et pour des matrices de connectivité biologiquement réalistes. Ce résultat est obtenu par l’analyse de la matrice de corrélation du réseau et la quantification de la capacité de codage du système en termes de son information de Fisher. Les méthodes comprennent diverses techniques mathématiques, statistiques et numériques, dont certaines ont été importés d’autres domaines scientifiques, comme la physique et la théorie de l’estimation. Ce travail étend de précédents résultats fondées sur des hypothèses simplifiées qui ne sont pas réaliste d’un point de vue biologique et qui peuvent être pertinents pour la compréhension des principes de travail liés cerveau. De plus, ce travail fournit les outils nécessaires à une analyse complète de la capacité de traitement de l’information des réseaux de neurones, qui sont toujours manquante dans la communauté scientifique.","227747","Open Access","0.0134","-0.5836","10","Correlation structure, Quantitative biology - neurons and cognition, Balanced networks","Correlation structure, Quantitative biology - neurons and cognition, Balanced networks",NA,NA,NA,"",""
"","od______3364::a9801e9107ed8d1c390546cd5012b4c2","balanced networks;correlations balanced;invariance correlations","Structure and invariance of correlations in balanced networks.","Helias, Moritz","2013-01-01","","publication","","","","","269921","Closed Access","-0.223","-0.7495","10","Correlation structure, Quantitative biology - neurons and cognition, Balanced networks","Correlation structure, Quantitative biology - neurons and cognition, Balanced networks",NA,NA,NA,"",""
"","od________18::b4454f3ebe1435875c3422db880dff72","Quantitative Biology - Neurons and Cognition","Untersuchungen zur Modellierung und Schaltungsrealisierung von synaptischer Plastizitaet","Mayr, Christian","2014-09-06","","publication","","","","This manuscript deals with the analysis and VLSI implementation of adaptive information processing derived from biological measurements. Specifically, models for short term plasticity, long term plasticity and metaplasticity are derived from biological measurements and implemented in CMOS circuits.","269921","Open Access","-0.4962","0.5233","7","Independent component analysis, Conditions for spiking, General conditions","Independent component analysis, Conditions for spiking, General conditions",NA,NA,NA,"",""
"","dedup_wf_001::f1d8f518ba782b14a321ba789b4dc403","Hodgkin and Huxley model","Réseau de neurones in silico : contribution au développement de la technique hybride pour les réseaux corticaux","Grassia, Filippo Giovanni","2013-01-07","HAL CCSD","publication","","","https://tel.archives-ouvertes.fr/tel-00789406/document","This work has been supported by the European FACETS-ITN project. Within the frameworkof this project, we contribute to the simulation of cortical cell types (employingexperimental electrophysiological data of these cells as references), using a specific VLSIneural circuit to simulate, at the single cell level, the models studied as references in theFACETS project. The real-time intrinsic properties of the neuromorphic circuits, whichprecisely compute neuron conductance-based models, will allow a systematic and detailedexploration of the models, while the physical and analog aspect of the simulations, as opposedthe software simulation aspect, will provide inputs for the development of the neuralhardware at the network level. The second goal of this thesis is to contribute to the designof a mixed hardware-software platform (PAX), specifically designed to simulate spikingneural networks. The tasks performed during this thesis project included: 1) the methodsused to obtain the appropriate parameter sets of the cortical neuron models that can beimplemented in our analog neuromimetic chip (the parameter extraction steps was validatedusing a bifurcation analysis that shows that the simplified HH model implementedin our silicon neuron shares the dynamics of the HH model); 2) the fully customizablefitting method, in voltage-clamp mode, to tune our neuromimetic integrated circuits usinga metaheuristic algorithm; 3) the contribution to the development of the PAX systemin terms of software tools and a VHDL driver interface for neuron configuration in theplatform. Finally, it also addresses the issue of synaptic tuning for future SNN simulation.; Ces travaux ont été menés dans le cadre du projet européen FACETS-ITN. Nous avons contribué à la simulation de cellules corticales grâce à des données expérimentales d'électrophysiologie comme référence et d'un circuit intégré neuromorphique comme simulateur. Les propriétés intrinsèques temps réel de nos circuits neuromorphiques à base de modèles à conductance, autorisent une exploration détaillée des différents types de neurones. L'aspect analogique des circuits intégrés permet le développement d'un simulateur matériel temps réel à l'échelle du réseau. Le deuxième objectif de cette thèse est donc de contribuer au développement d'une plate-forme mixte - matérielle et logicielle - dédiée à la simulation de réseaux de neurones impulsionnels.","237955","Open Access","0.4257","0.0721","2","Bifurcation analysis, Contribution au développement, Cortical neuron models","Bifurcation analysis, Contribution au développement, Cortical neuron models",NA,NA,NA,"",""
"","od________18::d77fd5fd94f2f4b8a1fbf277f8cae04b","Quantitative Biology - Neurons and Cognition","Stochastic inference with deterministic spiking neurons","Petrovici, Mihai A.","2013-11-13","","publication","","","","The seemingly stochastic transient dynamics of neocortical circuits observed in vivo have been hypothesized to represent a signature of ongoing stochastic inference. In vitro neurons, on the other hand, exhibit a highly deterministic response to various types of stimulation. We show that an ensemble of deterministic leaky integrate-and-fire neurons embedded in a spiking noisy environment can attain the correct firing statistics in order to sample from a well-defined target distribution. We provide an analytical derivation of the activation function on the single cell level; for recurrent networks, we examine convergence towards stationarity in computer simulations and demonstrate sample-based Bayesian inference in a mixed graphical model. This establishes a rigorous link between deterministic neuron models and functional stochastic dynamics on the network level.","269921","Open Access","0.0068","-0.1283","13","Spiking neurons","Spiking neurons",NA,NA,NA,"",""
"10.1007/s00422-011-0435-9","dedup_wf_001::1a6c2c01c6f3399aeeda2c5a15064ad8","Quantitative Biology - Neurons and Cognition","A comprehensive workflow for general-purpose neural modeling with highly configurable neuromorphic hardware systems","Bruederle, Daniel","2011-01-01","SPRINGER","publication","","BIOLOGICAL CYBERNETICS","","In this paper we present a methodological framework that meets novel requirements emerging from upcoming types of accelerated and highly configurable neuromorphic hardware systems. We describe in detail a device with 45 million programmable and dynamic synapses that is currently under development, and we sketch the conceptual challenges that arise from taking this platform into operation. More specifically, we aim at the establishment of this neuromorphic system as a flexible and neuroscientifically valuable modeling tool that can be used by non-hardware-experts. We consider various functional aspects to be crucial for this purpose, and we introduce a consistent workflow with detailed descriptions of all involved modules that implement the suggested steps: The integration of the hardware interface into the simulator-independent model description language PyNN; a fully automated translation between the PyNN domain and appropriate hardware configurations; an executable specification of the future neuromorphic system that can be seamlessly integrated into this biology-to-hardware mapping process as a test bench for all software layers and possible hardware design modifications; an evaluation scheme that deploys models from a dedicated benchmark library, compares the results generated by virtual or prototype hardware devices with reference software simulations and analyzes the differences. The integration of these components into one hardware-software workflow provides an ecosystem for ongoing preparative studies that support the hardware design process and represents the basis for the maturity of the model-to-hardware mapping software. The functionality and flexibility of the latter is proven with a variety of experimental results.","237955","Open Access","0.5921","0.2553","3","General purpose, Neuromorphic hardware, Synaptic weight resolution","General purpose, Neuromorphic hardware, Synaptic weight resolution","1","117","40","",""
"10.1007/s10015-012-0016-6","dedup_wf_001::ff13f737cd908e701a6d58086f1a6b10","Quantitative Biology::Neurons and Cognition","Bifurcation analysis in a silicon neuron","Grassia, Filippo","2012-10-01","HAL CCSD","publication","","","https://hal.archives-ouvertes.fr/hal-00766340/document","International audience; In this paper, we describe an analysis of the nonlinear dynamical phenomenon associated with a silicon neuron. Our silicon neuron integrates Hodgkin-Huxley (HH) model formalism, including the membrane voltage dependency of temporal dynamics. Analysis of the bifurcation conditions allow us to identify different regimes in the parameter space that are desirable for biasing our silicon neuron. This approach of studying bifurcations is useful because it is believed that computational properties of neurons are based on the bifurcations exhibited by these dynamical systems in response to some changing stimulus. We describe numerical simulations and measurements of the Hopf bifurcation which is characteristic of class 2 excitability in the HH model. We also show a phenomenon observed in biological neurons and termed excitation block. Hence, by showing that this silicon neuron has similar bifurcations to a certain class of biological neurons, we can claim that the silicon neuron can also perform similar computations","237955","Open Access","-0.3799","-0.0374","2","Bifurcation analysis, Contribution au développement, Cortical neuron models","Bifurcation analysis, Contribution au développement, Cortical neuron models",NA,NA,"2","",""
"10.1007/s10827-012-0413-9","dedup_wf_001::33aa54e1d4f9c7332f2a76752a80fbf5","Recurrent network dynamics","High-capacity embedding of synfire chains in a cortical network model","Trengove, Chris","2012-08-01","Springer US","publication","","Journal of Computational Neuroscience","","Synfire chains, sequences of pools linked by feedforward connections, support the propagation of precisely timed spike sequences, or synfire waves. An important question remains, how synfire chains can efficiently be embedded in cortical architecture. We present a model of synfire chain embedding in a cortical scale recurrent network using conductance-based synapses, balanced chains, and variable transmission delays. The network attains substantially higher embedding capacities than previous spiking neuron models and allows all its connections to be used for embedding. The number of waves in the model is regulated by recurrent background noise. We computationally explore the embedding capacity limit, and use a mean field analysis to describe the equilibrium state. Simulations confirm the mean field analysis over broad ranges of pool sizes and connectivity levels; the number of pools embedded in the system trades off against the firing rate and the number of waves. An optimal inhibition level balances the conflicting requirements of stable synfire propagation and limited response to background noise. A simplified analysis shows that the present conductance-based synapses achieve higher contrast between the responses to synfire input and background noise compared to current-based synapses, while regulation of wave numbers is traced to the use of variable transmission delays.","237955","Open Access","0.1663","0.2878","8","Network model, Spiking neural network","Network model, Spiking neural network",NA,NA,"9","",""
"10.1016/j.jphysparis.2013.08.001","dedup_wf_001::c86ddc0258eead0e3ae1c04c4c4c4031","motion based;based prediction;explains role","Motion-based prediction explains the role of tracking in motion extrapolation","Khoei, Mina A.","2013-01-01","ELSEVIER SCI LTD","publication","","JOURNAL OF PHYSIOLOGY-PARIS","","","237955","Closed Access","0.6083","-0.5235","1","Motion based prediction","Motion based prediction",NA,NA,"7","",""
"10.1038/ncomms7922","dedup_wf_001::d589b55192d96952a7c079227c567cb1","Article","Diverse synaptic plasticity mechanisms orchestrated to form and retrieve memories in spiking neural networks","Zenke, Friedemann","2015-04-01","Nature Publishing Group","publication","","Nature Communications","","Synaptic plasticity, the putative basis of learning and memory formation, manifests in various forms and across different timescales. Here we show that the interaction of Hebbian homosynaptic plasticity with rapid non-Hebbian heterosynaptic plasticity is, when complemented with slower homeostatic changes and consolidation, sufficient for assembly formation and memory recall in a spiking recurrent network model of excitatory and inhibitory neurons. In the model, assemblies were formed during repeated sensory stimulation and characterized by strong recurrent excitatory connections. Even days after formation, and despite ongoing network activity and synaptic plasticity, memories could be recalled through selective delay activity following the brief stimulation of a subset of assembly neurons. Blocking any component of plasticity prevented stable functioning as a memory network. Our modelling results suggest that the diversity of plasticity phenomena in the brain is orchestrated towards achieving common functional goals.","269921","Open Access","-0.3413","0.3343","15","Synaptic plasticity, Neural networks","Synaptic plasticity, Neural networks","18","306","50","",""
"10.1038/srep26029","dedup_wf_001::20cfc7ece906af00fe91743992271f24","Neuronal networks","Dynamical state of the network determines the efficacy of single neuron properties in shaping the network activity","Sahasranamam, Ajith","2016-01-01","Bernstein Center Freiburg, University of Freiburg, Freiburg, Germany","publication","","","","Spike patterns are among the most common electrophysiological descriptors of neuron types. Surprisingly, it is not clear how the diversity in firing patterns of the neurons in a network affects its activity dynamics. Here, we introduce the state-dependent stochastic bursting neuron model allowing for a change in its firing patterns independent of changes in its input-output firing rate relationship. Using this model, we show that the effect of single neuron spiking on the network dynamics is contingent on the network activity state. While spike bursting can both generate and disrupt oscillations, these patterns are ineffective in large regions of the network state space in changing the network activity qualitatively. Finally, we show that when single-neuron properties are made dependent on the population activity, a hysteresis like dynamics emerges. This novel phenomenon has important implications for determining the network response to time-varying inputs and for the network sensitivity at different operating points. 
			<p>QC 20160525</p>","237955","Open Access","-0.2626","-0.1812","6","Single neuron","Single neuron","3","48","3","",""
