"doi","id","subject","title","authors","year","publisher","resulttype","language","journal","url","paper_abstract","project_id","accessright","x","y","area_uri","cluster_labels","area","citation_count","cited_by_tweeters_count","readers.mendeley","readers","file_hash"
"","od______2367::2faa9bdf32e506c234d514a3be5f04bb","Technolgy Enhanced Learning","Towards Creative Pedagogy: Empowering Students to Develop Games","Kiili, Kristian","2012-01-01","Academic Conferences","publication","","","","Due to social, economic, and technological changes in our society creativity is nowadays seen as basic survival and success factor. Thus, innovation, creativity and production of media should be emphasized also in the school of the future. However, current schooling system tends to produce consumers of media instead of creative problem solvers, critical thinkers, and producers of media. At this point also educators and policy makers should be creative and introduce innovative learning solutions and practices that support the development of creativity and 21 century skills. This paper replies to this call by considering learning by developing games as one of future learning strategies. Learning by developing games is not totally new idea, but the research has only begun to explore the possibilities that this pedagogical strategy provides. In this article we introduce a new game authoring environment MAGOS that is developed according to the framework of creative pedagogy. The framework of creative pedagogy comprises of three interrelated elements of creative teaching, teaching for creativity, and creative learning. From these three elements we derived eight design principles that guided the development of MAGOS environment. MAGOS supports creative teaching practices by providing different tools for planning and for teacher participation. Teaching for creativity is supported by offering an imaginative and innovative learning environment and tools with which a teacher can support students' creative and constructive processes. MAGOS include multiple elements that promote students' collaborative game development that is supposed to enhance co-creation of knowledge. MAGOS requires a joint effort for game development and enables building on each others' ideas through sharing and remixing other students' existing work. MAGOS also provides a tool that helps students to generate novel ideas for their joint game development.","258169","Restricted","0.4165","0.0322","9","Cognitive control, Game mechanics","Cognitive control, Game mechanics",NA,NA,NA,"",""
"","od______2367::389f3701ea547153fa4a11d940c743be","Serious Games, Games Based Learning, gioco, technology enhanced learning","The use of Serious Games and the teachers' role. Reflections on experience of the use of Serious Games in Italy, Spain and Romania","Ott, Michela","2012-01-01","Universitat de Barcelona 2011","publication","","","","This paper puts forward some experience-based reflections on the role of teachers in planning and conducting educational actions involving the use of Serious Games (SGs). We consider the previous studies in the evolution of the teacher role with the introduction of ICTs in the teaching and learning process and the use of Electronic Learning Objects (Adell & Sales, 2000; Bates, 2011). We focus our paper in the specific changes on the role of the teacher in the use of Serious Games in formal educational settings.","258169","Open Access","0.0342","-0.2923","9","Cognitive control, Game mechanics","Cognitive control, Game mechanics",NA,NA,NA,"",""
"","od______2367::3acd6aa78526b6e3ef9d29eb76c17482","ComputingMilieux_PERSONALCOMPUTING","Learning through playing for or against each other? Promoting collaborative learning in digital game based learning","Romero, Margarida","2012-01-01","Escuela Superior de Administraci?n y Direcci?n de Empresas","publication","","","","The process of learning through Game Based Learning (GBL) presents both positive aspects and challenges to be faced in order to support the achievement of learning goals and knowledge creation. This study aims to characterise game dynamics in the adoption of multi-player GBL. In particular, we examine the multi-player GBL dynamics may enhance collaborative learning through a relation of positive interdependence while at the same time maintaining a certain level of competition for ensuring multi-player GBL gameplay. The first section of the paper introduces collaborative GBL and describes the combination of intragroup dynamics of cooperation and positive interdependence and an intergroup dynamic of competition to maintain gameplay. The second part of the paper describes two multi-player GBL scenarios: the multi-player game with interpersonal competition and the multiplayer game with intergroup competition. For each scenario a case analysis of existing collaborative games is provided, which may help instructional and game designers when defining the collaborative GBL dynamics. Technological requirements and best practices in the use of collaborative GBL are described in the last sections.","258169","Open Access","-0.1444","-0.3631","9","Cognitive control, Game mechanics","Cognitive control, Game mechanics",NA,NA,NA,"",""
"","narcis______::cfd5c034d146da8aac05b09e0ba55f94","software;reusability;ecosystems","Strategies and Tools to Enable Reuse in Serious Games Ecosystems and Beyond","Stefan, I.A.","2014-04-24","","publication","","","https://ris.utwente.nl/ws/files/5348376/else_2014_I%20Stanescu_final.pdf","Software ecosystems are defined as collections of organizations that are related through software or a software related concept. Within such ecosystems, reusability is fundamental to software sustainability and cost-efficiency. Design for reusability brings the technical promise of high quality software that emerges from clean design, fitness for a purpose and a low defect count. This ensures the software is extensible to cater for or modifiable for different pipelines, data and purposes. Functionally, it facilitates the transition from Serious Games (SG) software projects that have been known to consume endless resources, and deliver expensive products, to successful SG projects in terms of quality, costs and timeframe. From an educational perspective, efforts at national and international level aim to increase the accessibility of serious game development via reusable, open components repositories. To enable SG researchers, developers, and implementers adopt reusability, it is necessary to create a gateway to reusable SG assets in the SG community. This would faciliate the SG community members to start exploring the large and rapidly growing body of literature on SG research, development and implementation, as well as on reuse for more detailed information on cost models, class libraries, organizational structures, repository management, knowledge reuse, and many other important issues. For SG reusability to reach its full potential this effort should not address exclusively the SG ecosystems but cross the boundaries of other disciplines and establishes the impact of reusable SG assets and knowledge has on related fields. Under these premises, the authors consider the development premises of a Serious Games Reusability Reference Point (SGREF) that aims to assist the SG community and also support transdisciplinary initiatives.","258169","Open Access","0.6486","0.0082","14","Awareness on shared, Supply chain management, Collaborative serious games","Awareness on shared, Supply chain management, Collaborative serious games",NA,NA,NA,"",""
"","od______2367::6ee546032dd1bcddf759d0dc0212b7f8","Serious Games, Games Based Learning, gioco, game design, technology enhanced learning","GaLA Fifth Quarterly Report - CNR","Earp, Jeffrey","2012-01-20","","publication","","","","Quarterly report on progress of CNR activities and outputs in the EC Network of Excellence (GaLA) - Year Two, First Quarter","258169","Restricted","-0.2981","-0.3096","15","Game design, Games based learning, Gioco","Game design, Games based learning, Gioco",NA,NA,NA,"",""
"","webcrawl____::3e90cdf7ed4461dd647789b880b23282","contribution empirical;empirical research;improve students","MareMonstrum: a Contribution to Empirical Research about How the Use of MUVEs May Improve Students' Motivation","Sancho, Pilar","2012-01-01","GRAZ UNIV TECHNOLGOY, INST INFORMATION SYSTEMS COMPUTER MEDIA-IICM","publication","","JOURNAL OF UNIVERSAL COMPUTER SCIENCE","","","258169","Closed Access","0.4225","0.6285","10","Contribution empirical, Empirical research, Improve students","Contribution empirical, Empirical research, Improve students",NA,NA,NA,"",""
"","od______2367::4bc891a60940c9b68018f92d713eed9e","Serious Games, Games Based Learning, gioco, game design, technology enhanced learning","GaLA Sixth Quarterly Report - CNR","Earp, Jeffrey","2012-05-30","","publication","","","","Quarterly report on progress of CNR activities and outputs in the EC Network of Excellence (GaLA) - Year Two Second Quarter","258169","Restricted","-0.3037","-0.3146","15","Game design, Games based learning, Gioco","Game design, Games based learning, Gioco",NA,NA,NA,"",""
"10.1007/978-3-319-05972-3_4","core_ac_uk__::4519ee607e475a69b1d574fc6d2ca885","ComputingMilieux_PERSONALCOMPUTING","Narrative Serious Game Mechanics (NSGM) – Insights into the Narrative-Pedagogical Mechanism","Lim, Theodore","2014-04-01","Springer","publication","","","http://radar.gsa.ac.uk/3888/2/GameDays2014%20v%20final%20AAM%203888.pdf","Narratives are used to construct and deconstruct the time and space of events. In games, as in real life, narratives add layers of meaning and engage players by enhancing or clarifying content. From an educational perspective, narratives are a semiotic conduit for evoking critical thinking skills and promoting knowledge discovery/acquisition. While narrative is central to Serious Games (SG), the relationships between gameplay, narrative and pedagogy in SG design remain unclear, and narrative’s elemental influence on learning outcomes is not fully understood yet. This paper presents a purpose-processing methodology that aims to support the mapping of SG design patterns and pedagogical practices, allowing designers to create more meaningful SGs. In the case of narrative, the intention is to establish whether Narrative Serious Game Mechanics (NSGM) can provide players with opportunities for reasoning and reflective analysis that may even transcend the game-based learning environment.","258169","Open Access","-0.0316","-0.6594","4","Educational game, Facilitate educational, Game authoring","Educational game, Facilitate educational, Game authoring","5",NA,NA,"",""
"10.1007/978-3-319-11623-5_15","dedup_wf_001::27a495b5bdfadecdf2bbc24c14fad7bb","commercial outcomes;companies","Measuring the commercial outcomes of serious games in companies: a review","Riedel, Johann Christian Karl Henry","2014-07-01","Springer","publication","","","http://eprints.nottingham.ac.uk/30686/1/SGDA%20Commercial%20Outcomes%20Paper%20OA%20version.pdf","The objective of this paper is to review the work on the measurement of the commercial outcomes of serious games in companies and to provide a framework for their measurement in companies. The literature on the evaluation of training and in particular serious games is presented. A systematic literature review of studies of the impacts of business games in companies was undertaken. The paper summarises the existing studies on measuring the effectiveness of serious games in companies. A search of the grey literature was also conducted to establish what kinds of commercial outcomes have been measured and how. Finally, the paper presents some examples of measuring the commercial outcomes. It also provides some advice on how to measure commercial outcomes.","258169","Open Access","-0.3249","-0.5894","7","Commercial outcomes, Comparing scotland, Computer games","Commercial outcomes, Comparing scotland, Computer games","3",NA,NA,"",""
"10.1007/978-3-319-12157-4_34","narcis______::e9781eddbb7760b792427b9c94a4a0f0","cad;creativity;mechanisms","Harmonizing interoperability - Emergent Serious Gaming in Playful Stochastic CAD Environments","Kosmadoudi, Z.","2014-10-23","Springer International Publishing","publication","","","","Computer-Aided Design (CAD) applications often promote memorable experiences for the wrong reasons. Coupled with complex functionality and poor user experience the learning curve is often steep and overwhelming. Invoking design creativity remains limited to conveying established geometry. Gameplay conversely excels in memorable and formative experiences and could spur intuition and natural creativity. If games are profoundly imbued for purposeful play, thriving on tacit and explicit user knowledge, a CAD system carefully stylized with ludic mechanisms could potentially be highly productive. An emergent serious game (SG) and CAD system may then hold promise. Preliminary feedbacks suggest a game-CAD environment incorporating interoperable mechanisms of CAD and SG systems to exchange creation improves user interactions resulting in better evolution of the workflow. The emerging scenarios presented reports a transformative approach to understanding of relationships in CAD use, learning and play mechanisms that enhance creativity and innovation.","258169","Closed Access","0.1019","0.2884","8","Cad, Creativity, [info.info-ia] computer science [cs]/computer aided engineering","Cad, Creativity, [info.info-ia] computer science [cs]/computer aided engineering","1",NA,NA,"",""
