"doi","id","subject","title","authors","year","publisher","resulttype","language","journal","url","paper_abstract","project_id","accessright","x","y","area_uri","cluster_labels","area","citation_count","cited_by_tweeters_count","readers.mendeley","readers","file_hash"
"","ec_fp7_ict__::8e7d5a027512ed6916ce1995a2865282","environmental modeling;hydrosys project;modeling monitoring","On site environmental modeling and monitoring: The Nordic scenario in HYDROSYS project","#N/D","2010-01-01","","publication","","","","","224416","Closed Access","0.164","0.0575","7","Environmental modeling, Hydrosys project, Modeling monitoring","Environmental modeling, Hydrosys project, Modeling monitoring",NA,NA,NA,"",""
"10.1002/hyp.8244","webcrawl____::222d06509b6d8205cb14a8569d1cc8f2","ablation small;alpine catchment;catchment observed","Dynamics of snow ablation in a small Alpine catchment observed by repeated terrestrial laser scans","Egli, Luca","2012-01-01","WILEY-BLACKWELL","publication","","HYDROLOGICAL PROCESSES","","","224416","Closed Access","0.0185","0.6359","14","Ablation small, Alpine catchment, Catchment observed","Ablation small, Alpine catchment, Catchment observed",34,NA,NA,"",""
"10.1007/978-3-642-13544-6_22","ec_fp7_ict__::d9984f4b3abeaebcd107470d7cedb700","context mixed;salient features;focus context","Focus and context in mixed reality by modulating first order salient features","Mendez E.","2010-01-01","","publication","","","","","224416","Closed Access","0.3408","-0.5761","5","Context mixed, Focus context, Salient features","Context mixed, Focus context, Salient features",8,NA,NA,"",""
"10.1007/s00779-012-0597-z","ec_fp7_ict__::c105de6aa8ff9100969a4c34c4e471d6","environmental monitoring;mobile augmented;reality environmental","Mobile augmented reality for environmental monitoring","Veas E.","2013-01-01","","publication","","Personal and Ubiquitous Computing","","","224416","Closed Access","0.6074","0.0284","6","Environmental monitoring, Mobile augmented, Reality environmental","Environmental monitoring, Mobile augmented, Reality environmental",13,"1","34","",""
"10.1016/j.coldregions.2011.04.006","webcrawl____::616eaf4e48ed3e15af2bcce54415ea1a","investigation rock;swiss alps;deglaciated mountain","Investigation of rock and ice loss in a recently deglaciated mountain rock wall using terrestrial laser scanning: Gemsstock, Swiss Alps","Kenner, R.","2011-01-01","ELSEVIER SCIENCE BV","publication","","COLD REGIONS SCIENCE AND TECHNOLOGY","","","224416","Closed Access","-0.1955","0.6909","2","Deglaciated mountain, Investigation rock, Swiss alps","Deglaciated mountain, Investigation rock, Swiss alps",29,NA,NA,"",""
"10.1016/j.coldregions.2011.06.008","webcrawl____::0ec7766c538ffa73aed9c429e6ce3bcd","activity seismic;avalanche activity","Monitoring avalanche activity using a seismic sensor","van Herwijnen, A.","2011-01-01","ELSEVIER SCIENCE BV","publication","","COLD REGIONS SCIENCE AND TECHNOLOGY","","","224416","Closed Access","0.4703","0.4308","4","Avalanche activity, Avalanche start, Seismic sensor","Avalanche activity, Avalanche start, Seismic sensor",25,NA,NA,"",""
"10.1021/es902654f","dedup_wf_001::a700f1a63b5ff97c6c983b63ba694783","NCCR-MICS/ESDM","Stream Temperature Response to Three Riparian Vegetation Scenarios by Use of a Distributed Temperature Validated Model","Roth, T. R.","2010-01-01","AMER CHEMICAL SOC","publication","","ENVIRONMENTAL SCIENCE & TECHNOLOGY","","Elevated in-stream temperature has led to a surge in the occurrence of parasitic intrusion proliferative kidney disease and has resulted in fish kills throughout Switzerland's waterways. Data from distributed temperature sensing (DTS) in-stream measurements for three cloud-free days in August 2007 over a 1260 m stretch of the Boiron de Morges River in southwest Switzerland were used to calibrate and validate a physically based one-dimensional stream temperature model. Stream temperature response to three distinct riparian conditions were then modeled: open, in-stream reeds, and forest cover. Simulation predicted a mean peak stream temperature increase of 0.7 degrees C if current vegetation was removed, an increase of 0.1 degrees C if dense reeds covered the entire stream reach, and a decrease of 1.2 degrees C if a mature riparian forest covered the entire reach. Understanding that full vegetation canopy cover is the optimal riparian management option for limiting stream temperature, in-stream reeds, which require no riparian set-aside and grow very quickly, appear to provide substantial thermal control, potentially useful for land-use management.","224416","Open Access","-0.6921","-0.1483","15","Nccr-mics/esdm","Nccr-mics/esdm",22,NA,NA,"",""
"10.1109/icde.2010.5447852","dedup_wf_001::d20dc55a7a150c66c36acfec849634a9","decentralized optimization","Cost-efficient and differentiated data availability guarantees in data clouds","Bonvin N.","2010-01-01","IEEE ( )","publication","","","","Failures of any type are common in current datacenters. As  data scales up, its availability becomes more complex, while  different availability levels per application or per data  item may be required. In this paper, we propose a self- managed key-value store that dynamically allocates the  resources of a data cloud to several applications in a cost- efficient and fair way. Our approach offers and dynamically  maintains multiple differentiated availability guarantees to  each different application despite failures. We employ a  virtual economy, where each data partition acts as an  individual optimizer and chooses whether to migrate,  replicate or remove itself based on net benefit maximization  regarding the utility offered by the partition and its  storage and maintenance cost. Comprehensive experimental  evaluations suggest that our solution is highly scalable and  adaptive to query rate variations and to resource  upgrades/failures.","224416","Open Access","-0.389","-0.5451","12","Decentralized optimization","Decentralized optimization",5,NA,NA,"",""
"10.1109/ismar.2010.5643530","ec_fp7_ict__::068745bdbdd397d1365005848d650cd9","issues augmented;perceptual issues;reality revisited","Perceptual issues in augmented reality revisited","Kruijff E.","2010-01-01","","publication","","","","","224416","Closed Access","0.4739","-0.3592","10","Issues augmented, Perceptual issues, Reality revisited","Issues augmented, Perceptual issues, Reality revisited",87,NA,NA,"",""
"10.1109/sutc.2010.29","dedup_wf_001::93a3eb7213155fcadb8858d39b19fe96","Sensor Metadata","Effective metadata management in federated sensor networks","Jeung H.","2010-01-01","( )","publication","","","","As the Sensor Internet starts to become reality, increasingly heterogeneous sensor networks are becoming interconnected into federated sensor networks and provide huge volumes of sensor data for a variety of applications to large user communities, such as in science and engineering. Effective metadata management plays a crucial role in processing and properly interpreting raw sensor measurement data, and needs to be performed in a collaborative fashion. Previous work on metadata management for experimental and measurement data has not provided specific support for joint real-time processing of metadata and sensor data. In this paper we propose a framework that allows effective sensor metadata management based on realtime metadata creation and processing over federated sensor networks. The framework is based on three key mechanisms: (i) Distributed metadata joins to allow streaming sensor data to be efficiently processed with associated metadata, regardless of their location in the network. (ii) Automated metadata generation to permit users to define monitoring conditions or operations for extracting and storing metadata from streaming sensor data. (iii) Advanced metadata search utilizing various techniques specifically designed for sensor metadata querying and visualization. The framework is currently deployed and used as the backbone of a concrete application in environmental science and engineering, the Swiss Experiment, which runs a wide variety of measurements and experiments for environmental hazard forecasting and warning.","224416","Open Access","-0.1074","-0.2235","3","Sensor metadata","Sensor metadata",8,NA,NA,"",""
