"doi","id","subject","title","authors","year","publisher","resulttype","language","journal","url","paper_abstract","project_id","accessright","x","y","area_uri","cluster_labels","area","cited_by_tweeters_count","readers.mendeley","citation_count","readers","file_hash"
"","core_ac_uk__::10dda46086195520ff8eec77e4c9cfb5","ontology authoring;feedback","Interactive semantic feedback for intuitive ontology authoring","Denaux, R","2012-01-01","IOS Press","publication","","","http://eprints.whiterose.ac.uk/81162/1/fois2012entendre.pdf","The complexity of ontology authoring and the difficulty to master the use of existing ontology authoring tools, put significant constraints on the involvement of both domain experts and knowledge engineers in ontology authoring. This often requires substantial effort for fixing ontologies defects (e.g. inconsistency, unsatisfiability, missing or unintended implications, redundancy, isolated entities). The paper argues that ontology authoring tools should provide immediate semantic feedback upon entering ontological constructs. We present a framework to analyse input axioms and provide meaningful feedback at a semantic level. The framework has been used to augment an existing Controlled Natural Language-based ontology authoring tool – ROO. An experimental study with ROO has been conducted to examine users' reactions to the semantic feedback and the effect on their ontology authoring behaviour. The study strongly supported responsive intuitive ontology authoring tools, and identified future directions to extend and integrate semantic feedback.","257184","Open Access","0.3783","0.5862","8","Digital traces, Ontology authoring, Ontology modularisation","Digital traces, Ontology authoring, Ontology modularisation",NA,NA,NA,"",""
"","core_ac_uk__::e7327e1ee5ce52f5606b220a5566b59f","variations;content;caw","I-CAW: intelligent data browser for informal learning on cultural variations in interpersonal communications.","Thakker, D","","","publication","","","http://eprints.whiterose.ac.uk/80232/1/cultel2013.pdf","This demonstration will present a system, called I-CAW (Intelligent Content Assembly Workbench), which aggregates content from social spaces into a semantically-enriched data browser to promote informal learning. The work pioneers a new way to interact with social content using nudges (in the form of signposts and prompts) that exploit ontologies and semantically augmented content. The demonstration will offer explanation on the underpinning ontology, how cultural variations are handled, possible application domains and hands-on experience with I-CAW which has been populated with culturally-rich social content for learners wishing to explore variations in interpreting body language for interpersonal communications.","257831","Open Access","0.2723","-0.5934","14","Browser for informal, Caw intelligent data, Intelligent data browser","Browser for informal, Caw intelligent data, Intelligent data browser",NA,NA,NA,"",""
"","ec_fp7_ict__::2006eabfe3a315f2ad78efb71ee68d8b","adaptive games;models affective;scaffolding adaptive","User models and affective metacognitive scaffolding for adaptive games","#N/D","2012-01-01","","publication","","","","","257831","Closed Access","-0.5168","-0.3206","5","User models, Account matching, Adaptive games","User models, Account matching, Adaptive games",NA,NA,NA,"",""
"","ec_fp7_ict__::97c34c984e9d33a5ad57bfdca435166c","adult learners;enhancement experiential;scaffolding enhancement","Affective metacognitive scaffolding for the enhancement of experiential training for adult learners","#N/D","2011-01-01","","publication","","","","","257831","Closed Access","-0.6935","0.0943","7","Affective metacognitive scaffolding, Adult learners, Based knowledge","Affective metacognitive scaffolding, Adult learners, Based knowledge",NA,NA,NA,"",""
"","ec_fp7_ict__::aa191d658bf66435bdc1122346072cb0","day duplicate;detection twitter;duplicate detection","Groundhog day: Near-duplicate detection on Twitter","#N/D","2013-01-01","","publication","","","","","257831","Closed Access","0.6651","0.0718","2","Duplicate detection, Mapreduce optimisations, Nested relational","Duplicate detection, Mapreduce optimisations, Nested relational",NA,NA,NA,"",""
"","ec_fp7_ict__::afbaf4681c8ed7c21d08c5ffc355f2ff","based user;modeling news;twitter based","Twitter-based user modeling for news recommendations","#N/D","2013-01-01","","publication","","","","","257831","Closed Access","-0.0113","-0.1087","1","Based user, Twitter based","Based user, Twitter based",NA,NA,NA,"",""
"","ec_fp7_ict__::811616f9cea9e96c5ce07b339f2b0a59","exploratory search;exploring exploratory;linked semantic","Exploring exploratory search: A user study with linked semantic data","#N/D","2013-01-01","","publication","","","","","257831","Closed Access","0.33","-0.3717","10","Exploratory search, Exploring exploratory, Flickr commons","Exploratory search, Exploring exploratory, Flickr commons",NA,NA,NA,"",""
"","ec_fp7_ict__::eaf159c98ba85b22d21378ced7b54d9e","account matching;brave task;task user","Brave new task: User account matching","#N/D","2012-01-01","","publication","","","","","257831","Closed Access","-0.3316","-0.6301","5","User models, Account matching, Adaptive games","User models, Account matching, Adaptive games",NA,NA,NA,"",""
"10.1002/asi.22935","dedup_wf_001::e945ef5f5a26fab6134957174cc0a481","digital traces","Making Sense of Digital Traces: An Activity Theory Driven Ontological Approach","Karanasios, Stan","2013-01-01","WILEY-BLACKWELL","publication","","JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE AND TECHNOLOGY","http://eprints.whiterose.ac.uk/78422/1/JASIST%20-%20November11%20%281%29_Dhaval_Final%20November%2027_with_coversheet.pdf","Social web content such as blogs, videos, and other user-generated content present a vast source of rich “digital-traces” of individuals' experiences. The use of digital traces to provide insight into human behavior remains underdeveloped. Recently, ontological approaches have been exploited for tagging and linking digital traces, with progress made in ontology models for well-defined domains. However, the process of conceptualization for ill-defined domains remains challenging, requiring interdisciplinary efforts to understand the main aspects and capture them in a computer processable form. The primary contribution of this article is a theory-driven approach to ontology development that supports semantic augmentation of digital traces. Specifically, we argue that (a) activity theory can be used to develop more insightful conceptual models of ill-defined activities, which (b) can be used to inform the development of an ontology, and (c) that this ontology can be used to guide the semantic augmentation of digital traces for making sense of phenomena. A case study of interpersonal communication is chosen to illustrate the applicability of the proposed multidisciplinary approach. The benefits of the approach are illustrated through an example application, demonstrating how it may be used to assemble and make sense of digital traces.","257831","Open Access","0.2584","0.4772","8","Digital traces, Ontology authoring, Ontology modularisation","Digital traces, Ontology authoring, Ontology modularisation","8","48","10","",""
"10.1007/978-3-319-08786-3_18","core_ac_uk__::42f21b44dfeb4c1bb04385b562fbe8d0","questionnaires;culture;dbpedia","Using DBpedia as a knowledge source for culture-related user modelling questionnaires","Thakker, D","2014-07-07","Springer","publication","","","http://eprints.whiterose.ac.uk/82321/1/umap2014-Thakker-et-al.pdf","In the culture domain, questionnaires are often used to obtain profiles of users for adaptation. Creating questionnaires requires subject matter experts and diverse content, and often does not scale to a variety of cultures and situations. This paper presents a novel approach that is inspired by crowdwisdom and takes advantage of freely available structured linked data. It presents a mechanism for extracting culturally-related facts from DBpedia, utilised as a knowledge source in an interactive user modelling system. A user study, which examines the system usability and the accuracy of the resulting user model, demonstrates the potential of using DBpedia for generating culture-related user modelling questionnaires and points at issues for further investigation.","257831","Open Access","-0.2048","-0.4022","1","Based user, Twitter based","Based user, Twitter based","1","0","0","",""
