"doi","id","subject","title","authors","year","publisher","resulttype","language","journal","url","paper_abstract","project_id","accessright","x","y","area_uri","cluster_labels","area","citation_count","readers.mendeley","cited_by_tweeters_count","readers","file_hash"
"","narcis______::845446ddb0d81a60c951603e4da656a1","lipids (amino acids, peptides, and proteins)","Lipids, lipid droplets and lipoproteins in their cellular context; an ultrastructural approach","Mesman, R.J.","2013-02-13","","publication","","","https://dspace.library.uu.nl/bitstream/1874/262517/2/mesman.pdf","Lipids are essential for cellular life, functioning either organized as bilayer membranes to compartmentalize cellular processes, as signaling molecules or as metabolic energy storage. Our current knowledge on lipid organization and cellular lipid homeostasis is mainly based on biochemical data. However, the resolving power of the most commonly used biochemical methods (molecular analysis of cellular fractions and the use of fluorescent lipid analogs) is limited. To gain further insight in subcellular lipid distribution and processes involved in cellular lipid homeostasis requires a high resolution method, allowing the study of lipids within the cellular context. In this thesis, we explored the use of one such method, transmission electron microscopy, to study cellular lipids, lipid droplets and lipoproteins at the ultrastructural level. Preparation of biological samples for electron microscopy (EM) is aimed at either immobilizing or removing water within the sample while retaining the ultrastructural organization of the cell. Based on the existing literature, lipid preservation in EM sample preparation was examined. From this, parameters determining lipid extraction were derived, allowing us to assess lipid retention in a given sample preparation procedure. This information was applied in studying approaches to visualize the biogenesis of lipid droplets (LDs). Using several preparation- and imaging techniques, we found indications that LD biogenesis occurs in the mitochondria-associated ER membranes, making critical progress in visualizing the initial stages of lipid droplet formation. Interaction between LDs and other cellular organelles was assessed by reconstructing 3d volumes from recorded tilt-series, allowing us to show direct membrane contacts between LDs and ER membrane and between an LD and a lysosome. The formation of very low density lipoproteins (VLDL), the main carriers of neutral lipid in the blood circulation, was investigated. Immuno-gold labeling on ApoB, the main apo-protein on VLDL, could in principle be used to study the synthesis route of VLDL. However, the current 'on-section’-labeling strategies often suffer from a loss of antigenicity of ApoB. We show that this is most likely due to delipidation of ApoB by the lipid scavenging action of bovine serum albumin, used as a blocking agent during the labeling procedure. By reducing de-lipidation, we are able to successfully localize ApoB by immuno-gold labeling. We were able to trace the flow of de-novo synthesized cellular lipid at the ultrastructural level, using a clickable fatty acid, combined with an optimized specimen preparation procedure. This lipid flow could be changed and re-directed using specific inhibitors. Changes were visualized within the cell by immuno-gold labeling, validating the use of clickable fatty acids as a suitable tool for imaging lipid flows on the nanometer scale. Lastly we present a novel method for high-pressure freezing and frozen hydrated sectioning of cells attached to the substrate they were grown on, providing a less artifact-prone method for frozen hydrated sectioning and cryo-electron microscopy of vitreous sections (CEMOVIS). This method reduces sample preparation time, allows the use of shorter incubation times and brings electron microscopy one step closer to the ultimate goal: visualizing cells in their native state at high resolution.","202272","Open Access","0.4369","0.1234","7","Lipid droplets, Caveolin deficient, Affects lxr","Lipid droplets, Caveolin deficient, Affects lxr",NA,NA,NA,"",""
"","narcis______::bff0f07c05698639b75e4f361f7ef899","development;inflammation;metabolic","Fatty acid metabolism and metabolic inflammation: two important players in the development of insulin resistance","Vroegrijk, Irene Olga Cornelia Maria","2013-05-16","Department of Endocrinology and Metabolic Diseases, Faculty of Medicine / Leiden University Medical Center (LUMC), Leiden University","publication","","","https://openaccess.leidenuniv.nl/bitstream/1887/20887/19/IVroegrijk_Book_FINAL_without_chap2_and_5-1.pdf","The metabolic syndrome is a multi-component condition that includes obesity hypertriglyceridemia and insulin resistance. The prevalence of the metabolic syndrome is rising world-wide and is associated with an increased risk for the development of cardiovascular diseases and type 2 diabetes. In the past decades it has been discovered that obese persons have slightly elevated markers of inflammation in their plasma. This low-grade chronic inflammation, also called metabolic inflammation, is hypothesized to function as the link between the various components of the metabolic syndrome. In this thesis, it is evaluated how alterations in triglyceride (TG) and fatty acid (FA) metabolism and inflammatory pathways interact in the development of obesity and insulin resistance, which are both primary risk factors for the development of type 2 diabetes","202272","Open Access","-0.2453","0.216","5","Lipid metabolism, Metabolic syndrome, Atherogenic disease","Lipid metabolism, Metabolic syndrome, Atherogenic disease",NA,NA,NA,"",""
"10.1002/art.38053","dedup_wf_001::dd822572ea76140c2e29f5de474104b2","classes species;synovial fluid;human synovial","A Lipidomic Study of Phospholipid Classes and Species in Human Synovial Fluid","Kosinska, Marta Krystyna","2013-01-01","WILEY-BLACKWELL","publication","","ARTHRITIS AND RHEUMATISM","","","202272","Closed Access","-0.1118","0.6399","11","Sphingolipid species, Chemistry, Human synovial fluid","Sphingolipid species, Chemistry, Human synovial fluid",40,NA,NA,"",""
"10.1002/cyto.a.20779","dedup_wf_001::5ddbb98723aed40dc8e86c097102f23f","cellular proteomics;application cellular;approaching clinical","Approaching clinical proteomics: Current state and future fields of application in cellular proteomics","Apweiler, Rolf","2009-01-01","WALTER DE GRUYTER &amp; CO","publication","","Cytometry Part A","","","202272","Closed Access","-0.6848","-0.2569","14","Proteomics data, Approaching clinical proteomics, Technological innovation and resources","Proteomics data, Approaching clinical proteomics, Technological innovation and resources",27,"76",NA,"",""
"10.1002/cyto.a.20828","ec_fp7health::75da8fcccf721b6bb7218cefdb036658","ldl generated;content imaging;discrimination quantitation","Fluorescent high-content imaging allows the discrimination and quantitation of E-LDL-induced lipid droplets and Ox-LDL-generated phospholipidosis in human macrophages","Grandl, Margot","2009-01-01","Wiley-Liss","publication","","Cytometry Part A","","","202272","Closed Access","0.6486","0.3392","7","Lipid droplets, Caveolin deficient, Affects lxr","Lipid droplets, Caveolin deficient, Affects lxr",2,NA,NA,"",""
"10.1002/ejlt.201200044","dedup_wf_001::5063450eec1b12a799a44fe2e972c992","cell regulation;emerging roles;proteins emerging","Oxysterol-binding proteins-emerging roles in cell regulation","Olkkonen, Vesa M.","2012-01-01","WILEY-BLACKWELL","publication","","EUROPEAN JOURNAL OF LIPID SCIENCE AND TECHNOLOGY","","","202272","Closed Access","-0.3164","-0.4877","2","Adipocyte progenitors, Based scaffold, Binding proteins","Adipocyte progenitors, Based scaffold, Binding proteins",5,"23","1","",""
"10.1002/emmm.201100172","dedup_wf_001::fd3a3cd4fe6e4fb2ec074ce4e32bed41","retinoid-related orphan receptor gamma","Adipogenesis and insulin sensitivity in obesity are regulated by retinoid-related orphan receptor gamma","Meissburger, Bettina","2011-01-01","WILEY-VCH Verlag","publication","","EMBO Molecular Medicine","","Obesity is a well-known risk factor for the development of secondary complications such as type 2 diabetes. However, only a part of the obese population develops secondary metabolic disorders. Here, we identify the transcription factor retinoid-related orphan receptor gamma (RORγ) as a negative regulator of adipocyte differentiation through expression of its newly identified target gene matrix metalloproteinase 3. In vivo differentiation of adipocyte progenitor cells from Rorγ-deficient mice is enhanced and obese Rorγ−/− mice show decreased adipocyte sizes. These small adipocytes are highly insulin sensitive, leading to an improved control of circulating free fatty acids. Ultimately, Rorγ−/− mice are protected from hyperglycemia and insulin resistance in the state of obesity. In adipose stromal-vascular fraction from obese human subjects, Rorγ expression is correlated with adipocyte size and negatively correlated with adipogenesis and insulin sensitivity. Taken together, our findings identify RORγ as a factor, which controls adipogenesis as well as adipocyte size and modulates insulin sensitivity in obesity. RORγ might therefore serve as a novel pharmaceutical target to treat obesity-associated insulin resistance.","202272","Open Access","-0.3594","0.0699","12","High fat diet, Diet induced obesity, Obesity and insulin","High fat diet, Diet induced obesity, Obesity and insulin",45,"42","1","",""
"10.1002/hep.23436","dedup_wf_001::085990a9c665a2221bcc084fd1164861","cholesterol levels;levels proliferating;lxr transcriptome","Down-Regulation of the LXR Transcriptome Provides the Requisite Cholesterol Levels to Proliferating Hepatocytes","Lo Sasso, Giuseppe","2010-01-01","JOHN WILEY & SONS INC","publication","","HEPATOLOGY","","","202272","Closed Access","0.5779","-0.5423","9","Based lipidomics, Cardiovascular risk, Cholesterol levels","Based lipidomics, Cardiovascular risk, Cholesterol levels",34,"29",NA,"",""
"10.1002/hep.25929","dedup_wf_001::2a1233a6517daa81f1bea087853131af","emerging role;factors metabolic;fibroblast growth","Emerging Role of Fibroblast Growth Factors 15/19 and 21 as Metabolic Integrators in the Liver","Cicione, Claudia","2012-01-01","WILEY-BLACKWELL","publication","","HEPATOLOGY","","","202272","Closed Access","-0.5165","0.1345","2","Adipocyte progenitors, Based scaffold, Binding proteins","Adipocyte progenitors, Based scaffold, Binding proteins",38,NA,NA,"",""
"10.1002/hep.25961","dedup_wf_001::331c80b877c2efddbd98adee2a368fcb","carboxylesterase esterase;deficiency carboxylesterase;esterase results","Deficiency of Carboxylesterase 1/Esterase-x Results in Obesity, Hepatic Steatosis, and Hyperlipidemia","Quiroga, Ariel D.","2012-01-01","WILEY-BLACKWELL","publication","","HEPATOLOGY","","","202272","Closed Access","-0.5909","0.4779","2","Adipocyte progenitors, Based scaffold, Binding proteins","Adipocyte progenitors, Based scaffold, Binding proteins",45,NA,NA,"",""
"10.1002/hep.26222","dedup_wf_001::59dcee7f083795d2c4ca8b640aab059b","activation peroxisome;beta protects;coactivator beta","Hepatic-specific activation of peroxisome proliferator-activated receptor gamma coactivator-1 beta protects against steatohepatitis","Bellafante, Elena","2013-01-01","WILEY-BLACKWELL","publication","","HEPATOLOGY","","","202272","Closed Access","-0.0527","-0.7799","9","Based lipidomics, Cardiovascular risk, Cholesterol levels","Based lipidomics, Cardiovascular risk, Cholesterol levels",20,NA,NA,"",""
"10.1002/jssc.201200708","dedup_wf_001::340a4b9e5c65ed1290f7f4fe0980c558","fractionation identification;identification phospholipids; improved","An improved SPE method for fractionation and identification of phospholipids","Fauland, Alexander","2013-01-01","WILEY-V C H VERLAG GMBH","publication","","JOURNAL OF SEPARATION SCIENCE","","","202272","Closed Access","-0.3758","0.6717","9","Based lipidomics, Cardiovascular risk, Cholesterol levels","Based lipidomics, Cardiovascular risk, Cholesterol levels",12,"47","2","",""
