"doi","id","subject","title","authors","year","publisher","resulttype","language","journal","url","paper_abstract","project_id","accessright","x","y","area_uri","cluster_labels","area","citation_count","cited_by_tweeters_count","readers.mendeley","readers","file_hash"
"","ec_fp7_ict__::0be0d317e5f14fa67b9f0be588a45489","maturing organizational;reflection maturing; role","The role of reflection in maturing organizational know-how","#N/D","2011-01-01","","publication","","","","","216356","Closed Access","-0.0513","0.3347","6","Maturing organizational, Reflection maturing, Role","Maturing organizational, Reflection maturing, Role",NA,NA,NA,"",""
"","ec_fp7_ict__::1a2494ad3a5a81618dd5066fe6ea13e6","design study;dialogue knowledge;mashup design","Ontologies, dialogue and knowledge maturing: Towards a mashup and design study","#N/D","2008-01-01","","publication","","","","","216356","Closed Access","-0.2881","-0.1139","8","Design study, Maturing process","Design study, Maturing process",NA,NA,NA,"",""
"","ec_fp7_ict__::74d12b5ebfdbe1aa96ee0e039da03b83","durch feedbackmechanismen;feedbackmechanismen vorlesungswikis;mehr wirkung","Motivation durch Feedbackmechanismen in Vorlesungswikis - Welche versprechen mehr Wirkung?","#N/D","2011-01-01","","publication","","","","","216356","Closed Access","0.452","0.5348","10","Durch feedbackmechanismen, Feedbackmechanismen vorlesungswikis, Mehr wirkung","Durch feedbackmechanismen, Feedbackmechanismen vorlesungswikis, Mehr wirkung",NA,NA,NA,"",""
"","ec_fp7_ict__::464cd76776a9da3c3258ed0688ce2cb9","agile business;business processes;mining agile","Mining of agile business processes","#N/D","2011-01-01","","publication","","","","","216356","Closed Access","0.4397","0.2377","4","Agile business, Business agility, Business processes","Agile business, Business agility, Business processes",NA,NA,NA,"",""
"","ec_fp7_ict__::a33ad1c8ca34ce1fe3589acea4be2b80","concept tool;infrastructure supporting;services ple","Concept of a tool wrapper infrastructure for supporting services in a ple","#N/D","2008-01-01","","publication","","","","","216356","Closed Access","0.657","-0.1724","3","Concept tool, Infrastructure supporting, Services ple","Concept tool, Infrastructure supporting, Services ple",NA,NA,NA,"",""
"","ec_fp7_ict__::b421e17eb3d7147801a2a3deae1a8ab7","aspects design;design informal;informal learning","Integrating motivational aspects into the design of informal learning support in organizations","#N/D","2009-01-01","","publication","","","","","216356","Closed Access","0.3045","-0.4088","13","Aspects design, Design informal, Informal learning","Aspects design, Design informal, Informal learning",NA,NA,NA,"",""
"","ec_fp7_ict__::f7cad3ad38c23388fe9309a953b303e2","collaborative tagging;learning resources;tagging knowledge","Collaborative tagging of knowledge and learning resources","#N/D","2008-01-01","","publication","","","","","216356","Closed Access","-0.2789","-0.4824","5","Collaborative tagging, Learning resources","Collaborative tagging, Learning resources",NA,NA,NA,"",""
"","ec_fp7_ict__::daf0056e66f300375bacc67c2b836881","form ation;individuation interaction;informal learner","Informal learner styles: Individuation, interaction, in-form-ation","#N/D","2008-01-01","","publication","","","","","216356","Closed Access","0.5614","-0.4371","2","Form ation, Individuation interaction, Informal learner","Form ation, Individuation interaction, Informal learner",NA,NA,NA,"",""
"","ec_fp7_ict__::e3898e06f5e1765a9f8143f597b95cd6","added sociofact;business agility;analysis business","Added value of sociofact analysis for business agility","#N/D","2011-01-01","","publication","","","","","216356","Closed Access","0.5964","0.2762","4","Agile business, Business agility, Business processes","Agile business, Business agility, Business processes",NA,NA,NA,"",""
"","ec_fp7_ict__::ec38d6dd5bdba4b9e93446eaae668c6d","forecasting community;competitive forecasting;feedback incentives","Participation, feedback & incentives in a competitive forecasting community","#N/D","2011-01-01","","publication","","","","","216356","Closed Access","0.1988","0.6583","12","Competitive forecasting, Feedback incentives, Forecasting community","Competitive forecasting, Feedback incentives, Forecasting community",NA,NA,NA,"",""
