"doi","id","subject","title","authors","year","publisher","resulttype","language","journal","url","paper_abstract","project_id","accessright","x","y","area_uri","cluster_labels","area","citation_count","cited_by_tweeters_count","readers.mendeley","readers","file_hash"
"","dedup_wf_001::4b458be50642ab1b167ea1cd2d668318","Termination","To Infinity... and Beyond!","Urban, Caterina","2014-07-17","HAL CCSD","publication","","","https://hal.inria.fr/hal-01105216/document","International audience; The traditional method for proving program termination consists in inferring a ranking function. In many cases (i.e. programs with unbounded non-determinism), a single ranking function over natural numbers is not sufficient. Hence, we propose a new abstract domain to automatically infer ranking functions over ordinals. We extend an existing domain for piecewise-defined natural-valued ranking functions to polynomials in ω, where the polynomial coefficients are natural-valued functions of the program variables. The abstract domain is parametric in the choice of the state partitioning inducing the piecewise-definition and the type of functions used as polynomial coefficients. To our knowledge this is the first abstract domain able to reason about ordinals. Handling ordinals leads to a powerful approach for proving termination of imperative programs, which in particular allows us to take a first step in the direction of proving termination under fairness constraints and proving liveness properties of (sequential and) concurrent programs.","269335","Open Access","-0.1261","-0.5822","9","Termination","Termination",NA,NA,NA,"",""
"","od________18::e6c7de19cf4c3b27294331e9f6624ee5","Computer Science - Data Structures and Algorithms","An n log n Alogrithm for Deterministic Kripke Structure Minimization","Meinke, Karl","2012-05-26","","publication","","","","We introduce an algorithm for the minimization of deterministic Kripke structures with O(kn log2 n) time complexity. We prove the correctness and complexity properties of this algorithm.","269335","Open Access","0.6812","0.2431","12","Computer science - data structures and algorithms","Computer science - data structures and algorithms",NA,NA,NA,"",""
"10.1007/978-3-319-09099-3_16","dedup_wf_001::01700954e920159bd4ecb8f73acb7d57","[INFO.INFO-LO] Computer Science [cs]/Logic in Computer Science [cs.LO]","How Test Generation Helps Software Specification and Deductive Verification in Frama-C","Petiot, Guillaume","2014-07-24","Springer","publication","","","https://hal.inria.fr/hal-01108553/document","International audience; This paper describes an incremental methodology of deductive verification assisted by test generation and illustrates its benefits by a set of frequent verification scenarios. We present StaDy, a new integration of the concolic test generator PathCrawler within the software analysis platform FramaC. This new plugin treats a complete formal specification of a C program during test generation and provides the validation engineer with a helpful feedback at all stages of the specification and verification tasks.","269335","Open Access","-0.5566","-0.2769","2","[info.info-lo] computer science [cs]/logic in computer science [cs.lo]","[info.info-lo] computer science [cs]/logic in computer science [cs.lo]","2",NA,NA,"",""
"10.1007/978-3-319-10936-7_18","dedup_wf_001::26161407404bfce6a3083fde2084f614","[INFO] Computer Science [cs]","An Abstract Domain Combinator for Separately Conjoining Memory Abstractions","Toubhans, Antoine","2014-09-11","Springer","publication","","Static Analysis Symposium (SAS 2014)","https://hal.archives-ouvertes.fr/hal-01095934/document","International audience; The breadth and depth of heap properties that can be inferred by theunion of today’s shape analyses is quite astounding. Yet, achieving scalabilitywhile supporting a wide range of complex data structures in a generic way remainsa long-standing challenge. In this paper, we propose a way to side-stepthis issue by defining a generic abstract domain combinator for combining memoryabstractions on disjoint regions. In essence, our abstract domain constructionis to the separating conjunction in separation logic as the reduced product constructionis to classical, non-separating conjunction. This approach eases the designof the analysis as memory abstract domains can be re-used by applying ourseparating conjunction domain combinator. And more importantly, this combinatorenables an analysis designer to easily create a combined domain that appliescomputationally-expensive abstract domains only where it is required.","269335","Open Access","0.2783","-0.1305","14","[info] computer science [cs]","[info] computer science [cs]","2",NA,NA,"",""
"10.1007/978-3-319-10936-7_19","dedup_wf_001::8c72a67995e6b3116d6324162616a556","Computer Science::Programming Languages","A Decision Tree Abstract Domain for Proving Conditional Termination","Urban, Caterina","2014-09-11","Springer","publication","","","https://hal.inria.fr/hal-01105221/document","International audience; We present a new parameterized abstract domain able to refine existing numerical abstract domains with finite disjunctions. The elements of the abstract domain are decision trees where the decision nodes are labeled with linear constraints, and the leaf nodes belong to a numerical abstract domain. The abstract domain is parametric in the choice between the expressivity and the cost of the linear constraints for the decision nodes (e.g., polyhedral or octagonal constraints), and the choice of the abstract domain for the leaf nodes. We describe an instance of this domain based on piecewise-defined ranking functions for the automatic inference of sufficient preconditions for program termination. We have implemented a static analyzer for proving conditional termination of programs written in (a subset of) C and, using experimental evidence, we show that it performs well on a wide variety of benchmarks, it is competitive with the state of the art and is able to analyze programs that are out of the reach of existing methods.","269335","Open Access","0.0647","-0.5545","6","Computer science::programming languages","Computer science::programming languages","8",NA,NA,"",""
"10.1007/978-3-642-38853-8_10","dedup_wf_001::eaebc4334f72369609fd42c31bd69660","[INFO] Computer Science [cs]","Reducing Re-verification Effort by Requirement-Based Change Management","Oertel, Markus","2013-06-17","Springer","publication","","","https://hal.inria.fr/hal-01466666/document","Part 3: Verification; International audience; Changes in parts of a safety critical system typically require the re-verification of the whole system design. In this paper we present a change management approach that contains the effects of a change within a region of the system. The approach guarantees to maintain the integrity of the system while performing changes. Our approach directly integrates verification and validation activities in the process. Furthermore, the propagation of changes is not based on the interfaces of the components and their interconnections, but exploits the knowledge of the behavior described by the requirements. This approach creates a much more precise set of affected system artifacts. In addition, we propose techniques to analyze the propagation of changes automatically based on formalized requirements and guide the selection of suitable compensation candidates.","269335","Open Access","-0.0542","0.5907","1","[info] computer science [cs]","[info] computer science [cs]","2",NA,NA,"",""
"10.1007/978-3-662-44857-1_6","dedup_wf_001::1be347b7b8c6f478acf5469de1896ac1","ACM : D.: Software/D.2: SOFTWARE ENGINEERING/D.2.5: Testing and Debugging","MPLM -- MaTeLo Product Line Manager","Samih , Hamza","2014-09-15","HAL CCSD","publication","","","https://hal.inria.fr/hal-01025159/document","International audience; The diversity of requirements elicited from different customers leads to the development of many variants. Furthermore, compliance with safety standards as mandated for safety-critical systems requires high test efforts for each variant. Model-based testing aims to reduce test efforts by automatically generating test cases from test models. In this paper, we introduce variability management to usage models, a widely used model-based testing formalism. We present an approach that allows to derive usage model variants from a desired set of features and thus generate test cases for each variant. The approach is integrated in the industrial model-based testing tool chain MaTeLo and exemplified using an industrial case study from the aerospace domain.","269335","Open Access","-0.5541","0.089","8","Acm : d.: software/d.2: software engineering/d.2.5: testing and debugging, Model based testing, Industrial case study","Acm : d.: software/d.2: software engineering/d.2.5: testing and debugging, Model based testing, Industrial case study","2",NA,NA,"",""
"10.1007/978-3-662-44857-1_6","dedup_wf_001::3c451e4468a6ef913492a9717191be37","[INFO] Computer Science [cs]","An Approach to Derive Usage Models Variants for Model-Based Testing","Samih, Hamza","2014-09-23","Springer","publication","","","https://hal.inria.fr/hal-01405276/document","Part 2: Tools and Frameworks; International audience; Testing techniques in industry are not yet adapted for product line engineering (PLE). In particular, Model-based Testing (MBT), a technique that allows to automatically generate test cases from requirements, lacks support for managing variability (differences) among a set of related product. In this paper, we present an approach to equip usage models, a widely used formalism in MBT, with variability capabilities. Formal correspondences are established between a variability model, a set of functional requirements, and a usage model. An algorithm then exploits the traceability links to automatically derive a usage model variant from a desired set of selected features. The approach is integrated into the professional MBT tool MaTeLo and is currently used in industry.","269335","Open Access","-0.4051","0.113","7","[info] computer science [cs]","[info] computer science [cs]","2",NA,NA,"",""
"10.1007/978-3-662-44857-1_6","dedup_wf_001::6f4f2d192048292d8c423a1c75716d60","Requirements","Deriving Usage Model Variants for Model-based Testing: An Industrial Case Study","Samih , Hamza","2014-08-04","IEEE","publication","","","https://hal.inria.fr/hal-01002099/document","International audience; The strong cost pressure of the market and safety issues faced by aerospace industry affect the development. Suppliers are forced to continuously optimize their life-cycle processes to facilitate the development of variants for different customers and shorten time to market. Additionally, industrial safety standards like RTCA/DO-178C require high efforts for testing single products. A suitably organized test process for Product Lines (PL) can meet standards. In this paper, we propose an approach that adopts Model-based Testing (MBT) for PL. Usage models, a widely used MBT formalism that provides automatic test case generation capabilities, are equipped with variability information such that usage model variants can be derived for a given set of features. The approach is integrated in the professional MBT tool MaTeLo. We report on our experience gained from an industrial case study in the aerospace domain.","269335","Open Access","-0.5091","0.1946","8","Acm : d.: software/d.2: software engineering/d.2.5: testing and debugging, Model based testing, Industrial case study","Acm : d.: software/d.2: software engineering/d.2.5: testing and debugging, Model based testing, Industrial case study","2",NA,NA,"",""
"10.1007/978-3-662-45231-8_40","dedup_wf_001::1321a24e8d41da02002d10b725ce2880","[INFO] Computer Science [cs]","Construction of Abstract Domains for Heterogeneous Properties (Position Paper)","Rival, Xavier","2014-10-08","Springer","publication","","6th International Symposium On Leveraging Applications of Formal Methods, Verification and Validation","https://hal.archives-ouvertes.fr/hal-01095977/document","International audience; The aim of static analysis is to infer invariants about programs that are tight enough to establish semantic properties, like the absence of run-time errors. In the last decades, several branches of the static analysis of imperative programs have made significant progress, such as in the inference of numeric invariants or the computation of data structures properties (using pointer abstractions or shape analyzers). Although simultaneous inference of shape-numeric invariants is often needed, this case is especially challenging and less well explored. Notably, simultaneous shape-numeric inference raises complex issues in the design of the static analyzer itself. We study the modular construction of static analyzers, based on combinations of atomic abstract domains to describe several kinds of memory properties and value properties. Static analysis to infer heterogeneous properties. Static analysis by abstract interpreta-tion [4] utilizes an abstraction to over-approximate (non-computable) sets of program states, using computer-representable elements, that stand for logical properties of con-crete program states. As an example, for numerical properties, the interval abstract domain [4] uses constraints of the form n ≤ x and x ≤ p to describe possible values of variable x, where n, p are scalars. To construct a static analyzer capable of inferring sound approximations of program behaviors, one designs an abstract domain, which consists of an abstraction, and abstract operations for sound post-condition operators, join and widening: 1. An abstraction is defined by a set of abstract elements A and a concretization function γ : A → P(C), which maps each abstract property a into the set of concrete elements γ(a) that satisfy it. The set A of abstract elements will be assumed to be defined by a grammar of admissible logical predicates (e.g., for intervals, a(∈ A) ::= a ∧ a | n ≤ x | x ≤ p). 2. A post-condition operator is a function f : A → A which over-approximates a concrete operation f : C → P(C) encountered in programs (as, e.g., a test).","1055066","Open Access","0.2296","-0.3543","13","[info] computer science [cs]","[info] computer science [cs]","0",NA,NA,"",""
