"doi","id","subject","title","authors","year","publisher","resulttype","language","journal","url","paper_abstract","project_id","accessright","x","y","area_uri","cluster_labels","area","citation_count","cited_by_tweeters_count","readers.mendeley","readers","file_hash"
"","narcis______::ece3edf0371a4c4316fa2c14e1441465","van;het;een","De consument in het telecommunicatierecht: een update","van Eijk, N.A.N.M.","2014-01-01","","publication","","","https://pure.uva.nl/ws/files/2419520/160903_445167.pdf","De positie van de consument in het telecommunicatierecht is permanent in beweging. Het telecommunicatierecht vervult daarbij regelmatig een gidsfunctie; dat is onder meer zichtbaar bij de regulering van mobiele telefonie en internet. In deze bijdrage wordt een schets gegeven van een aantal van de belangrijkste ontwikkelingen die zich de laatste jaren hebben voorgedaan met betrekking tot de positie van de consument binnen het telecommunicatierecht. Daarbij zijn de aanpassingen van het Europese telecommunicatiekader van 2009 en de implementatie ervan in de Nederlandse Telecommunicatiewet (Tw) leidend. Aan de orde komen eerst aspecten die direct te maken hebben met de contractuele relaties tussen aanbieders en consumenten: welke adressanten kent de regulering, wat zijn randvoorwaarden in de contractuele sfeer en hoe zit het met geschilbeslechting? Vervolgens wordt nog stilgestaan bij een drietal meer specifieke onderwerpen die de positie van consumenten raken, namelijk cookies, netneutraliteit en de positionering van bepaalde informatiediensten.","120003","Open Access","0.7642","-0.0476","5","Een, Het, Van","Een, Het, Van",NA,NA,NA,"",""
"","od______2292::13460b06dbfff75bb88f0e6913c2235d","Desenvolvimento dos adolescentes","EAP : versão portuguesa, estádios da puberdade e sintomas psicológicos","Crisóstomo, Ana Catarina Oliveira","2013-01-01","Universidade de Aveiro","publication","","","","A adolescência é um período de grandes transformações a variados níveis. A maioria das investigações com esta faixa etária não avalia o desenvolvimento pubertário, tendo apenas em atenção a idade ou ao sexo dos participantes. Assim, este estudo tem como objetivo desenvolver uma versão portuguesa da “Self-rating Scale for Pubertal Development” (SSPD, Carskadon & Acebo, 1993, baseando-se em Petersen et al., 1988) e ainda verificar se existem associações entre alguns sintomas psicopatológicos e o estádio de desenvolvimento pubertário. Usámos dois questionários: a Escala de Autoavaliação de Puberdade (EAP - versão experimental portuguesa do SSPD de Crisóstomo, Couto, Marques & Gomes, 2012) e a versão portuguesa (Gonçalves, Dias & Machado, s/d) do inventário de sintomas psicopatológicos de Achenbach (2001), Youth Self Report (YSR) para idades dos 11-18. A EAP é um questionário breve, de autorrelato, destinado a crianças/jovens a partir dos 9 anos. É uma escala do tipo Likert, com 4 opções de resposta na maioria dos itens, contendo duas questões específicas por género. A nossa amostra foi composta por 431 crianças/jovens (49,0% do sexo masculino), com idades compreendidas entre os 9 e os 15 anos de idade, a frequentar do 3º ao 9º ano de escolaridade, que responderam à EAP após o seu acordo e o consentimento informado dos encarregados de educação. Uma subamostra (de 241 participantes, 49% dos quais rapazes) respondeu também ao YSR. Os resultados mostraram que a EAP apresentou características psicométricas satisfatórias com alfas de Cronbach de 0,81 na versão masculina e 0,74 na versão feminina, sugestivos de consistência interna adequada. As correlações item-total corrigido situaram-se entre 0,31 e 0,66. Como espectável, as pontuações médias na EAP mostraram-se estatisticamente correlacionadas com a idade (r=,691 nos rapazes e r=,625 nas raparigas) e foram significativamente superiores nas raparigas (2,26 ± 0,68) comparativamente com os rapazes (1,96 ± 0,64), p < 0,001, o que aponta para a validade da escala. Para além disso verificaram-se várias associações entre o estádio de desenvolvimento pubertário e alguns sintomas psicológicos, principalmente no caso das raparigas. No sexo feminino, o desenvolvimento pubertário associou-se de forma significativa com mais escalas do YSR (I, II, V, VII, VIII, internalização e externalização) do que a idade. Estes resultados vão ao encontro da literatura anterior. Os resultados do presente estudo apontam para a importância de se avaliar o desenvolvimento pubertário aquando da avaliação e intervenção com adolescentes no âmbito da psicologia clínica e da saúde. São ainda discutidas algumas limitações deste estudo e sugestões para investigações futuras.
			Adolescence is a period of great changes at various levels. Most research with this age group does not assess pubertal development, taking only into account the age or sex of participants. Thus, the aims of this study were to develop a Portuguese version of the “Self-rating Scale for Pubertal Development” (SSPD, Carskadon & Acebo, 1993, based in Petersen et al., 1988), and to examine if there were associations between psychopathological symptoms and pubertal development stages. We used two questionnaires: EAP (the Portuguese experimental version of SSPD, Crisóstomo, Couto, Marques & Gomes (2012)) and the Achenbach (2001) inventory Youth Self Report (YSR), Portuguese version of Gonçalves, Dias & Machado (s/d). The EAP/SSPD is a brief self-rating scale for children from the age of 9. It is a 4-point Likert scale with two specific questions by gender. Our sample was composed by 431 children (49,0% male), aged between 9 and 15 years old, and attending 3rd to 9th grades, who completed the EAP after informed consent. A sub-sample (241 participants, 49,0% males) answered also to the YSR. The results showed adequate internal consistency of EAP, as indicated by Cronbach alphas .81 in male version and .74 in female version. Corrected item-total correlations ranged from .31 to .66. As expected, mean EAP scores were both statistically related with age (r = .691 in boys, and r = .625 in girls), and significantly higher in girls (2.26 ± 0.68) than in boys (1.96 ± 0.64), p < .001, thus supporting the validity of the scale. In addition, there were several associations between pubertal development stage and some psychological symptoms, mainly in girls. In female students pubertal development was associated with a higher number of YSR scales (I, II, V,VII, VIII, internalizing and externalizing) than age. These results are in line with previous literature in the area, and point to the pertinence of considering pubertal status when assessing mental health in adolescents. Some limitations of this study are also addressed, as well as suggestions for future research.
			Mestrado em Psicologia","120003","Open Access","0.3873","0.6156","2","Sintomas psicológicos","Sintomas psicológicos",NA,NA,NA,"",""
"","od______2292::3215ee0328f37d0696dcccaead2feb5e","Crianças","Padrões de sono estimados pela actigrafia e sintomas psicológicos em crianças","Santos, Joana Alves dos","2015-01-01","Universidade de Aveiro","publication","","","","O sono é um dos principais preditores de um desenvolvimento infantil saudável, sendo que, alterações nos padrões de sono têm revelado estar associados a problemas emocionais e comportamentais em crianças. Apesar do crescente volume de investigação sobre estes temas, os estudos com recurso a métodos objectivos para estimar padrões de sono são menos numerosos. Assim, o presente trabalho tem como objetivo estudar os padrões de sono em crianças, usando um método objetivo, e a sua associação com sintomas emocionais e comportamentais.
			A amostra incluiu 80 crianças, 34 do sexo masculino e 46 do sexo feminino, com idades compreendidas entre os 4 e os 11 anos (M=7.65; DP=1.77), a frequentar do Jardim de Infância ao 6º ano de escolaridade. Cada criança utilizou um actígrafo durante 7 a 14 noites/dias consecutivos para medição dos padrões de sono, e os pais/encarregados de educação e educadores/professores preencheram o Questionário de Capacidades e Dificuldades (Strenghts and Difficulties Questionnaire – SDQ, Goodman, 1997) para avaliação dos sintomas emocionais e comportamentais.
			Os resultados revelaram uma associação significativa (p < 0.05) entre a Eficiência do Sono ao fim-de-semana e Problemas de Comportamento (r=-.249) para o SDQ-Versão Pais. No SDQ-Versão Professores verificaram-se associações entre o Ponto Médio de Sono em dias de escola e Sintomas Emocionais (r=-.284), entre a Hora de Levantar ao fim-de-semana e Problemas de Comportamento (r=.311) e Hiperatividade (r=.320), entre o Período de Sono ao fim-de-semana e a Hiperatividade (r=.285), e entre o Ponto Médio de Sono ao fim-de-semana e Problemas de Comportamento (r=.281).
			Os resultados do presente estudo apontam para a associação entre algumas variáveis de sono e problemas comportamentais e emocionais. Neste sentido, poderá ser pertinente uma especial atenção, por parte dos profissionais de saúde, relativamente aos hábitos e dificuldades de sono quando avaliam ou intervêm em crianças com problemas emocionais ou de comportamento. No entanto, é necessário investigação futura para esclarecer o sentido destas associações.
			Sleep is one of the main predictors of a healthy child development, and alterations on sleep patterns have been associated to emotional and behavioral problems in children. Although the growing body of research on this matter, studies using objective measures to estimate sleep patterns are less numerous. Therefore, the present work aimed to study children’s sleep patterns, using an objective measure, and its associations with emotional and behavioral symptoms.
			The selected sample included 80 Portuguese children, 34 males and 46 females, with ages ranging from 4 to 11 years old (M=7.65; SD=1.77), attending kindergarten to 6th grade. Each child used an actigraph for 7 to 14 consecutive nights/days, to measure sleep patterns, and their parents/tutors and educators/teachers completed the Strengths and Difficulties Questionnaire (SDQ, Goodman, 1997; 2001) in order to evaluate emotional and behavioral symptoms.
			The results revealed a significant association between Sleep Efficiency on weekends and Behavioral Problems (r=-.249) on the SDQ-Parents Version. For the SDQ-Teacher Version, the results revealed associations between the Mid Sleep Point on school days and Emotional Symptoms (r=-.284), between Rise Time on weekends and Behavioral Problems (r=.311) and Hyperactivity (r=.320), between Sleep Period on weekends and Hyperactivity (r=.285), and between Mid Sleep Point on weekends and Behavioral Problems (r=.281).
			The results of the present study point to associations between some sleep variables and emotional and behavioral symptoms. Thus, it might be relevant for health professionals to pay special attention to sleep habits and difficulties when evaluating or intervening on children with emotional or behavioral problems. However, there is still a need for future investigation to clarify the direction of these associations.
			Mestrado em Psicologia da Saúde e Reabilitação Neuropsicológica","120003","Open Access","0.1926","0.6434","2","Sintomas psicológicos","Sintomas psicológicos",NA,NA,NA,"",""
"10.1007/s10701-015-9960-z","od________18::51770d6df7d173b64caa988c62928873","General Relativity and Quantum Cosmology","MOND-like acceleration in integrable Weyl geometric gravity","Scholz, Erhard","2014-12-01","","publication","","","","In this paper a Weyl geometric scalar tensor theory of gravity with scalar field $\Phi$ and scale invariant cubic (\"aquadratic\") kinetic Lagrangian is introduced. Einstein gauge (comparable to Einstein frame in Jordan-Brans-Dicke theory) is most natural for studying trajectories. In it, the Weylian scale connection induces an additional acceleration which in the weak field, static, low velocity limit acquires the deep MOND form of Milgrom/Bekenstein's gravity. The energy momentum of $\Phi$ leads to another add on to Newton acceleration. Both additional accelerations together imply a MOND-ian phenomenology of the model. It has unusual transition functions. They imply higher phantom energy density than in the case of the more common MOND models with transition functions $\mu_1(x), \, \mu_2(x)$. A considerable part of it is due to the scalar field's energy density which, in our model, gives a scale and generally covariant expression for the self-energy of the gravitational field.","120003","Open Access","-0.6517","-0.3028","12","General relativity and quantum cosmology","General relativity and quantum cosmology",4,NA,NA,"",""
"10.1016/j.mejo.2011.09.007","dedup_wf_001::d3859f445878be5df1a1c941ab80519d",":Enginyeria electrònica::Microelectrònica [Àrees temàtiques de la UPC]","New redundant logic design concept for high noise and low voltage scenarios","Garcia-Leyva, Lancelot","2011-01-01","ELSEVIER SCI LTD","publication","","MICROELECTRONICS JOURNAL","","This paper presents a new redundant logia design concept named Turtle Logic(TL).It is a new probabilistic logic method based on port redundancy and complementary data, oriented toward emerging technologies beyond CMOS, where the thermal noise could be predominant and the reliability of the future circuits could be  limited. The TL is a technology independent method, which aims to improve error tolerance when these errors are caused by noise within logic and functional units, sequential elements, and in general synchronous pipeline Finite State Machines. Turtle Logic operation is based on the consistency relation of redundant inputs. In the case of discrepancy, the out put of the system keeps the previous value, therefore avoiding the propagation of incorrect inputs. A two’s complement 8x8-bit pipelined Baugh–Wooley multiplier is implemented, on which several experiments reveal a perfect tolerance (0%errors) to single line discrepancies for both primary and internal nodes, with a cost of lost clock periods between 6% and 25%. The error ratio for the proposed Turtle Logic implementation with double discrepancies in both true and complementary lines are lower  than 0.1% when the noise affects primary input nodes, and lower than 0.9% when the noise affects internal nodes.","120003","Restricted","0.1152","-0.2845","14",":enginyeria electrònica::microelectrònica [àrees temàtiques de la upc]",":enginyeria electrònica::microelectrònica [àrees temàtiques de la upc]",2,NA,NA,"",""
"10.1038/srep46628","dedup_wf_001::a21e26852b94999a20c3e52df1a3138c","Article","CMD-05, a novel promising clinical anti-diabetic drug candidate, in vivo and vitro studies","Ma, Jie","2017-04-01","Nature Publishing Group","publication","","Scientific Reports","","Dipeptidyl peptidase IV (DPP-IV) inhibitor has been expected to be a new class of anti-diabetic agent. The present study was designed to characterize the pharmacological profiles of CMD-05, a novel DPP-IV inhibitor discovered in our laboratory, in vitro and in vivo. The IC50 of CMD-05 on DPP-IV inhibitory activity was approximately 12?nM while vildagliptin was 3.5?nM in vitro. In diabetes rat model established by high fat diet/low dose streptozotocin, CMD-05 inhibited DPP-IV activity, significantly improved glucose tolerance, increased GLP-1 and insulin levels in plasma. Long-term administration of CMD-05 decreased HbA1c and TG levels and improved the islet function without significantly effect on body weight. Furthermore, CMD-05 reduced INS-1 cell apoptosis and increased GLP-1 secretion in NCI-H716. After oral administration, CMD-05 reached peak concentration at 30?min with half-life of 288?minutes and the inhibitory rate of DPP-IV greater than 50% lasted for 15?h. In fasted normal rats, CMD-05 didn?t cause significant hypoglycemia. CMD-05 had a lower cytotoxicity than vildagliptin in vitro and its maximum tolerance dose in mice is beyond 2000?mg/kg. These results indicated that CMD-05 has similar activity with vildagliptin in vivo and has a much longer half-life and lower cytotoxicity than vildagliptin.","120003","Open Access","0.4347","0.0183","7","Article","Article",0,NA,NA,"",""
"10.1109/tc.2013.202","webcrawl____::6a8e99be2e6ed7145ccfe2ecec3a170a","delay faults;detect logic;distributed functional","At-Speed Distributed Functional Testing to Detect Logic and Delay Faults in NoCs","Kakoee, Mohammad Reza","2014-01-01","IEEE COMPUTER SOC","publication","","IEEE TRANSACTIONS ON COMPUTERS","","","248776","Closed Access","0.3419","-0.6388","13","Delay faults, Detect logic, Distributed functional","Delay faults, Detect logic, Distributed functional",30,NA,NA,"",""
"10.1109/ted.2011.2147319","webcrawl____::46391cc001d9018b82eb3c661adb0dc3","compact modeling;effects nanoscale;modeling variability","Compact Modeling of Variability Effects in Nanoscale NAND Flash Memories","Spessot, Alessio","2011-01-01","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","publication","","IEEE TRANSACTIONS ON ELECTRON DEVICES","","","216171","Closed Access","-0.4315","-0.4972","1","Compact modeling, Damage recovery, Nand flash memories","Compact modeling, Damage recovery, Nand flash memories",6,NA,NA,"",""
"10.1109/ted.2011.2150751","webcrawl____::9e36c724a283bcc4a07cf5f661688760","damage recovery;due damage;instability due","Threshold-Voltage Instability Due to Damage Recovery in Nanoscale NAND Flash Memories","Miccoli, Carmine","2011-01-01","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","publication","","IEEE TRANSACTIONS ON ELECTRON DEVICES","","","120003","Closed Access","-0.3659","-0.6196","1","Compact modeling, Damage recovery, Nand flash memories","Compact modeling, Damage recovery, Nand flash memories",32,NA,NA,"",""
"10.1109/ted.2011.2175399","webcrawl____::f0207105e660d4ef7e8bab1befad8e64","memory devices;doping random;flash memory","Impact of Nonuniform Doping on Random Telegraph Noise in Flash Memory Devices","Ghetti, Andrea","2012-01-01","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","publication","","IEEE TRANSACTIONS ON ELECTRON DEVICES","","","120003","Closed Access","-0.0276","-0.7068","3","Cell shape, Decananometer flash, Doping random","Cell shape, Decananometer flash, Doping random",17,NA,NA,"",""
