"doi","id","subject","title","authors","year","publisher","resulttype","language","journal","url","paper_abstract","project_id","accessright","x","y","area_uri","cluster_labels","area","citation_count","cited_by_tweeters_count","readers.mendeley","readers","file_hash"
"10.1002/biot.201200313","fp7_health__::f70ace4753c33be688636b3753aa3f77","antimicrobial enzymes;microbial biofilms;emerging strategy","Antimicrobial enzymes: An emerging strategy to fight microbes and microbial biofilms","Thallinger, Barbara","2013-01-01","","publication","","Biotechnology Journal","","","278402","Closed Access","-0.5836","-0.3086","3","Antimicrobial enzymes, Emerging strategy, Microbial biofilms","Antimicrobial enzymes, Emerging strategy, Microbial biofilms","69",NA,NA,"",""
"10.1002/(issn)1860-7314","od_______307::eba1589e4368af524f73677b922396a8","Silk phosphorylation","Phosphorylation of silk fibroins improves the cytocompatibility of silk fibroin derived materials: a platform for the production of tuneable material","Volkov, Vadim","2014-10-01","Wiley","publication","","","","Silk fibroin demonstrates great biocompatibility and is suitable for many biomedical applications, including tissue engineering and regenerative medicine. Current research focuses on manipulating the physico-chemical properties of fibroin, and examining the effect of this manipulation on firobin's biocompatibility. Regenerated silk fibroin was modified by in vitro enzymatic phosphorylation and cast into films. Films were produced by blending, at several ratios, the phosphorylated and un-phosphorylated fibroin solutions. Fourier transform infra-red spectroscopy was used to determine the specific P–OH vibration peak, confirming the phosphorylation of the regenerated silk fibroin solution. Differential scanning calorimetry showed that phosphorylation altered the intra- and inter-molecular interactions. Further experiments demonstrated that phosphorylation can be used to tailor the hydrophylicity/hydrophobicity ratio as well as the crystalinity of silk fibroin films. Release profiling of a model drug was highly dependent on silk modification level. Cytotoxicity assays showed that exposure to lixiviates of phosphorylated films only slightly affected cellular metabolism and proliferation, although direct contact resulted in a strong direct correlation between phosphorylation level and cell proliferation. This new method for tuning silk biomaterials to obtain specific structural and biochemical features can be adapted for a wide range of applications. Phosphorylation of silk fibroins may be applied to improve the cytocompatibility of any silk-based device that is considered to be in contact with live animals or human tissues.
			The authors would like to acknowledge the support granted to the authors by European NOVO Project, contract no. FP7-HEALTH 2011-two-stage 278402.","278402","Open Access","0.1288","0.6262","1","Silk fibroin","Silk fibroin","15",NA,NA,"",""
"10.1007/s00253-014-6128-2","dedup_wf_001::5dcf068090a038981787710f3d743bc4","Antimicrobial","Enzymatic synthesis of poly(catechin)-antibiotic conjugates : an antimicrobial approach for indwelling catheters","Gonçalves, Idalina","2015-01-01","Springer","publication","","","","Biofilm formation in urinary indwelling catheters is
			one of the most critical issues that patients face. Catheters
			were coated with poly(catechin)-antibiotic conjugates with
			enhanced antimicrobial properties. Catechin was conjugated
			with two antibiotics, namely trimethoprim (TMP) and sulfamethoxazole
			(SMZ) via activation with N,N′-disuccinimidyl
			carbonate (DSC) and subsequent coupling to molecules containing
			α-amine moieties. Silicone and polyurethane catheters
			were functionalized in situ through laccase oxidation of
			catechin-antibiotic conjugates. Four antimicrobial coatings
			were produced, namely with poly(catechin), poly(catechin)-
			TMP, poly(catechin)-SMZ and poly(catechin)-TMP-SMZ.
			The bacterial adhesion reduction was tested on the functionalized
			devices using gram-negative and gram-positive strains.
			The most significant reduction in adhesion was observed with
			poly(catechin)-TMP (gram-negative −85 % and grampositive
			−87 %) and with poly(catechin)-TMP-SMZ (gramnegative
			−85 % and gram-positive −91 %). The cytotoxicity
			to mammalian cells was tested by indirect contact for 5 days
			and revealed that all the tested coatings supported more than
			90 % of viable cells. A promising approach for the increase of
			the indwelling catheter lifespan was developed aiming to
			reduce catheter-associated chronic infections.
			The authors would like to acknowledge Pronefro (Portugal) and Degania (Israel) for supplying polyurethane and silicone catheters, respectively. The author Idalina Goncalves would like to acknowledge the NOVO project (FP7-HEALTH-2011.2.3.1-5) for funding. This work was partly supported by FEDER through POFC-COMPETE and by Portuguese funds from Fundacao para a Ciencia e a Tecnologia (FCT) through the project PEst-OE/BIA/UI4050/2014. The authors Carla Silva and Teresa Matama would like to acknowledge FCT for their scholarships SFRH/BPD/46515/2008 and SFRH/BPD/47555/2008.","SFRH/BPD/47555/2008","Open Access","0.2726","-0.148","12","Antimicrobial","Antimicrobial","6",NA,NA,"",""
"10.1007/s00253-015-6378-7","dedup_wf_001::12903eb8c591be3f72103eb0fd10d3f3",":Enginyeria química [Àrees temàtiques de la UPC]","Enzyme multilayer coatings inhibit Pseudomonas aeruginosa biofilm formation on urinary catheters","Ivanova, Kristina","2015-01-01","","publication","","Applied Microbiology and Biotechnology","","Bacteria use a signaling mechanism called quorum sensing (QS) to form complex communities of surface-attached cells known as biofilms. This protective mode of growth allows them to resist antibiotic treatment and originates the majority of hospital-acquired infections. Emerging alternatives to control biofilm-associated infections and multidrug resistance development interfere with bacterial QS pathways, exerting less selective pressure on bacterial population. In this study, biologically stable coatings comprising the QS disrupting enzyme acylase were built on silicone urinary catheters using a layer-by-layer technique. This was achieved by the alternate deposition of negatively charged enzyme and positively charged polyethylenimine. The acylase-coated catheters efficiently quenched the QS in the biosensor strain Chromobacterium violaceum CECT 5999, demonstrated by approximately 50 % inhibition of violacein production. These enzyme multilayer coatings significantly reduced the Pseudomonas aeruginosa ATCC 10145 biofilm formation under static and dynamic conditions in an in vitro catheterized bladder model. The quorum quenching enzyme coatings did not affect the viability of the human fibroblasts (BJ-5ta) over 7 days, corresponding to the extended useful life of urinary catheters. Such enzyme-based approach could be an alternative to the conventional antibiotic treatment for prevention of biofilm-associated urinary tract infections.
			Peer Reviewed","278402","Open Access","-0.0263","-0.5693","4","Urinary catheters","Urinary catheters","20","3","41","",""
"10.1007/s00253-015-6509-1","od_______307::49f83e4c83244b389be45a6ff0cde609","Antimicrobial","Antimicrobial lubricant formulations containing poly(hydroxybenzene)-trimethoprim conjugates synthesized by tyrosinase","Gonçalves, Idalina","2015-05-01","Springer","publication","","","","Poly(hydroxybenzene)-trimethoprim conjugates were prepared using methylparaben as substrate of the oxida- tive enzyme tyrosinase. MALDI-TOF MS analysis showed that the enzymatic oxidation of methylparaben alone leads to the poly(hydroxybenzene) formation. In the presence of tri- methoprim, the methylparaben tyrosinase oxidation leads poly(hydroxybenzene)-trimethoprim conjugates. All of these compounds were incorporated into lubricant hydroxyethyl cellulose/glycerol mixtures. Poly(hydroxybenzene)-trimetho- prim conjugates were the most effective phenolic structures against the bacterial growth reducing by 96 and 97 % of Escherichia coli and Staphylococcus epidermidis suspen- sions, respectively (after 24 h). A novel enzymatic strategy to produce antimicrobial poly(hydroxybenzene)-antibiotic conjugates is proposed here for a wide range of applications on the biomedical field.
			The authors Idalina Gonçalves and Cláudia
			Botelho would like to acknowledge the NOVO project (FP7-HEALTH-
			2011.2.3.1- 5) for funding. Loïc Hilliou acknowledges the financial support
			by FCT – Foundation for Science and Technology, Portugal
			(501100001871), through Grant PEst-C/CTM/LA0025/2013 - Strategic
			Project - LA 25 - 2013–2014, and by Programa Operacional Regional
			do Norte (ON.2) through the project BMatepro – Optimizing Materials
			and Processes^, with reference NORTE-07-0124-FEDER-000037
			FEDER COMPETE.","278402","Open Access","0.4662","0.2302","2","Antimicrobial","Antimicrobial","0",NA,NA,"",""
"10.1016/j.ijantimicag.2014.06.016","fp7_health__::4362c4536ed04c8add5c512550f5ea28","activities cellobiose;antibiofilm activities;antimicrobial antibiofilm","Preventing microbial colonisation of catheters: Antimicrobial and antibiofilm activities of cellobiose dehydrogenase","Thallinger, Barbara","2014-01-01","","publication","","International Journal of Antimicrobial Agents","","","278402","Closed Access","-0.3998","-0.5023","5","Activities cellobiose, Antibiofilm activities, Antimicrobial antibiofilm","Activities cellobiose, Antibiofilm activities, Antimicrobial antibiofilm","12","2","35","",""
"10.1016/j.reactfunctpolym.2013.01.004","dedup_wf_001::2bdc31de3878165bab7c43efd6e9714a","Antibacterial activity","Effect of thiol-functionalisation on chitosan antibacterial activity: Interaction with a bacterial membrane model","Fernandes, Margarida M.","2013-01-01","ELSEVIER SCIENCE BV","publication","","REACTIVE & FUNCTIONAL POLYMERS","","The antibacterial activity of chitosan modified with the thiol-containing 2-iminothiolane HCl (TC-IMI) and
			N-acetyl-
			L
			-cysteine (TC-NAC) was studied by Langmuir film balance technique using a dipalmitoylphos-
			phatidylglycerol (DPPG) monolayer bacterial membrane model. The interactions of the biopolymer with
			the membrane model were assessed by monitoring the differences in the shape of the compression iso-
			therms recorded in the absence and presence of chitosan and thiolated conjugates in the subphase. A low
			molecularweightchitosan(15 kDa)shiftedthecompressionisothermsofDPPGmonolayerstowardslarger
			areas (
			A
			0,CS
			= 145 Å
			2
			), confirming its membrane disturbance capacity. Further thiolation induced higher
			yield of expansion, more pronounced in the case of TC-IMI. The expansion of the monolayer increased sig-
			nificantly(
			A
			0,TC-NAC
			= 150 Å
			2
			vs
			A
			0,TC-IMI
			= 175 Å
			2
			)andtheelasticityatasurfacepressureof30 mN/m,typical
			for bio-membranes decreased to a greater extent
			C
			1
			s
			;
			30 TC
			NAC
			= 120 mN/m vs
			C
			1
			s
			;
			30 TC
			IMI
			= 87 mN/m) in
			presence of TC-IMI. Antibacterial tests against a Gram-negative
			Escherichia coli
			and a Gram-positive
			Staph-
			ylococcusaureus
			wereingoodagreementwiththesefindings,suggestingthatchitosanthiolatedwith2-imi-
			nothiolane HCl acts as a bactericide disrupting the integrity of the bacterial cell membrane","228730","Restricted","-0.5223","0.3588","9","Antibacterial activity","Antibacterial activity","18",NA,"21","",""
