"doi","id","subject","title","authors","year","publisher","resulttype","language","journal","url","paper_abstract","project_id","accessright","x","y","area_uri","cluster_labels","area","citation_count","cited_by_tweeters_count","readers.mendeley","readers","file_hash"
"","ec_fp7_ict__::f948ef2dc329ce0c64a8cdbc69fea12d","large hierarchical;phoneme recognition;recognition large","Phoneme recognition with large hierarchical reservoirs","#N/D","2010-01-01","","publication","","","","","231267","Closed Access","0.5223","0.36","1","Acoustic modeling, Acoustic models, Based acoustic","Acoustic modeling, Acoustic models, Based acoustic",NA,NA,NA,"",""
"","dedup_wf_001::70fee0868b57d2433e5621b91ff24292","System dynamics","Role of the frontal cortex in solving the exploration-exploitation trade-off","Khamassi, Mehdi","2010-08-06","HAL CCSD","publication","","","https://hal.archives-ouvertes.fr/hal-00553443/document","While many electrophysiological recordings and computational modeling work have investigated the role of the frontal cortex in reinforcement learning (learning by trial-and-error to adapt action values), it is not yet clear how the brain flexibly regulates in a task-appropriate way crucial parameters of learning such as the learning rate and the exploration rate. In a previous work, we proposed a computational model based on the meta-learning theoretical framework where the frontal cortex extracts feedback signals 1) to update action values based on a reward prediction error, 2) to estimate the level of exploration based on the current reward average, 3) to select action based on this exploration rate. This model helped us draw a set of experimental predictions. Here we show a model-based analysis of single-unit recordings in the monkey prefrontal cortex so as to test these predictions. We found neural subpopulations activities consistent with these three functions. We also found global properties of the recorded neural ensemble - such as variations in spatial selectivity - which were predicted by our model. Such an approach, gathering computational modeling and neurophysiology, can help understand complex activities of neural ensembles related to decision making.","231267","Open Access","-0.1225","-0.4658","6","Computational model, Reinforcement learning, Task monitoring","Computational model, Reinforcement learning, Task monitoring",NA,NA,NA,"",""
"","dedup_wf_001::80355a0235e3fb3162388c6e4185a130","reward","A Computational Model of Integration between Reinforcement Learning and Task Monitoring in the Prefrontal Cortex : Reinforcement Learning, Task Monitoring and the Prefrontal Cortex","Khamassi, Mehdi","2010-08-24","HAL CCSD","publication","","","http://www.hal.inserm.fr/inserm-00548868/document","International audience; Taking inspiration from neural principles of decision-makingis of particular interest to help improve adaptivity of artificial systems.Research at the crossroads of neuroscience and artificial intelligence in thelast decade has helped understanding how the brain organizes reinforcementlearning (RL) processes (the adaptation of decisions based on feedbackfrom the environment). The current challenge is now to understandhow the brain flexibly regulates parameters of RL such as the explorationrate based on the task structure, which is called meta-learning ([1]: Doya,2002). Here, we propose a computational mechanism of exploration regulationbased on real neurophysiological and behavioral data recorded inmonkey prefrontal cortex during a visuo-motor task involving a clear distinctionbetween exploratory and exploitative actions. We first fit trialby-trial choices made by the monkeys with an analytical reinforcementlearning model. We find that the model which has the highest likelihoodof predicting monkeys' choices reveals different exploration rates at differenttask phases. In addition, the optimized model has a very high learningrate, and a reset of action values associated to a cue used in the task tosignal condition changes. Beyond classical RL mechanisms, these resultssuggest that the monkey brain extracted task regularities to tune learningparameters in a task-appropriate way. We finally use these principles todevelop a neural network model extending a previous cortico-striatal loopmodel. In our prefrontal cortex component, prediction error signals are extractedto produce feedback categorization signals. The latter are used toboost exploration after errors, and to attenuate it during exploitation, ensuringa lock on the currently rewarded choice. This model performs thetask like monkeys, and provides a set of experimental predictions to betested by future neurophysiological recordings.","231267","Open Access","0.0194","-0.5879","6","Computational model, Reinforcement learning, Task monitoring","Computational model, Reinforcement learning, Task monitoring",NA,NA,NA,"",""
"","webcrawl____::018aba5af4421b546b38e6406c30d6d5","architectures large;large scale;learning architectures","Oger: Modular Learning Architectures For Large-Scale Sequential Processing","Verstraeten, David","2012-01-01","MICROTOME PUBL","publication","","JOURNAL OF MACHINE LEARNING RESEARCH","","","231267","Open Access","-0.5349","-0.5902","12","Architectures large, Large scale, Learning architectures","Architectures large, Large scale, Learning architectures",NA,NA,NA,"",""
"","od_______330::1b3be891629ee95fefa558db641864c6","Technology and Engineering","Connected digit recognition by means of Reservoir Computing","Jalalvand, Azarakhsh","2011-01-01","International Speech Communication Association (ISCA)","publication","","","","Most automatic speech recognition systems employ Hidden Markov Models with Gaussian mixture emission distributions to model the acoustics. There have been several attempts however to challenge this approach, e.g. by introducing a neural network (NN) as an alternative acoustic model. Although the performance of these so-called hybrid systems is actually quite good, their training is often problematic and time consuming.
			By using a reservoir – this is a recurrent NN with only the output weights being trainable – we can overcome this disadvantage and yet obtain good accuracy. In this paper, we propose the first reservoir-based connected digit recognition system, and we demonstrate good performance on the Aurora-2 testbed. Since RC is a new technology, we anticipate that our present system is still sub-optimal, and further improvements are possible.","231267","Restricted","0.4603","-0.0432","7","Digit recognition, Technology and engineering, Reservoir computing","Digit recognition, Technology and engineering, Reservoir computing",NA,NA,NA,"",""
"","dedup_wf_001::b690447180a3d6534243121e9bbd3a42","Cortical treatments","A three-layered cortical network encodes identity and abstract categorical structure of behavioral sequences as in the primate lateral prefrontal cortex","Hinaut, Xavier","2010-08-06","HAL CCSD","publication","","","https://hal.archives-ouvertes.fr/hal-00553435/document","Categorical encoding is crucial for mastering large bodies of related sensory experiences. Recent single-unit recording studies in the macaque prefrontal cortex have demonstrated two characteristic forms of neural encoding of the sequential structure of the animal's behaviour. One population of neurons encodes the specific behavioural sequences. A second population of neurons encodes the sequence category (e.g. ABAB, AABB or AAAA) and does not differentiate sequences within the category [1]. Interestingly these neurons are intermingled in the lateral prefrontal cortex, and not topographically segregated. Here we report on a neural network simulation study that reproduces and explains these results. We simulate a cortical circuit as three 5x5 layers (infra-granular, granular, and supra-granular) of leaky integrator neurons with a sigmoidal output function, and we examine 103 such circuits running in parallel. The model is presented with 11 4-element sequences following Shima et al. We isolated one subpopulation of neurons each of whose activity predicts individual sequences, and a second population that predicts category independent of the specific sequence. We argue that a richly interconnected cortical circuit is capable of internally generating a neural representation of category membership, thus significantly extending the scope of recurrent network computation.","231267","Open Access","0.2139","-0.6317","5","Abstract categorical structure, Behavioral sequences, Encodes identity","Abstract categorical structure, Behavioral sequences, Encodes identity",NA,NA,NA,"",""
"","od_______330::c8e28da3c1cddf199da55358d7a19054","Technology and Engineering","Phoneme recognition with large hierarchical reservoirs","Triefenbach, Fabian","2010-01-01","Neural Information Processing System Foundation","publication","","","","Automatic speech recognition has gradually improved over the years, but the reliable recognition of unconstrained speech is still not within reach. In order to achieve a breakthrough, many research groups are now investigating new methodologies that have potential to outperform the Hidden Markov Model technology that is at the core of all present commercial systems. In this paper, it is shown that the recently introduced concept of Reservoir Computing might form the basis of such a methodology. In a limited amount of time, a reservoir system that can recognize the elementary sounds of continuous speech has been built. The system already achieves a state-of-the-art performance, and there is evidence that the margin for further improvements is still significant.","231267","Restricted","0.5364","0.1715","7","Digit recognition, Technology and engineering, Reservoir computing","Digit recognition, Technology and engineering, Reservoir computing",NA,NA,NA,"",""
"","od_______330::5b951d1db3bc5880e78f6277b043a623","Reservoir Computing","Continuous digit recognition in noise: reservoirs can do an excellent job!","Jalalvand, Azarakhsh","2012-01-01","International Speech Communication Association (ISCA)","publication","","","","In this paper a formerly proposed continuous digit recognition system based on Reservoir Computing (RC) is improved in two respects: (1)the single reservoir is substituted by a stack of reservoirs, and (2)the straightforward mapping of reservoir outputs to state likelihoods is replaced by a trained non-parametric mapping. Furthermore, it is shown that a reservoir-based method can improve a model trained on clean speech to work better in a noisy condition from which it has a number of unknown digit string recordings available. The first two improvements have lead to a system that outperforms a HMM-based system with the same noise robust features as input. The model adaptation offers a promising supplementary gain at modest noise levels.","231267","Restricted","0.378","0.0772","7","Digit recognition, Technology and engineering, Reservoir computing","Digit recognition, Technology and engineering, Reservoir computing",NA,NA,NA,"",""
"10.1007/978-3-642-15193-4_40","ec_fp7_ict__::3be4ba8b63cd5147eba2c6953b1ac8fa"," computational;computational model;integration reinforcement","A computational model of integration between reinforcement learning and task monitoring in the prefrontal cortex","Khamassi M.","2010-01-01","","publication","","","","","231267","Closed Access","-0.0057","-0.3932","6","Computational model, Reinforcement learning, Task monitoring","Computational model, Reinforcement learning, Task monitoring",0,NA,NA,"",""
"10.1007/s00422-012-0516-4","dedup_wf_001::3018767c791d1728d627507d5bcf1e90","Department of Informatics","The role of feedback in morphological computation with compliant bodies","Hauser, Helmut","2012-01-01","Springer","publication","","","http://www.zora.uzh.ch/id/eprint/72784/1/Hauser_et_al_Role_of_feedback.pdf","The generation of robust periodic movements of complex nonlinear robotic systems is inherently difficult, especially, if parts of the robots are compliant. It has previously been proposed that complex nonlinear features of a robot, similarly as in biological organisms, might possibly facilitate its control. This bold hypothesis, commonly referred to as morphological computation, has recently received some theoretical support by Hauser et al. (Biol Cybern 105:355–370, doi:10.1007/s00422-012-0471-0, 2012). We show in this article that this theoretical support can be extended to cover not only the case of fading memory responses to external signals, but also the essential case of autonomous generation of adaptive periodic patterns, as, e.g., needed for locomotion. The theory predicts that feedback into the morphological computing system is necessary and sufficient for such tasks, for which a fading memory is insufficient. We demonstrate the viability of this theoretical analysis through computer simulations of complex nonlinear mass–spring systems that are trained to generate a large diversity of periodic movements by adapting the weights of a simple linear feedback device. Hence, the results of this article substantially enlarge the theoretically tractable application domain of morphological computation in robotics, and also provide new paradigms for understanding control principles of biological organisms.","248311","Open Access","-0.4296","0.25","4","Autonomous goal, Goal oriented, Internal models","Autonomous goal, Goal oriented, Internal models",24,"2","99","",""
"10.1007/s11063-013-9279-8","dedup_wf_001::9130a570854f9bcca69cefbc33f77503","Computationally efficient","Optimized Parameter Search for Large Datasets of the Regularization Parameter and Feature Selection for Ridge Regression","Buteneers, Pieter","2013-01-01","SPRINGER","publication","","NEURAL PROCESSING LETTERS","","In this paper we propose mathematical optimizations to select the optimal regularization parameter for ridge regression using cross-validation. The resulting algorithm is suited for large datasets and the computational cost does not depend on the size of the training set. We extend this algorithm to forward or backward feature selection in which the optimal regularization parameter is selected for each possible feature set. These feature selection algorithms yield solutions with a sparse weight matrix using a quadratic cost on the norm of the weights. A naive approach to optimizing the ridge regression parameter has a computational complexity of the order with the number of applied regularization parameters, the number of folds in the validation set, the number of input features and the number of data samples in the training set. Our implementation has a computational complexity of the order . This computational cost is smaller than that of regression without regularization for large datasets and is independent of the number of applied regularization parameters and the size of the training set. Combined with a feature selection algorithm the algorithm is of complexity and for forward and backward feature selection respectively, with the number of selected features and the number of removed features. This is an order faster than and for the naive implementation, with for large datasets. To show the performance and reduction in computational cost, we apply this technique to train recurrent neural networks using the reservoir computing approach, windowed ridge regression, least-squares support vector machines (LS-SVMs) in primal space using the fixed-size LS-SVM approximation and extreme learning machines.","231267","Open Access","-0.5203","-0.3551","4","Autonomous goal, Goal oriented, Internal models","Autonomous goal, Goal oriented, Internal models",7,NA,NA,"",""
