"doi","id","subject","title","authors","year","publisher","resulttype","language","journal","url","paper_abstract","project_id","accessright","x","y","area_uri","cluster_labels","area","cited_by_tweeters_count","readers.mendeley","citation_count","readers","file_hash"
"","dedup_wf_001::c9f45864749b72aaecf85fc33a513da6","Enzymology","Snapshots of Enzymatic Baeyer-Villiger Catalysis: OXYGEN ACTIVATION AND INTERMEDIATE STABILIZATION*","Orru, Roberto","2011-06-22","American Society for Biochemistry and Molecular Biology","publication","","","https://pure.rug.nl/ws/files/6766697/2011JBiolChemOrruwS.pdf","Baeyer-Villiger monooxygenases catalyze the oxidation of carbonylic substrates to ester or lactone products using NADPH as electron donor and molecular oxygen as oxidative reactant. Using protein engineering, kinetics, microspectrophotometry, crystallography, and intermediate analogs, we have captured several snapshots along the catalytic cycle which highlight key features in enzyme catalysis. After acting as electron donor, the enzyme-bound NADP(H) forms an H-bond with the flavin cofactor. This interaction is critical for stabilizing the oxygen-activating flavin-peroxide intermediate that results from the reaction of the reduced cofactor with oxygen. An essential active-site arginine acts as anchoring element for proper binding of the ketone substrate. Its positively charged guanidinium group can enhance the propensity of the substrate to undergo a nucleophilic attack by the flavin-peroxide intermediate. Furthermore, the arginine side chain, together with the NADP(+) ribose group, forms the niche that hosts the negatively charged Criegee intermediate that is generated upon reaction of the substrate with the flavin-peroxide. The fascinating ability of Baeyer-Villiger monooxygenases to catalyze a complex multistep catalytic reaction originates from concerted action of this Arg-NADP(H) pair and the flavin subsequently to promote flavin reduction, oxygen activation, tetrahedral intermediate formation, and product synthesis and release. The emerging picture is that these enzymes are mainly oxygen-activating and \"Criegee-stabilizing\" catalysts that act on any chemically suitable substrate that can diffuse into the active site, emphasizing their potential value as toolboxes for biocatalytic applications.","212281","Open Access","-0.078","0.394","5","Enzymology, Oxygen activation, Baeyer villiger","Enzymology, Oxygen activation, Baeyer villiger",NA,NA,NA,"",""
"","narcis______::5403695577fb57c3cb7cbc44350bcc1e","van;het;een","Redesign of Baeyer–Villiger Monooxygenases for Synthetic Applications","Dudek, Hanna M.","2013-01-01","s.n.","publication","","","https://pure.rug.nl/ws/files/2369169/00_title_and_contents.pdf","Herontwerpen van Baeyer–Villiger monooxygenases voor synthetische applicaties (korte samenvatting) In het veld van biokatalyse worden enzymen toegepast om chemische reacties te katalyseren, die kunnen leiden tot efficiëntere en milieuvriendelijkere processen. Tegenwoordig is het mogelijk om eigenschappen van enzymen aan te passen met behulp van “protein engineering” methodes. Het onderzoek dat beschreven wordt in dit proefschrift, focust zich voornamelijk op het modificeren van fenylaceton monooxygenase (PAMO), een enzym dat behoort tot de Baeyer–Villiger monooxygenase familie, tot een efficiëntere biokatalyst. Allereerst, is er geprobeerd om de coenzym en substraatspecificiteit aan te passen door plaats-gerichte mutagenese. Dit resulteerde in gematigde verbeteringen van de enzymeigenschappen, maar niettemin verbeterde het onze kennis over dit type enzymen. Door het beperkte succes van onze experimenten, hebben we de focus verlegd naar alternatieve methodes en hebben we gekozen voor het ontwikkelen van een activiteitsassay om mutant collecties te kunnen screenen. Deze nieuwe activiteitsassay is gebaseerd op het gebruik van een tweede enzym dat gekoppeld is aan de activiteit van PAMO en kon worden toegepast op het screenen van een grote hoeveelheid enzym varianten. Met behulp van gedetailleerde kennis over het actieve centrum van het enzym, het katalytisch mechanisme dat voortkomt uit structurele studies, modeleren, kinetische analyses en karakterisatie van varianten is het mogelijk geworden om banken te ontwerpen van hoge kwaliteit, terwijl efficiënte screeningsmethodes het mogelijk maken om verbeterde varianten te herkennen. Deze aanpak is succesvol gebleken voor PAMO en kan worden toegepast in het herontwerpen of aanpassen van andere (Baeyer–Villiger) monooxygenases, mede doordat de ontwikkelde screeningsmethode generiek is voor NADPH-verbruikende enzymen.","212281","Open Access","-0.5911","-0.3208","6","Het, Van, Baeyer villiger monooxygenases","Het, Van, Baeyer villiger monooxygenases",NA,NA,NA,"",""
"","webcrawl____::ce884f9abdba0cafbd51dae722c7afb6","a pichia;expression cytochrome; functional","First functional expression of cytochrome P450 3A4 in Pichia pastoris","Martina, Geier","2013-01-01","TEKNOSCIENZE PUBL","publication","","CHIMICA OGGI-CHEMISTRY TODAY","","","212281","Closed Access","0.3095","-0.5801","9","Comparative study, Double site, Drug metabolites","Comparative study, Double site, Drug metabolites",NA,NA,NA,"",""
"","narcis______::ece692b61be045d8ca779a194d7d4a71","van;het;zijn","Expanding the applicability of Baeyer-Villiger Monooxygenases","van Beek, Hugo","2014-01-01","[S.n.]","publication","","","https://pure.rug.nl/ws/files/14085991/Title_and_contents.pdf","In het proefschrift “Expanding the applicability of Baeyer-Villiger monooxygenases” wordt op verschillende manieren het gebruik van deze klasse van enzymen gemakkelijker gemaakt. Enzymen worden in toenemende mate gebruikt om puur chemische processen te vervangen. Door het stabiliseren van enzymen, het veranderen van enzymen zodat ze gewenste reacties kunnen katalyseren en door op andere manieren het gebruiken van enzymen toegankelijk te maken wordt een volgende stap richting industriele toepassingen gemaakt. De potentiele toepassingen van Baeyer-Villiger monooxygenases reiken van hoogwaardige farmaceutische producten zoals prazolen en modafinil tot bulkchemicalien die gebruikt worden als basis voor bijvoorbeeld Plexiglas. Voor al deze toepassingen zijn patenten toegekend. De grotere toepasbaarheid van deze enzymen is op verschillende manieren bereikt. Twee verschillende enzymen met elk verschillende goede eigenschappen zijn gekruist, om zo te komen tot een hybride-enzym dat van beide de goede eigenschappen heeft overgenomen. Ook is gebruikt gemaakt van de steeds toenemende mogelijkheden van computer-ontwerp om nieuwe eigenschappen te introduceren. Op basis van een model van het enzym zijn stabilizerende veranderingen berekend, die vervolgens succesvol zijn toegepast in het enzym. In het kader van de bio-based economy is samen met een aantal partners in een NWO gefinancieerd TASC project gewerkt aan het produceren van een bouwsteen voor kunstof (in dit geval plexiglas) op basis van hernieuwbare grondstoffen. Verschillende Baeyer-Villiger monooxygenases bleken in staat zijn de laatste stap in dit proces te katalyseren. Samenvattend heeft dit geleid tot verbeteringen die het gebruik van Baeyer-Villiger monooxygenases dichterbij brengen, en zijn methodes om deze verbeteringen te verkrijgen verder ontwikkeld.","212281","Open Access","-0.6537","-0.3117","6","Het, Van, Baeyer villiger monooxygenases","Het, Van, Baeyer villiger monooxygenases",NA,NA,NA,"",""
"10.1002/adsc.201200453","dedup_wf_001::c533a2705c7a23c4d6a2e580414cc095","catalysts selectivity;chiral catalysts;comparison chiral","Quantitative Comparison of Chiral Catalysts Selectivity and Performance: A Generic Concept Illustrated with Cyclododecanone Monooxygenase as Baeyer-Villiger Biocatalyst","Fink, Michael J.","2012-01-01","WILEY-V C H VERLAG GMBH","publication","","ADVANCED SYNTHESIS & CATALYSIS","","","212281","Closed Access","-0.5358","0.0569","8","Aroma compound, Baeyer villiger biocatalyst, Biocatalyst reveals","Aroma compound, Baeyer villiger biocatalyst, Biocatalyst reveals","1","14","24","",""
"10.1002/anie.201103348","dedup_wf_001::c99b87dc2ef8c3f75972b2299283aa6d","access enantiopure;catalyzed baeyer;dynamic kinetic","Dynamic Kinetic Resolution of α-Substituted β-Ketoesters Catalyzed by Baeyer-Villiger Monooxygenases: Access to Enantiopure α-Hydroxy Esters","Rioz-Martínez, Ana","2011-01-01","","publication","","Angewandte Chemie International Edition","","","212281","Open Access","-0.4678","0.5485","3","Α alkyl, Baeyer villiger monooxygenases, Alkyl benzylesters","Α alkyl, Baeyer villiger monooxygenases, Alkyl benzylesters","2","35","24","",""
"10.1002/anie.201303986","webcrawl____::aba1fd455e247511b93fd951f095bf43","benzenes p;hydroxylation monosubstituted;monosubstituted benzenes","Regioselective o-Hydroxylation of Monosubstituted Benzenes by P450 BM3","Dennig, Alexander","2013-01-01","WILEY-V C H VERLAG GMBH","publication","","ANGEWANDTE CHEMIE-INTERNATIONAL EDITION","","","212281","Closed Access","0.3603","-0.6652","12","Monosubstituted benzenes, Xylene hydroxylase","Monosubstituted benzenes, Xylene hydroxylase","1","45","38","",""
"10.1002/biot.201200187","dedup_wf_001::8f6a41ff3112c54a64203b55469c04fc","comparative study;d drug;drug metabolites","Production of human cytochrome P450 2D6 drug metabolites with recombinant microbes - a comparative study","Geier, Martina","2012-01-01","WILEY-BLACKWELL","publication","","Biotechnology Journal","","","212281","Closed Access","0.0948","-0.6899","9","Comparative study, Double site, Drug metabolites","Comparative study, Double site, Drug metabolites",NA,NA,"19","",""
"10.1002/cbic.201000395","dedup_wf_001::314ce99f9b5327e0e48b46485dc3a561","biocatalytic;bvmos;catalyzing","Recent Developments in the Application of Baeyer–Villiger Monooxygenases as Biocatalysts","Gonzalo, Gonzalo de","2010-01-01","","publication","","ChemBioChem","https://pure.rug.nl/ws/files/2574218/2010ChemBioChemdeGonzalo.pdf","Baeyer–Villiger monooxygenases (BVMOs) represent a specific class of monooxygenases that are capable of catalyzing a variety of oxidation reactions, including Baeyer–Villiger oxidations. The recently elucidated BVMO crystal structures have provided a more detailed insight into the complex mechanism of these flavin-containing enzymes. Biocatalytic studies on a number of newly discovered BVMOs have shown that they are very potent oxidative biocatalysts. In addition to catalyzing the regio- and enantioselective Baeyer–Villiger oxidations of a wide range of carbonylic compounds, epoxidations, and enantioselective sulfoxidations have also been shown to be part of their catalytic repertoire. This review provides an overview on the recent developments in BVMO-mediated biocatalytic processes, identification of the catalytic role of these enzymes in metabolic routes and prodrug activation, as well as the efforts in developing effective biocatalytic methodologies to apply BVMOs for the synthesis of high added value compounds.","212281","Open Access","-0.2133","0.1241","14","Cyclohexanone monooxygenase, Degrading polaromonas, Enantioselective oxidation","Cyclohexanone monooxygenase, Degrading polaromonas, Enantioselective oxidation",NA,NA,"115","",""
"10.1002/cbic.201100010","fp7_kbbe____::79c56a0c96f7ffcd12f2767f5bfed274","unobtainable eppcr;generates protein;ii generates","SeSaM-Tv-II Generates a Protein Sequence Space that is Unobtainable by epPCR","Mundhada, Hemanshu","2011-01-01","","publication","","ChemBioChem","","","212281","Closed Access","0.2365","0.72","11","Biofuel cell, Cell design, Histidine tagged","Biofuel cell, Cell design, Histidine tagged",NA,"50","17","",""
