"doi","id","subject","title","authors","year","publisher","resulttype","language","journal","url","paper_abstract","project_id","accessright","x","y","area_uri","cluster_labels","area","citation_count","cited_by_tweeters_count","readers.mendeley","readers","file_hash"
"10.1002/biot.201500544/abstract","od______3665::b026e8fae2a1c8cad5f59a64872f4458","polyesters; functionalization; smart materials; biocatalysis; hydrolitic enzymes","Exploring mild enzymatic sustainable routes for the synthesis of bio-degradable aromatic-aliphatic oligoesters","Pellis, Alessandro","2016-01-01","","publication","","","","","289253","Restricted","-0.5918","0.062","7","Functionalization, Hydrolitic enzymes, Smart materials","Functionalization, Hydrolitic enzymes, Smart materials","",NA,NA,"",""
"10.1002/pi.5087/abstract","od______3665::929cc21fc1ac1e1905bbae4a6070326d","polyesters; green chemistry; biocatalysis; bio-based chemistry; bioeconomy","Renewable building blocks for sustainable polyesters: new biotechnological routes for greener plastics","Pellis, Alessandro","2016-01-01","","publication","","","","","289253","Closed Access","-0.4614","-0.1497","6","Bio-based chemistry, Biocatalysis, Polyesters","Bio-based chemistry, Biocatalysis, Polyesters","",NA,NA,"",""
"10.1016/j.eurpolymj.2014.12.025","narcis______::e252128c6b61efd7fca00623830e1313","based hydroxy;coating sorbitol;evaluation coating","Enzymatic synthesis and preliminary evaluation as coating of sorbitol-based, hydroxy-functional polyesters with controlled molecular weights","Gustini, L Liliana","2015-01-01","","publication","","","https://pure.tue.nl/ws/files/3910117/897220855726406.pdf","","289253","Open Access","-0.0866","0.5874","9","Based hydroxy, Coating sorbitol, Evaluation coating","Based hydroxy, Coating sorbitol, Evaluation coating","17",NA,NA,"",""
"10.1016/j.polymer.2015.05.026","core_ac_uk__::197899cde3773dd334f10d9bbd51c040","pressure;viscosity;effects","High-pressure rheological analysis of CO2-induced melting point depression and viscosity reduction of poly(ε-caprolactone)","Curia, Silvio","2015-07-09","Elsevier","publication","","","http://eprints.nottingham.ac.uk/45413/1/curia_polymer2015_preprint.pdf","High-pressure rheology has been used to assess the effects of supercritical carbon dioxide (scCO2) on the melting point (Tm) and viscosity of poly (ε-caprolactone) (PCL) over a range of temperatures and pressures up to 300 bar over a wide range of shear rates. Plots of the storage and loss moduli against temperature show a significant shift of Tm to lower temperatures in the presence of CO2, indicating that the polymer crystals melt at temperatures much lower than the ambient pressure Tm. Furthermore, a significant decrease in the viscosity of two PCL grades with different molecular weight (Mn ~ 10 kDa and 80 kDa) was also detected upon increasing the CO2 pressure to 300 bar. Experimental viscosity data were fitted to the Carreau model to quantify the extent of the plasticising effects on the zero-shear viscosity and relaxation time under different conditions. Similar analyses were conducted under high-pressure nitrogen, to compare the effects obtained in the presence of a non-plasticising gas.","289253","Open Access","0.6848","-0.0928","2","Effects, Pressure, Viscosity","Effects, Pressure, Viscosity","12","2","17","",""
"10.1016/j.supflu.2014.01.012","webcrawl____::2b7830a745a89c57e0eb7d91f7a7add2","co viscosity; effect;effect co","The effect of CO2 on the viscosity of polystyrene/limonene solutions","Gutierrez, C.","2014-01-01","ELSEVIER SCIENCE BV","publication","","JOURNAL OF SUPERCRITICAL FLUIDS","","","289253","Closed Access","0.6514","0.3066","10","Co viscosity, Effect co","Co viscosity, Effect co","6",NA,NA,"",""
"10.1016/j.tibtech.2015.12.009","od______3665::7b48ef0776492a5f73d8b3317288d5e2","polyesters; green-chemistry; biocatalysis; bio-based chemistry; polycondensation","The Closure of the Cycle: Enzymatic Synthesis and Functionalization of Bio-Based Polyesters","Pellis, Alessandro","2016-01-01","","publication","","","","","289253","Closed Access","-0.4177","0.197","6","Bio-based chemistry, Biocatalysis, Polyesters","Bio-based chemistry, Biocatalysis, Polyesters","36",NA,NA,"",""
"10.1021/ma5020462","narcis______::7b3681a93c3ebea6ee094bfe4594ff17","ComputingMilieux_LEGALASPECTSOFCOMPUTING","Facile synthesis of fluorescent latex nanoparticles with selective binding properties using amphiphilic glycosylated polypeptide surfactants","Jacobs, JJ Jaco","2014-01-01","","publication","","","https://pure.tue.nl/ws/files/3858529/905071786615815.pdf","","289253","Open Access","0.3256","0.5847","11","Computingmilieux legalaspectsofcomputing","Computingmilieux legalaspectsofcomputing","12",NA,NA,"",""
"10.1039/c5cy01746g","od______3665::d7fc07cf362ec86cfb54bd7552cf73c3","cutinase; polyesters; polycondensation; biocatalysis; bio-based polymers; molecular modeling","Enlarging the tools for efficient enzymatic polycondensation: structural and catalytic features of cutinase 1 from Thermobifida cellulosilytica","Pellis, Alessandro","2016-01-01","","publication","","","","","289253","Restricted","-0.4077","0.4178","3","Bio-based polymers, Cutinase, Molecular modeling","Bio-based polymers, Cutinase, Molecular modeling","13",NA,NA,"",""
"10.1039/c6gc00745g","dedup_wf_001::4b9a9ff2447724d592b8c88911d09926","branched poly;compounds;purification","Controlled polymerisation and purification \ud of branched poly(lactic acid) surfactants in supercritical carbon dioxide","Goddard, Amy R.","2016-06-06","Royal Society of Chemistry","publication","","","http://eprints.nottingham.ac.uk/34636/1/C6GC00745G%20Goddard.pdf","Product degradability, sustainability and low-toxicity are driving demand for the synthesis of biobased polymers and surfactants. Here we report the synthesis of novel surface active polymers using cyclic esters (D,L-lactide) and temperature sensitive polyols (D-sorbitol) as renewable building blocks. We highlight the modification of chain length and degree of branching to provide a route to tailoring the properties and application performance of these new compounds. High processing temperatures (≥180 °C) and harsh post-reaction treatments are often needed to remove residual monomer and catalysts and these can become barriers to creating materials based on renewable resources. Here we exploit supercritical carbon dioxide (scCO2) as a green solvent to overcome these challenges; significantly reducing reaction temperatures, targeting controlled molecular weights with narrow dispersities and reducing sideproduct formation. Additionally in the same pot, we can use supercritical extraction to purify the compounds and to efficiently remove unreacted reagents, which could be recovered and recycled. We believe that our approach to the production and purification of these novel branched poly(lactides) is a significant step towards the development of the next generation of biopolymers and green surfactants, combining both the use of bio-sourced raw materials and the potential to use sustainable, low energy processes and techniques.","289253","Open Access","0.3516","-0.4502","1","Branched poly, Compounds, Purification","Branched poly, Compounds, Purification","2","3","14","",""
"10.1039/c6py00066e","dedup_wf_001::a8994cfd5cda852730b55925185dbf41","based amphiphilic;copolymers scco;polymeric","Towards sustainable polymeric nano-carriers and surfactants: facile low temperature enzymatic synthesis of bio-based amphiphilic copolymers in scCO2","Curia, Silvio","2016-02-22","Royal Society of Chemistry","publication","","","http://eprints.nottingham.ac.uk/31958/1/MPEG-PHAz%20paper%20revised%20v2.pdf","We demonstrate that useful bio-based amphiphilic polymers can be produced enzymatically at a mild temperature, in a solvent-free system and using renewably sourced monomers, by exploiting the unique properties of supercritical CO2 (scCO2). We present the use of a novel near-ambient temperature approach to prepare renewable amphiphilic ABA copolymers in scCO2. Bio-based commercially available monomers have been polymerised to prepare chains with targeted molecular weight. The amphiphilic materials were prepared by end-capping the synthesised polymers with methoxy poly(ethylene glycol) (MPEG) chains in a one-pot high pressure reaction utilising Candida Antarctica Lipase B (CaLB) as a catalyst at a temperature as low as 35 °C. The block copolymers are characterised by 1H-NMR, GPC and DSC in order to carefully assess their structural and thermal properties. These polymers form self-assembled aggregates in aqueous environment and these nanostructures are studied through DLS, TEM and UV-Vis. Highly hydrophobic Coumarin-6 was used as a model to prove dispersion in water of lipophilic molecules. Maximum bubble pressure tests demonstrate the reduction in surface tension of these polymers and comparisons are made directly to commercial polymeric non-ionic surfactants.","289253","Open Access","0.2462","-0.0684","4","Based amphiphilic","Based amphiphilic","3","2","15","",""
