"doi","id","subject","title","authors","year","publisher","resulttype","language","journal","url","paper_abstract","project_id","accessright","x","y","area_uri","cluster_labels","area","citation_count","cited_by_tweeters_count","readers.mendeley","readers","file_hash"
"","core_ac_uk__::06f901236759e13cf9ee3cf34501d8da","ComputingMilieux_COMPUTERSANDEDUCATION","Why not empower knowledge workers and lifelong learners to develop their own environments?","Wild, Fridolin","2009-01-01","","publication","","","http://oro.open.ac.uk/24978/1/10.1.1.158.4011%5B1%5D.pdf","In industrial and educational practice, learning environments are designed and implemented by experts from many different fields, reaching from traditional software development and product management to pedagogy and didactics. Workplace and lifelong learning, however, implicate that learners are more self-motivated, capable, and self-confident in achieving their goals and, consequently, tempt to consider that certain development tasks can be shifted to end-users in order to facilitate a more flexible, open, and responsive learning environment. With respect to streams like end-user development and opportunistic design, this paper elaborates a methodology for user-driven environment design for action-based activities. Based on a former research approach named 'Mash-Up Personal Learning Environments'(MUPPLE) we demonstrate how workplace and lifelong learners can be empowered to develop their own environment for collaborating in learner networks and which prerequisites and support facilities are necessary for this methodology.","231396","Open Access","0.4351","0.0344","3","Personal learning environments, Informal learning, Regulated learning","Personal learning environments, Informal learning, Regulated learning",NA,NA,NA,"",""
"","core_ac_uk__::499d76131c35c60fac50d497124582a9","widgets;cloud;role","Cloud services, interoperability and analytics within a ROLE-enabled personal learning environment","Rizzardini, Rocael Hernandez","2013-01-01","","publication","","","http://oro.open.ac.uk/39235/1/jucs_19_14_2054_2074_rizzardini.pdf","The ROLE project (Responsive Open Learning Environments, EU 7th Framework Programme, grant agreement no.: 231396, 2009-2013) was focused on the next generation of Personal Learning Environments (PLEs). A ROLE PLE is a bundle of interoperating widgets - often realised as cloud services - used for teaching and learning. In this paper, we first describe the creation of new ROLE widgets and widget bundles at Galileo University, Guatemala, within a cloud-based infrastructure. We introduce an initial architecture for cloud interoperability services including the means for collecting interaction data as needed for learning analytics. Furthermore, we describe the newly implemented widgets, namely a social networking tool, a mind-mapping tool and an online document editor, as well as the modification of existing widgets. The newly created and modified widgets have been combined in two different bundles that have been evaluated in two web-based courses at Galileo University, with participants from three different Latin-American countries. We measured emotional aspects, motivation, usability and attitudes towards the environment. The results demonstrated the readiness of cloud-based education solutions, and how ROLE can bring together such an environment from a PLE perspective.","231396","Open Access","0.0913","0.0408","4","Personal learning environments, Cloud services interoperability, Enabled personal learning","Personal learning environments, Cloud services interoperability, Enabled personal learning",NA,NA,NA,"",""
"","dedup_wf_001::2350b73a67e337fede9ef4b2e2b48ca2","acceptance widget;evaluation students;students teachers","Evaluation on Students' and Teachers' Acceptance of Widget- and Cloud-based Personal Learning Environments","Kroop, Sylvana","2013-01-01","GRAZ UNIV TECHNOLGOY, INST INFORMATION SYSTEMS COMPUTER MEDIA-IICM","publication","","JOURNAL OF UNIVERSAL COMPUTER SCIENCE","","","231396","Closed Access","0.3564","0.2814","4","Personal learning environments, Cloud services interoperability, Enabled personal learning","Personal learning environments, Cloud services interoperability, Enabled personal learning",NA,NA,NA,"",""
"","dedup_wf_001::60b9a0b476da8cfa612291586f7333a4","Technology Enhanced Learning","Tackling engineering education research challenges: Web 2.0 social software for personal learning","#N/D","2010-01-01","","publication","","","","This paper focuses on Engineering Education Research on Technology  Enhanced Learning carried out at the Swiss Federal Institute of Technology in  Lausanne (EPFL), and on its current focus on personal and collaborative  learning. After some thoughts on the distinctive nature of Engineering  Education Research, the interplay between engineering education practice  and professional engineering practice is analyzed. In particular, it is  demonstrated how the actual engineering practice of the faculty members  influenced the acceptance and the success of new learning approaches and  solutions. Finally, the impact on the current Web 2.0 paradigm is discussed  and illustrated with the example of project-based collaborative learning  activities supported by innovative social software that can be considered as a  Personal Learning Environment. A vision of how to shape and exploit personal  learning environments to tackle engineering education research challenges is  also presented; this deals especially with the importance of user-driven  recommendation mechanisms relying of proper trust models.","231396","Open Access","0.1915","0.0379","3","Personal learning environments, Informal learning, Regulated learning","Personal learning environments, Informal learning, Regulated learning",NA,NA,NA,"",""
"","dedup_wf_001::a7a2df4492d184a2db9eae59a1746e4d","role;project;research","Responsive Open Learning Environments: Outcomes of Research from the ROLE Project","","2015-01-01","Springer International Publishing","publication","","","http://oro.open.ac.uk/43410/1/Responsive%20Open%20Learning%20Environments.pdf","This book presents the outcomes of four years of educational research in the EU-supported project called ROLE (Responsive Online Learning Environments). ROLE technology is centered around the concept of self-regulated learning that creates responsible learners, who are capable of critical thinking and able to plan their own learning processes. ROLE allows learners to independently search for appropriate learning resources and then reflect on their own learning process and progress. To accomplish this, ROLE´s main objective is to support the development of open personal learning environments (PLE's). ROLE provides a framework consisting of “enabler spaces” on the one hand and tools, content, and services on the other. Utilizing this framework, learners are invited to create their own controlled and preferred learning environments to trigger and motivate self-regulated learning.\ud \ud Authors of this book are researchers, developers and teachers who have worked in the ROLE project and belong to the ROLE partner consortium consisting of 16 internationally renowned research institutions, including those from 6 EU countries and China. Chapters include numerous practical tutorials to guide the reader in creating innovative and useful learning widgets and present the best practices for the development of PLE's.","231396","Open Access","0.1676","-0.1339","3","Personal learning environments, Informal learning, Regulated learning","Personal learning environments, Informal learning, Regulated learning",NA,NA,NA,"",""
"","ec_fp7_ict__::0d063961c3c628997e5391cd89dd1868","analytics role;cloud services;enabled personal","Cloud services, interoperability and analytics within a role-enabled personal learning environment","#N/D","2013-01-01","","publication","","","","","231396","Closed Access","0.5671","0.0648","4","Personal learning environments, Cloud services interoperability, Enabled personal learning","Personal learning environments, Cloud services interoperability, Enabled personal learning",NA,NA,NA,"",""
"","ec_fp7_ict__::82c7304bc5d38e668a2fac4a47f8fbbb","a personalized;based recommender;contextual relation","The 3a personalized, contextual and relation-based recommender system","#N/D","2010-01-01","","publication","","","","","231396","Closed Access","0.4461","0.5831","8","Contextualized attention metadata, Analysing contextualized, Analyzing contextualized","Contextualized attention metadata, Analysing contextualized, Analyzing contextualized",NA,NA,NA,"",""
"","dedup_wf_001::f06433b616c7949721a512f8534c291c","Personalization","Personalised Learning Spaces and Federated Online Labs for STEM Education at School : Supporting Teacher Communities and Inquiry Learning","Gillet, Denis","2013-03-13","HAL CCSD","publication","","","https://telearn.archives-ouvertes.fr/hal-00990317/document","The European Commission is funding a large-scale research project on federated online laboratories (Labs) for education in Science, Technology, Engineering, and Mathematics (STEM) at School. The main educational focus is on inquiry learning and the main technological one is on personalized learning spaces. The learning spaces are offered through a single European social media portal supporting simultaneously teacher communities and student learning activities. This paper presents the general technical framework devised to support the construction and the exploitation of learning spaces, as well as the federation of online labs.","231396","Open Access","0.063","-0.1387","3","Personal learning environments, Informal learning, Regulated learning","Personal learning environments, Informal learning, Regulated learning",NA,NA,NA,"",""
"","ec_fp7_ict__::4138982847cb0de9991f3cb76ad4ec04","ple usage;visualizing ple","Visualizing PLE usage","#N/D","2011-01-01","","publication","","","","","231396","Closed Access","-0.4563","-0.5714","7","Adobe flash, Bartering platform, Based screencast","Adobe flash, Bartering platform, Based screencast",NA,NA,NA,"",""
"","ec_fp7_ict__::bcd57ed77f23585407b7bd0fa2d0f24f","early results;experiments responsive;results experiments","Early results of experiments with responsive open learning environments","#N/D","2011-01-01","","publication","","","","","231396","Closed Access","0.2377","-0.4797","2","Environments design, Identifying requirements, Learning experiences","Environments design, Identifying requirements, Learning experiences",NA,NA,NA,"",""
