"doi","id","subject","title","authors","year","publisher","resulttype","language","journal","url","paper_abstract","project_id","accessright","x","y","area_uri","cluster_labels","area","citation_count","cited_by_tweeters_count","readers.mendeley","readers","file_hash"
"","dedup_wf_001::244c12a819ce9ddaeaa3cd7649b54302","[SDV.NEU] Life Sciences [q-bio]/Neurons and Cognition [q-bio.NC]","Hierarchical order in the cortex.","Vezoli, Julien","2010-08-06","HAL CCSD","publication","","","https://hal.archives-ouvertes.fr/hal-00553406/document","Strong regularities of early visual areas interconnections led to the suggestion that rostral directed connections are feedforward (FF) pathways channelling information from lower to higher order areas, while caudal directed connections constitute feedback (FB) pathways (Rockland and Pandya, 1979). Analysis of these pathways in primate enabled the identification of a hierarchical organization (Felleman and Van Essen, 1991), providing a major conceptual framework for understanding structure-function relationships of the cortex. Because previous description of cortical topology have been restricted to binary connectivity leading to strong indeterminacy (Hilgetag et al., 1996), we re-examined network description of cortex structure by making retrograde tracer injections in areas spanning all cortical lobes. We used quantitative tools to estimate hierarchical distance and relative weights of connections (Barone et al., 2000, Vezoli et al., 2004) and used computational modeling analysis to analyse the underlying hierarchical structure of cortical networks. Comparing weighted and unweighted analyses, we demonstrated a significant hierarchical tendency in the pattern of laminar relations between cortical areas. Further, we evidenced a highly parallel system with high degree of reciprocity and found that rare pairs of areas are reciprocally connected by FF connections, constituting unexpected descending paths (Crick and Koch, 1998) in an otherwise surprisingly hierarchical system of cortical areas.","216593","Open Access","-0.2871","0.5879","7","[sdv.neu] life sciences [q-bio]/neurons and cognition [q-bio.nc], Cortical networks","[sdv.neu] life sciences [q-bio]/neurons and cognition [q-bio.nc], Cortical networks",NA,NA,NA,"",""
"","ec_fp7_ict__::aec98c8d8c6f8ee1705b410b2c9b7c4d","cortex explained;explained reward;functional network","Functional network reorganization in motor cortex can be explained by reward-modulated Hebbian learning","#N/D","2009-01-01","","publication","","","","","216593","Closed Access","0.2612","-0.5049","8","Modulated hebbian learning, Reward modulated hebbian, Decision making","Modulated hebbian learning, Reward modulated hebbian, Decision making",NA,NA,NA,"",""
"","ec_fp7_ict__::e5fc1acfb5538ebbae7cc2d927616937","analysis spiking;classification learning;feature analysis","Replacing supervised classification learning by slow feature analysis in spiking neural networks","#N/D","2009-01-01","","publication","","","","","216593","Closed Access","0.3484","-0.4231","3","Classification learning, Emergent pattern, Feature analysis","Classification learning, Emergent pattern, Feature analysis",NA,NA,NA,"",""
"","ec_fp7_ict__::86e8658ac80fd3f464f5f7843b9cc6ca","detect hidden;enables spiking;hidden inputs","STDP enables spiking neurons to detect hidden causes of their inputs","#N/D","2009-01-01","","publication","","","","","216593","Closed Access","-0.1351","-0.6952","10","Spiking neurons, Computation in recurrent, Detect hidden","Spiking neurons, Computation in recurrent, Detect hidden",NA,NA,NA,"",""
"10.1002/cne.23820","od_______908::333827f30abf7dc34fe91a21901a0749","cell lineages","Unsupervised lineage?based characterization of primate precursors reveals high proliferative and morphological diversity in the OSVZ","Pfeiffer, Michael","2015-07-01","John Wiley and Sons Inc.","publication","","The Journal of Comparative Neurology","","ABSTRACT Generation of the primate cortex is characterized by the diversity of cortical precursors and the complexity of their lineage relationships. Recent studies have reported miscellaneous precursor types based on observer classification of cell biology features including morphology, stemness, and proliferative behavior. Here we use an unsupervised machine learning method for Hidden Markov Trees (HMTs), which can be applied to large datasets to classify precursors on the basis of morphology, cell?cycle length, and behavior during mitosis. The unbiased lineage analysis automatically identifies cell types by applying a lineage?based clustering and model?learning algorithm to a macaque corticogenesis dataset. The algorithmic results validate previously reported observer classification of precursor types and show numerous advantages: It predicts a higher diversity of progenitors and numerous potential transitions between precursor types. The HMT model can be initialized to learn a user?defined number of distinct classes of precursors. This makes it possible to 1) reveal as yet undetected precursor types in view of exploring the significant features of precursors with respect to specific cellular processes; and 2) explore specific lineage features. For example, most precursors in the experimental dataset exhibit bidirectional transitions. Constraining the directionality in the HMT model leads to a reduction in precursor diversity following multiple divisions, thereby suggesting that one impact of bidirectionality in corticogenesis is to maintain precursor diversity. In this way we show that unsupervised lineage analysis provides a valuable methodology for investigating fundamental features of corticogenesis. J. Comp. Neurol. 524:535?563, 2016. ? 2015 The Authors The Journal of Comparative Neurology Published by Wiley Periodicals, Inc.","216593","Open Access","0.5345","0.1527","11","Lineage based characterization, Cell lineages, Characterization of primate","Lineage based characterization, Cell lineages, Characterization of primate","5",NA,NA,"",""
"10.1007/978-3-642-15822-3_50","ec_fp7_ict__::707b1e4003ac41240d2714b9da24dee3","basis translation;translation invariance;mappings basis","Self-organization of steerable topographic mappings as basis for translation invariance","Zhu J.","2010-01-01","","publication","","","","","216593","Closed Access","0.7253","0.3498","9","Bilinear networks, Invariant recognition, Translation invariance","Bilinear networks, Invariant recognition, Translation invariance","3",NA,NA,"",""
"10.1007/s00422-012-0471-0","dedup_wf_001::2ad8666c918f5326da34a8d930118de2","Department of Informatics","Towards a theoretical foundation for morphological computation with compliant bodies","Hauser, Helmut","2011-01-01","SPRINGER","publication","","BIOLOGICAL CYBERNETICS","http://www.zora.uzh.ch/id/eprint/72786/1/Hauser_et_al_Towards_theoretical_foundation.pdf","The control of compliant robots is, due to their often nonlinear and complex dynamics, inherently difficult. The vision of morphological computation proposes to view these aspects not only as problems, but rather also as parts of the solution. Non-rigid body parts are not seen anymore as imperfect realizations of rigid body parts, but rather as potential computational resources. The applicability of this vision has already been demonstrated for a variety of complex robot control problems. Nevertheless, a theoretical basis for understanding the capabilities and limitations of morphological computation has been missing so far. We present a model for morphological computation with compliant bodies, where a precise mathematical characterization of the potential computational contribution of a complex physical body is feasible. The theory suggests that complexity and nonlinearity, typically unwanted properties of robots, are desired features in order to provide computational power. We demonstrate that simple generic models of physical bodies, based on mass-spring systems, can be used to implement complex nonlinear operators. By adding a simple readout (which is static and linear) to the morphology such devices are able to emulate complex mappings of input to output streams in continuous time. Hence, by outsourcing parts of the computation to the physical body, the difficult problem of learning to control a complex body, could be reduced to a simple and perspicuous learning task, which can not get stuck in local minima of an error function.","248311","Open Access","-0.6357","-0.3569","10","Spiking neurons, Computation in recurrent, Detect hidden","Spiking neurons, Computation in recurrent, Detect hidden","69","3","94","",""
"10.1007/s00429-017-1384-4","dedup_wf_001::d7e535f4cdcb23034f94fc5953c44567","Original Article","Synaptic connections formed by patchy projections of pyramidal cells in the superficial layers of cat visual cortex","Koestinger, German","2017-02-01","Springer Berlin Heidelberg","publication","","Brain Structure & Function","","The present study is the first to describe quantitatively the patterns of synaptic connections made by the patchy network of pyramidal cell axons in the superficial layers of cat V1 in relation to the orientation map. Intrinsic signal imaging of the orientation map was combined with 3D morphological reconstructions of physiologically-characterized neurons at light and electron microscope levels. A Similarity Index (SI) expressed the similarity of the orientation domain of a given bouton cluster to that of its parent dendritic tree. Six pyramidal cells whose axons had a wide range of SIs were examined. Boutons were sampled from five local and five distal clusters, and from the linear segments that link the clusters. The synaptic targets were reconstructed by serial section electron microscopy. Of the 233 synapses examined, 182 synapses were formed with spiny neurons, the remainder with smooth neurons. The proportion of smooth neurons that were synaptic targets varied greatly (from 0 to 50%) between the cluster samples, but was not correlated with the SI. The postsynaptic density sizes were similar for synapses in local and distal clusters, regardless of their SI. This heterogeneity in the synaptic targets of single cells within the superficial layers is a network feature well-suited for context-dependent processing.","216593","Open Access","-0.5391","0.1383","1","Visual cortex, Pyramidal cells","Visual cortex, Pyramidal cells","2",NA,NA,"",""
"10.1016/b978-0-444-53860-4.00016-7","dedup_wf_001::44f9391fa6ede3897c2c4eed59bd1d8c","[SDV.NEU.NB] Life Sciences [q-bio]/Neurons and Cognition [q-bio.NC]/Neurobiology","Self-organization and interareal networks in the primate cortex.","Kennedy, Henry","2012-01-01","HAL CCSD","publication","","","https://hal.archives-ouvertes.fr/hal-00663248/document","International audience; Variability of gene expression of cortical precursors may partially reflect the operation of the gene regulatory network and determines the boundaries of the state space within which self-organization of the cortex can unfold. In primates, including humans, the outer subventricular zone, a primate-specific germinal zone, generates a large contingent of the projection neurons participating in the interareal network. The number of projection neurons in individual pathways largely determines the network properties as well as the hierarchical organization of the cortex. Mathematical modeling of cell-cycle kinetics of cortical precursors in the germinal zones reveals how multiple control loops ensure the generation of precise numbers of different categories of projection neurons and allow partial simulation of cortical self-organization. We show that molecular manipulation of the cell cycle of cortical precursors shifts the trajectory of the cortical precursor within its state space, increases the diversity in the cortical lineage tree, and explores changes in phylogenetic complexity. These results explore how self-organization underlies the complexity of the cortex and suggest evolutionary mechanisms.","216593","Open Access","0.0958","0.3057","11","Lineage based characterization, Cell lineages, Characterization of primate","Lineage based characterization, Cell lineages, Characterization of primate","10",NA,NA,"",""
"10.1016/j.celrep.2013.12.026","dedup_wf_001::5fa6679aa0e401b3c0ad2c79d5578121","Biology (General)","Mitotic Spindle Asymmetry: A Wnt/PCP-Regulated Mechanism Generating Asymmetrical Division in Cortical Precursors","Delaunay, Delphine","2014-01-01","CELL PRESS","publication","","CELL REPORTS","","The regulation of asymmetric cell division (ACD) during corticogenesis is incompletely understood. We document that spindle-size asymmetry (SSA) between the two poles occurs during corticogenesis and parallels ACD. SSA appears at metaphase and is maintained throughout division, and we show it is necessary for proper neurogenesis. Imaging of spindle behavior and division outcome reveals that neurons preferentially arise from the larger-spindle pole. Mechanistically, SSA magnitude is controlled by Wnt7a and Vangl2, both members of the Wnt/planar cell polarity (PCP)-signaling pathway, and relayed to the cell cortex by P-ERM proteins. In vivo, Vangl2 and P-ERM downregulation promotes early cell-cycle exit and prevents the proper generation of late-born neurons. Thus, SSA is a core component of ACD that is conserved in invertebrates and vertebrates and plays a key role in the tight spatiotemporal control of self-renewal and differentiation during mammalian corticogenesis.","216593","Open Access","-0.5639","-0.4464","4","Generating asymmetrical division, Asymmetry a wnt, Biology (general)","Generating asymmetrical division, Asymmetry a wnt, Biology (general)","28","4","74","",""
