"doi","id","subject","title","authors","year","publisher","resulttype","language","journal","url","paper_abstract","project_id","accessright","x","y","area_uri","cluster_labels","area","citation_count","cited_by_tweeters_count","readers.mendeley","readers","file_hash"
"","ec_fp7_ict__::b2bb70b461697784d661cca7db3fb448","adaptation sudplan;development planner;planner climate","Sustainable urban development planner for climate change adaptation (SUDPLAN)","#N/D","2010-01-01","","publication","","","","","247708","Closed Access","-0.5558","-0.2292","4","Adaptation sudplan, Development planner, Planner climate","Adaptation sudplan, Development planner, Planner climate",NA,NA,NA,"",""
"","ec_fp7_ict__::160dd018874ccaa614e8b4fd3a99cf23"," automation;automation model;support environment","Towards automation of model execution from a decision support environment","#N/D","2011-01-01","","publication","","","","","247708","Closed Access","-0.3439","0.6418","1","Automation model, Support environment","Automation model, Support environment",NA,NA,NA,"",""
"","ec_fp7_ict__::7c0e54cf354fa1287ed88760c720e7d1","air quality;future air;quality scientific","Uncertainties in future air quality: A scientific workflow tool","#N/D","2011-01-01","","publication","","","","","247708","Closed Access","0.731","-0.025","10","Air quality, Future air, Quality scientific","Air quality, Future air, Quality scientific",NA,NA,NA,"",""
"","od_______645::19de866069dc40a240d797b0b2254af3","Turkey, European Union, employment policies","Labor Market Policies and EU Accession: Problems and Prospects for Turkey","Erol Taymaz","2004-03-01","","publication","","","http://www.erc.metu.edu.tr/menu/series04/0405.pdf","The process of European Union Accession has provided a strong stimulus for various institutional changes in Turkey. The European Council decision taken at Helsinki (10-11 December 1999) was an important turning point in this process. The Accession Partnership, which followed the Helsinki summit, identified short and medium term priorities, intermediate objectives and conditions on which accession preparations must concentrate in the light of the political and economic criteria. One of the most important issues for Turkey regarding the adoption and implementation of the Community acquis is related with the labor market regulations and employment policies. The adoption of the Community acquis will certainly bring radical changes in the functioning of the labor market in Turkey with vital consequences for firms, and workers, as well as the long-term performance of the economy. The aim of this study is to provide information for the use of these agents on the employment and labor market issues that are important during the EU accession process. Since the topic is rather broad, the current study has concentrated upon the possible effects of the adoption of the employment acquis regulating work and employment conditions, and issues like child labor, discrimination, social protection have been ignored.","247708","Open Access","0.4011","-0.6879","2","Employment policies, European union, Turkey","Employment policies, European union, Turkey",NA,NA,NA,"",""
"10.1007/978-3-642-22285-6_6","dedup_wf_001::50b16e10fcfee5311be709688db17f4d","[INFO] Computer Science [cs]","Vision and Requirements of Scenario-Driven Environmental Decision Support Systems Supporting Automation for End Users","Schlobinski, Sascha","2011-06-27","Springer","publication","","","https://hal.inria.fr/hal-01569198/document","Part 2: eEnvironment and Cross-Border Services in Digital Agenda for Europe; International audience; This paper discusses the vision and requirements of a highly interactive workbench which supports decision makers using distributed resources including models as automated components of an integrated environmental decision support system. The concepts discussed are results of the SUDPLAN project, an EU FP7 project which aims at developing advanced tools for climate change adaptation for city planners and city managers. To this end, SUDPLAN incorporates access to climate change models and model results as an important common service. This paper provides an overview of SUDPLAN, with special emphasis on the highly interactive Scenario Management System. It also includes an overview of the user requirements derived through a user-centred design process engaging highly diverse user representatives of four pilot application cities.","247708","Open Access","-0.2706","0.3155","8","[info] computer science [cs]","[info] computer science [cs]",3,NA,NA,"",""
"10.1007/978-3-642-22285-6_60","dedup_wf_001::fb4ad58fc032ffe396476dd786db5af3","[INFO] Computer Science [cs]","Web Services for Incorporation of Air Quality and Climate Change in Long-Term Urban Planning for Europe","Engardt, Magnuz","2011-06-27","Springer","publication","","","https://hal.inria.fr/hal-01569206/document","Part 6: Climate Services and Environmental Tools for Urban Planning and Climate Change Applications and Services; International audience; Planning for sustainable cities requires the inclusion of environmental aspects like air quality. Within a planning perspective of 20-30 years, there are various factors influencing future air quality:Worldwide: Climate change may change global background pollution levels and it will affect the atmospheric chemistry.Europe: Many efforts are taken to reduce emissions of air pollutants and climate forcing agents. These efforts will contribute to changes in the levels of air pollution reaching European cities.Locally: City populations will grow. The population growth, together with the design of transportation and energy production systems, influence the city’s own contribution to air pollution.The web-service presented allows end-users in an arbitrary European city to consider these factors impact on air quality. It also includes tools for visualization and standards for easy connection to existing local model systems in the cities.","247708","Open Access","0.2453","0.001","5","[info] computer science [cs]","[info] computer science [cs]",0,NA,NA,"",""
"10.1007/978-3-642-22285-6_64","dedup_wf_001::147c905daada137e08ac7bbe29a1fc4c","Sensor Service Architecture","SUDPLAN’s Experiences with the OGC-Based Model Web Services for the Climate Change Usage Area","Kutschera, P.","2011-06-27","Springer","publication","","","https://hal.inria.fr/hal-01569181/document","Part 6: Climate Services and Environmental Tools for Urban Planning and Climate Change Applications and Services; International audience; SUDPLAN is currently developing a technical solution for Model Web/Observation Web in the Climate Change usage area. Proposed solution is based on the Open Geospatial Consortium standards, and follows the ideas expressed in SANY Sensor Service Architecture (SensorSA). SUDPLAN also continued the development of the SANY software, resulting in native SOS, SPS and 2D coverage support in ”Time Series Toolbox” framework for building sensor web applications. SUDPLAN re-uses much of the OGC SWE and SANY SensorSA functionality to: (1) configure and run the models; (2) provide the data (observations) required for model execution; (3) inform the user on model run progress and (4) access the model results. In this paper, we shall describe the SUDPLAN’s experiences with implementing of the interoperable Model Web using OGC standards, and discuss the advantages of various services from the OGC SWE suite as compared to non-SWE alternatives in the Climate Change context.","247708","Open Access","0.0051","0.1933","7","Based model web, Build integrated climate, Climate change enabled","Based model web, Build integrated climate, Climate change enabled",0,NA,NA,"",""
"10.1007/978-3-642-22285-6_67","dedup_wf_001::2b8eea720d1a8fd2f3b0400d4964bd4d","[INFO] Computer Science [cs]","Downscaling of short-term precipitation time series for climate change impact assessment","Olsson J.","2011-01-01","Springer","publication","","","https://hal.inria.fr/hal-01569173/document","Part 6: Climate Services and Environmental Tools for Urban Planning and Climate Change Applications and Services; International audience; A future increase of short-term precipitation intensities may lead to problems in sewer systems, such as increased overflow volumes and flood risks. To quantify the consequences, downscaling of climate model precipitation is required to the scales relevant in urban hydrology. In the SUDPLAN project, a system where users may upload historical time series to be used as a basis for such downscaling is being developed. In this paper, the method (Delta Change) is outlined along with brief descriptions of the technical solution and result visualization.","247708","Open Access","-0.0998","-0.2911","3","Downscaling of short, Short term precipitation","Downscaling of short, Short term precipitation",1,NA,NA,"",""
"10.1007/978-3-642-22285-6_68","dedup_wf_001::d6486d392b6ccfc2bdc9779ceed4846a","[INFO] Computer Science [cs]","Integrating Climate Change in the Urban Planning Process – A Case Study","Sander, Stefan","2011-06-27","Springer","publication","","","https://hal.inria.fr/hal-01569211/document","Part 6: Climate Services and Environmental Tools for Urban Planning and Climate Change Applications and Services; International audience; The ongoing European collaborative project SUDPLAN is targeted on the development of a software framework that allows the integration of climate change aspects in urban planning processes. Besides the implementation of the generic modules SUDPLAN comprises the implementation of four tangible pilot applications of the framework, one of them in the German City of Wuppertal. This “Wuppertal pilot” deals with urban storm water management and the prevention of infrastructure damages under present and future climate conditions. It can be considered as a case study for the integration of climate change in an actual, long-term urban planning process. This article describes the basic conditions of the case study and the building blocks of the intended decision support environment for urban planners, including the local models used for the simulation of storm water runoff, both in the sewers and on the surface.","247708","Open Access","-0.2761","-0.1812","11","[info] computer science [cs]","[info] computer science [cs]",1,NA,NA,"",""
"10.1007/978-3-642-22285-6_71","dedup_wf_001::49b8f2a3262b1ac90e0851dde6ed8c3a","pan-European","E-HypeWeb: Service for Water and Climate Information - and Future Hydrological Collaboration across Europe?","Arheimer, Berit","2011-06-27","Springer","publication","","","https://hal.inria.fr/hal-01569218/document","Part 6: Climate Services and Environmental Tools for Urban Planning and Climate Change Applications and Services; International audience; The hydrological scientific and operational communities are faced with new challenges. There is a demand for detailed water information for large regions and new environmental issues to deal with, which request advanced technical infrastructure merged with up-dated hydrological knowledge. Traditionally, the hydrological community is disaggregated. In this paper we suggest a collaborative approach and invite both researchers and operational agencies to participate in the development of a common European core service providing free access to water information. We present the idea of starting from the new E-HYPE model and its advanced technological infrastructure and open source cod, using a bottom-up approach.","247708","Open Access","0.3097","-0.2858","9","Pan-european","Pan-european",4,NA,NA,"",""
