"doi","id","subject","title","authors","year","publisher","resulttype","language","journal","url","paper_abstract","project_id","accessright","x","y","area_uri","cluster_labels","area","citation_count","readers.mendeley","cited_by_tweeters_count","readers","file_hash"
"10.1007/978-3-642-23951-9_17","ec_fp7_ict__::0a2caa09b49b885d1ac79bbf84686ff4","attacks weak;extractors side;weak strong","Extractors against side-channel attacks: Weak or strong?","Medwed M.","2011-01-01","","publication","","","","","258754","Closed Access","-0.228","-0.5099","5","Attacks weak, Data codingandinformationtheory, Extractors side","Attacks weak, Data codingandinformationtheory, Extractors side",0,NA,NA,"",""
"10.1007/978-3-642-23951-9_30","ec_fp7_ict__::c4d2bf17486af45401ef69baf00260f1","cryptography embedded;embedded microprocessors;fast multi","Fast multi-precision multiplication for public-key cryptography on embedded microprocessors","Hutter M.","2011-01-01","","publication","","","","","258754","Closed Access","0.4156","-0.5989","9","Cryptography embedded, Embedded microprocessors, Fast multi","Cryptography embedded, Embedded microprocessors, Fast multi",22,NA,NA,"",""
"10.1007/978-3-642-27257-8_8","dedup_wf_001::83b83e8f8e3a75732b8c90ea4d89717c","[INFO] Computer Science [cs]","Fresh Re-keying II: Securing Multiple Parties against Side-Channel and Fault Attacks","Medwed, Marcel","2011-09-14","Springer","publication","","","https://hal.inria.fr/hal-01596308/document","Part 3: New Algorithms and Protocols; International audience; Security-aware embedded systems are widespread nowadays and many applications, such as payment, pay-TV and automotive applications rely on them. These devices are usually very resource constrained but at the same time likely to operate in a hostile environment. Thus, the implementation of low-cost protection mechanisms against physical attacks is vital for their market relevance. An appealing choice, to counteract a large family of physical attacks with one mechanism, seem to be protocol-level countermeasures. At last year’s Africacrypt, a fresh re-keying scheme has been presented which combines the advantages of re-keying with those of classical countermeasures such as masking and hiding. The contribution of this paper is threefold: most importantly, the original fresh re-keying scheme was limited to one low-cost party (e.g. an RFID tag) in a two party communication scenario. In this paper we extend the scheme to n low-cost parties and show that the scheme is still secure. Second, one unanswered question in the original paper was the susceptibility of the scheme to algebraic SPA attacks. Therefore, we analyze this property of the scheme. Finally, we implemented the scheme on a common 8-bit microcontroller to show its efficiency in software.","258754","Open Access","-0.5447","0.3237","1","[info] computer science [cs]","[info] computer science [cs]",6,"6",NA,"",""
"10.1007/978-3-642-29912-4_1","ec_fp7_ict__::3b64849dfe2e9c3bc17801c30e9304d9","channel leakages;difference side;exploiting difference","Exploiting the difference of side-channel leakages","Hutter M.","2012-01-01","","publication","","","","","258754","Closed Access","0.5813","-0.228","4","Channel leakages, Difference side, Exploiting difference","Channel leakages, Difference side, Exploiting difference",3,NA,NA,"",""
"10.1007/978-3-642-29912-4_2","dedup_wf_001::a6992cf8562ff695675c7e0bf72fcd38","Side-Channel Analysis SCA","Attacking an AES-enabled NFC tag: Implications from design to a real-world scenario","Korak T.","2012-01-01","","publication","","","","Radio-frequency identification (RFID) technology is the enabler for applications like the future internet of things (IoT), where security plays an important role. When integrating security to RFID tags, not only the cryptographic algorithms need to be secure but also their implementation. In this work we present differential power analysis (DPA) and differential electromagnetic analysis (DEMA) attacks on a security-enabled RFID tag. The attacks are conducted on both an ASIC-chip version and on an FPGA-prototype version of the tag. The design of the ASIC version equals that of commercial RFID tags and has analog and digital part integrated on a single chip. Target of the attacks is an implementation of the Advanced Encryption Standard (AES) with 128-bit key length and DPA countermeasures. The countermeasures are shuffling of operations and insertion of dummy rounds. Our results illustrate that the effort for successfully attacking the ASIC chip in a real-world scenario is only 4.5 times higher than for the FPGA prototype in a laboratory environment. This let us come to the conclusion that the effort for attacking contactless devices like RFID tags is only slightly higher than that for contact-based devices. The results further underline that the design of countermeasures like the insertion of dummy rounds has to be done with great care, since the detection of patterns in power or electromagnetic traces can be used to significantly lower the attacking effort.","258754","Open Access","-0.4972","-0.2908","2","Side-channel analysis sca","Side-channel analysis sca",3,"11","1","",""
"10.1007/978-3-642-31410-0_11","dedup_wf_001::8afdf87ede8106c6db5cf0aaf29adbd2","block ciphers","Compact Implementation and Performance Evaluation of Block Ciphers in ATtiny Devices","Eisenbarth, Thomas","2012-01-01","Springer-Verlag","publication","","","","The design of lightweight block ciphers has been a very active research topic over the last years. However, the lack of comparative source codes generally makes it hard to evaluate the extent to which different ciphers actually reach their low-cost goals, on different platforms. This paper reports on an initiative aimed to partially relax this issue. First, we implemented 12 block ciphers on an ATMEL ATtiny45 device, and made the corresponding source code available on a webpage, with an open-source license. Common design goals and interface have been sent to all designers in order to enhance the comparability of the implementation results. Second, we evaluated the performances of these implementations according to different metrics, including energy-consumption measurements. Although inherently limited by slightly different design choices, we hope this initiative can trigger more work in this direction, e.g. by extending the list of implemented ciphers, or adding countermeasures against physical attacks in the future.","258754","Open Access","-0.1998","0.5129","8","Block ciphers","Block ciphers",16,NA,NA,"",""
"10.1007/978-3-642-33027-8_12","dedup_wf_001::b740a61efb01c4e0c928e2c2c8082737","leakage resilient;security","Towards Super-Exponential Side-Channel Security with Efficient Leakage-Resilient PRFs","Medwed, Marcel","2012-01-01","Springer","publication","","Cryptographic Hardware and Embedded Systems \u2013 CHES 2012","","Leakage-resilient constructions have attracted significant attention over the last couple of years. In practice, pseudorandom functions are among the most important such primitives, because they are stateless and do not require a secure initialization as, e.g. stream ciphers. However, their deployment in actual applications is still limited by security and efficiency concerns. This paper contributes to solve these issues in two directions. On the one hand, we highlight that the condition of bounded data complexity, that is guaranteed by previous leakage-resilient constructions, may not be enough to obtain practical security. We show experimentally that, if implemented in an 8-bit microcontroller, such constructions can actually be broken. On the other hand, we present tweaks for tree-based leakage-resilient PRFs that improve their efficiency and their security, by taking advantage of parallel implementations. Our security analyses are based on worst-case attacks in a noise-free setting and suggest that under reasonable assumptions, the side-channel resistance of our construction grows super-exponentially with a security parameter that corresponds to the degree of parallelism of the implementation. In addition, it exhibits that standard DPA attacks are not the most relevant tool for evaluating such leakage-resilient constructions and may lead to overestimated security. As a consequence, we investigate more sophisticated tools based on lattice reduction, which turn out to be powerful in the physical cryptanalysis of these primitives. Eventually, we put forward that the AES is not perfectly suited for integration in a leakage-resilient design. This observation raises interesting challenges for developing block ciphers with better properties regarding leakage-resilience.","258754","Open Access","-0.3108","0.0982","14","Leakage resilient, Security","Leakage resilient, Security",10,NA,NA,"",""
"10.1007/978-3-642-33481-8_17","dedup_wf_001::3104627a6d41e4e24fbb7198d25d8b34","cosic","Infective computation and dummy rounds: Fault protection for block ciphers without check-before-output","Gierlichs B.","2012-01-01","Springer","publication","","","https://www.cosic.esat.kuleuven.be/publications/article-2245.pdf","ispartof: Lecture Notes in Computer Science vol:7533 pages:305-321","258754","Open Access","0.1383","0.6805","12","Cosic","Cosic",11,NA,NA,"",""
"10.1007/978-3-642-34931-7_21","ec_fp7_ict__::396202d74621fbfe0adaf7bab5b643e2","ciphers mcrypton;compact hardware;hardware implementations","Compact hardware implementations of the block ciphers mCrypton, NOEKEON, and SEA","Plos T.","2012-01-01","","publication","","","","","258754","Closed Access","0.148","0.4041","10","Ciphers mcrypton, Compact hardware, Hardware implementations","Ciphers mcrypton, Compact hardware, Hardware implementations",1,NA,NA,"",""
"10.1007/978-3-642-34961-4","ec_fp7_ict__::be86ccb919e873474fd7126e4f16bffb","block cipher;cipher pervasive;computing applications","PRINCE - A low-latency block cipher for pervasive computing applications","Borghoff J.","2012-01-01","","publication","","","","","258754","Closed Access","0.4101","0.4748","11","Block cipher, Cipher pervasive, Computing applications","Block cipher, Cipher pervasive, Computing applications",6,"20","3","",""
