"doi","id","subject","title","authors","year","publisher","resulttype","language","journal","url","paper_abstract","project_id","accessright","x","y","area_uri","cluster_labels","area","citation_count","cited_by_tweeters_count","readers.mendeley","readers","file_hash"
"","core_ac_uk__::82878ea46331137359d3947c1e11369f","industrial organizations;experience;line","Changing the way we learn: towards agile learning and co-operation","Hansen, P. K.","2009-01-01","","publication","","","http://oro.open.ac.uk/25795/1/Hansen%2C_Frandinho%2C_Lefrere_%26_Andersen_-_Changing_the_way_we_learn.pdf","This paper addresses the need for learning and competence development in industrial organizations. The people that enter professional organizations today are part of a gamer generation that have some or much experience with on-line games. Therefore they are more open to e-learning and in general more open to access anything on-line. At the same time industrial organizations experience a pressure on their ability to train employees faster due to the increase in complexity. We argue that games are not yet mature enough to support this training challenge as stand alone efforts. But games can support the training and competence development in a synchronized setup with other means.","231717","Open Access","-0.1162","-0.1974","10","Experience, Industrial organizations, Line","Experience, Industrial organizations, Line",NA,NA,NA,"",""
"","ec_fp7_ict__::d067a7b69e243146b2b1907b676f1a5b","competences technology;enhanced learning;innovation competences","Modelling project management and innovation competences for technology enhanced learning","#N/D","2010-01-01","","publication","","","","","231717","Closed Access","0.1161","0.5654","15","Competences technology, Enhanced learning, Innovation competences","Competences technology, Enhanced learning, Innovation competences",NA,NA,NA,"",""
"","od_______322::02b343669a6d3a1805dc07684ac0daf5","ComputingMilieux_PERSONALCOMPUTING","Persuading giants to be wise: an exploratory study of advice sharing in online games","Ruskov, M.","2010-07-01","","publication","","","","This study investigates the effects of a browser game as a motivational factor for the sharing of short written reflections. We have analysed 400 anonymous written reflections and conducted 10 interviews in order to get a deeper insight of the game experience. This is an opportunistic investigation and the authors did not have control over the game environment. We have found that there is a predominantly positive attitude towards the approach taken by the game, and a significantly higher level of contributions from participants, as compared to a recent investigation of contributions in social awareness streams. A number of user contributions that clearly do not match the game intentions are being reported and discussed. We draw the conclusion that persuasive tools and techniques can be employed within personal learning environments in order to guide learning. The paper makes a strong argument by example for the use of browser games as a persuasive tool in informal online learning.","231717","Open Access","-0.0047","-0.5483","12","Computingmilieux personalcomputing","Computingmilieux personalcomputing",NA,NA,NA,"",""
"","od_______951::b7d4731503a1b5195180469c0ae7d5e4","Sustainable Global Manufacturing; Serious Games; Competence Development; Life Cycle Assessment","DEVELOPMENT OF COMPETENCE FOR SUSTAINABLE MANUFACTURING BY USING SERIOUS GAMES","Stahl, Bojan","2013-02-05","Faculty of Mechanical Engineering and Naval Architecture","publication","","Transactions of FAMENA","https://hrcak.srce.hr/file/142129","This paper will present preliminary results of the EU-funded FP7 integrated project TARGET. The main aim of the project is to develop a novel technology-enhanced learning platform that provides learners with a responsive environment that addresses the rapid, personalized competence development and the sharing of experiences associated with introducing sustainability into a manufacturing enterprise. The main objectives of the paper are to deduce specialized sustainability-related competences for managers and to convert them into a virtual game scenario. Besides the research approach of deriving the competences, critical incidents in the game will be presented. The findings and potential application will be demonstrated in a case based on Life Cycle Assessment (LCA).","231717","Open Access","-0.4406","0.015","3","Sustainable manufacturing","Sustainable manufacturing",NA,NA,NA,"",""
"10.1007/978-3-642-14274-1_28","ec_fp7_ict__::e858a6c4010ef1adf28b496ffaa276aa","adaptive planning;based learning; fly","On-the-fly adaptive planning for game-based learning","Hulpus I.","2010-01-01","","publication","","","","","231717","Closed Access","0.6603","0.1491","11","Adaptive planning, Based learning, Fly","Adaptive planning, Based learning, Fly",2,NA,NA,"",""
"10.1007/978-3-642-20539-2_5","ec_fp7_ict__::1fc889dbd0a3ed6499550259ba3b7dd5","digital storytelling;storytelling competence","Digital storytelling for competence development","Santos E.","2011-01-01","","publication","","","","","231717","Closed Access","-0.7083","0.2061","6","Digital storytelling, Storytelling competence","Digital storytelling, Storytelling competence",0,NA,NA,"",""
"10.1007/978-3-642-32775-9_48","dedup_wf_001::2a87ed3fd3ab1380d221ab569e77409b","Transformative Environments","The Challenge of Learning for Networked SMEs to Increase Competitiveness in Virtual Enterprises","Duin, Heiko","2012-10-01","Springer","publication","","","https://hal.inria.fr/hal-01520421/document","Part 16: Collaboration Spaces; International audience; Collaborative Networked Organisations (CNO) face the same if not even harder problems when trying to transform towards a learning organisation. Small and medium sized organisations - which still represent the motor for job creation in Europe - often respond to market turbulence by engaging in non-hierarchical CNOs such as Virtual Enterprises. A proven method to support learning in distributed set-ups is Serious Gaming, but the question remains whether the application of such tools is equally effective in SMEs compared with monolithic large organisations. In SMEs and networks of SMEs learning needs to move towards contextualised learning and a serious gaming based transformative environments such as TARGET can be used to achieve learning goals and competence development in distributed set-ups. This paper introduces such a transformative environment and highlights the background, its usage, benefits and limitations.","231717","Open Access","0.2934","0.0764","4","Transformative environments","Transformative environments",0,NA,NA,"",""
"10.1007/978-3-642-33542-6_62","od_______166::f91b0fb8fa3235d9798e3ab23224723e","[INFO] Computer Science [cs]","SGDA2012","Baalsrud Hauge, Jannicke,","2012-09-26","Springer","publication","","","https://hal.inria.fr/hal-01556128/document","Part 15: Co-located Event; International audience; The Third International Conference on Serious Games Development and Applications is this year organised as a satellite conference to IFIP-ICEC2012 in Bremen. SGDA 2012 appears in the sequence of the successes of the First International Workshop on Serious Games Development and Application held in Derby in 2010 and Second International Conference on Serious Games Development and Applications, held in Lisbon in 2011. The aim of SGDA is to collect and disseminate knowledge on serious games technologies, design and development; to provide practitioners and interdisciplinary communities with a peer-reviewed forum to discuss the state-of-the-art in serious games research, their ideas and theories, and innovative applications of serious games; to explain cultural, social and scientific phenomena by means of serious games; to concentrate on the interaction between theory and application; to share best practice and lessons learnt; to develop new methodologies in various application domains using games technologies; and to explore perspectives of future developments and innovative applications relevant to serious games and related areas.","231717","Open Access","-0.4461","-0.4231","13","[info] computer science [cs]","[info] computer science [cs]",0,NA,NA,"",""
"10.1007/978-3-642-40352-1_73","dedup_wf_001::a2d22b7e896e14009ea40ed7b7c6889f","[INFO] Computer Science [cs]","Using Behavioral Indicators to Assess Competences in a Sustainable Manufacturing Learning Scenario","Duin, Heiko","2012-09-24","Springer","publication","","","https://hal.inria.fr/hal-01472296/document","Part 3: Human Factors, Learning and Innovation; International audience; This paper introduces a learning scenario created for a serious game to develop competences in the domain of sustainable manufacturing, by applying a Lifecycle Assessment (LCA). A set of behavioral indicators is introduced to assess how particular competences do change while the player is engaged in playing the game scenario. It furthermore presents early evaluation results of the game scenario on a sample of master grade students at the University of Bremen.","231717","Open Access","-0.259","0.0618","3","Sustainable manufacturing","Sustainable manufacturing",0,NA,NA,"",""
"10.1007/978-3-642-41263-9_13","dedup_wf_001::2d5576150ac4c26235ca8dfc61a1f082","[INFO] Computer Science [cs]","Using Serious Game in Sustainable Global Manufacturing Education","Pourabdollahian Tehran, Borzoo","2013-09-09","Springer","publication","","","https://hal.inria.fr/hal-01451744/document","Part III: Sustainable Services; International audience; Having multi-skilled engineers who can master the complexity associated to sustainable manufacturing is a strategic requirement for manufacturing companies wanting to compete in the global market. The current approaches to manufacturing education and training, both at university and at industry, need to be revisited to improve the learning effectiveness of manufacturing engineers. An important factor in the learning effectiveness is the delivery mechanism and recently Serious Game (SG) is a promising suitable supplementary method to enhance the learning experience in engineering schools and industry.","231717","Open Access","-0.001","0.2902","9","[info] computer science [cs]","[info] computer science [cs]",0,NA,NA,"",""
