"doi","id","subject","title","authors","year","publisher","resulttype","language","journal","url","paper_abstract","project_id","accessright","x","y","area_uri","cluster_labels","area","citation_count","readers.mendeley","cited_by_tweeters_count","readers","file_hash"
"","od_______185::2c674ebeb7172908bb86d50a82040c97","bci results;closer bci; random","Better than random: A closer look on BCI results","Mueller-Putz, Gernot","2008-01-01","","publication","","","","","224631","Open Access","0.752","0.2674","9","Hybrid bci, Bci results, Bnci horizon","Hybrid bci, Bci results, Bnci horizon",NA,NA,NA,"",""
"10.1007/978-3-642-39330-3_69","od_______645::46f8ff2284610c57c5e1a853284d2ff7","Design, Human Factors","My-World-in-My-Tablet: an Architecture for People with Physical Impairment","Mario Caruso","2012-02-01","","publication","","","http://www.dis.uniroma1.it/~bibdis/RePEc/aeg/report/2012-02.pdf","Mobile computing, coupled with advanced types of input interfaces, such as Brain Computer Interfaces (BCIs), can improve the quality of life of persons with dierent disabilities. In this paper we describe the architecture and the prototype of an assistive system, which allows users to express themselves and partially preserve their independence in controlling electrical devices at home. Even in absence of muscular functions, the proposed system would still allows the user some communication and control capabilities, by relaying on non-invasive BCIs. Experiments show how the fully-software realization of the system guarantees effective use with BCIs.","224332","Open Access","-0.0344","0.5746","10","Brain computer interface","Brain computer interface","0",NA,NA,"",""
"10.1007/s10548-009-0121-6","od_______908::26805c6ba2146c7df7ebee95b09b46db","Co-adaptive learning","Towards a Cure for BCI Illiteracy","Vidaurre, Carmen","2009-11-01","Springer US","publication","","Brain Topography","","Brain?Computer Interfaces (BCIs) allow a user to control a computer application by brain activity as acquired, e.g., by EEG. One of the biggest challenges in BCI research is to understand and solve the problem of ?BCI Illiteracy?, which is that BCI control does not work for a non-negligible portion of users (estimated 15 to 30%). Here, we investigate the illiteracy problem in BCI systems which are based on the modulation of sensorimotor rhythms. In this paper, a sophisticated adaptation scheme is presented which guides the user from an initial subject-independent classifier that operates on simple features to a subject-optimized state-of-the-art classifier within one session while the user interacts the whole time with the same feedback application. While initial runs use supervised adaptation methods for robust co-adaptive learning of user and machine, final runs use unsupervised adaptation and therefore provide an unbiased measure of BCI performance. Using this approach, which does not involve any offline calibration measurement, good performance was obtained by good BCI participants (also one novice) after 3?6?min of adaptation. More importantly, the use of machine learning techniques allowed users who were unable to achieve successful feedback before to gain significant control over the BCI system. In particular, one participant had no peak of the sensory motor idle rhythm in the beginning of the experiment, but could develop such peak during the course of the session (and use voluntary modulation of its amplitude to control the feedback application).","216886","Open Access","0.389","0.2273","7","Covert visuospatial attention, Brain computer interfaces","Covert visuospatial attention, Brain computer interfaces","136",NA,NA,"",""
"10.1007/s10548-010-0152-z","webcrawl____::8173123d103d1032e6a1c0e5833d35f4","analysis brain;application real;brain functional","Multiple Pathways Analysis of Brain Functional Networks from EEG Signals: An Application to Real Data","Fallani, Fabrizio De Vico","2011-01-01","SPRINGER","publication","","BRAIN TOPOGRAPHY","","","224631","Closed Access","-0.0165","-0.6459","3","Eeg signals, Brain functional, Brain regions","Eeg signals, Brain functional, Brain regions","11",NA,NA,"",""
"10.1007/s11517-011-0858-4","webcrawl____::cb8523c10111096793d78842ad362411","arm controlled;artificial arm;continuous movement","Error potential detection during continuous movement of an artificial arm controlled by brain-computer interface","Kreilinger, Alex","2012-01-01","SPRINGER HEIDELBERG","publication","","MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING","","","224631","Closed Access","-0.2772","0.1955","1","Based brain computer, Gaze independent, Brain computer interface","Based brain computer, Gaze independent, Brain computer interface","15",NA,NA,"",""
"10.1007/s12152-013-9179-7","dedup_wf_001::a02331697125412325c26b83eb2ca949","Risks and benefits","Psychosocial and Ethical Aspects in Non-Invasive EEG-Based BCI Research-A Survey Among BCI Users and BCI Professionals","Gruebler, Gerd","2014-01-01","SPRINGER","publication","","NEUROETHICS","","In this paper, the results of a pilot interview study with 19 subjects participating in an EEG-based non-invasive brain–computer interface (BCI) research study on stroke rehabilitation and assistive technology and of a survey among 17 BCI professionals are presented and discussed in the light of ethical, legal, and social issues in research with human subjects. Most of the users were content with study participation and felt well informed. Negative aspects reported include the long and cumbersome preparation procedure, discomfort with the cap and the wet electrodes, problems concerning BCI control, and strains during the training sessions. In addition, some users reflected on issues concerning system security. When asked for morally problematic issues in this field of non-invasive BCI research, the BCI professionals stressed the need for correct information transfer, the obligation to avoid unrealistic expectations in study participants, the selection of study participants, benefits and strains of participation, BCI illiteracy, the possibility of detrimental brain modifications induced by BCI use, and problems that may arise at the end of the trials. Furthermore, privacy issues were raised. Based on the results obtained, psychosocial and ethical aspects of EEG-based non-invasive BCI research are discussed and possible implications for future research addressed.","224631","Open Access","0.5783","0.2209","9","Hybrid bci, Bci results, Bnci horizon","Hybrid bci, Bci results, Bnci horizon","9","45",NA,"",""
"10.1016/j.artmed.2013.07.004","webcrawl____::2f9a0e9caf6c73a2f72604401b908f19","hybrid neuroprostheses;cord injury;functions individuals","Hybrid brain-computer interfaces and hybrid neuroprostheses for restoration of upper limb functions in individuals with high-level spinal cord injury","Rohm, Martin","2013-01-01","ELSEVIER SCIENCE BV","publication","","ARTIFICIAL INTELLIGENCE IN MEDICINE","","","224631","Closed Access","-0.5799","-0.4081","4","Based brain computer, Brain computer interfaces, Assistive technology","Based brain computer, Brain computer interfaces, Assistive technology","68","120",NA,"",""
"10.1016/j.artmed.2013.07.005","dedup_wf_001::ce064201d108ab7c21a5615aadd5db44","InformationSystems_MODELSANDPRINCIPLES","User-centered design in brain-computer interfaces-A case study","Schreuder, Martijn","2013-01-01","ELSEVIER SCIENCE BV","publication","","ARTIFICIAL INTELLIGENCE IN MEDICINE","http://eprints.gla.ac.uk/96941/1/96941.pdf","The array of available brain–computer interface (BCI) paradigms has continued to grow, and so has the corresponding set of machine learning methods which are at the core of BCI systems. The latter have evolved to provide more robust data analysis solutions, and as a consequence the proportion of healthy BCI users who can use a BCI successfully is growing. With this development the chances have increased that the needs and abilities of specific patients, the end-users, can be covered by an existing BCI approach. However, most end-users who have experienced the use of a BCI system at all have encountered a single paradigm only. This paradigm is typically the one that is being tested in the study that the end-user happens to be enrolled in, along with other end-users. Though this corresponds to the preferred study arrangement for basic research, it does not ensure that the end-user experiences a working BCI. In this study, a different approach was taken; that of a user-centered design. It is the prevailing process in traditional assistive technology. Given an individual user with a particular clinical profile, several available BCI approaches are tested and – if necessary – adapted to him/her until a suitable BCI system is found.","224631","Open Access","0.4768","0.1881","9","Hybrid bci, Bci results, Bnci horizon","Hybrid bci, Bci results, Bnci horizon","23",NA,NA,"",""
"10.1016/j.artmed.2013.07.006","webcrawl____::bdcc88df90682123332011476cec8fe6","asynchronous gaze;independent event;potential based","Asynchronous gaze-independent event-related potential-based brain-computer interface","Aloise, Fabio","2013-01-01","ELSEVIER SCIENCE BV","publication","","ARTIFICIAL INTELLIGENCE IN MEDICINE","","","224631","Closed Access","-0.6286","-0.1003","1","Based brain computer, Gaze independent, Brain computer interface","Based brain computer, Gaze independent, Brain computer interface","15",NA,NA,"",""
"10.1016/j.artmed.2013.08.001","webcrawl____::7c5da007f0bcaacfec63eb67ebf7a5d9","controlled gaming;evaluation usability;gaming evaluation","Brain-computer interface controlled gaming: Evaluation of usability by severely motor restricted end-users","Holz, Elisa Mira","2013-01-01","ELSEVIER SCIENCE BV","publication","","ARTIFICIAL INTELLIGENCE IN MEDICINE","","","224631","Closed Access","-0.2736","-0.2726","2","Severe motor, Brain painting, Brain responses","Severe motor, Brain painting, Brain responses","39",NA,NA,"",""
