"doi","id","subject","title","authors","year","publisher","resulttype","language","journal","url","paper_abstract","project_id","accessright","x","y","area_uri","cluster_labels","area","citation_count","cited_by_tweeters_count","readers.mendeley","readers","file_hash"
"","core_ac_uk__::c1203e2327c8794c32e4fac4b317b729","Z665","Map Line Ups: Using Graphical Inference to Study Spatial Structure","Beecham, R.","2014-01-01","","publication","","","http://openaccess.city.ac.uk/4783/1/beecham2014LineUps.pdf","","608142","Open Access","0.1135","0.7484","9","Z665","Z665",NA,NA,NA,"",""
"","core_ac_uk__::a1f63cc01b87f30a25d9a3e12a0f47fa","GA","Multi-Perspective Synopsis with Faceted Views of Varying Emphasis","Dykes, J.","2015-01-01","","publication","","","http://openaccess.city.ac.uk/12334/1/rooney2015multiperspective.pdf","Many datasets have multiple perspectives – e.g. time, space and description – and often summaries are required for these multiple perspectives concurrently. A design challenge is to provide such a concurrent summary of perspectives in ways that neither clutter nor visually overload. We report on a framework that helps us do this. We demonstrate its use with an implementation based on a Crime Pattern Analysis case study that produces synoptic summarises of spatial, temporal and descriptive information in crime reports. Our work with crime analysts suggests that the framework offers some potential for Crime Pattern Analysis.","608142","Open Access","0.5353","0.0997","2","","",NA,NA,NA,"",""
"","core_ac_uk__::c5e6f40ed01421d5945e68775c0207b0","GA","Supporting crime analysis through visual design","Beecham, R.","2015-01-01","","publication","","","http://openaccess.city.ac.uk/12331/1/beecham2015supporting.pdf","We describe and discuss a visual analysis prototype to support volume crime analysis, a form of exploratory data analysis that aims to identify and describe patterns of criminality using historical and recent crime reports. Analysis requirements are relatively familiar: analysts wish to identify, define and compare sets of crime reports across multiple attributes (space, time and description). A challenge particular to the domain, identified through workshops with Police analysts in Belgium and the UK, is in developing exploratory data analysis software that offers some sophistication in data selection, aggregation and comparison, but with interaction techniques and representations that can be easily understood, navigated and communicated. In light of ongoing discussion with Police analysts, we propose four visual design and interaction maxims that relate to this challenge and discuss an early visual analysis prototype that we hope conforms to these maxims.","608142","Open Access","0.2166","-0.0725","6","","",NA,NA,NA,"",""
"10.1007/978-3-319-68288-4_24","dedup_wf_001::c5280a1e3c4ae0fb4cc8d1bbfeb1c91d","Ontology alignment evaluation","Alignment Cubes: Towards Interactive Visual Exploration and Evaluation of Multiple Ontology Alignments","Ivanova, Valentina","2017-01-01","Cham, Switzerland","publication","","","https://hal.inria.fr/hal-01649864/document","International audience; Ontology alignment is an area of active research where many algorithms and approaches are being developed. Their performance is usually evaluated by comparing the produced alignments to a reference alignment in terms of precision, recall and F-measure. These measures, however, only provide an overall assessment of the quality of the alignments, but do not reveal differences and commonalities between alignments at a finer-grained level such as, e.g., regions or individual mappings. Furthermore, reference alignments are often unavailable , which makes the comparative exploration of alignments at different levels of granularity even more important. Making such comparisons efficient calls for a \" human-in-the-loop \" approach, best supported through interactive visual representations of alignments. Our approach extends a recent tool, Matrix Cubes, used for visualizing dense dynamic networks. We first identify use cases for ontology alignment evaluation that can benefit from interactive visualization, and then detail how our Alignment Cubes support interactive exploration of multiple ontology alignments. We demonstrate the usefulness of Alignment Cubes by describing visual exploration scenarios, showing how alignment cubes support common tasks identified in the use cases.","608142","Open Access","-0.6405","-0.0696","8","Ontology alignment evaluation","Ontology alignment evaluation","0",NA,NA,"",""
"10.1109/eisic.2015.35","core_ac_uk__::cbbcbcb8d4242be20105e6e8839c11dd","work;approaches;discuss","Supporting the externalisation of thinking in criminal intelligence analysis","Passmore, Peter J.","2016-01-14","Institute of Electrical and Electronics Engineers (IEEE)","publication","","","http://eprints.mdx.ac.uk/18217/1/eisic2015_v11_%281%29.pdf","At the end of the criminal intelligence analysis process there are relatively well established and understood approaches to explicit externalisation and representation of thought that include theories of argumentation, narrative and hybrid approaches that include both of these. However the focus of this paper is on the little understood area of how to support users in the process of arriving at such representations from an initial starting point where little is given. The work is based on theoretical considerations and some initial studies with end users. In focusing on process we discuss the requirements of fluidity and rigor and how to gain traction in investigations, the processes of thinking involved including abductive, deductive and inductive reasoning, how users may use thematic sorting in early stages of investigation and how tactile reasoning may be used to externalize and facilitate reasoning in a productive way. In the conclusion section we discuss the issues raised in this work and directions for future work.","608142","Open Access","0.1817","-0.6694","3","Approaches, Discuss, Work","Approaches, Discuss, Work","0",NA,NA,"",""
"10.1109/smc.2016.7844519","core_ac_uk__::b21f21f2546849df65a09046a334e887","associative search;crime","Associative search through formal concept analysis in criminal intelligence analysis","Qazi, Nadeem","2016-10-09","Institute of Electrical and Electronics Engineers (IEEE)","publication","","","http://eprints.mdx.ac.uk/21191/1/Assrch_IEEE%20v3%20%288%29%20%282%29.pdf","Criminal Intelligence Analysis often requires a search different from the semantic and keyword based searching to reveal the associations among semantically and operationally connected objects within a crime knowledge base. In this paper we introduce associative search as a search along the networks of association between objects like people, places, other organizations, products, events, services, and so on. We also propose an associative search model based on the 5WH associated concepts of a crime, i.e. WHAT (what has happened), WHO (who was involved in the crime), WHEN (the temporal information of the crime), WHERE (the geo-spatial information of the crime) HOW (the modus-operandi used in committing a crime). We have employed Formal Concept Analysis theory to reveal the associations, highlighting Hot Spots, offender‘s profile and its associated offenders in a criminal activity","608142","Open Access","0.5657","-0.3402","11","Associative search, Crime","Associative search, Crime","1",NA,NA,"",""
"10.1109/tvcg.2016.2598495","core_ac_uk__::4fef76abafe72893720bf67d98199f7d","systems;literature;dimensionality reduction","Visual interaction with dimensionality reduction: a structured literature analysis","Sacha, Dominik","2017-01-01","IEEE Press","publication","","","http://eprints.mdx.ac.uk/20254/1/visual-interaction-dimensionality.pdf","Dimensionality Reduction (DR) is a core building block in visualizing multidimensional data. For DR techniques to be useful in exploratory data analysis, they need to be adapted to human needs and domain-specific problems, ideally, interactively, and on-the-fly. Many visual analytics systems have already demonstrated the benefits of tightly integrating DR with interactive visualizations. Nevertheless, a general, structured understanding of this integration is missing. To address this, we systematically studied the visual analytics and visualization literature to investigate how analysts interact with automatic DR techniques. The results reveal seven common interaction scenarios that are amenable to interactive control such as specifying algorithmic constraints, selecting relevant features, or choosing among several DR algorithms. We investigate specific implementations of visual analysis systems integrating DR, and analyze ways that other machine learning methods have been combined with DR. Summarizing the results in a “human in the loop” process model provides a general lens for the evaluation of visual interactive DR systems. We apply the proposed model to study and classify several systems previously described in the literature, and to derive future research opportunities.","608142","Open Access","-0.2242","0.1129","1","Dimensionality reduction","Dimensionality reduction","15","6","95","",""
"10.1109/tvcg.2016.2598862","dedup_wf_001::2bcc6a738dc170a3cf10bdaa6838d310","GA","Map LineUps: Effects of spatial structure on graphical inference","Beecham, Roger","2017-01-01","IEEE","publication","","","https://pure.tue.nl/ws/files/64554211/maplineups.pdf","Fundamental to the effective use of visualization as an analytic and descriptive tool is the assurance that presenting data visually provides the capability of making inferences from what we see. This paper explores two related approaches to quantifying the confidence we may have in making visual inferences from mapped geospatial data. We adapt Wickham et al.’s ‘Visual Line-up’ method as a direct analogy with Null Hypothesis Significance Testing (NHST) and propose a new approach for generating more credible spatial null hypotheses. Rather than using as a spatial null hypothesis the unrealistic assumption of complete spatial randomness, we propose spatially autocorrelated simulations as alternative nulls. We conduct a set of crowdsourced experiments (n = 361) to determine the just noticeable difference (JND) between pairs of choropleth maps of geographic units controlling for spatial autocorrelation (Moran’s I statistic) and geometric configuration (variance in spatial unit area). Results indicate that people’s abilities to perceive differences in spatial autocorrelation vary with baseline autocorrelation structure and the geometric configuration of geographic units. These results allow us, for the first time, to construct a visual equivalent of statistical power for geospatial data. Our JND results add to those provided in recent years by Klippel et al. (2011), Harrison et al. (2014) and Kay & Heer (2015) for correlation visualization. Importantly, they provide an empirical basis for an improved construction of visual line-ups for maps and the development of theory to inform geospatial tests of graphical inference.","656741","Open Access","-0.1195","0.5209","12","","","3",NA,NA,"",""
"10.1111/cgf.12900","dedup_wf_001::bd8e40de81ea48413f49740f0e1b3cc4","QA75","Faceted Views of Varying Emphasis (FaVVEs): a framework for visualising multi-perspective small multiples","Beecham, R.","2016-01-01","Wiley","publication","","","http://eprints.whiterose.ac.uk/123931/7/favves.pdf","Many datasets have multiple perspectives – for example space, time and description – and often analysts are required to study these multiple perspectives concurrently. This concurrent analysis becomes difficult when data are grouped and split into small multiples for comparison. A design challenge is thus to provide representations that enable multiple perspectives, split into small multiples, to be viewed simultaneously in ways that neither clutter nor overload. We present a design framework that allows us to do this. We claim that multi-perspective comparison across small multiples may be possible by superimposing perspectives on one another rather than juxtaposing those perspectives side-by-side. This approach defies conventional wisdom and likely results in visual and informational clutter. For this reason we propose designs at three levels of abstraction for each perspective. By flexibly varying the abstraction level, certain perspectives can be brought into, or out of, focus. We evaluate our framework through laboratory-style user tests. We find that superimposing, rather than juxtaposing, perspective views has little effect on performance of a low-level comparison task. We reflect on the user study and its design to further identify analysis situations for which our framework may be desirable. Although the user study findings were insufficiently discriminating, we believe our framework opens up a new design space for multi-perspective visual analysis.","608142","Open Access","0.5065","0.3273","10","Qa75","Qa75","3",NA,NA,"",""
"10.1186/s13326-017-0166-5","dedup_wf_001::801a5597a38aa1c8c4212c98e3c19454","Biomedical ontologies","Experiences from the anatomy track in the ontology alignment evaluation initiative","Dragisic, Zlatan","2017-12-04","Linköpings universitet, Tekniska fakulteten","publication","","","","Background: One of the longest running tracks in the Ontology Alignment Evaluation Initiative is the Anatomy track which focuses on aligning two anatomy ontologies. The Anatomy track was started in 2005. In 2005 and 2006 the task in this track was to align the Foundational Model of Anatomy and the OpenGalen Anatomy Model. Since 2007 the ontologies used in the track are the Adult Mouse Anatomy and a part of the NCI Thesaurus. Since 2015 the data in the Anatomy track is also used in the Interactive track of the Ontology Alignment Evaluation Initiative. Results: In this paper we focus on the Anatomy track in the years 2007-2016 and the Anatomy part of the Interactive track in 2015-2016. We describe the data set and the changes it went through during the years. Further, we give an overview of all systems that participated in the track and the techniques they have used. We discuss the performance results of the systems and summarize the general trends. Conclusions: About 50 systems have participated in the Anatomy track. Many different techniques were used. The most popular matching techniques are string-based strategies and structure-based techniques. Many systems also use auxiliary information. The quality of the alignment has increased for the best performing systems since the beginning of the track and more and more systems check the coherence of the proposed alignment and implement a repair strategy.Further, interacting with an oracle is beneficial. 
			<p>Funding agencies: Swedish e-Science Research Centre (SeRC); Swedish national graduate school in computer science (CUGS); EU project VALCRI [FP7-IP-608142]</p>","608142","Open Access","-0.6509","0.2876","4","Biomedical ontologies","Biomedical ontologies","0",NA,NA,"",""
