"doi","id","subject","title","authors","year","publisher","resulttype","language","journal","url","paper_abstract","project_id","accessright","x","y","area_uri","cluster_labels","area","citation_count","cited_by_tweeters_count","readers.mendeley","readers","file_hash"
"","core_ac_uk__::6ae9e2f8f72721f8e6d1b551520677ea","awareness reflection","Proceedings of the 4th Workshop on Awareness and Reflection in Technology Enhanced Learning. In conjunction with the 9th European Conference on Technology Enhanced Learning: Open Learning and Teaching in Educational Communities","Ullmann, Thomas","2014-01-01","CEUR Workshop Proceedings","publication","","","http://oro.open.ac.uk/44306/1/artel14.pdf","Awareness and reflection can be viewed from the differing perspectives of the disciplines informing Technology-Enhanced Learning, such as Psychology, Educational and Learning Sciences, or Computer Science.\ud \ud A common denominator can be identified, though, and enhancing ’awareness’ of learners and other participants involved in learning processes by technology means augmenting formal or informal learning experiences, typically in real-time, with information on progress, presence, outcomes, workspace, and the like. Supporting ’reflection’ then means enabling learners to capture, adapt, re-evaluate, and share experience in anticipation of future situations it will prove relevant to. Reflection supported digitally is a creative act, adding sense and meaning to experiences made.\ud \ud Combining support for 'awareness' and 'reflection' bears huge potential for improving the learning and training with respect to utility, self-regulation, usability, and user experience.\ud \ud The ARTEL workshop series brings - for the 4th time in 2014 - together researchers and professionals from different backgrounds to provide a forum for discussing the multi-faceted area of awareness and reflection.\ud \ud For this year 2014, the workshop organizes discussion and meta-reflection amongst researchers around the application of awareness and reflection in practice, its impact on learners and questions of feasibility, and sustainability for awareness and reflection in education and work. This year's workshop theme is:\ud \ud How does computer-support for awareness and reflection need to be embedded into practical (working or learning) contexts in order for learners to benefit from such computer support?","619619","Open Access","0.39","-0.4563","15","Awareness reflection","Awareness reflection",NA,NA,NA,"",""
"","dedup_wf_001::3542b7898ab81cf42d9cfc97176ddcf4","cloud learning environment","weSPOT: A Cloud-based Approach for Personal and Social Inquiry","Mikroyannidis, Alexander","2013-12-15","","publication","","","http://oro.open.ac.uk/36018/1/paper2.pdf","Scientific inquiry is at the core of the curricula of schools and universities across Europe. weSPOT is a new European initiative
			proposing a cloud-based approach for personal and social inquiry.
			weSPOT aims at enabling students to create their mashups out of cloud-based tools in order to perform scientific investigations.
			Students will also be able to share their inquiry accomplishments in social networks
			and receive feedback from the learning environment and their peers.
			published in: Sun SITE Central Europe, 2012, pp. 7-11, Ref: http://ceur-ws.org/Vol-945/
			The research leading to these results has received funding from the European Community’
			s Seventh Framework Programme (FP7/2007-2013) under grant agreement N°
			318499-weSPOT project.","318499","Open Access","0.2888","0.3681","3","Accomplishments social, Aims enabling, Cloud learning environment","Accomplishments social, Aims enabling, Cloud learning environment",NA,NA,NA,"",""
"","core_ac_uk__::8c67d78bb226e55276cc1d7feeb4c56f","skills digital;scientific skills;brazil","Scientific literacy through co-inquiry based on non-formal and informal learning","Okada, Alexandra","2014-01-01","","publication","","","http://oro.open.ac.uk/41731/1/alexandra_okada_sonia_pinto_silvar_ribeiro_oral_communication.pdf","This paper presents a collaborative research on scientific citizenship developed by the Open University UK (OU) through the weSPOT project for inquiry based learning and the Universidade do Estado da Bahia (UNEB) responsible for coordinating the Telecentros.BR training programme for Digital Inclusion in Brazil. The European weSPOT project (2013-2015) is a working environment with social, personal and open technologies for inquiry based learning (IBL). The Telecentros.BR training programme (2013-2014) is a non-credit online course supported by the Brazil Government, whose participants are more than 2000 young educators in diverse areas with low access to digital technology. The role of these young educators is to promote better use of ICT and support the Telecentro.BR’s projects created by the communities for their development in various dimensions. The objective of this research is to create a framework for applying collaborative inquiry to scaffold citizen’s scientific skills through digital technologies. This framework, drawn on qualitative and quantitative study, synthesizes key abilities related to multiple literacies to foster scientific skills in the digital age of open education, open science and open citizenship.","612269","Open Access","-0.161","-0.0989","10","Brazil, Century skills, Colearning with oer","Brazil, Century skills, Colearning with oer",NA,NA,NA,"",""
"","core_ac_uk__::93c86122f8589a62ebb8a24723ae73d6","aprendizagem;avaliação;era","Refletindo sobre avaliação na era da co-aprendizagem e co-investigação","Okada, Alexandra","2013-01-01","","publication","","","http://oro.open.ac.uk/42571/1/PP16_Cates2013.pdf","Na era do conhecimento digital aberto, passa a ser extremamente relevante discutir o futuro de uma Educação que começa a mostrar-se como aberta, personalizada, social e móvel. Atualmente com os rápidos avanços da Web 2.0, os interagentes podem colaborar entre si como criadores do conteúdo para co-aprender em qualquer lugar, a qualquer hora de vários modos. Co-aprendizagem é um conceito que passou a ser mais significativo devido a diversas vantagens de criação e intercâmbio de conhecimentos gerados por usuários, rápida partilha de informações incluindo a investigação colaborativa e social em rede denominada coinvestigação. Co-aprendizes e co-investigadores podem aprimorar o processo de construção coletiva de conhecimentos quando comunidades, redes ou coletividades criam oportunidades para refletir sobre a avaliação do processo, e de conteúdos e competências desenvolvidos. Este trabalho tem como objetivo apresentar um estudo de caso sobre reflexões de avaliação na co-investigação e co-aprendizagem que iniciou no Fórum aberto da 7ª Conferência Internacional sobre Educação, organizada pela Fundación Telefónica - de abril a novembro de 2013, com a temática “Novas Abordagens de Avaliação na Era da Co-aprendizagem”. Os procedimentos metodológicos utilizados focam a pesquisa ciber-etnográfica visando co-investigar ambientes tecnológicos nos quais os participantes são coaprendizes e co-investigadores do estudo colaborativo onde pressupostos teóricos são entrelaçados com ações reflexivas colaborativas. Esta coinvestigação é parte das ações do Kmi da Open University no projeto europeu WESPOT-Working Environment with Social Personal and Open Technologies for inquiry based learning. \ud \ud \ud This work aims to present a case study about “reflecting on assessment in co-inquiry based learning”. This research considers that co-learners and co-researchers can improve the process of collective construction of knowledge when communities, networks or collectivities create opportunities to reflect on the evaluation of the learning process as well as the content and competences developed. This work started at the online open forum of the 7th International Conference on Education, organized by Fundación Telefónica – during April to November 2013, with the theme \"New Approaches of Assessment in the Era of Co-learning \".The methodology of this study focusses on cyber-ethnographic research in order to co-investigate technological environments, where participants are co-learners and co-researchers of a collaborative study by connecting theoretical assumptions to collaborative reflective actions. This co-investigation is led by KMi the Open University in the European project WESPOT-Working Environment with Open Social and Personal Technologies for inquiry based learning.","318499","Open Access","-0.0582","-0.5318","14","Coaprendizagem para, Refletindo sobre avaliação, Características da educação","Coaprendizagem para, Refletindo sobre avaliação, Características da educação",NA,NA,NA,"",""
"","core_ac_uk__::aeb12611a501f8bd5d2bfd37175eb37e","oer;resources;open","Developing 21st century skills through colearning with OER and social networks","Okada, Alexandra","2014-01-01","European Distance and E-Learning Network","publication","","","http://oro.open.ac.uk/41724/1/PE34_eden2014.pdf","In little over a decade, Open Educational Resources (OER) have opened up access to knowledge through hundreds of projects and open content repositories, open practices and, more recently, Massive Online Open Courses (MOOC). However, OER lie at the heart of the Open Education movement, which advocates that communities and individuals should have access not only to repositories, but also to open technologies and methodologies. Since 2006, innovative OER initiatives such as OpenLearn (McAndrew et al., 2009) have been providing both open content and knowledge media environments (e.g. LabSpace by OpenLearn) for users to create their own open resources, courses and practices. Currently, it is possible to observe that an increasing number of open learning projects has been moving beyond the provision of repositories to offer social personalised platforms for collaborative open knowledge construction. These initiatives (e.g. OpenScout, 2010; weSPOT, 2013) offer opportunities for users to organise their social networks and co-create resources, courses, methodologies, inquiries and best practices.\ud \ud The aim of this paper is to discuss the potential of online collaborative learning to support the development of 21st century skills. It draws upon an on-going virtual ethnography that aims to investigate colearning – collaborative open learning – with Open Educational Resources (OER) and social networks. The research focuses on COLEARN, an open research network constituted by communities of educators, students and researchers who have been participating in various OER projects, including OpenLearn (2006-2009) (Lane, 2012), OpenScout (2010-2012) (Okada, 2014) and weSPOT(2013-2015) (Mikroyannidis et al., 2012). A large data set that has been collected in the course of activities revolving around the creation of the book Open Educational Resources and Social Networks (Okada, 2013) is currently being treated. This project has been conducted for over four years and includes a variety of open digital data from multifaceted social settings in different platforms used during the coauthoring process of three editions of the book.\ud \ud The process has involved 113 educators, students and researchers from thirty research groups in 21 different universities and 5 countries, who co-authored, initially, 30 chapters that draw upon their mainstream research. Each chapter was specifically designed to make it more reusable and understandable for a broader target audience. Amongst the activities develop ed, 7 open web conferences were organised with research groups responsible for each chapter, who discussed their work with readers on Facebook and FM webconference application. COLEARN’s fieldwork includes both quantitative and qualitative sources. Thus, a variety of open digital data were co-produced from multifaceted social settings in different project platforms, such as digital productions, discussion forums, wikipage reflections, videoclips about the process, web-videoconferences, virtual focus groups, social media comments, social network dialogue and online surveys.","318499","Open Access","-0.1687","-0.3934","10","Brazil, Century skills, Colearning with oer","Brazil, Century skills, Colearning with oer",NA,NA,NA,"",""
"","dedup_wf_001::631c833513eb717e1872981f50993126","enabling students;accomplishments social;aims enabling","weSPOT: A personal and social approach to inquiry-based learning","Mikroyannidis, Alexander","2013-01-01","GRAZ UNIV TECHNOLGOY, INST INFORMATION SYSTEMS COMPUTER MEDIA-IICM","publication","","JOURNAL OF UNIVERSAL COMPUTER SCIENCE","http://oro.open.ac.uk/39263/1/jucs_19_14_2093_2111_mikroyannidis.pdf","weSPOT is a new European initiative proposing a novel approach for personal and social inquiry-based learning in secondary and higher education. weSPOT aims at enabling students to create their mash-ups out of cloud based tools and services in order to perform scientific investigations. Students will also be able to share their inquiry accomplishments in social networks and receive feedback from the learning environment and their peers. This paper presents the research framework of the weSPOT project, as well as the initial inquiry-based learning scenarios that will be piloted by the project in real-life educational settings.","318499","Open Access","0.2646","0.1617","3","Accomplishments social, Aims enabling, Cloud learning environment","Accomplishments social, Aims enabling, Cloud learning environment",NA,NA,NA,"",""
"","dedup_wf_001::a7a2df4492d184a2db9eae59a1746e4d","role project;learning environments;consisting","Responsive Open Learning Environments: Outcomes of Research from the ROLE Project","","2015-01-01","Springer International Publishing","publication","","","http://oro.open.ac.uk/43410/1/Responsive%20Open%20Learning%20Environments.pdf","This book presents the outcomes of four years of educational research in the EU-supported project called ROLE (Responsive Online Learning Environments). ROLE technology is centered around the concept of self-regulated learning that creates responsible learners, who are capable of critical thinking and able to plan their own learning processes. ROLE allows learners to independently search for appropriate learning resources and then reflect on their own learning process and progress. To accomplish this, ROLE´s main objective is to support the development of open personal learning environments (PLE's). ROLE provides a framework consisting of “enabler spaces” on the one hand and tools, content, and services on the other. Utilizing this framework, learners are invited to create their own controlled and preferred learning environments to trigger and motivate self-regulated learning.\ud \ud Authors of this book are researchers, developers and teachers who have worked in the ROLE project and belong to the ROLE partner consortium consisting of 16 internationally renowned research institutions, including those from 6 EU countries and China. Chapters include numerous practical tutorials to guide the reader in creating innovative and useful learning widgets and present the best practices for the development of PLE's.","231396","Open Access","0.2331","-0.3354","4","Learning environments, Environments ples, Role project","Learning environments, Environments ples, Role project",NA,NA,NA,"",""
"","ec_fp7_ict__::e52825b4a32f84ec5ae31739963968ff","based approach;wespot cloud;approach personal","weSPOT: A cloud-based approach for personal and social inquiry","#N/D","2012-01-01","","publication","","","","","318499","Closed Access","0.3823","0.5307","13","Approach personal, Based approach, Wespot cloud","Approach personal, Based approach, Wespot cloud",NA,NA,NA,"",""
"","od______1501::cefd4c281ab52ab9ad12a3f0b70d14ff","Coaprendizagem","Competências-chave na era digital para coaprendizagem e coinvestigação","Okada, Alexandra","2013-12-01","LE@D","publication","","","","Este trabalho visa apresentar uma investigação exploratória em desenvolvimento com resultados preliminares sobre “Competências-chave para educação do século XXI na Era Digital”. Utiliza-se a ciber-etnografia como método de observação assíncrona (fórum e wikis) e síncrona (webconferência) das competências e habilidades desenvolvidas durante o processo de co-investigação e coaprendizagem em dois espaços virtuais. Este estudo envolve pesquisadores do Reino Unido, Brasil, Portugal e Espanha que iniciaram suas interações no portal Encuentro.Educared do “Encontro Internacional de Educação 2012-2013”, realizado pela empresa Telefônica e também no ambiente de investigação weSPOT (Working Environment with Social, Personal and Open Technologies) financiado pela Comissão Européia. Como resultado deste trabalho, observou-se que o portal propiciou o desenvolvimento mais explicíto de literacias digitais, possivelmente por ser uma interface mais simples e familiar (fórum). E no ambiente de investigação, os participantes já com maior facilidade com tecnologias digitais tiveram maiores oportunidades de desenvolver outras competências relacionadas com a Literacia Científica.
			This paper presents an exploratory investigation in development with preliminary results on \"Key Competences for XXI Century Education in the Digital Age.\" The method applied was cyber-ethnography with asynchronous observation (forum and wiki) and synchronous discussions (webconference) for analysing skills and competences developed during the process of co-inquiry and co-learning in two online areas. This study involves researchers from the UK, Brazil, Portugal and Spain. They initiated their interactions in the portal Encuentro.Educared of the \"International Meeting on Education 2012-2013\", organized by company Telefónica and also in the inquiry environment weSPOT (Working Environment with Social Personal and Open Technologies) funded by the European Commission. As a result of this study, it was observed that the portal led to the development of more explicit digital literacies, possibly because it was a simpler interface and familiar (forum). And in the inquiry environment, participants familiar with digital technologies had more opportunities to develop other skills related to Critical-Creative Thinking and Socio-Scientific Reasoning.
			Universidade Aberta; Pavilhão do Conhecimento; LEAD","318499","Open Access","-0.586","-0.2315","7","Coaprendizagem e coinvestigação, Competências chave, Digital para coaprendizagem","Coaprendizagem e coinvestigação, Competências chave, Digital para coaprendizagem",NA,NA,NA,"",""
